	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
0	AL627309.5	False	False	False	0.747110310138937	0.25	True	False	0.009391278039385892	0.18317895630722097	-0.15189792
1	LINC01409	False	False	False	6.60459447505159	0.25	True	False	0.05570800000798931	0.18798313126497013	-0.11556131
2	LINC01128	False	False	False	6.46358906907187	0.25	True	False	0.04206890647881496	0.24920437981620888	0.3474887
3	LINC00115	False	False	False	1.12972086818535	0.25	True	False	0.011952898694829526	0.2942952906271015	0.68853605
4	FAM41C	False	False	False	2.48016120735575	0.25	True	False	0.017520772842741148	0.1306053281474421	-0.54954123
5	AL645608.2	False	False	False	0.263804455865724	0.25	True	False	0.001799829447261779	0.2768758094844573	0.55678296
6	NOC2L	False	False	False	17.1082685977934	0.25	True	False	0.13129236088749485	0.1861104710079136	0.20967092
7	KLHL17	False	False	False	0.994568492983317	0.25	True	False	0.01081553807187396	0.2706075997292893	0.509373
8	PLEKHN1	False	False	False	0.57631965488482	0.25	True	False	0.006599030032916724	0.28058213114169	0.5848159
9	HES4	False	False	False	6.1431682526141	0.25	True	True	0.06645662980440098	0.41087518500904807	1.5702939
10	ISG15	False	False	False	39.066855224283	0.25	True	True	0.505679704943307	0.593933650998711	3.4419613
11	AGRN	True	True	False	0.953087930883557	0.25	True	False	0.006449697346977626	0.0807926387804154	-0.926302
12	C1orf159	False	False	False	2.30834001088152	0.25	True	False	0.020434050849547122	0.21228619337167326	0.06825613
13	TNFRSF18	True	False	True	4.26064714883282	0.25	True	True	0.02965227066660186	0.4754690847710118	2.0588531
14	TNFRSF4	True	False	True	2.72943904451087	0.25	True	True	0.030803583935883855	0.4312829371463414	1.7246491
15	SDF4	False	False	False	25.9863008956747	0.25	True	False	0.21574017565553938	0.07144219319495616	-0.4106426
16	B3GALT6	False	False	False	5.43963361582867	0.25	True	False	0.04881146767403978	0.18859474462309306	-0.11093534
17	C1QTNF12	False	False	False	0.561287324260322	0.25	True	False	0.004447916115859872	0.15715649790110078	-0.3487201
18	AL162741.1	False	False	False	0.269066002363326	0.25	True	False	0.0027283032228055688	0.23976753220831964	0.27611262
19	UBE2J2	False	False	False	15.5824611638458	0.25	True	False	0.14382982324602467	0.12425967523283382	-0.3802926
20	SCNN1D	False	False	False	0.600791764698619	0.25	True	False	0.004664389563998947	0.1714096083853297	-0.24091598
21	ACAP3	False	False	False	7.14188325052223	0.25	True	False	0.06402628157563962	0.1768315499469494	-0.19990686
22	PUSL1	False	False	False	3.94705190028129	0.25	True	False	0.03815468756135768	0.1381744722570874	-0.4922916
23	INTS11	False	False	False	13.681630675302	0.25	True	False	0.11107109270129203	0.13193042273766434	-0.3071252
24	CPTP	False	False	False	2.24689278438283	0.25	True	False	0.022805552120834644	0.20768815412891412	0.03347863
25	DVL1	False	False	False	3.01903745054454	0.25	True	False	0.027231772224278358	0.1583348882129747	-0.33980727
26	AURKAIP1	False	False	False	52.1832354775163	0.25	True	False	0.4053061962489585	-0.08939294278950427	-0.7402898
27	CCNL2	False	False	False	22.3455220965447	0.25	True	False	0.18308804161059936	0.13302356389527584	-0.29669827
28	MRPL20-AS1	False	False	False	2.50222090636804	0.25	True	True	0.023992948372724542	0.27792432265015077	0.5647134
29	MRPL20	False	False	False	44.8298070184123	0.25	True	False	0.3516910813509929	0.03615990530357291	-0.33228415
30	AL391244.2	False	False	False	0.530638401709228	0.25	True	False	0.0027752208388591828	0.15322238755614584	-0.37847593
31	ANKRD65	False	False	False	0.850487163520009	0.25	True	False	0.00830775514017306	-0.09657320483392483	-2.2678175
32	ATAD3C	False	False	False	0.474961922342475	0.25	True	False	0.005034635009344821	0.23201948866441832	0.2175099
33	ATAD3B	False	False	False	6.70346821633704	0.25	True	False	0.047252027388345004	0.16377839658404006	-0.29863504
34	ATAD3A	False	False	False	7.93055078812906	0.25	True	False	0.04071438089556796	0.03793137347257919	-1.2504853
35	SSU72	False	False	False	44.0146134987992	0.25	True	False	0.3647622219519343	0.00023855626827138846	-0.58359545
36	AL645728.1	False	False	False	3.87007258102033	0.25	True	True	0.03859916471114511	0.2988195094762342	0.7227552
37	FNDC10	False	False	False	2.83829400982113	0.25	True	False	0.020992274098792105	0.10111649365286969	-0.7725815
38	AL691432.4	False	False	False	0.357282016140884	0.25	True	False	0.0038862779055352406	0.2256431749345969	0.16928233
39	AL691432.2	False	False	False	2.22494580547589	0.25	True	False	0.02004075777571668	0.18090860717681403	-0.16906983
40	MIB2	False	False	False	12.4375862831399	0.25	True	True	0.1075358228638068	0.3185707068627424	1.4731423
41	MMP23B	False	False	False	2.73957623233198	0.25	True	True	0.021959238825835073	0.4681822915122126	2.003739
42	CDK11B	False	False	False	16.1471296545562	0.25	True	False	0.14078337676563418	0.17177366607053465	0.072919376
43	FO704657.1	False	False	False	0.339223001433676	0.25	True	False	0.003509089509129373	0.19475792755357588	-0.06431979
44	SLC35E2B	False	False	False	3.47129983968559	0.25	True	True	0.03468924003437098	0.2726588914042019	0.5248881
45	CDK11A	False	False	False	23.8810564818417	0.25	True	False	0.20292193456531055	0.15174141269239005	0.17434442
46	SLC35E2A	False	False	False	2.59199229320584	0.25	True	False	0.024050044802640575	0.26130899749627573	0.43904257
47	NADK	False	False	False	13.1257819459675	0.25	True	False	0.1524876206604736	0.11533124190833367	-0.4654564
48	GNB1	True	True	False	52.1528679025902	0.25	True	False	0.3961884126102919	-0.047595334252603975	-0.4651428
49	GABRD	False	False	False	0.376448744904044	0.25	True	False	0.002318226979195329	0.17466116759050943	-0.21632265
50	PRKCZ	True	False	True	1.80256958257538	0.25	True	True	0.017283131602797333	0.31757221743527836	0.86459225
51	AL590822.2	False	False	False	0.290436215283849	0.25	True	False	0.0043220961487382215	0.2893075560037918	0.6508111
52	FAAP20	False	False	False	37.9697216656106	0.25	True	False	0.3073498871084883	0.008277258954770245	-0.52735543
53	SKI	False	False	False	11.7763375459964	0.25	True	True	0.1049739031148413	0.24776827038172364	0.7977935
54	AL590822.3	False	False	False	0.558651924259209	0.25	True	False	0.004643201289747623	0.19761936476439984	-0.042677168
55	MORN1	False	False	False	1.21300678411107	0.25	True	False	0.010012216044082095	0.129642817820493	-0.5568212
56	AL513477.2	False	False	False	0.328087687850316	0.25	True	False	0.003095482719572576	0.1394643124159055	-0.48253584
57	RER1	False	False	False	31.3863121149134	0.25	True	False	0.2714315428239495	0.027598537827482807	-0.7300475
58	PEX10	False	False	False	3.09428732900381	0.25	True	False	0.024032407276124802	0.11041619161331435	-0.70224273
59	PLCH2	False	False	False	0.746501042914371	0.25	True	False	0.008011359732603657	0.4682879113141709	2.004538
60	PANK4	False	False	False	1.47803154448927	0.25	True	False	0.011782491288931607	0.2002553932444308	-0.022739433
61	HES5	False	False	False	0.390228664560046	0.25	True	False	0.001107138928251512	-0.627938990706906	-6.2868295
62	AL139246.5	False	False	False	5.18819932166514	0.25	True	False	0.05969006575840543	0.2678438072966677	0.48846895
63	TNFRSF14-AS1	False	False	False	1.72262461027662	0.25	True	True	0.018148695686417388	0.3554609977454863	1.151166
64	TNFRSF14	True	False	True	24.4871429128792	0.25	True	False	0.2661336492656386	0.1257033057680339	-0.015345524
65	PRXL2B	False	False	False	2.71098556400573	0.25	True	False	0.01796827135199547	0.18331035026187792	-0.15090412
66	MMEL1	False	False	False	0.445574520889851	0.25	True	False	0.006136376930922163	0.19491078558003438	-0.06316364
67	TTC34	False	False	False	0.565514983835885	0.25	True	False	0.005521327736382279	0.3229816033494434	0.90550643
68	PRDM16-DT	False	False	False	0.449565702397729	0.25	True	False	0.002878666830971908	0.0013907953393666674	-1.5268618
69	PRDM16	False	False	False	0.644280895559345	0.25	True	False	0.004069030823766068	0.14119433803155146	-0.46945068
70	MEGF6	False	False	False	2.30136657591929	0.25	True	False	0.019771045987990118	0.22962781563052762	0.19942036
71	TPRG1L	False	False	False	7.56452858948257	0.25	True	False	0.07058616748463067	0.2106193975725942	0.055649236
72	WRAP73	False	False	False	6.39493948425925	0.25	True	False	0.05904365111398629	0.20163239643126415	-0.012324399
73	TP73	False	False	False	0.251202580436906	0.25	True	False	0.001253075260029659	0.31241247062121313	0.8255663
74	SMIM1	False	False	False	14.4841274381998	0.25	True	True	0.04986190219883911	0.2786569673487217	0.5702548
75	LRRC47	False	False	False	9.96795271649333	0.25	True	False	0.08120982070602556	0.1462926491739182	-0.43088937
76	CEP104	False	False	False	6.38864475766236	0.25	True	False	0.06293268692356921	0.21492507073399653	0.08821541
77	DFFB	False	False	False	2.23697183800805	0.25	True	False	0.02118692396847869	0.2382103067156884	0.26433447
78	C1orf174	False	False	False	12.0838452005906	0.25	True	False	0.0970636950137173	0.15704946859253946	-0.34952962
79	NPHP4	False	False	False	0.754634302403602	0.25	True	False	0.00851499147228013	0.19109482035188882	-0.09202588
80	KCNAB2	False	False	False	24.1563605430871	0.25	True	False	0.21630946721518285	0.11662957538167128	-0.08144846
81	RPL22	False	False	False	284.997162914043	0.25	True	False	1.2628666299768045	-1.2272649343290163	-1.0004871
82	RNF207	False	False	False	0.319760045941667	0.25	True	False	0.005395545355595131	0.24827408776547932	0.34045237
83	ICMT	False	False	False	5.35539312078181	0.25	True	False	0.04109226378649927	0.1596619479665228	-0.32977
84	GPR153	False	False	False	0.542630617871673	0.25	True	False	0.005199431905886488	0.3424768334895194	1.0529596
85	ACOT7	False	False	False	5.50836151657192	0.25	True	False	0.02902307068624045	0.08612009294020712	-0.88600755
86	AL031848.2	False	False	False	0.659754067646943	0.25	True	False	0.007851567151970421	0.22142836553997575	0.13740341
87	ESPN	False	False	False	1.13369483454854	0.25	True	False	0.005265396934035387	0.19592120537372404	-0.05552128
88	TNFRSF25	True	False	True	4.9827627336271	0.25	True	True	0.05916837740033865	0.3649314957769317	1.2227966
89	NOL9	False	False	False	10.8600159512489	0.25	True	False	0.08447988346317706	0.19708519702928437	-0.04671737
90	ZBTB48	False	False	False	4.45215666497446	0.25	True	False	0.04766443769897558	0.16355818504087158	-0.30030063
91	KLHL21	False	False	False	4.22620530951625	0.25	True	False	0.029780151773499342	0.17339662047098559	-0.2258871
92	PHF13	False	False	False	2.51477435892401	0.25	True	False	0.020420519279504796	0.1412296524460332	-0.4691836
93	THAP3	False	False	False	4.43625053621334	0.25	True	False	0.03837605342836387	0.1999463967163002	-0.025076544
94	DNAJC11	False	False	False	5.1032674419614	0.25	True	False	0.041465998014069846	0.16990981063800706	-0.25225976
95	CAMTA1	False	False	False	32.194605684503	0.25	True	False	0.2393711975647838	0.010187496073047007	-0.85688853
96	VAMP3	False	False	False	20.1648287552107	0.25	True	False	0.19954285449422177	0.027229386792541523	-0.7327368
97	PER3	False	False	False	1.79968463814346	0.25	True	True	0.0169288772755171	0.3137997347203363	0.8360589
98	UTS2	True	True	False	1.23951565467847	0.25	True	False	0.011556451510232048	0.5788058444359894	2.840446
99	TNFRSF9	True	False	True	1.25928637896722	0.25	True	True	0.015542910565532232	0.4756130792659261	2.0599422
100	PARK7	False	False	False	86.6644512243246	0.25	True	False	0.5652087228567935	-0.17593722984305551	-0.824429
101	ERRFI1	False	False	False	0.369599863591177	0.25	True	False	0.005963327595509116	0.3109835203505724	0.8147583
102	RERE	False	False	False	23.1798315688144	0.25	True	False	0.17604199215829336	0.19119866385348674	0.2582046
103	ENO1	True	False	True	108.58937762027	0.25	True	False	0.6987688841057945	-0.16133068752947125	0.07149319
104	ENO1-AS1	False	False	False	0.488365363429533	0.25	True	False	0.005850130513057501	0.26387968547043067	0.4584861
105	SLC2A5	False	False	False	2.18353354135912	0.25	True	False	0.008790983631326018	0.17603632632406166	-0.20592156
106	GPR157	False	False	False	1.2938021893192	0.25	True	False	0.010384316313357393	0.1962509143162392	-0.05302751
107	MIR34AHG	False	False	False	0.267217753381125	0.25	True	False	0.00235960118345362	0.19061282222354953	-0.095671505
108	H6PD	False	False	False	4.66294148436095	0.25	True	False	0.05255643723580985	0.23429985623271807	0.23475757
109	SPSB1	False	False	False	0.545677068598866	0.25	True	False	0.007022239371510384	0.04808556256802249	-1.1736836
110	SLC25A33	False	False	False	13.5487809156292	0.25	True	False	0.10032617010028824	0.05137366736612882	-1.0755154
111	TMEM201	False	False	False	2.22675191431655	0.25	True	False	0.012555645014228482	0.09930918855464362	-0.7862511
112	PIK3CD	True	True	False	9.52826327788543	0.25	True	True	0.09921937465579489	0.23054525236455042	0.63351184
113	PIK3CD-AS1	False	False	False	0.330807358917749	0.25	True	False	0.0032015140384610056	0.1652952058413497	-0.28716257
114	PIK3CD-AS2	False	False	False	0.791439718581694	0.25	True	False	0.004053269953198137	0.1762107106759747	-0.2046026
115	CLSTN1	False	False	False	10.6285804615079	0.25	True	False	0.11586336214282716	0.17527915328172514	0.10635645
116	CTNNBIP1	False	False	False	10.9165832998639	0.25	True	False	0.09765051911647321	0.07570107149632914	-0.96481234
117	LZIC	False	False	False	17.6750001087212	0.25	True	False	0.15458555522706188	0.11026743663271417	-0.51375747
118	NMNAT1	False	False	False	1.9171083626297	0.25	True	False	0.023073747865468907	0.16756216241842511	-0.27001634
119	RBP7	False	False	False	6.96099795354671	0.25	True	True	0.17122435158318622	0.43635772568703224	2.5966532
120	UBE4B	False	False	False	8.91839872837286	0.25	True	False	0.07531187559652257	0.1882364822526739	-0.11364507
121	KIF1B	False	False	False	11.5004949096756	0.25	True	False	0.11642923326568924	0.16329853386848628	-0.007920629
122	AL139424.3	False	False	False	0.306192925069891	0.25	True	False	0.0030960005853889363	0.2591770350280167	0.42291737
123	PGD	False	False	False	33.2033490766535	0.25	True	False	0.31799072371525416	0.04738519022214039	-0.25375032
124	CENPS	False	False	False	5.50611054668239	0.25	True	False	0.023440671690423874	0.006121579572450152	-1.4910803
125	CORT	True	True	False	0.46176904782111	0.25	True	False	0.002130550415639967	-0.034924598531906687	-1.8015351
126	DFFA	False	False	False	11.2643269806454	0.25	True	False	0.08383298773394579	0.15572245959325504	-0.3595665
127	PEX14	False	False	False	3.19867230160279	0.25	True	False	0.029798187583005203	0.132895190355994	-0.53222173
128	CASZ1	False	False	False	5.03740732797506	0.25	True	True	0.03548733182237407	0.34705806457509303	1.08761
129	TARDBP	False	False	False	29.4477278209228	0.25	True	False	0.21452421472621908	0.117414052753192	-0.075733475
130	AL109811.2	False	False	False	6.04824535651627	0.25	True	False	0.0477129726196084	0.2393141701161121	0.2726836
131	SRM	False	False	False	31.8774812279445	0.25	True	False	0.19872268213247224	0.08853618748619081	-0.2861113
132	EXOSC10	False	False	False	13.4480831701098	0.25	True	False	0.10787334442051426	0.15033362720651533	-0.13158633
133	AL109811.1	False	False	False	0.396088800802451	0.25	True	False	0.0020430089505100064	0.21007453957877686	0.051528174
134	EXOSC10-AS1	False	False	False	0.397185347100595	0.25	True	False	0.0018379822391792345	-0.03770151907313133	-1.8225385
135	MTOR	False	False	False	7.07256911844838	0.25	True	False	0.057871615087281725	0.24440641633765547	0.31119904
136	UBIAD1	False	False	False	5.13611074434769	0.25	True	False	0.042502750305038986	0.18728139735688631	-0.12086891
137	FBXO2	False	False	False	0.953302383259642	0.25	True	False	0.010809418809034028	0.44307035575801085	1.8138038
138	FBXO44	False	False	False	2.84796702343205	0.25	True	True	0.03148064866068978	0.31365631390008947	0.8349741
139	FBXO6	False	False	False	5.41978605799704	0.25	True	False	0.07053388650737727	0.08617545109588515	-0.8855888
140	MAD2L2	False	False	False	15.5097627400573	0.25	True	False	0.122864527178069	0.07772451686771766	-0.82416797
141	DRAXIN	True	True	False	0.564174409818779	0.25	True	False	0.006209831977568519	0.38482779101695164	1.3732831
142	AGTRAP	True	True	False	30.5603942207483	0.25	True	False	0.36930300919831305	0.06709985571852531	-0.115823485
143	MTHFR	False	False	False	12.7982289030683	0.25	True	False	0.1067546065389909	0.1531870422409651	-0.104369044
144	CLCN6	False	False	False	3.99243950214781	0.25	True	False	0.04143040207997527	0.1891919935428017	-0.10641801
145	AL021155.5	False	False	False	19.4607577700598	0.25	True	True	0.1919140556482999	0.28464175368909944	1.1495111
146	KIAA2013	False	False	False	11.3035955748126	0.25	True	False	0.11007240486516914	0.14029478127366052	-0.22734182
147	PLOD1	False	False	False	4.82450108179409	0.25	True	False	0.05140112229457766	0.11475047615979247	-0.6694602
148	MFN2	False	False	False	6.53946364966056	0.25	True	False	0.0538258291583764	0.15200985835304143	-0.38764697
149	MIIP	False	False	False	10.9394408198067	0.25	True	False	0.12047529887410482	0.06626648687625981	-0.93346035
150	TNFRSF8	True	True	True	0.354809876131319	0.25	True	False	0.010406067732182125	0.30636552503918796	0.77982986
151	TNFRSF1B	True	False	True	38.1141271412857	0.25	True	True	0.4278745501468279	0.15701914215355328	0.88180196
152	VPS13D	False	False	False	10.2888797204114	0.25	True	False	0.09551574940120254	0.2315462197611211	0.21393031
153	DHRS3	False	False	False	8.81168214027166	0.25	True	False	0.06828543849628887	0.26570620023946123	0.47230104
154	PRDM2	False	False	False	53.2393067259565	0.25	True	True	0.37183329739763193	0.15673387944348854	0.5112699
155	KAZN	False	False	False	0.451291228510265	0.25	True	False	0.002040919535165886	-0.05017196819152701	-1.9168594
156	TMEM51	False	False	False	0.676772229464307	0.25	True	False	0.0068129394432460055	0.051412420974795765	-1.1485207
157	AL031283.1	False	False	False	0.475493951964856	0.25	True	False	0.003607397036984139	0.4170329443312892	1.6168685
158	EFHD2	False	False	False	81.6867100625874	0.25	True	False	0.6379774410565037	-0.07524699177209486	0.1345919
159	CASP9	False	False	False	4.56357254575084	0.25	True	False	0.03517425555495605	0.08092713150634237	-0.92528474
160	DNAJC16	False	False	False	4.49414034198393	0.25	True	False	0.044026986769369524	0.23995808821053202	0.2775539
161	AGMAT	False	False	False	0.879948640029683	0.25	True	False	0.009080913733779894	0.28313388054377087	0.6041162
162	DDI2	False	False	False	13.3034055005878	0.25	True	False	0.09117529933526952	0.20017188312964004	-0.023371065
163	PLEKHM2	False	False	False	19.5288298447605	0.25	True	False	0.1560479600449381	0.10903530730011733	-0.52551013
164	SLC25A34	False	False	False	0.63246931526147	0.25	True	False	0.00457105805022672	0.22598438013948888	0.17186305
165	FBLIM1	False	False	False	0.56146342825571	0.25	True	False	0.006225292235071273	0.26887742669918663	0.49628678
166	UQCRHL	False	False	False	3.08913103714932	0.25	True	False	0.02291267976760158	0.07450229490924971	-0.97387934
167	AL450998.2	False	False	False	8.08974273634211	0.25	True	False	0.06385025989394293	0.16882546360298734	-0.2604613
168	SPEN	False	False	False	40.6203091567008	0.25	True	False	0.2854716373965956	0.11087002746790532	-0.12340728
