gene_symbol	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
A1BG	A1BG	False	False	True	40.7566832748477	1	True	False	0.09961836095977643	-3.1254884923533925	0.15206756
A1BG-AS1	A1BG-AS1	False	False	False	1.66969588226937	1	True	False	0.0027806544274608367	-5.052565818456797	-1.3718164
A2M-AS1	A2M-AS1	False	False	False	2.7369215848413	1	True	False	0.01968911058561742	-3.5188930280887956	-0.15902679
A4GALT	A4GALT	False	False	False	10.8568604598516	1	True	True	0.017870588694449515	-1.0748544311839776	1.773657
AAAS	AAAS	False	False	False	18.2017994267154	1	True	True	0.03574655317327102	-2.2157674230554814	0.8714519
AACS	AACS	False	False	False	4.33872876305198	1	True	False	0.006656501644539441	-5.0618417876622726	-1.3791516
AADAT	AADAT	False	False	False	1.52213131643439	1	True	False	8.122295652680862e-05	-1.013485789793845	1.8221858
AAED1	AAED1	False	False	False	31.5310340797641	1	True	False	0.0600176652122064	-3.3984192029136526	-0.06375913
AAGAB	AAGAB	False	False	False	14.1151742386435	1	True	False	0.0357571945418224	-3.717235069566994	-0.31587064
AAK1	AAK1	False	False	False	39.6436688325538	1	True	False	0.18207041754277203	-2.7353266677487547	0.46059763
AAMDC	AAMDC	False	False	False	22.8904725329552	1	True	True	0.031686451694895486	-2.4471760731788135	0.6884598
AAMP	AAMP	False	False	False	44.9107383876795	1	True	False	0.08397580655642509	-2.7406785299198924	0.45636553
AAR2	AAR2	False	False	False	10.1858347055855	1	True	False	0.02442998572349976	-5.143300732644878	-1.4435673
AARS	AARS	False	False	False	13.1096805643894	1	True	False	0.019923533826793176	-3.3499040555073307	-0.025394583
AARS2	AARS2	False	False	False	4.80978491576367	1	True	False	0.009818087290277328	-4.433076115812109	-0.8819396
AARSD1	AARSD1	False	False	False	13.3451417372327	1	True	False	0.03985739303962691	-4.411367250514385	-0.8647728
AASDH	AASDH	False	False	False	17.2504004900692	1	True	False	0.03415099329389581	-4.374835308382096	-0.8358842
AASDHPPT	AASDHPPT	False	False	False	32.9428808868132	1	True	True	0.055808152359964384	-2.1815809104701924	0.8984857
