uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam
A0A1B0GTJ6,LOC101059948_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A4D1S0,KLRG2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6ND01,IZUMO1R_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NDA9,LRIT2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NFU0,FAM187A_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NI73,LILRA5_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NJW9,CD8B2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NLU5,VSTM2B_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A6NMZ7,COL6A6_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A8K4G0,CD300LB_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A8MVS5,HIDE1_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
A8TX70,COL6A5_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
B6A8C7,TARM1_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
D3W0D1,KLRF2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
K9M1U5,IFNL4_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00144,FZD9_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00155,GPR25_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00175,CCL24_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00182,LGALS9_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00206,TLR4_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00214,LGALS8_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00220,TNFRSF10A_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00222,GRM8_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00230,CORT_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00238,BMPR1B_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00253,AGRP_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00254,F2RL2_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
O00264,PGRMC1_HUMAN,False,False,False,,False,False,,False,False,,To_add,,,
