uniprot,protein_name,receptor
Q9NZS2,KLRF1_HUMAN,0
Q6ZMG9,CERS6_HUMAN,0
Q8N109,KIR2DL5A_HUMAN,0
P13688,CEACAM1_HUMAN,0
Q99712,KCNJ15_HUMAN,0
P07306,ASGR1_HUMAN,0
Q8WWQ8,STAB2_HUMAN,0
P01584,IL1B_HUMAN,0
P26992,CNTFR_HUMAN,0
Q9ULL4,PLXNB3_HUMAN,0
Q5QGZ9,CLEC12A_HUMAN,0
Q17R55,FAM187B_HUMAN,0
Q5BJH7,YIF1B_HUMAN,0
Q12879,GRIN2A_HUMAN,0
P98088,MUC5AC_HUMAN,0
O94910,ADGRL1_HUMAN,0
P47890,OR1G1_HUMAN,0
O95754,SEMA4F_HUMAN,0
P47901,AVPR1B_HUMAN,0
P42702,LIFR_HUMAN,0
Q12846,STX4_HUMAN,0
P43631,KIR2DS2_HUMAN,0
Q9HBW9,ADGRL4_HUMAN,0
P06126,CD1A_HUMAN,0
Q9Y279,VSIG4_HUMAN,0
Q92542,NCSTN_HUMAN,0
Q8NCW0,KREMEN2_HUMAN,0
Q8IU80,TMPRSS6_HUMAN,0
P01344,IGF2_HUMAN,0
Q9HCU4,CELSR2_HUMAN,0
P00533,EGFR_HUMAN,0
Q92752,TNR_HUMAN,0
Q13873,BMPR2_HUMAN,0
Q9Y3Q0,NAALAD2_HUMAN,0
Q8WWV6,FCAMR_HUMAN,0
Q9NZ08,ERAP1_HUMAN,0
P34820,BMP8B_HUMAN,0
P51684,CCR6_HUMAN,0
P17301,ITGA2_HUMAN,0
B6A8C7,TARM1_HUMAN,0
P11215,ITGAM_HUMAN,0
P30968,GNRHR_HUMAN,0
Q9BZ71,PITPNM3_HUMAN,0
O60896,RAMP3_HUMAN,0
Q14957,GRIN2C_HUMAN,0
Q8N6Q3,CD177_HUMAN,0
Q5TAT6,COL13A1_HUMAN,0
P41145,OPRK1_HUMAN,0
Q6UW60,PCSK4_HUMAN,0
Q86YW5,TREML1_HUMAN,0
Q5HYA8,TMEM67_HUMAN,0
P16234,PDGFRA_HUMAN,0
Q9Y5U5,TNFRSF18_HUMAN,0
Q9HAB3,SLC52A2_HUMAN,0
P25101,EDNRA_HUMAN,0
P30533,LRPAP1_HUMAN,0
