cluster,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Mono,ISG15,0,1.1675236472434358,0.739,0.243,0
Mono,RBP7,0,-0.6768116715708142,0.113,0.473,0
Mono,C1QA,0,0.6116992565747335,0.36,0.043,0
Mono,CD52,0,-0.9723173745166878,0.295,0.791,0
Mono,IFI6,0,1.0927181821133702,0.742,0.224,0
Mono,CITED4,0,0.4728655565636355,0.489,0.133,0
Mono,PLK3,0,0.4049706042945131,0.55,0.188,0
Mono,CDKN2C,0,0.2672482341987677,0.244,0.022,0
Mono,IFI44L,0,0.9131257731873512,0.643,0.061,0
Mono,IFI44,0,0.4020130518592801,0.412,0.076,0
Mono,GBP1,0,0.377804284212455,0.383,0.085,0
Mono,GBP2,0,0.38074750884109426,0.548,0.215,0
Mono,RPL5,0,-0.3186936311649866,0.954,0.956,0
Mono,AC253572.2,0,-0.6250467172319123,0.222,0.515,0
Mono,FCGR1A,0,0.3023287101034044,0.417,0.145,0
Mono,LMNA,0,0.9716955526875937,0.82,0.182,0
Mono,AIM2,0,0.25544975984877116,0.229,0.015,0
Mono,TAGLN2,0,0.4303634851933056,0.873,0.596,0
Mono,CD48,0,-0.6172608929892965,0.354,0.702,0
Mono,IER5,0,0.5059154447355981,0.742,0.339,0
Mono,SRGAP2,0,0.2893134498672285,0.403,0.135,0
Mono,G0S2,0,0.6382699623646166,0.748,0.479,0
Mono,MARC1,0,0.3606785471884848,0.408,0.096,0
Mono,CNIH4,0,0.3267058777940132,0.523,0.23,0
Mono,TRIM11,0,0.33435764656550343,0.332,0.075,0
Mono,HIST3H2A,0,0.7380385774495738,0.516,0.041,0
Mono,IRF2BP2,0,0.7302476089620991,0.92,0.475,0
Mono,NLRP3,0,0.3565310997604159,0.581,0.274,0
Mono,RHOB,0,0.4127364945914007,0.714,0.522,0
Mono,OTOF,0,0.2849993608005195,0.224,0,0
Mono,EIF2AK2,0,0.37369405976652376,0.529,0.202,0
Mono,RPS27A,0,-0.26668030266683873,0.979,0.987,0
Mono,PLEK,0,0.5818915316719557,0.938,0.628,0
Mono,AAK1,0,0.33380492986537774,0.554,0.239,0
Mono,CXCR4,0,0.46709616608103044,0.738,0.369,0
Mono,RND3,0,0.5805187581210678,0.358,0,0
Mono,NMI,0,0.36095659734757374,0.514,0.195,0
Mono,TNFAIP6,0,0.5190603923897281,0.368,0.017,0
Mono,SPATS2L,0,0.3018118943827336,0.278,0.023,0
Mono,ARPC2,0,-0.25149104855511784,0.879,0.872,0
Mono,SP110,0,0.37771083412632434,0.629,0.314,0
Mono,ACKR3,0,0.3832867683006236,0.268,0.003,0
Mono,ANKRD28,0,1.0506832049230088,0.789,0.178,0
Mono,RPSA,0,-0.3416939455569532,0.84,0.873,0
Mono,EIF1B,0,0.3543355982423504,0.716,0.405,0
Mono,CTNNB1,0,0.5702673721651181,0.858,0.454,0
Mono,SHISA5,0,0.2884527650089299,0.453,0.16,0
Mono,SMIM4,0,0.3075190044886989,0.362,0.087,0
Mono,PROK2,0,0.38470530621846144,0.385,0.089,0
Mono,NFKBIZ,0,0.540036482806487,0.796,0.482,0
Mono,PARP14,0,0.3914928038206834,0.592,0.251,0
Mono,H1FX,0,0.8956665416252694,0.955,0.634,0
Mono,CCNL1,0,0.3394721064704309,0.925,0.694,0
Mono,RPL22L1,0,0.35675288385653936,0.694,0.39,0
Mono,BCL6,0,0.7131666122701732,0.743,0.238,0
Mono,IGFBP7,0,0.5184553123348787,0.551,0.138,0
Mono,PLAC8,0,0.8919539352013588,0.748,0.311,0
Mono,SNHG8,0,0.36867823576798764,0.724,0.404,0
Mono,HMGB2,0,0.5007301674578258,0.81,0.544,0
Mono,SAP30,0,0.7542800603827657,0.61,0.157,0
Mono,ACSL1,0,0.5342590764205162,0.659,0.239,0
Mono,ZFR,0,0.40668566652867094,0.552,0.203,0
Mono,EMB,0,0.37998077198519076,0.65,0.316,0
Mono,PLK2,0,0.3639451933134936,0.293,0.037,0
Mono,FEM1C,0,0.39274493827697277,0.438,0.122,0
Mono,TGFBI,0,-0.5193254972504642,0.092,0.39,0
Mono,TAF7,0,0.3297990898877906,0.529,0.213,0
Mono,CD74,0,-0.42369809497917177,0.866,0.948,0
Mono,ADAMTS2,0,0.28811258701779097,0.241,0.001,0
Mono,CD83,0,0.4098920440652216,0.641,0.303,0
Mono,SOX4,0,0.5331223100736838,0.572,0.256,0
Mono,HIST1H1C,0,0.7401376625865478,0.661,0.187,0
Mono,HIST1H1E,0,0.41026921823606904,0.539,0.193,0
Mono,HIST1H1D,0,0.3637810250225909,0.365,0.099,0
Mono,C2,0,0.2995614712915638,0.266,0.013,0
Mono,HLA-DRA,0,-0.8336714415159459,0.605,0.933,0
Mono,HLA-DRB1,0,-0.8573888757309648,0.559,0.877,0
Mono,HLA-DQA1,0,-0.44863908374861633,0.081,0.304,0
Mono,HLA-DQB1,0,-0.7231565821793586,0.225,0.606,0
Mono,HLA-DMB,0,-0.46609173284988287,0.096,0.365,0
Mono,HLA-DMA,0,-0.6159743687703259,0.182,0.531,0
Mono,HLA-DPA1,0,-0.7205859636638865,0.438,0.751,0
Mono,HLA-DPB1,0,-0.8327157791192725,0.239,0.685,0
Mono,CDKN1A,0,0.513297719380674,0.681,0.297,0
Mono,TREM1,0,0.5413335169253287,0.794,0.402,0
Mono,UBE2J1,0,0.39911894687227345,0.719,0.367,0
Mono,CALHM6,0,-0.5765586251079429,0.103,0.424,0
Mono,VNN1,0,0.28982100727219345,0.308,0.06,0
Mono,TNFAIP3,0,1.0334167727200647,0.725,0.205,0
Mono,CITED2,0,0.43167225416459415,0.492,0.215,0
Mono,FAM20C,0,0.2651587098410254,0.305,0.064,0
Mono,ARL4A,0,1.160178564859404,0.859,0.32,0
Mono,AHR,0,0.8507222689087507,0.856,0.328,0
Mono,HOXA9,0,0.4564548466770407,0.343,0.005,0
Mono,HOXA10,0,0.2670273749402332,0.225,0.005,0
Mono,CPVL,0,-0.6401146253251535,0.244,0.61,0
Mono,TRGC2,0,0.37549658569098066,0.306,0.004,0
Mono,HSPB1,0,0.6027336415240867,0.517,0.099,0
Mono,CD36,0,0.3866940509048924,0.822,0.504,0
Mono,SAMD9,0,0.33620101998585894,0.414,0.13,0
Mono,AC007032.1,0,0.25926932332749697,0.278,0.055,0
Mono,CCDC71L,0,0.32617352664713456,0.393,0.115,0
Mono,CTSB,0,0.3632867769766862,0.829,0.578,0
Mono,MSR1,0,0.5475587473031651,0.4,0.044,0
Mono,PCM1,0,0.33181621556212254,0.577,0.26,0
Mono,SLC25A37,0,0.43552034546055707,0.739,0.384,0
Mono,PTK2B,0,0.3593989056135297,0.609,0.274,0
Mono,CCDC25,0,0.29407277604738946,0.368,0.099,0
Mono,AC026979.2,0,0.29328024101437106,0.319,0.065,0
Mono,GOLGA7,0,0.40487098224267287,0.534,0.173,0
Mono,CEBPD,0,0.3438144284021989,0.899,0.871,0
Mono,SNHG6,0,0.3670584028773205,0.86,0.576,0
Mono,FABP5,0,0.4211702317408571,0.477,0.151,0
Mono,CA2,0,0.26113883776090363,0.221,0.031,0
Mono,RIPK2,0,0.5887242559977768,0.697,0.255,0
Mono,COX6C,0,0.3234313096577468,0.836,0.603,0
Mono,TRIB1,0,0.5926405207318715,0.723,0.312,0
Mono,PVT1,0,0.27683953760722324,0.284,0.047,0
Mono,LY6E,0,1.0218336792947882,0.801,0.321,0
Mono,PARP10,0,0.3115850288070967,0.331,0.052,0
Mono,GRINA,0,0.4501551499331634,0.697,0.316,0
Mono,PLIN2,0,0.812423312487605,0.766,0.267,0
Mono,ZFAND5,0,0.3760356947572896,0.858,0.633,0
Mono,ANXA1,0,0.3990142405168551,0.982,0.863,0
Mono,TLE1,0,0.27376589582173444,0.24,0.02,0
Mono,CTSL,0,0.43213853694424614,0.517,0.157,0
Mono,NFIL3,0,0.37957769733804203,0.65,0.307,0
Mono,NINJ1,0,0.4264223171101318,0.763,0.436,0
Mono,KLF4,0,0.386343732799873,0.764,0.487,0
Mono,TXN,0,0.5044253253165393,0.848,0.565,0
Mono,HSPA5,0,0.4881097366566499,0.824,0.519,0
Mono,FCN1,0,-0.5152603476013125,0.752,0.959,0
Mono,MSRB2,0,0.3070502150166682,0.474,0.183,0
Mono,OTUD1,0,0.43588169343637473,0.665,0.33,0
Mono,MAP3K8,0,0.3986094131940616,0.755,0.461,0
Mono,WASHC2A,0,0.3179362892246296,0.356,0.087,0
Mono,DDIT4,0,0.7896212800300255,0.651,0.187,0
Mono,ZNF503,0,0.48013475440507625,0.4,0.074,0
Mono,IFIT2,0,0.37913978524422265,0.309,0.069,0
Mono,IFIT3,0,0.5269143792454741,0.404,0.052,0
Mono,OAT,0,0.4121921798985519,0.484,0.135,0
Mono,IFITM3,0,0.6813294619537197,0.747,0.465,0
Mono,IRF7,0,0.5988154079851985,0.598,0.132,0
Mono,LSP1,0,-0.4857842456539534,0.417,0.697,0
Mono,CD81,0,0.33006132935423527,0.506,0.199,0
Mono,PHLDA2,0,0.2772153772092185,0.275,0.065,0
Mono,TRIM22,0,0.5042160545037306,0.607,0.193,0
Mono,CAVIN3,0,0.43360360120368024,0.344,0.026,0
Mono,WEE1,0,0.2757138972957497,0.218,0.014,0
Mono,ADM,0,0.7314517949794668,0.514,0.12,0
Mono,MTRNR2L8,0,0.29665459434372177,0.336,0.096,0
Mono,C11orf96,0,0.3418245020050828,0.226,0.013,0
Mono,UBE2L6,0,0.4224423424978986,0.557,0.198,0
Mono,MS4A4A,0,0.43422214776157686,0.383,0.055,0
Mono,MS4A4E,0,0.2545461292501133,0.243,0.026,0
Mono,ARL2,0,0.28617500624125247,0.348,0.082,0
Mono,FUT4,0,0.44189345253642354,0.394,0.04,0
Mono,CACNA2D4,0,0.4003208753700832,0.41,0.076,0
Mono,CD9,0,0.504201686688928,0.419,0.036,0
Mono,CLEC4D,0,0.3444362871649683,0.394,0.1,0
Mono,CLEC4E,0,0.4669705486452266,0.614,0.297,0
Mono,CLEC2B,0,0.3721526188269948,0.767,0.451,0
Mono,H2AFJ,0,0.6268736509287798,0.799,0.382,0
Mono,PRR13,0,0.33826470999578995,0.817,0.549,0
Mono,METTL7B,0,0.2665964502494711,0.215,0.002,0
Mono,CD63,0,0.3856727053214457,0.927,0.685,0
Mono,STAT2,0,0.29497378134848296,0.472,0.171,0
Mono,NACA,0,-0.2552558863897696,0.971,0.968,0
Mono,STAC3,0,0.2945144217240613,0.368,0.097,0
Mono,DDIT3,0,0.46616631725474555,0.523,0.18,0
Mono,LLPH,0,0.32539551011284623,0.525,0.22,0
Mono,MDM2,0,0.49416373764888055,0.536,0.172,0
Mono,LYZ,0,0.26331587831611314,0.994,0.985,0
Mono,PHLDA1,0,0.5815137907338215,0.541,0.104,0
Mono,AC025164.1,0,0.37736968301619833,0.402,0.107,0
Mono,SLC25A3,0,-0.4642577514760138,0.432,0.655,0
