cluster	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1	Mono	ISG15	0	1.16752364724344	0.739	0.243	0
2	Mono	RBP7	0	-0.676811671570814	0.113	0.473	0
3	Mono	C1QA	0	0.611699256574733	0.36	0.043	0
4	Mono	CD52	0	-0.972317374516688	0.295	0.791	0
5	Mono	IFI6	0	1.09271818211337	0.742	0.224	0
6	Mono	CITED4	0	0.472865556563635	0.489	0.133	0
7	Mono	PLK3	0	0.404970604294513	0.55	0.188	0
8	Mono	CDKN2C	0	0.267248234198768	0.244	0.022	0
9	Mono	IFI44L	0	0.913125773187351	0.643	0.061	0
10	Mono	IFI44	0	0.40201305185928	0.412	0.076	0
11	Mono	GBP1	0	0.377804284212455	0.383	0.085	0
12	Mono	GBP2	0	0.380747508841094	0.548	0.215	0
13	Mono	RPL5	0	-0.318693631164987	0.954	0.956	0
14	Mono	AC253572.2	0	-0.625046717231912	0.222	0.515	0
15	Mono	FCGR1A	0	0.302328710103404	0.417	0.145	0
16	Mono	LMNA	0	0.971695552687594	0.82	0.182	0
17	Mono	AIM2	0	0.255449759848771	0.229	0.015	0
18	Mono	TAGLN2	0	0.430363485193306	0.873	0.596	0
19	Mono	CD48	0	-0.617260892989297	0.354	0.702	0
20	Mono	IER5	0	0.505915444735598	0.742	0.339	0
21	Mono	SRGAP2	0	0.289313449867229	0.403	0.135	0
22	Mono	G0S2	0	0.638269962364617	0.748	0.479	0
23	Mono	MARC1	0	0.360678547188485	0.408	0.096	0
24	Mono	CNIH4	0	0.326705877794013	0.523	0.23	0
25	Mono	TRIM11	0	0.334357646565503	0.332	0.075	0
26	Mono	HIST3H2A	0	0.738038577449574	0.516	0.041	0
27	Mono	IRF2BP2	0	0.730247608962099	0.92	0.475	0
28	Mono	NLRP3	0	0.356531099760416	0.581	0.274	0
29	Mono	RHOB	0	0.412736494591401	0.714	0.522	0
30	Mono	OTOF	0	0.28499936080052	0.224	0	0
31	Mono	EIF2AK2	0	0.373694059766524	0.529	0.202	0
32	Mono	RPS27A	0	-0.266680302666839	0.979	0.987	0
33	Mono	PLEK	0	0.581891531671956	0.938	0.628	0
34	Mono	AAK1	0	0.333804929865378	0.554	0.239	0
35	Mono	CXCR4	0	0.46709616608103	0.738	0.369	0
36	Mono	RND3	0	0.580518758121068	0.358	0	0
37	Mono	NMI	0	0.360956597347574	0.514	0.195	0
38	Mono	TNFAIP6	0	0.519060392389728	0.368	0.017	0
39	Mono	SPATS2L	0	0.301811894382734	0.278	0.023	0
40	Mono	ARPC2	0	-0.251491048555118	0.879	0.872	0
41	Mono	SP110	0	0.377710834126324	0.629	0.314	0
42	Mono	ACKR3	0	0.383286768300624	0.268	0.003	0
43	Mono	ANKRD28	0	1.05068320492301	0.789	0.178	0
44	Mono	RPSA	0	-0.341693945556953	0.84	0.873	0
45	Mono	EIF1B	0	0.35433559824235	0.716	0.405	0
46	Mono	CTNNB1	0	0.570267372165118	0.858	0.454	0
47	Mono	SHISA5	0	0.28845276500893	0.453	0.16	0
48	Mono	SMIM4	0	0.307519004488699	0.362	0.087	0
49	Mono	PROK2	0	0.384705306218461	0.385	0.089	0
50	Mono	NFKBIZ	0	0.540036482806487	0.796	0.482	0
51	Mono	PARP14	0	0.391492803820683	0.592	0.251	0
52	Mono	H1FX	0	0.895666541625269	0.955	0.634	0
53	Mono	CCNL1	0	0.339472106470431	0.925	0.694	0
54	Mono	RPL22L1	0	0.356752883856539	0.694	0.39	0
55	Mono	BCL6	0	0.713166612270173	0.743	0.238	0
56	Mono	IGFBP7	0	0.518455312334879	0.551	0.138	0
57	Mono	PLAC8	0	0.891953935201359	0.748	0.311	0
58	Mono	SNHG8	0	0.368678235767988	0.724	0.404	0
59	Mono	HMGB2	0	0.500730167457826	0.81	0.544	0
60	Mono	SAP30	0	0.754280060382766	0.61	0.157	0
61	Mono	ACSL1	0	0.534259076420516	0.659	0.239	0
62	Mono	ZFR	0	0.406685666528671	0.552	0.203	0
63	Mono	EMB	0	0.379980771985191	0.65	0.316	0
64	Mono	PLK2	0	0.363945193313494	0.293	0.037	0
65	Mono	FEM1C	0	0.392744938276973	0.438	0.122	0
66	Mono	TGFBI	0	-0.519325497250464	0.092	0.39	0
67	Mono	TAF7	0	0.329799089887791	0.529	0.213	0
68	Mono	CD74	0	-0.423698094979172	0.866	0.948	0
69	Mono	ADAMTS2	0	0.288112587017791	0.241	0.001	0
70	Mono	CD83	0	0.409892044065222	0.641	0.303	0
71	Mono	SOX4	0	0.533122310073684	0.572	0.256	0
72	Mono	HIST1H1C	0	0.740137662586548	0.661	0.187	0
73	Mono	HIST1H1E	0	0.410269218236069	0.539	0.193	0
74	Mono	HIST1H1D	0	0.363781025022591	0.365	0.099	0
75	Mono	C2	0	0.299561471291564	0.266	0.013	0
76	Mono	HLA-DRA	0	-0.833671441515946	0.605	0.933	0
77	Mono	HLA-DRB1	0	-0.857388875730965	0.559	0.877	0
78	Mono	HLA-DQA1	0	-0.448639083748616	0.081	0.304	0
79	Mono	HLA-DQB1	0	-0.723156582179359	0.225	0.606	0
80	Mono	HLA-DMB	0	-0.466091732849883	0.096	0.365	0
81	Mono	HLA-DMA	0	-0.615974368770326	0.182	0.531	0
82	Mono	HLA-DPA1	0	-0.720585963663886	0.438	0.751	0
83	Mono	HLA-DPB1	0	-0.832715779119273	0.239	0.685	0
84	Mono	CDKN1A	0	0.513297719380674	0.681	0.297	0
85	Mono	TREM1	0	0.541333516925329	0.794	0.402	0
86	Mono	UBE2J1	0	0.399118946872273	0.719	0.367	0
87	Mono	CALHM6	0	-0.576558625107943	0.103	0.424	0
88	Mono	VNN1	0	0.289821007272193	0.308	0.06	0
89	Mono	TNFAIP3	0	1.03341677272006	0.725	0.205	0
90	Mono	CITED2	0	0.431672254164594	0.492	0.215	0
91	Mono	FAM20C	0	0.265158709841025	0.305	0.064	0
92	Mono	ARL4A	0	1.1601785648594	0.859	0.32	0
93	Mono	AHR	0	0.850722268908751	0.856	0.328	0
94	Mono	HOXA9	0	0.456454846677041	0.343	0.005	0
95	Mono	HOXA10	0	0.267027374940233	0.225	0.005	0
96	Mono	CPVL	0	-0.640114625325154	0.244	0.61	0
97	Mono	TRGC2	0	0.375496585690981	0.306	0.004	0
98	Mono	HSPB1	0	0.602733641524087	0.517	0.099	0
99	Mono	CD36	0	0.386694050904892	0.822	0.504	0
100	Mono	SAMD9	0	0.336201019985859	0.414	0.13	0
101	Mono	AC007032.1	0	0.259269323327497	0.278	0.055	0
102	Mono	CCDC71L	0	0.326173526647135	0.393	0.115	0
103	Mono	CTSB	0	0.363286776976686	0.829	0.578	0
104	Mono	MSR1	0	0.547558747303165	0.4	0.044	0
105	Mono	PCM1	0	0.331816215562123	0.577	0.26	0
106	Mono	SLC25A37	0	0.435520345460557	0.739	0.384	0
107	Mono	PTK2B	0	0.35939890561353	0.609	0.274	0
108	Mono	CCDC25	0	0.294072776047389	0.368	0.099	0
109	Mono	AC026979.2	0	0.293280241014371	0.319	0.065	0
110	Mono	GOLGA7	0	0.404870982242673	0.534	0.173	0
111	Mono	CEBPD	0	0.343814428402199	0.899	0.871	0
112	Mono	SNHG6	0	0.36705840287732	0.86	0.576	0
113	Mono	FABP5	0	0.421170231740857	0.477	0.151	0
114	Mono	CA2	0	0.261138837760904	0.221	0.031	0
115	Mono	RIPK2	0	0.588724255997777	0.697	0.255	0
116	Mono	COX6C	0	0.323431309657747	0.836	0.603	0
117	Mono	TRIB1	0	0.592640520731871	0.723	0.312	0
118	Mono	PVT1	0	0.276839537607223	0.284	0.047	0
119	Mono	LY6E	0	1.02183367929479	0.801	0.321	0
120	Mono	PARP10	0	0.311585028807097	0.331	0.052	0
121	Mono	GRINA	0	0.450155149933163	0.697	0.316	0
122	Mono	PLIN2	0	0.812423312487605	0.766	0.267	0
123	Mono	ZFAND5	0	0.37603569475729	0.858	0.633	0
124	Mono	ANXA1	0	0.399014240516855	0.982	0.863	0
125	Mono	TLE1	0	0.273765895821734	0.24	0.02	0
126	Mono	CTSL	0	0.432138536944246	0.517	0.157	0
127	Mono	NFIL3	0	0.379577697338042	0.65	0.307	0
128	Mono	NINJ1	0	0.426422317110132	0.763	0.436	0
129	Mono	KLF4	0	0.386343732799873	0.764	0.487	0
130	Mono	TXN	0	0.504425325316539	0.848	0.565	0
131	Mono	HSPA5	0	0.48810973665665	0.824	0.519	0
132	Mono	FCN1	0	-0.515260347601312	0.752	0.959	0
133	Mono	MSRB2	0	0.307050215016668	0.474	0.183	0
134	Mono	OTUD1	0	0.435881693436375	0.665	0.33	0
135	Mono	MAP3K8	0	0.398609413194062	0.755	0.461	0
136	Mono	WASHC2A	0	0.31793628922463	0.356	0.087	0
137	Mono	DDIT4	0	0.789621280030026	0.651	0.187	0
138	Mono	ZNF503	0	0.480134754405076	0.4	0.074	0
139	Mono	IFIT2	0	0.379139785244223	0.309	0.069	0
140	Mono	IFIT3	0	0.526914379245474	0.404	0.052	0
141	Mono	OAT	0	0.412192179898552	0.484	0.135	0
142	Mono	IFITM3	0	0.68132946195372	0.747	0.465	0
