id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Ery	B|Gran	B|HSPC	B|Mono	B|T	DC|B	DC|DC	DC|Ery	DC|Gran	DC|HSPC	DC|Mono	DC|T	Ery|B	Ery|DC	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|T	Gran|B	Gran|DC	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|T	HSPC|B	HSPC|DC	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|T	Mono|B	Mono|DC	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|T	T|B	T|DC	T|Ery	T|Gran	T|HSPC	T|Mono	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.08	0.012	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.08	0.012	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.078	0.01	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.0	0.059	0.0	0.093	0.025	0.108	0.0	0.0	0.054	0.0	0.088	0.019	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.124	0.055	0.139	0.0	0.0	0.049	0.0	0.083	0.015	0.099	0.0	0.0	0.097	0.0	0.131	0.062	0.146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.0	0.061	0.0	0.095	0.026	0.11	0.0	0.0	0.274	0.0	0.308	0.239	0.323	0.0	0.0	0.397	0.0	0.431	0.363	0.447	0.0	0.0	0.285	0.0	0.319	0.25	0.334	0.0	0.0	0.209	0.0	0.243	0.175	0.259	0.0	0.0	0.273	0.0	0.307	0.238	0.322	0.0	0.0	0.081	0.0	0.115	0.046	0.13	0.0
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.081	0.012	0.096	0.0	0.0	0.047	0.0	0.081	0.013	0.096	0.0	0.0	0.05	0.0	0.084	0.015	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.081	0.013	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.093	0.024	0.108	0.0	0.0	0.044	0.0	0.078	0.01	0.094	0.0	0.0	0.05	0.0	0.084	0.016	0.1	0.0	0.0	0.067	0.0	0.101	0.033	0.116	0.0
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.0	0.017	0.0	0.026	0.0	0.031	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.129	0.0	0.133	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.054	0.0	0.058	0.073	0.0	0.005	0.0	0.014	0.0	0.018	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.0	0.116	0.0	0.125	0.0	0.13	0.144	0.0	0.469	0.0	0.478	0.0	0.482	0.496	0.0	0.23	0.0	0.239	0.0	0.244	0.258	0.0	0.573	0.0	0.582	0.0	0.586	0.6	0.0	0.318	0.0	0.327	0.0	0.332	0.346	0.0	0.458	0.0	0.467	0.0	0.471	0.486	0.0	0.078	0.0	0.087	0.0	0.092	0.106
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.017	0.0	0.022	0.036	0.0	0.008	0.0	0.017	0.0	0.021	0.035	0.0	0.005	0.0	0.014	0.0	0.018	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.102	0.0	0.111	0.0	0.116	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.084	0.0	0.089	0.103	0.0	0.049	0.0	0.058	0.0	0.062	0.076	0.0	0.054	0.0	0.063	0.0	0.067	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.0	0.117	0.0	0.122	0.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.061	0.0	0.066	0.08	0.0	0.078	0.0	0.087	0.0	0.092	0.106	0.0	0.136	0.0	0.145	0.0	0.149	0.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.0	0.151	0.0	0.16	0.0	0.165	0.179	0.0	0.16	0.0	0.169	0.0	0.174	0.188	0.0	0.138	0.0	0.147	0.0	0.151	0.166	0.0	0.12	0.0	0.129	0.0	0.133	0.147	0.0	0.127	0.0	0.136	0.0	0.141	0.155	0.0	0.134	0.0	0.143	0.0	0.147	0.162	0.0	0.331	0.0	0.34	0.0	0.344	0.358
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.019	0.0	0.023	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.0	0.093	0.0	0.102	0.0	0.107	0.121	0.0	0.143	0.0	0.152	0.0	0.156	0.171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.0	0.166	0.0	0.171	0.185	0.0	0.095	0.0	0.104	0.0	0.109	0.123	0.0	0.163	0.0	0.172	0.0	0.177	0.191	0.0	0.116	0.0	0.125	0.0	0.13	0.144
CPI-SS04D87448A	GNAI2_TSHR	simple:P04899	simple:P16473	GNAI2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.288	0.288	0.286	0.0	0.0	0.0	0.0	0.529	0.529	0.527	0.0	0.0	0.0	0.0	0.028	0.028	0.026	0.0	0.0	0.0	0.0	0.63	0.63	0.628	0.0	0.0	0.0	0.0	0.366	0.366	0.364	0.0	0.0	0.0	0.0	0.623	0.623	0.621	0.0	0.0	0.0	0.0	0.169	0.169	0.167	0.0
CPI-SS012FD886E	POMC_TSHR	simple:P01189	simple:P16473	POMC	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.016	0.016	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.118	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.043	0.041	0.0	0.0	0.0	0.0	0.004	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS010DF4808	AVP_TSHR	simple:P01185	simple:P16473	AVP	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.007	0.005	0.0	0.0	0.0	0.0	0.006	0.006	0.004	0.0	0.0	0.0	0.0	0.003	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FB2E9FF3	RLN2_TSHR	simple:P04090	simple:P16473	RLN2	TSHR	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.008	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
