id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Ery	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Ery|B	Ery|DC	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|DC	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.163	0.032	0.178	0.039	0.02	0.026	0.0	0.0	0.156	0.025	0.171	0.032	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.154	0.022	0.168	0.03	0.011
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.033	0.0	0.0	0.164	0.033	0.179	0.04	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.181	0.0	0.0	0.311	0.18	0.326	0.187	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.16	0.028	0.174	0.035	0.016	0.062	0.0	0.0	0.192	0.061	0.207	0.068	0.049	0.055	0.0	0.0	0.185	0.054	0.2	0.061	0.042	0.032	0.0	0.0	0.163	0.031	0.177	0.039	0.02
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.106	0.0	0.0	0.236	0.105	0.251	0.112	0.093	0.121	0.0	0.0	0.252	0.12	0.266	0.127	0.109	0.142	0.0	0.0	0.272	0.141	0.287	0.148	0.129	0.19	0.0	0.0	0.32	0.189	0.335	0.196	0.177	0.231	0.0	0.0	0.361	0.23	0.376	0.237	0.218	0.222	0.0	0.0	0.352	0.221	0.367	0.228	0.209	0.2	0.0	0.0	0.331	0.199	0.345	0.206	0.187	0.168	0.0	0.0	0.298	0.167	0.313	0.174	0.155
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.027	0.0	0.0	0.158	0.026	0.172	0.033	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.186	0.054	0.2	0.061	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.188	0.056	0.202	0.064	0.045	0.028	0.0	0.0	0.158	0.027	0.173	0.034	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.159	0.028	0.174	0.035	0.016
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.023	0.032	0.058	0.032	0.0	0.0	0.0	0.0	0.052	0.06	0.086	0.06	0.0	0.0	0.0	0.0	0.066	0.074	0.101	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.101	0.127	0.101	0.0	0.0	0.0	0.0	0.007	0.016	0.042	0.016	0.0	0.0	0.0	0.0	0.041	0.05	0.076	0.05	0.0	0.0	0.0	0.0	0.015	0.023	0.05	0.024
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.095	0.104	0.13	0.104	0.0	0.0	0.0	0.0	0.323	0.331	0.358	0.331	0.0	0.0	0.0	0.0	0.255	0.263	0.289	0.263	0.0	0.0	0.0	0.0	0.492	0.501	0.527	0.501	0.0	0.0	0.0	0.0	0.239	0.247	0.274	0.248	0.0	0.0	0.0	0.0	0.425	0.434	0.46	0.434	0.0	0.0	0.0	0.0	0.247	0.256	0.282	0.256	0.0	0.0	0.0	0.0	0.158	0.166	0.192	0.166
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.009	0.017	0.044	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116	0.125	0.151	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.016	0.042	0.016
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118	0.127	0.153	0.127	0.0	0.0	0.0	0.0	0.044	0.052	0.079	0.053	0.0	0.0	0.0	0.0	0.136	0.144	0.17	0.144	0.0	0.0	0.0	0.0	0.048	0.057	0.083	0.057	0.0	0.0	0.0	0.0	0.038	0.047	0.073	0.047	0.0	0.0	0.0	0.0	0.01	0.019	0.045	0.019	0.0	0.0	0.0	0.0	0.009	0.018	0.044	0.018
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.009	0.018	0.044	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.019	0.045	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.088	0.114	0.088	0.0	0.0	0.0	0.0	0.13	0.139	0.165	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.023	0.049	0.023
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.139	0.147	0.174	0.147	0.0	0.0	0.0	0.0	0.074	0.082	0.109	0.082	0.0	0.0	0.0	0.0	0.039	0.047	0.073	0.047	0.0	0.0	0.0	0.0	0.12	0.128	0.155	0.128	0.0	0.0	0.0	0.0	0.126	0.135	0.161	0.135	0.0	0.0	0.0	0.0	0.174	0.183	0.209	0.183	0.0	0.0	0.0	0.0	0.263	0.272	0.298	0.272	0.0	0.0	0.0	0.0	0.3	0.309	0.335	0.309
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.078	0.105	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.021	0.047	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.016	0.042	0.016
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.129	0.138	0.164	0.138	0.0	0.0	0.0	0.0	0.09	0.099	0.125	0.099	0.0	0.0	0.0	0.0	0.07	0.079	0.105	0.079	0.0	0.0	0.0	0.0	0.225	0.233	0.259	0.233	0.0	0.0	0.0	0.0	0.184	0.193	0.219	0.193	0.0	0.0	0.0	0.0	0.351	0.359	0.385	0.359	0.0	0.0	0.0	0.0	0.129	0.137	0.163	0.137	0.0	0.0	0.0	0.0	0.159	0.168	0.194	0.168
