"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"1","Mono:ACKR3_Mono:CXCR4","Mono","ACKR3","Mono","CXCR4",0.383286768300624,0,0.46709616608103,0
"2","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5",0.345333228510808,4.46606797573965e-239,NA,NA
"3","Mono:AREG_Mono:ICAM1","Mono","AREG","Mono","ICAM1",NA,NA,NA,NA
"4","Mono:CASP8_Mono:FAS","Mono","CASP8","Mono","FAS",NA,NA,NA,NA
"5","Mono:CCL3L1_Mono:CCR1","Mono","CCL3L1","Mono","CCR1",NA,NA,NA,NA
"6","Mono:CCR1_Mono:MBP","Mono","CCR1","Mono","MBP",NA,NA,NA,NA
"7","Mono:CCR1_Mono:PRNP","Mono","CCR1","Mono","PRNP",NA,NA,NA,NA
"8","Mono:CD14_Mono:ITGA4","Mono","CD14","Mono","ITGA4",NA,NA,NA,NA
"9","Mono:CD14_Mono:ITGB1","Mono","CD14","Mono","ITGB1",NA,NA,NA,NA
"10","Mono:CD14_Mono:ITGB2","Mono","CD14","Mono","ITGB2",NA,NA,NA,NA
"11","Mono:CD14_Mono:TLR4","Mono","CD14","Mono","TLR4",NA,NA,NA,NA
"12","Mono:CD36_Mono:TLR4","Mono","CD36","Mono","TLR4",0.386694050904892,0,NA,NA
"13","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10",-0.972317374516688,0,NA,NA
"14","Mono:CD53_Mono:CD37","Mono","CD53","Mono","CD37",0.331852530085835,1.46520245870582e-295,NA,NA
"15","Mono:CD82_Mono:CD37","Mono","CD82","Mono","CD37",NA,NA,NA,NA
"16","Mono:CD9_Mono:CD36","Mono","CD9","Mono","CD36",0.504201686688928,0,0.386694050904892,0
"17","Mono:HSP90B1_Mono:ASGR1","Mono","HSP90B1","Mono","ASGR1",NA,NA,NA,NA
"18","Mono:HSP90B1_Mono:LRP1","Mono","HSP90B1","Mono","LRP1",NA,NA,NA,NA
"19","Mono:HSP90B1_Mono:TLR2","Mono","HSP90B1","Mono","TLR2",NA,NA,NA,NA
"20","Mono:HSP90B1_Mono:TLR4","Mono","HSP90B1","Mono","TLR4",NA,NA,NA,NA
"21","Mono:HSPA4_Mono:TLR4","Mono","HSPA4","Mono","TLR4",NA,NA,NA,NA
"22","Mono:IRAK4_Mono:TLR4","Mono","IRAK4","Mono","TLR4",NA,NA,NA,NA
"23","Mono:LILRA6_Mono:CD300E","Mono","LILRA6","Mono","CD300E",NA,NA,NA,NA
"24","Mono:LILRB1_Mono:LILRA5","Mono","LILRB1","Mono","LILRA5",NA,NA,NA,NA
"25","Mono:LILRB4_Mono:LAIR1","Mono","LILRB4","Mono","LAIR1",0.466869163386197,0,0.315608111669688,0
"26","Mono:LMAN1_Mono:MCFD2","Mono","LMAN1","Mono","MCFD2",NA,NA,NA,NA
"27","Mono:LY86_Mono:CD180","Mono","LY86","Mono","CD180",NA,NA,NA,NA
"28","Mono:QDPR_Mono:DYSF","Mono","QDPR","Mono","DYSF",NA,NA,NA,NA
"29","Mono:RNASE2_Mono:TLR2","Mono","RNASE2","Mono","TLR2",1.01143102166043,0,NA,NA
"30","Mono:RPS19_Mono:C5AR1","Mono","RPS19","Mono","C5AR1",NA,NA,-0.31034783968139,6.73846326780424e-184
"31","Mono:S100A12_Mono:CD36","Mono","S100A12","Mono","CD36",NA,NA,0.386694050904892,0
"32","Mono:S100A12_Mono:TLR4","Mono","S100A12","Mono","TLR4",NA,NA,NA,NA
"33","Mono:S100A8_Mono:CD36","Mono","S100A8","Mono","CD36",NA,NA,0.386694050904892,0
"34","Mono:S100A8_Mono:CD68","Mono","S100A8","Mono","CD68",NA,NA,0.315646598785829,0
"35","Mono:S100A8_Mono:ITGB2","Mono","S100A8","Mono","ITGB2",NA,NA,NA,NA
"36","Mono:S100A8_Mono:TLR4","Mono","S100A8","Mono","TLR4",NA,NA,NA,NA
"37","Mono:S100A9_Mono:ALCAM","Mono","S100A9","Mono","ALCAM",NA,NA,NA,NA
"38","Mono:S100A9_Mono:CD36","Mono","S100A9","Mono","CD36",NA,NA,0.386694050904892,0
