,ID,community,CPDB,NicheNet
0,HPX,True,False,False
1,PAPLN,True,False,False
2,LILRA5,True,False,False
3,SIGLEC6,True,False,False
4,OSCAR,True,False,False
5,PF4V1,True,False,False
6,NOTCH1,True,True,True
7,CCL27,True,True,True
8,VIM,True,False,False
9,ITGAV,True,True,True
10,ENAM,True,False,False
11,GDF5,True,True,True
12,CEACAM1,True,True,True
13,PLB1,True,False,False
14,NUCB2,True,False,True
15,MMP15,True,False,False
16,WNT16,True,True,False
17,TGFBR2,True,True,True
18,THBS4,True,False,True
19,THBD,True,True,True
20,IL2RG,True,True,True
21,P2RX7,True,False,False
22,TACR1,True,True,True
23,AIMP1,True,True,True
24,NRTN,True,True,True
25,CISH,True,False,False
26,DERL1,False,False,True
27,OMD,False,True,False
28,HTR1F,True,True,True
29,MTNR1A,True,True,True
30,NELL2,True,True,False
31,COL18A1,True,True,True
32,BTN2A1,True,False,False
33,ITGA3,True,True,True
34,PCDHGB1,False,False,True
35,SCGB1A1,True,False,False
36,COL6A5,True,True,False
37,IFNLR1,True,True,True
38,CLCF1,True,True,True
39,SPX,True,True,False
40,CD1D,True,True,False
41,ARRB2,True,False,False
42,VCAN,True,False,False
43,CD6,True,True,True
44,LGALS3BP,True,False,False
45,AGTR1,True,True,True
46,ARMH4,True,False,False
47,ABCA7,False,False,True
48,AGRP,True,True,True
49,PIK3CB,False,False,True
50,BACE1,True,False,False
51,EDA2R,True,True,True
52,GRM4,True,False,True
53,KIR2DS2,True,False,False
54,CXCL6,True,True,True
55,SEMA3A,True,True,True
56,CACNA1C,True,False,False
57,NOG,True,False,False
58,SPTAN1,True,False,False
59,RPH3A,True,False,False
60,COL13A1,True,True,False
61,IFNAR1,True,True,True
62,CHRNA10,True,False,False
63,MGRN1,True,False,True
64,ENTPD1,True,True,False
65,CATSPER3,False,True,False
66,TP53,True,False,False
67,PLXND1,True,True,True
68,UNC5B,True,True,True
69,CD38,True,True,False
70,HCAR2,False,False,True
71,CD248,True,False,False
72,TNFRSF12A,True,True,True
73,COL6A6,True,True,False
74,BMP2,True,True,True
75,P2RY1,False,False,True
76,PLG,True,True,True
77,IL12B,True,True,True
78,NTRK3,True,True,True
79,IL10RA,True,True,True
80,DBH,False,True,False
81,VCAM1,True,True,True
82,SERPINA1,True,False,True
83,LRP3,True,False,False
84,AFDN,True,False,False
85,IL7R,True,True,True
86,HLA-DQB1,True,False,True
87,COL7A1,True,True,False
88,BCAM,True,False,False
89,CNTN1,True,True,True
90,APLP1,True,False,False
91,RYK,True,True,True
92,SLAMF6,True,False,False
93,HTR1D,True,True,True
94,MARCO,True,True,True
95,CD200R1,True,True,True
96,LOC101059948,True,False,False
97,ANXA1,True,True,True
98,GFRA4,True,True,True
99,MTNR1B,True,True,True
100,TMEM219,True,True,False
101,OPRM1,True,True,True
102,RXFP2,True,True,True
103,KCNA2,True,False,False
104,WNT5A,True,True,True
105,UTS2,True,True,True
106,TAS2R31,False,False,True
107,TLR3,True,False,False
108,DLK1,True,True,True
109,AGTR2,True,True,True
110,KCNA3,True,False,False
111,SLURP1,True,True,False
112,NPS,True,True,True
113,NEO1,True,False,True
114,C1QTNF5,True,False,False
115,FMOD,True,False,False
116,CCBE1,True,False,False
117,LAMA2,True,False,True
118,NFASC,True,False,True
119,CC2D2A,True,False,False
120,C1QTNF1,True,False,False
121,CD27,True,True,True
122,SSTR5,True,True,True
123,ITPR1,False,False,True
124,PIGA,True,False,False
125,GPR182,True,False,True
126,MILR1,True,False,False
127,TGM2,True,False,False
128,SLC7A1,True,True,False
129,PIK3R1,True,False,False
130,CD3D,True,False,True
131,TMEM167A,True,False,False
132,SIGLEC14,True,False,False
133,DHRS9,False,True,False
134,NPTX2,True,False,False
135,FAS,True,True,True
136,HPGDS,True,False,False
137,GPR143,False,True,False
138,PDE1A,True,False,True
139,IGFLR1,True,True,False
140,DKK3,True,False,False
141,NR1I2,False,True,False
142,HLA-DRA,True,False,True
143,CCR8,True,True,True
144,CCR4,True,True,True
145,UCN,True,True,True
146,SLC16A2,True,False,False
147,FKBP1B,False,False,True
148,SFRP2,True,True,True
149,CCL26,True,True,True
150,OXGR1,False,False,True
151,IHH,True,True,True
152,CLDN8,True,False,False
153,CHRNB1,True,False,False
154,CCL4L1,True,False,True
155,EFNB2,True,True,True
156,VLDLR,True,True,True
157,IGF2,True,True,True
158,IL20RA,True,True,True
159,LPAR4,True,False,True
160,NODAL,True,True,True
161,FGF17,True,True,True
162,TSPAN12,True,False,False
163,ITLN1,True,False,False
164,COL2A1,True,True,True
165,IL17C,True,True,True
166,DLL4,True,True,True
167,HHIP,True,True,True
168,HAPLN1,True,False,False
169,PNMT,False,True,False
170,PRSS1,True,False,False
171,OPRK1,True,True,True
172,MSR1,False,False,True
173,ALDH1A2,False,True,False
174,LYVE1,True,False,True
175,COL9A2,True,True,False
176,RSPO1,True,True,True
177,SLC16A7,True,False,False
178,EPHA4,True,True,True
179,SORT1,True,True,True
180,GPR52,False,False,True
181,CXCR5,True,True,True
182,PTN,True,True,True
183,COL11A2,True,True,False
184,ADIPOR1,True,True,True
185,SPON2,True,False,False
186,CXCL12,True,True,True
187,IGFBP5,True,False,False
188,DSG2,True,True,True
189,STX3,True,False,False
190,FGG,True,True,False
191,CANX,True,False,False
192,PLXNB2,True,True,True
193,KLRF2,True,True,False
194,CCL13,True,True,True
195,DLL1,True,True,True
196,C4B,True,False,False
197,GPR15,True,True,True
198,LAMP2,True,False,False
199,VANGL1,True,False,False
200,PLPP6,True,False,False
201,GPR37L1,True,True,True
202,PCDHA4,False,False,True
203,SSTR4,True,True,True
