,ID,community,CPDB,NicheNet
0,COL4A1_ITGB1,True,True,True
1,LHB_RAMP3,True,False,True
2,COL24A1_ITGA2,False,True,False
3,THBS1_SDC4,True,False,False
4,CRABP2_ALDH1A1,False,True,False
5,EGF_NRG1,False,True,False
6,COL6A2_ITGA11,True,True,False
7,CRH_ADRB3,True,False,True
8,COPA_SORT1,True,True,True
9,RARA_ALDH1A3,False,True,False
10,FGB_ITGB2,True,True,False
11,LAMC1_ITGA7,True,True,False
12,IGSF10_SLAMF9,True,False,False
13,HDC_HRH1,True,True,True
14,IHH_PTCH2,True,False,True
15,KMT2E_NCR2,True,False,False
16,PODXL2_SELL,True,True,True
17,CATSPER2_CATSPERB,False,True,False
18,COMP_CD36,True,False,True
19,CXCL13_GRM7,True,False,True
20,PLG_MELTF,True,False,False
21,CRISP2_CATSPER1,True,False,False
22,VIP_ADRB3,True,False,True
23,FGG_ITGB1,True,False,False
24,F11R_JAM2,False,False,True
25,SLIT2_APP,True,False,False
26,WNT3_SFRP5,False,True,False
27,POMC_ADRA2A,True,False,True
28,IL6_MUSK,True,False,False
29,CATSPER1_CATSPERB,False,True,False
30,WNT9B_LRP5,True,True,True
31,FLT1_KDR,True,False,False
32,ARTN_GFRA1,True,True,True
33,IGF1_ITGA6,False,True,False
34,PTHLH_VIPR1,True,False,True
35,PDCD1_PDCD1LG2,False,True,False
36,LAMA1_GPC1,True,False,True
37,CCL27_ACKR2,True,True,True
38,CXCL1_GRM7,True,False,False
39,FGG_TLR4,True,False,False
40,CALM1_GRM3,True,False,False
41,MMP7_CD44,True,False,False
42,CXCL5_GRM7,True,False,True
43,LAMC1_ITGA2,True,True,False
44,PLAT_LRP1,True,False,True
45,COL4A4_ITGA2,True,True,False
46,F11R_F11R,False,False,True
47,IL16_CD9,True,False,False
48,SEMA6D_TYROBP,True,False,False
49,WNT2_FZD6,True,True,False
50,NRG4_EGFR,True,False,True
51,ITGA6_ITGB4,False,True,False
52,HLA-G_LILRB1,True,True,True
53,ADCYAP1_ADCYAP1R1,True,True,True
54,WNT5B_SFRP2,False,True,False
55,ST6GAL1_EGFR,True,False,False
56,CXCL12_GRM7,True,False,True
57,IFNG_IFNGR2,True,True,True
58,PENK_OPRM1,True,True,True
59,OSM_IL6ST,True,True,True
60,SFRP2_WNT7A,True,True,False
61,IAPP_RAMP1,True,True,True
62,VEGFA_ITGB1,True,False,False
63,FGB_TLR4,True,False,False
64,SPON2_ITGA5,True,False,False
65,COPA_NTSR2,False,False,True
66,TNF_SEMA4C,True,True,False
67,CCL11_CCR3,True,True,True
68,SPON2_ITGB1,True,False,False
69,GNAS_ADCY9,True,False,False
70,CALCA_RAMP1,True,True,True
71,RLN1_AR,False,True,True
72,INHBA_ACVR1C,True,True,True
73,PSG7_DSCAM,True,False,False
74,IFNE_IFNAR1,True,True,True
75,WIF1_WNT3A,True,True,False
76,EFNB2_EPHB1,True,True,True
77,FN1_C5AR1,True,False,False
78,EFNA4_EPHA3,True,True,True
79,PSG7_DCC,True,False,False
80,COL1A1_ITGA2,True,True,True
81,SLURP1_CHRNB4,True,False,False
82,PSPN_RET,True,False,True
83,GHRH_RAMP3,True,False,True
84,NPY_NPY4R,True,False,True
85,FAM19A1_GPR1,False,True,False
86,WNT16_FZD3,True,True,False
87,LAMA1_RPSA,True,False,True
88,WNT3A_LRP6,True,True,True
89,EFNA4_EPHA7,True,True,True
90,MMRN2_CD248,True,False,False
91,WNT2_SFRP1,True,True,True
92,WNT10A_FRZB,False,True,False
93,LEFTY2_ACVR2A,True,False,True
94,L1CAM_CNTN1,True,False,True
95,LIFR_IL6ST,True,False,False
96,UBASH3B_PPARA,False,True,False
97,TDGF1_LEFTY1,False,True,False
98,FSHB_PTH1R,True,False,True
99,CD14_RIPK1,True,False,False
100,HSD3B1_CATSPER1,False,True,False
101,SPP1_CD44,True,True,True
