Elapsed_time,CPU,Real_MB,Virtual_MB
1.013,90.8,69.938,9457.906
2.034,81.3,124.398,9511.793
3.054,98.0,172.586,9560.242
4.074,99.1,172.633,9560.242
5.094,96.1,172.633,9560.242
6.113,96.1,172.633,9560.242
7.133,97.1,172.633,9560.242
8.152,97.1,172.633,9560.242
9.172,99.1,261.574,10675.113
10.192,101.3,841.605,11794.781
11.211,101.3,1553.527,12524.223
12.231,100.0,1576.859,12523.719
13.251,100.0,1615.117,12523.719
14.27,100.0,1956.871,12840.203
15.29,100.0,1928.238,12713.609
16.31,99.1,1965.512,12747.902
17.329,99.1,2231.215,13013.074
18.349,101.0,2401.363,13182.262
19.369,100.0,2404.883,13184.477
20.388,100.0,2533.379,13312.875
21.408,100.0,2589.152,13368.645
22.428,100.0,2465.613,13245.168
23.448,100.0,2465.785,13245.168
24.467,100.0,2465.785,13245.168
25.487,100.0,2465.785,13245.168
26.507,100.0,2465.785,13245.168
27.526,100.0,2408.68,13188.062
28.546,100.0,2408.68,13188.062
29.566,100.0,2408.68,13188.062
30.585,100.0,2408.68,13188.062
31.605,101.0,2408.68,13188.062
32.624,99.1,2409.383,13189.414
33.644,99.1,2409.473,13189.414
34.664,101.0,2409.488,13189.41
35.683,101.3,2413.449,13423.621
36.703,101.3,2413.543,13423.621
37.72,100.3,2413.547,13423.621
38.735,100.4,2413.582,13423.621
39.749,99.7,2413.645,13423.621
40.766,100.3,2413.645,13423.621
41.783,100.3,2413.645,13423.621
42.8,99.3,2413.645,13423.621
43.817,101.2,2413.645,13423.621
44.834,99.3,2413.645,13423.621
45.851,100.3,2413.645,13423.621
46.868,100.3,2413.645,13423.621
47.885,99.3,2413.645,13423.621
48.902,100.3,2413.645,13423.621
49.919,100.3,2413.645,13423.621
50.936,100.3,2413.645,13423.621
51.953,99.3,2413.645,13423.621
52.97,100.3,2413.645,13423.621
53.987,100.3,2413.645,13423.621
55.004,100.3,2413.645,13423.621
56.02,99.4,2413.645,13423.621
57.037,100.3,2413.645,13423.621
58.055,100.3,2413.645,13423.621
59.071,100.3,2413.645,13423.621
60.089,100.3,2413.785,13423.617
