Elapsed_time,CPU,Real_MB,Virtual_MB
1.011,100.0,127.613,9450.41
2.03,97.1,207.75,9531.637
3.051,95.1,227.586,9551.746
4.07,92.2,315.227,9640.145
5.091,88.1,336.379,9668.895
6.112,87.2,360.062,9694.465
7.133,84.2,367.547,9763.621
8.153,99.0,397.027,9793.117
9.173,99.0,406.539,9802.781
10.193,99.1,406.57,9802.781
11.212,100.1,406.57,9802.781
12.232,99.0,406.57,9802.781
13.252,99.0,425.441,9822.109
14.273,100.0,425.656,9822.109
15.293,99.0,425.656,9822.109
16.313,99.0,425.656,9822.109
17.333,100.0,425.656,9822.109
18.353,99.0,425.656,9822.109
19.373,99.0,425.656,9822.109
20.394,100.0,425.656,9822.109
21.414,99.0,425.656,9822.109
22.434,99.0,425.656,9822.109
23.454,100.0,425.656,9822.109
24.474,99.0,425.656,9822.109
25.494,99.0,425.656,9822.109
26.515,100.0,425.656,9822.109
27.535,99.0,425.656,9822.109
28.555,100.0,425.656,9822.109
29.575,99.0,442.164,13505.922
30.595,99.0,574.406,13505.922
31.615,100.0,738.852,13576.922
32.635,101.0,750.059,13865.922
33.655,100.0,773.512,14464.922
34.675,100.0,821.973,15707.922
35.696,101.3,4819.805,21095.215
36.713,101.3,2971.316,14403.648
37.733,101.0,3692.969,15157.648
38.753,99.9,5212.0,16744.648
39.773,99.0,5493.547,17027.777
40.794,99.9,6843.043,19495.473
41.814,101.0,8461.84,21963.672
42.834,99.0,10429.465,21963.672
43.854,101.0,11823.242,25665.973
44.874,100.0,14137.023,25665.973
45.894,100.0,14181.137,25665.973
46.915,100.0,14666.938,26900.074
47.935,101.0,15384.938,26900.074
48.955,99.0,11827.551,24431.879
49.975,100.0,12545.551,24431.879
50.995,101.0,14095.891,26900.082
52.016,100.0,15412.141,26900.082
53.036,100.0,15412.656,26900.082
54.056,100.0,15413.172,26900.082
55.076,100.0,15413.688,26900.082
56.096,100.0,15413.945,26900.082
57.116,100.0,15414.461,26900.082
58.136,100.0,15414.977,26900.082
59.156,101.0,15415.492,26900.082
60.176,100.0,15415.75,26900.082
61.195,99.1,17094.062,29368.285
62.215,101.0,17882.348,29368.285
63.235,100.0,17882.605,29368.285
64.255,100.0,17882.863,29368.285
65.275,100.0,17883.121,29368.285
66.295,100.0,17883.121,29368.285
67.315,100.0,17883.379,29368.285
68.335,100.0,17883.637,29368.285
69.355,100.0,17883.895,29368.285
70.375,100.0,15415.969,26900.082
71.395,100.0,15418.602,26900.082
72.415,101.0,15939.961,27421.168
73.436,99.0,15371.43,26881.848
74.456,100.0,16095.188,27576.629
75.476,100.0,16376.617,27924.02
76.496,100.9,16443.605,27924.02
77.516,100.0,16720.559,28197.301
78.536,100.0,11534.93,23013.09
79.556,100.0,11536.219,23013.09
80.577,100.0,11845.68,23323.426
81.596,100.1,11722.023,23199.238
82.616,100.0,12225.727,23701.797
83.636,100.9,13527.055,25129.461
84.657,99.0,14016.836,25843.293
85.677,100.0,14269.074,25843.297
86.697,101.0,14843.453,26319.188
87.717,100.0,14844.227,26319.188
88.737,100.0,15317.883,26795.078
89.757,100.0,15319.945,26795.078
90.777,100.0,15359.488,26848.996
91.797,100.0,15906.738,27378.809
92.817,101.0,16170.547,27643.715
93.837,99.0,16269.656,27800.789
94.858,100.0,13477.777,24949.781
95.878,100.0,13477.945,24949.781
96.898,101.0,14191.805,25663.621
97.919,99.9,14454.5,25926.238
98.939,99.9,14707.738,26179.473
99.96,100.0,15078.844,26550.984
100.98,100.0,15490.867,26964.723
102.001,100.9,15738.848,27201.145
103.021,100.0,16295.688,27758.812
104.041,99.0,16614.172,29774.621
105.061,100.9,16597.246,28092.457
106.082,99.9,16069.523,29373.992
107.102,100.0,18403.246,30014.762
108.123,100.0,14984.367,26432.02
109.143,100.0,15624.969,27072.789
110.163,100.0,16821.738,28354.328
111.183,100.0,18185.258,29635.867
112.203,100.0,18186.031,29635.867
113.223,101.0,18186.547,29635.867
114.243,100.0,18187.32,29635.867
115.263,100.0,18188.094,29635.867
116.283,100.0,18188.285,29635.867
117.303,99.0,18423.059,29875.234
118.323,100.0,18424.348,29875.234
119.343,100.9,18425.379,29875.234
120.364,100.0,18426.41,29875.234
121.384,101.0,18427.441,29875.234
122.404,99.0,17146.113,28593.695
123.424,101.0,18038.359,30497.711
124.444,100.0,20486.008,32365.148
125.464,99.0,16390.754,27879.766
126.484,101.0,17541.562,29124.727
127.504,100.0,18921.25,30369.688
128.525,100.0,18921.379,30369.688
129.545,100.0,18921.637,30369.688
130.565,100.0,18921.895,30369.688
131.585,100.0,18922.152,30369.688
132.605,100.0,20126.32,31614.648
133.626,99.9,20164.82,31614.648
134.646,100.0,20165.594,31614.648
135.666,100.0,20166.109,31614.648
136.686,100.0,20166.625,31614.648
137.706,101.0,18922.184,30369.688
138.726,100.0,19877.785,32273.703
139.746,100.0,16232.93,28770.09
140.766,100.0,15455.148,26902.652
141.786,100.0,16101.727,27612.062
142.807,101.0,16479.023,27927.359
143.827,99.0,16870.328,28319.141
144.847,100.0,17188.703,28765.281
145.867,100.0,17135.09,28569.891
146.887,100.0,17135.09,28569.891
147.905,100.2,17135.09,28569.891
148.922,99.3,17135.09,28569.891
149.94,99.3,17135.09,28569.891
150.957,100.2,17135.09,28569.891
151.974,99.3,17135.09,28569.891
152.992,100.2,17135.09,28569.891
154.009,99.3,17135.09,28569.891
155.028,100.2,17135.09,28569.891
156.045,100.2,17135.09,28569.891
157.063,99.3,17135.09,28569.891
158.08,100.2,17141.129,28569.891
159.099,99.2,17141.129,28569.891
160.116,98.3,17141.129,28569.891
161.134,100.2,17141.129,28569.891
162.151,99.3,17141.129,28569.891
163.169,100.2,17141.129,28569.891
164.186,100.3,17141.129,28569.891
165.202,99.4,17141.129,28569.891
166.22,100.2,17147.832,28569.891
167.238,99.1,17147.832,28569.891
168.256,100.2,17147.832,28569.891
169.273,99.3,17147.832,28569.891
170.291,98.3,17147.832,28569.891
171.309,100.2,17147.832,28569.891
172.326,100.2,17147.832,28569.891
173.344,99.2,17147.832,28569.891
174.361,99.3,17147.832,28569.891
175.379,101.2,17147.832,28569.891
176.397,99.3,17147.832,28569.891
177.414,99.3,17147.832,28569.891
178.432,100.2,17147.691,28569.891
179.45,100.2,17147.91,28569.891
180.467,99.3,17147.91,28569.891
181.485,99.3,17147.91,28569.891
182.502,100.3,17147.91,28569.891
183.519,99.2,17149.039,28569.891
184.539,100.0,17149.039,28569.891
185.557,100.2,17149.039,28569.891
186.575,99.2,17149.039,28569.891
187.592,99.3,17149.039,28569.891
188.61,101.2,17149.039,28569.891
189.628,99.3,17149.039,28569.891
190.646,99.3,17149.039,28569.891
191.663,100.2,17149.039,28569.891
192.681,99.3,17149.039,28569.891
193.699,100.2,17149.039,28569.891
194.716,100.2,17149.039,28569.891
195.734,99.3,17149.039,28569.891
196.751,99.3,17149.039,28569.891
197.769,100.3,17149.039,28569.891
198.786,100.2,17149.039,28569.891
199.804,99.2,17149.039,28569.891
200.821,99.3,17149.039,28569.891
201.839,101.2,17149.039,28569.891
202.857,99.3,17149.039,28569.891
203.874,100.2,17149.039,28569.891
204.892,99.3,17149.039,28569.891
205.909,100.2,17149.039,28569.891
206.926,99.3,17149.039,28569.891
207.944,99.2,17149.039,28569.891
208.962,100.3,17149.039,28569.891
209.979,100.2,17149.039,28569.891
210.997,99.3,17149.039,28569.891
212.014,98.3,17154.871,28569.891
213.034,100.0,17154.871,28569.891
214.052,100.2,17154.871,28569.891
215.069,99.2,17154.871,28569.891
216.087,100.2,17154.871,28569.891
217.105,99.2,17154.871,28569.891
218.122,100.2,17154.871,28569.891
219.14,100.2,17154.871,28569.891
220.157,99.3,17154.871,28569.891
221.175,100.2,17154.871,28569.891
222.191,99.4,17154.871,28569.891
223.207,99.4,17154.871,28569.891
224.225,100.2,17154.871,28569.891
225.243,99.3,17154.871,28569.891
226.26,100.2,17154.871,28569.891
227.278,100.2,17154.871,28569.891
228.295,99.3,17154.871,28569.891
229.313,99.3,17154.871,28569.891
230.33,98.3,17157.348,28569.891
231.35,99.1,17157.348,28569.891
232.367,100.2,17157.348,28569.891
233.385,99.3,17157.348,28569.891
234.402,100.2,17157.348,28569.891
235.42,99.2,17157.348,28569.891
236.437,99.3,17157.348,28569.891
237.455,101.2,17157.348,28569.891
238.472,99.3,17157.348,28569.891
239.49,99.3,17157.348,28569.891
240.507,101.2,17157.348,28569.891
241.525,98.3,17159.121,28569.891
242.544,98.1,17159.121,28569.891
243.562,100.2,17159.121,28569.891
244.579,99.3,17159.121,28569.891
245.597,99.2,17159.121,28569.891
246.614,100.2,17159.121,28569.891
247.632,99.3,17159.121,28569.891
248.65,100.2,17175.0,28569.891
249.67,99.0,17186.109,28569.891
250.69,100.0,17186.109,28569.891
251.707,100.2,17186.109,28569.891
252.725,99.2,17186.109,28569.891
253.743,100.2,17186.109,28569.891
254.76,100.2,17186.109,28569.891
255.778,99.3,17186.109,28569.891
256.795,100.2,17186.109,28569.891
257.813,99.3,17186.109,28569.891
258.831,100.2,17186.109,28569.891
259.848,100.2,17186.109,28569.891
260.866,99.3,17186.109,28569.891
261.883,99.3,17186.109,28569.891
262.901,99.3,17186.109,28569.891
263.918,101.2,17186.109,28569.891
264.936,99.3,17186.109,28569.891
265.954,100.1,17186.109,28569.891
266.972,99.3,17186.109,28569.891
267.989,99.3,17186.109,28569.891
269.007,101.2,17186.109,28569.891
270.025,99.3,17186.109,28569.891
271.042,99.3,17186.109,28569.891
272.06,99.3,17186.109,28569.891
273.077,101.2,17186.109,28569.891
274.095,99.3,17186.109,28569.891
275.112,99.3,17186.109,28569.891
276.13,100.2,17186.109,28569.891
277.147,99.3,17186.109,28569.891
278.165,100.3,17186.109,28569.891
279.182,99.3,17186.109,28569.891
280.198,100.4,17186.109,28569.891
281.216,100.2,17186.109,28569.891
282.234,99.3,17186.109,28569.891
283.251,100.2,17186.109,28569.891
284.269,100.2,17186.109,28569.891
285.286,99.3,17186.109,28569.891
286.304,99.3,17186.109,28569.891
287.321,100.3,17186.109,28569.891
288.338,100.2,17186.109,28569.891
289.356,99.3,17186.109,28569.891
290.373,99.3,17186.109,28569.891
291.391,100.2,16051.605,27430.449
292.411,99.0,16051.605,27430.449
293.429,100.2,16051.605,27430.449
294.446,100.2,16051.605,27430.449
295.464,99.3,16051.605,27430.449
296.481,99.3,16051.605,27430.449
297.499,99.3,16051.605,27430.449
298.516,101.2,16051.605,27430.449
299.534,99.2,16051.605,27430.449
300.552,99.3,16051.605,27430.449
301.569,100.2,16051.605,27430.449
302.587,99.2,16051.605,27430.449
303.605,100.2,16051.605,27430.449
304.622,100.2,16051.605,27430.449
305.64,99.3,16051.605,27430.449
306.658,100.2,16051.605,27430.449
307.675,99.3,16051.605,27430.449
308.693,100.2,16051.605,27430.449
309.71,99.3,16051.605,27430.449
310.728,100.2,16051.605,27430.449
311.745,99.3,16051.605,27430.449
312.763,100.2,16051.605,27430.449
313.78,99.3,16051.605,27430.449
314.798,100.2,16051.605,27430.449
315.815,100.2,16051.605,27430.449
316.833,99.3,16051.605,27430.449
317.85,100.2,16051.605,27430.449
318.868,99.2,16051.605,27430.449
319.886,100.2,16051.605,27430.449
320.903,99.3,16051.605,27430.449
321.92,100.3,16051.605,27430.449
322.938,99.3,16051.605,27430.449
323.956,98.3,16093.305,27430.449
324.976,99.0,16093.488,27430.449
325.993,100.2,16093.488,27430.449
327.011,99.3,16093.488,27430.449
328.028,100.2,16093.488,27430.449
329.046,100.2,16093.488,27430.449
330.064,99.3,16093.488,27430.449
331.081,99.3,16093.488,27430.449
332.099,100.2,16093.488,27430.449
333.116,99.3,16093.488,27430.449
334.134,100.2,16093.488,27430.449
335.152,100.2,16093.488,27430.449
336.169,99.3,16093.488,27430.449
337.186,100.3,16093.488,27430.449
338.202,99.4,16093.488,27430.449
339.22,100.2,16093.488,27430.449
340.238,99.3,16093.488,27430.449
341.255,99.3,16093.488,27430.449
342.273,100.2,16093.488,27430.449
343.291,100.2,16093.488,27430.449
344.308,100.2,16093.488,27430.449
345.326,99.2,16093.488,27430.449
346.343,99.2,16093.488,27430.449
347.361,100.2,16093.488,27430.449
348.379,100.2,16093.488,27430.449
349.396,99.2,16093.488,27430.449
350.414,99.2,16093.488,27430.449
351.432,100.2,16093.488,27430.449
352.449,100.2,16093.488,27430.449
353.467,100.2,16093.488,27430.449
354.485,99.3,16093.488,27430.449
355.502,99.2,16093.488,27430.449
356.52,100.2,16093.488,27430.449
357.538,99.3,16093.488,27430.449
358.555,100.2,16093.488,27430.449
359.573,100.3,16093.488,27430.449
360.59,99.3,16093.488,27430.449
361.608,100.2,16093.488,27430.449
362.626,99.2,16093.488,27430.449
363.644,100.2,16093.488,27430.449
364.661,100.2,16093.488,27430.449
365.679,99.2,16093.488,27430.449
366.697,100.2,16093.488,27430.449
367.714,99.2,16093.488,27430.449
368.732,99.3,16093.488,27430.449
369.75,100.2,16093.488,27430.449
370.767,100.2,16093.488,27430.449
371.785,99.3,16093.488,27430.449
372.802,100.2,16093.488,27430.449
373.82,99.2,16093.488,27430.449
374.838,100.2,16093.488,27430.449
375.855,100.2,16093.488,27430.449
376.873,99.3,16093.488,27430.449
377.89,99.3,16093.488,27430.449
378.908,99.2,16093.488,27430.449
379.926,101.2,16093.488,27430.449
380.943,99.3,16093.488,27430.449
381.961,99.3,16093.488,27430.449
382.978,99.2,16093.488,27430.449
383.996,101.2,16093.488,27430.449
385.014,99.3,16093.488,27430.449
386.031,99.2,16093.488,27430.449
387.049,99.3,16093.488,27430.449
388.067,100.2,16093.488,27430.449
389.084,100.2,16093.488,27430.449
390.102,100.3,16093.488,27430.449
391.119,99.2,16093.488,27430.449
392.137,100.2,16093.488,27430.449
393.154,99.3,16093.488,27430.449
394.172,99.3,16093.488,27430.449
395.188,100.4,16093.488,27430.449
396.205,100.3,16093.488,27430.449
397.222,99.3,16093.488,27430.449
398.24,99.2,16093.488,27430.449
399.258,100.2,16093.488,27430.449
400.275,100.2,16093.488,27430.449
401.293,99.3,16093.488,27430.449
402.31,100.2,16093.488,27430.449
403.328,100.2,16093.488,27430.449
404.346,99.3,16113.969,27430.449
405.366,100.0,16121.91,27430.449
406.385,99.0,16121.91,27430.449
407.403,100.2,16121.91,27430.449
408.421,99.3,16121.91,27430.449
409.438,100.2,16121.91,27430.449
410.456,99.3,16121.91,27430.449
411.473,100.2,16121.91,27430.449
412.491,100.2,16121.91,27430.449
413.508,99.3,16121.91,27430.449
414.526,99.3,16121.91,27430.449
415.544,100.2,16121.91,27430.449
416.561,99.3,16121.91,27430.449
417.579,101.2,16121.91,27430.449
418.596,99.3,16121.91,27430.449
419.614,99.3,16121.91,27430.449
420.631,100.2,16121.91,27430.449
421.649,99.3,16121.91,27430.449
422.667,100.2,16121.91,27430.449
423.685,99.3,16121.91,27430.449
424.702,100.2,16121.91,27430.449
425.72,100.2,16121.91,27430.449
426.737,99.3,16121.91,27430.449
427.755,100.2,16121.91,27430.449
428.773,99.3,16121.91,27430.449
429.79,100.2,16121.91,27430.449
430.808,100.2,16121.91,27430.449
431.825,99.2,16121.91,27430.449
432.843,99.3,16121.91,27430.449
433.86,101.2,16121.91,27430.449
434.878,99.3,16121.91,27430.449
435.895,99.3,16121.91,27430.449
436.913,100.2,16121.91,27430.449
437.931,99.3,16121.91,27430.449
438.948,100.2,16121.91,27430.449
439.965,100.2,16121.91,27430.449
440.983,99.3,16121.91,27430.449
442.0,99.3,16121.91,27430.449
443.018,100.2,16121.91,27430.449
444.036,100.2,16121.91,27430.449
445.053,99.3,16121.91,27430.449
446.071,99.3,16121.91,27430.449
447.088,101.2,16121.91,27430.449
448.106,99.3,16121.91,27430.449
449.123,99.3,16121.91,27430.449
450.141,99.3,16141.473,27430.449
451.161,99.0,16141.828,27430.449
452.178,99.3,16141.828,27430.449
453.195,100.4,16141.828,27430.449
454.212,100.2,16141.828,27430.449
455.23,99.3,16141.828,27430.449
456.247,99.3,16141.828,27430.449
457.265,100.2,16141.828,27430.449
458.282,99.3,16141.828,27430.449
459.3,100.2,16141.828,27430.449
460.317,99.3,16141.828,27430.449
461.335,100.2,16141.828,27430.449
462.352,100.2,16141.828,27430.449
463.37,99.2,16141.828,27430.449
464.387,100.3,16141.828,27430.449
465.405,99.3,16141.828,27430.449
466.423,100.2,16141.828,27430.449
467.441,100.2,16141.828,27430.449
468.459,99.3,16141.828,27430.449
469.476,99.3,16141.828,27430.449
470.493,101.2,16141.828,27430.449
471.511,99.3,16141.828,27430.449
472.529,99.3,16141.828,27430.449
473.546,99.3,16141.828,27430.449
474.564,100.2,16141.828,27430.449
475.581,100.2,16141.828,27430.449
476.599,100.2,16141.828,27430.449
477.616,100.2,16141.828,27430.449
478.634,99.3,16141.828,27430.449
479.651,99.3,16141.828,27430.449
480.669,100.2,16141.828,27430.449
481.686,99.3,16141.828,27430.449
482.704,100.2,16141.828,27430.449
483.722,99.3,16141.828,27430.449
484.74,100.2,16141.828,27430.449
485.757,100.2,16141.828,27430.449
486.775,99.3,16141.828,27430.449
487.792,100.2,16141.828,27430.449
488.81,95.3,16141.336,27429.961
489.83,36.3,16201.129,64388.883
490.851,0.0,16174.453,27914.68
491.872,0.0,16174.453,27914.68
492.89,0.0,16183.594,27981.195
493.91,101.3,16284.641,38519.555
494.931,77.4,16349.035,38745.652
495.951,98.9,16402.57,38798.652
496.972,98.9,16556.227,38936.398
497.993,99.9,16560.48,38939.711
499.014,99.9,16593.246,38972.258
500.035,0.0,16233.371,36211.895
501.049,101.3,16300.355,38696.027
502.07,88.2,16365.562,38767.402
503.091,97.9,16473.434,38852.641
504.112,100.2,16473.523,38852.641
505.13,100.9,16424.203,38803.074
506.151,0.0,16256.656,38431.754
507.182,101.3,16330.824,38740.402
508.202,99.9,16388.551,38790.652
509.223,97.3,16541.051,38922.262
510.24,100.9,16549.844,38931.121
511.261,99.9,16581.949,38962.926
512.281,0.0,16204.43,36131.586
513.301,101.3,16274.074,38599.777
514.322,81.3,16346.496,38762.906
515.342,98.0,16406.367,38798.156
516.363,100.0,16421.148,38811.781
517.383,0.0,16194.168,36174.324
518.411,101.3,16316.039,38582.32
519.429,81.3,16356.676,38744.402
520.45,99.9,16408.191,38796.152
521.471,98.9,16458.805,38845.652
522.492,99.9,16509.746,38897.402
523.513,98.9,16560.387,38948.152
524.534,99.8,17013.234,39380.75
525.556,99.9,16945.898,39312.34
526.577,99.9,17019.051,39385.145
527.598,0.0,16180.133,27933.281
528.621,101.3,16294.996,38494.555
529.635,79.3,16332.988,38745.652
530.656,98.9,16384.98,38798.402
531.677,98.9,16437.102,38849.902
532.698,99.9,16675.656,39062.418
533.719,98.9,16688.188,39075.129
534.74,98.9,16733.246,39119.629
535.761,0.0,16207.406,36183.582
536.781,101.3,16290.453,38582.949
537.802,81.3,16345.324,38755.031
538.822,99.0,16398.398,38808.031
539.843,98.9,16532.797,38920.805
540.863,100.0,16559.672,38948.297
541.883,98.0,16173.898,27809.309
542.904,0.0,16277.742,38453.617
543.925,74.5,16332.547,38734.398
544.946,98.9,16425.117,38827.898
545.967,98.9,16460.676,38839.023
546.988,100.0,16480.102,38858.391
548.008,0.0,16224.027,36177.598
549.031,101.3,16305.879,38582.953
550.052,82.3,16356.488,38754.785
551.073,99.9,16408.082,38806.535
552.094,98.9,16457.793,38856.035
553.115,99.9,16509.648,38907.785
554.136,98.9,16558.738,38957.285
555.157,99.9,16611.379,39009.035
556.178,99.0,16660.684,39058.535
557.198,98.8,17172.102,39552.945
558.22,98.9,17199.359,39580.172
559.241,100.8,17304.184,39685.336
560.262,99.9,16850.215,39230.406
561.284,0.0,16271.238,38411.02
562.317,101.3,16324.184,38718.648
563.333,97.9,16382.758,38779.148
564.354,99.9,16433.074,38828.898
565.375,98.9,16482.746,38878.398
566.396,99.9,16532.723,38929.148
567.417,98.9,16583.668,38979.648
568.438,98.7,17090.816,39470.469
569.461,100.1,17015.68,39392.852
570.48,99.9,17099.965,39476.727
571.501,0.0,16182.887,27935.66
572.524,101.3,16290.219,38526.406
573.545,78.4,16349.477,38747.031
574.566,99.9,16392.93,38790.031
575.587,99.9,16437.699,38833.031
576.608,97.9,16480.852,38876.031
577.629,100.9,16524.008,38919.031
578.651,98.9,16567.16,38962.031
579.672,99.9,16609.828,39005.031
580.693,99.9,16652.641,39048.031
581.714,98.9,16695.988,39091.031
582.735,99.9,16739.656,39135.031
583.756,98.9,16783.07,39178.031
584.777,98.9,16826.738,39222.031
585.798,99.9,16870.234,39265.281
586.819,99.9,16913.59,39309.281
587.84,98.9,16957.02,39352.281
588.861,99.9,17000.703,39396.281
589.882,98.9,17042.566,39437.531
590.903,100.9,17030.605,39407.531
591.924,97.9,17997.223,40416.715
592.945,99.9,17950.91,40325.832
593.966,100.9,18077.082,40478.383
594.987,98.9,17100.836,39475.09
596.009,0.0,16235.902,36256.879
597.03,101.3,16310.395,38688.32
598.044,93.0,16382.871,38783.148
599.065,100.9,16434.508,38834.898
600.087,98.9,16486.531,38886.398
601.108,98.9,16536.551,38937.148
602.129,99.8,16587.852,38987.648
603.151,98.9,16638.555,39038.398
604.172,100.0,16689.613,39090.148
605.192,97.9,17254.555,39636.676
606.213,99.9,17284.133,39666.426
607.234,100.8,17330.355,39712.594
608.256,98.9,17235.891,39617.387
609.277,0.0,16242.461,36250.73
610.298,101.3,16309.461,38773.273
611.319,93.0,16370.043,38780.035
612.34,98.9,16419.547,38829.535
613.362,98.9,16468.438,38878.035
614.383,98.9,16517.852,38927.785
615.404,100.9,16567.609,38977.285
616.425,99.9,16617.164,39026.785
617.446,98.9,17101.699,39488.801
618.468,98.9,17127.297,39514.004
619.489,100.8,17222.566,39609.66
620.51,98.9,16804.109,39190.375
