Elapsed_time,CPU,Real_MB,Virtual_MB
1.014,95.7,125.633,9450.414
2.033,98.1,205.699,9531.406
3.053,94.2,225.012,9550.75
4.072,94.2,264.07,9591.562
5.092,89.2,330.176,9663.812
6.112,88.2,356.141,9692.465
7.132,83.3,358.594,9758.621
8.152,81.4,368.645,9771.676
9.17,67.8,372.957,9781.035
10.19,84.4,373.211,9781.035
11.209,70.6,405.234,9812.668
12.228,72.6,469.039,9876.703
13.248,85.3,530.277,9938.02
14.267,100.0,558.68,9967.012
15.287,99.1,558.934,9967.012
16.306,100.1,577.809,9986.34
17.326,100.0,577.809,9986.34
18.345,99.1,577.809,9986.34
19.365,100.0,588.379,11625.562
20.385,100.0,687.703,11654.562
21.404,100.0,691.57,11763.562
22.424,100.0,700.594,12022.562
23.444,100.0,716.32,12469.562
24.464,100.0,743.648,13243.562
25.483,100.1,772.008,14050.562
26.501,101.3,4891.309,19952.949
27.518,101.3,3789.434,15371.891
28.537,101.0,4807.02,16422.891
29.557,99.0,6117.988,17775.891
30.577,100.0,6391.648,18190.902
31.597,99.1,6540.84,18190.402
32.617,100.0,7856.004,20996.141
33.636,101.0,9346.758,20996.141
34.656,99.0,9722.031,21447.523
35.676,100.0,9818.723,21447.523
36.696,100.0,7447.031,19118.086
37.716,101.0,7832.234,19469.363
38.735,100.0,8368.133,19958.293
39.755,99.0,8384.363,19958.293
40.775,101.0,8409.629,19958.293
41.795,100.0,8435.148,19958.293
42.814,99.1,8453.66,19958.293
43.834,100.0,8468.777,19958.293
44.854,100.0,8483.715,19958.293
45.873,101.0,8497.879,19958.293
46.893,100.0,8607.027,20060.488
47.913,100.0,8221.332,19675.195
48.932,100.0,8221.465,19675.195
49.952,100.0,8221.465,19675.195
50.972,101.0,8221.469,19675.195
51.991,100.0,8221.469,19675.195
53.011,99.0,8152.379,19605.969
54.031,100.0,8152.484,19605.969
55.05,100.0,8152.617,19605.969
56.07,100.0,8152.77,19605.969
57.09,101.0,7676.023,19129.164
58.109,99.1,7676.023,19129.164
59.129,100.0,7676.113,19129.164
60.149,100.0,8229.652,19682.684
61.169,101.0,8229.707,19682.684
62.189,99.0,8229.707,19682.684
63.209,100.0,8302.434,19755.531
64.228,101.0,8461.312,19909.797
65.248,100.0,8651.145,20072.633
66.268,99.0,8833.254,20226.898
67.288,100.0,9024.16,20389.734
68.308,101.0,9214.844,20552.57
69.328,100.0,9285.008,20613.207
70.347,99.1,9298.008,20625.965
71.367,101.0,9460.91,20789.074
72.387,100.0,9937.328,21265.285
73.406,100.0,9408.211,20736.047
74.426,100.0,9917.5,21245.457
75.446,100.0,9983.688,21311.766
76.466,100.0,10431.527,21759.535
77.485,100.1,10878.277,22191.473
78.503,99.2,10525.977,21823.293
79.523,101.0,11064.844,22361.996
80.543,100.0,11529.953,23080.527
81.563,100.0,11783.34,23080.527
82.582,100.0,10098.273,21411.035
83.602,99.0,9941.855,21238.73
84.622,100.0,9941.855,21238.73
85.641,100.0,9941.855,21238.73
86.661,101.0,9941.891,21238.73
87.681,100.0,9941.895,21238.73
88.7,100.0,9941.895,21238.73
89.72,100.0,9941.895,21238.73
90.74,100.0,9941.895,21238.73
91.759,100.0,9941.898,21238.73
92.779,100.0,9941.898,21238.73
93.798,100.0,9941.898,21238.73
94.818,100.0,9941.898,21238.73
95.838,100.0,9941.898,21238.73
96.857,100.0,9941.898,21238.73
97.876,100.1,9941.898,21238.73
98.896,100.0,9941.898,21238.73
99.916,100.0,9941.898,21238.73
100.936,101.0,9941.898,21238.73
101.956,100.0,9941.898,21238.73
102.976,100.0,9941.898,21238.73
103.996,100.0,9941.898,21238.73
105.016,100.0,9941.898,21238.73
106.035,100.0,9941.898,21238.73
107.055,100.0,9941.898,21238.73
108.075,100.0,9941.898,21238.73
109.095,100.0,9941.898,21238.73
110.115,100.0,9941.898,21238.73
111.134,100.0,9941.898,21238.73
112.154,100.0,9941.898,21238.73
113.174,100.0,9941.898,21238.73
114.194,100.0,9941.898,21238.73
115.214,100.0,9941.898,21238.73
116.233,100.0,9941.898,21238.73
117.253,100.0,9941.898,21238.73
118.273,100.0,9941.898,21238.73
119.292,100.0,9941.898,21238.73
120.312,100.0,9941.898,21238.73
121.332,100.0,9941.898,21238.73
122.352,100.0,9941.898,21238.73
123.371,100.0,9941.898,21238.73
124.391,100.0,9941.898,21238.73
125.411,100.0,9941.898,21238.73
126.431,100.0,9941.898,21238.73
127.45,100.0,9941.898,21238.73
128.47,100.0,9941.898,21238.73
129.489,100.1,9941.898,21238.73
130.509,100.0,9941.898,21238.73
131.528,100.0,9941.898,21238.73
132.548,100.0,9941.898,21238.73
133.568,100.0,9941.898,21238.73
134.587,100.0,9941.898,21238.73
135.607,100.0,9941.898,21238.73
136.627,100.0,9941.898,21238.73
137.647,100.0,9941.898,21238.73
138.666,100.0,9941.898,21238.73
139.686,100.0,9941.898,21238.73
140.706,100.0,9941.898,21238.73
141.725,101.0,9941.898,21238.73
142.745,100.0,9941.898,21238.73
143.765,100.0,9941.898,21238.73
144.784,100.0,9941.898,21238.73
145.804,100.0,9941.898,21238.73
146.824,100.0,9941.898,21238.73
147.843,100.0,9941.898,21238.73
148.863,100.0,9941.898,21238.73
149.883,100.0,9941.898,21238.73
150.902,100.1,9941.898,21238.73
151.922,100.0,9941.898,21238.73
152.941,100.0,9941.898,21238.73
153.961,100.0,9941.898,21238.73
154.981,101.0,9223.367,20520.199
156.0,100.0,9223.367,20520.199
157.02,100.0,9223.367,20520.199
158.04,100.0,9223.367,20520.199
159.06,100.0,9223.367,20520.199
160.079,100.0,9223.367,20520.199
161.099,100.0,9223.367,20520.199
162.119,100.0,9223.367,20520.199
163.138,100.0,9223.367,20520.199
164.158,100.0,9223.367,20520.199
165.177,100.0,9223.367,20520.199
166.197,100.0,9223.367,20520.199
167.217,100.0,9223.367,20520.199
168.236,100.0,9223.367,20520.199
169.256,100.0,9223.367,20520.199
170.276,100.0,9223.367,20520.199
171.295,100.0,9223.367,20520.199
172.315,100.0,9223.367,20520.199
173.335,100.0,9223.367,20520.199
174.354,100.0,9223.367,20520.199
175.374,100.1,9223.367,20520.199
176.393,100.0,9223.367,20520.199
177.413,100.0,9223.367,20520.199
178.432,100.0,9223.367,20520.199
179.452,100.0,9223.367,20520.199
180.472,100.0,9223.367,20520.199
181.49,100.2,9223.367,20520.199
182.51,100.0,9223.367,20520.199
183.529,100.0,9223.367,20520.199
184.549,100.0,9223.367,20520.199
185.569,100.0,9223.367,20520.199
186.588,101.0,9223.367,20520.199
187.608,99.1,9223.367,20520.199
188.628,100.0,9223.367,20520.199
189.647,100.0,9223.367,20520.199
190.668,101.0,9223.367,20520.199
191.687,100.0,9223.367,20520.199
192.707,99.1,9223.367,20520.199
193.727,101.0,9223.367,20520.199
194.746,100.0,9223.367,20520.199
195.766,100.0,9223.367,20520.199
196.786,100.0,9223.367,20520.199
197.805,100.0,9223.367,20520.199
198.825,100.0,9223.367,20520.199
199.845,100.0,9223.367,20520.199
200.864,100.0,9223.367,20520.199
201.884,100.0,9223.367,20520.199
202.904,100.0,9223.367,20520.199
203.923,100.0,9223.367,20520.199
204.943,100.0,9223.367,20520.199
205.963,100.0,9223.367,20520.199
206.982,100.0,9223.367,20520.199
208.002,100.0,9223.367,20520.199
209.021,100.0,9223.367,20520.199
210.041,100.0,9223.367,20520.199
211.061,100.0,9223.367,20520.199
212.08,100.0,9223.367,20520.199
213.1,100.0,9223.367,20520.199
214.12,100.0,9223.367,20520.199
215.139,100.0,9223.367,20520.199
216.159,100.0,9223.367,20520.199
217.178,100.0,9223.367,20520.199
218.198,100.0,9223.367,20520.199
219.218,101.0,9223.367,20520.199
220.237,100.0,9223.367,20520.199
221.257,100.0,9223.367,20520.199
222.277,100.0,9223.367,20520.199
223.296,99.1,9223.367,20520.199
224.316,101.0,9223.367,20520.199
225.336,100.0,9223.367,20520.199
226.355,100.0,9223.367,20520.199
227.375,100.0,9223.367,20520.199
228.395,100.0,9223.367,20520.199
229.414,100.0,9223.367,20520.199
230.434,100.0,9223.367,20520.199
231.454,100.0,9223.367,20520.199
232.473,100.0,9223.367,20520.199
233.492,100.1,9223.367,20520.199
234.512,100.0,9223.367,20520.199
235.532,100.0,9223.367,20520.199
236.551,100.0,9223.367,20520.199
237.571,100.0,9223.367,20520.199
238.591,100.0,9223.367,20520.199
239.611,100.0,9223.367,20520.199
240.63,100.0,9223.367,20520.199
241.65,100.0,9223.367,20520.199
242.669,99.1,9223.367,20520.199
243.689,101.0,9223.367,20520.199
244.709,100.9,9223.367,20520.199
245.729,100.0,9223.367,20520.199
246.749,100.0,9223.367,20520.199
247.768,100.0,9223.367,20520.199
248.788,100.0,9223.367,20520.199
