Elapsed_time,CPU,Real_MB,Virtual_MB
1.01,96.1,125.707,9450.41
2.027,97.3,207.598,9531.406
3.047,94.1,227.508,9551.75
4.068,94.1,303.234,9628.09
5.089,87.2,336.254,9668.398
6.108,88.3,359.883,9694.199
7.129,84.2,363.156,9761.621
8.149,76.4,370.789,9771.676
9.17,67.6,374.707,9780.535
10.19,85.3,374.707,9781.035
11.21,73.5,427.73,9834.168
12.23,72.5,471.039,9876.703
13.248,69.7,516.91,9928.355
14.268,98.0,560.637,9967.012
15.288,99.0,560.824,9967.012
16.308,98.0,560.824,9967.012
17.328,98.0,560.824,9967.012
18.348,99.0,570.301,9976.676
19.368,98.0,579.883,9986.34
20.389,99.0,587.48,10994.211
21.41,99.9,665.809,11025.211
22.427,99.3,673.285,11216.211
23.442,101.5,686.176,11547.211
24.459,101.3,2579.32,14034.52
25.479,101.3,1525.414,12506.879
26.495,82.7,1920.582,12916.379
27.505,101.0,2026.785,13076.633
28.525,99.0,2759.469,13754.43
29.546,99.9,3631.285,15450.172
30.568,99.8,4642.605,15789.32
31.585,100.3,3961.203,15111.023
32.601,100.3,4794.156,15789.32
33.62,100.1,4795.188,15789.32
34.639,100.1,4913.879,16467.617
35.662,99.7,5472.672,16467.617
36.681,100.1,5473.703,16467.617
37.701,100.1,4887.836,15884.625
38.721,100.0,4870.23,15864.168
39.741,101.0,5098.676,16091.633
40.761,99.0,4056.898,15091.508
41.781,100.0,4190.781,15183.43
42.801,100.0,4557.633,15550.168
43.821,100.0,4659.137,15650.793
44.841,101.0,5078.789,16069.91
45.861,100.0,4916.699,15902.184
46.881,100.0,5312.938,16319.441
47.901,100.0,5676.02,16661.598
48.921,100.0,4949.055,15933.328
49.941,100.0,4949.531,15933.328
50.961,100.0,5269.227,16445.266
51.98,100.1,5606.574,16568.383
53.0,100.0,5562.102,16524.086
54.02,100.0,5806.465,16770.32
55.04,101.0,5752.379,16860.0
56.06,100.0,6457.82,17419.863
57.08,99.0,6557.227,17520.691
58.1,101.0,5282.746,16244.414
59.121,99.0,5397.648,16359.297
60.14,101.0,5451.141,16388.145
61.161,100.0,5525.309,16462.066
62.181,100.0,6248.656,17199.195
63.201,99.0,5712.328,16719.199
64.221,101.0,5900.844,16782.496
65.241,100.0,5751.785,16633.332
66.261,100.0,6208.43,17170.277
67.281,100.0,6546.527,17427.848
68.301,100.0,6546.637,17427.848
69.321,100.0,5467.52,16311.129
70.341,101.0,5666.801,16617.746
71.361,99.0,6361.535,17164.992
72.381,101.0,6578.918,17383.891
73.401,99.0,6214.484,17017.484
