	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
0	AL627309.5	False	False	False	0.747110310138937	0.25	True	False	0.009391278038195987	0.18317895499010525	-0.15189794
1	LINC01409	False	False	False	6.60459447505159	0.25	True	False	0.05570799989440387	0.18798312926987107	-0.11556132
2	LINC01128	False	False	False	6.46358906907187	0.25	True	False	0.04206890640061739	0.24920437790701613	0.34748867
3	LINC00115	False	False	False	1.12972086818535	0.25	True	False	0.011952898598822988	0.29429527816645945	0.688536
4	FAM41C	False	False	False	2.48016120735575	0.25	True	False	0.017520772942059937	0.1306053374333954	-0.5495411
5	AL645608.2	False	False	False	0.263804455865724	0.25	True	False	0.0017998294489056333	0.2768758157838482	0.55678296
6	NOC2L	False	False	False	17.1082685977934	0.25	True	False	0.1312923609847706	0.18611047184023058	0.20967093
7	KLHL17	False	False	False	0.994568492983317	0.25	True	False	0.01081553808357789	0.2706076027909009	0.50937307
8	PLEKHN1	False	False	False	0.57631965488482	0.25	True	False	0.0065990300547200415	0.28058213560924045	0.5848159
9	HES4	False	False	False	6.1431682526141	0.25	True	True	0.06645662977503296	0.4108751819583239	1.5702939
10	ISG15	False	False	False	39.066855224283	0.25	True	True	0.5056797050794892	0.5939336514096979	3.4419613
11	AGRN	True	True	False	0.953087930883557	0.25	True	False	0.006449697358766267	0.08079264008692105	-0.92630196
12	C1orf159	False	False	False	2.30834001088152	0.25	True	False	0.020434050863108018	0.21228619557371806	0.06825615
13	TNFRSF18	True	False	True	4.26064714883282	0.25	True	True	0.029652270668224713	0.47546908360639295	2.0588531
14	TNFRSF4	True	False	True	2.72943904451087	0.25	True	True	0.030803583931322393	0.43128293695269376	1.7246491
15	SDF4	False	False	False	25.9863008956747	0.25	True	False	0.21574017557882	0.07144219267578157	-0.4106426
16	B3GALT6	False	False	False	5.43963361582867	0.25	True	False	0.04881146764370827	0.18859474456252998	-0.11093534
17	C1QTNF12	False	False	False	0.561287324260322	0.25	True	False	0.004447916135051783	0.15715649974293355	-0.34872007
18	AL162741.1	False	False	False	0.269066002363326	0.25	True	False	0.002728303182506196	0.23976750708363678	0.27611244
19	UBE2J2	False	False	False	15.5824611638458	0.25	True	False	0.14382982340880668	0.12425967726319313	-0.38029256
20	SCNN1D	False	False	False	0.600791764698619	0.25	True	False	0.004664389552787135	0.17140960674810696	-0.240916
21	ACAP3	False	False	False	7.14188325052223	0.25	True	False	0.06402628164815503	0.1768315522127887	-0.19990684
22	PUSL1	False	False	False	3.94705190028129	0.25	True	False	0.038154687586250936	0.13817447284024578	-0.4922916
23	INTS11	False	False	False	13.681630675302	0.25	True	False	0.11107109266203319	0.13193042170617633	-0.3071252
24	CPTP	False	False	False	2.24689278438283	0.25	True	False	0.022805552179418348	0.20768815779638133	0.033478655
25	DVL1	False	False	False	3.01903745054454	0.25	True	False	0.02723177224511066	0.15833488923011474	-0.33980727
26	AURKAIP1	False	False	False	52.1832354775163	0.25	True	False	0.4053061962802348	-0.08939294333011288	-0.7402898
27	CCNL2	False	False	False	22.3455220965447	0.25	True	False	0.18308804140990112	0.13302356123902712	-0.2966983
28	MRPL20-AS1	False	False	False	2.50222090636804	0.25	True	True	0.02399294834132857	0.2779243189112922	0.5647134
29	MRPL20	False	False	False	44.8298070184123	0.25	True	False	0.3516910817472664	0.03615990648352819	-0.33228412
30	AL391244.2	False	False	False	0.530638401709228	0.25	True	False	0.002775220847992431	0.15322239733904414	-0.37847587
31	ANKRD65	False	False	False	0.850487163520009	0.25	True	False	0.00830775514073818	-0.0965732069379771	-2.2678175
32	ATAD3C	False	False	False	0.474961922342475	0.25	True	False	0.005034635022460059	0.23201949122934837	0.21750993
33	ATAD3B	False	False	False	6.70346821633704	0.25	True	False	0.047252027351651564	0.16377839427147076	-0.29863507
34	ATAD3A	False	False	False	7.93055078812906	0.25	True	False	0.04071438094722358	0.03793137500435909	-1.2504853
35	SSU72	False	False	False	44.0146134987992	0.25	True	False	0.3647622223091902	0.00023855849095381294	-0.5835954
36	AL645728.1	False	False	False	3.87007258102033	0.25	True	True	0.03859916471132421	0.29881951073585383	0.72275525
37	FNDC10	False	False	False	2.83829400982113	0.25	True	False	0.020992274108106106	0.1011164911119975	-0.7725815
38	AL691432.4	False	False	False	0.357282016140884	0.25	True	False	0.0038862779021321984	0.2256431758278484	0.16928233
39	AL691432.2	False	False	False	2.22494580547589	0.25	True	False	0.020040757812032784	0.180908612651681	-0.16906978
40	MIB2	False	False	False	12.4375862831399	0.25	True	True	0.10753582299924277	0.3185707077543544	1.4731423
41	MMP23B	False	False	False	2.73957623233198	0.25	True	True	0.02195923881319318	0.4681822901584194	2.003739
42	CDK11B	False	False	False	16.1471296545562	0.25	True	False	0.14078337672308128	0.17177366611085337	0.072919376
43	FO704657.1	False	False	False	0.339223001433676	0.25	True	False	0.0035090894932329328	0.19475791851119076	-0.064319864
44	SLC35E2B	False	False	False	3.47129983968559	0.25	True	True	0.03468923997907078	0.2726588895053812	0.52488804
45	CDK11A	False	False	False	23.8810564818417	0.25	True	False	0.2029219345345275	0.1517414113012276	0.1743444
46	SLC35E2A	False	False	False	2.59199229320584	0.25	True	False	0.024050044844345562	0.2613089991634833	0.4390426
47	NADK	False	False	False	13.1257819459675	0.25	True	False	0.1524876207094503	0.11533124281879076	-0.4654564
48	GNB1	True	True	False	52.1528679025902	0.25	True	False	0.3961884125397054	-0.047595334590642774	-0.4651428
49	GABRD	False	False	False	0.376448744904044	0.25	True	False	0.002318226972643497	0.1746611709583473	-0.21632262
50	PRKCZ	True	False	True	1.80256958257538	0.25	True	True	0.017283131603512806	0.3175722168382885	0.86459225
