"gene_symbol"	"inDB"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"A1BG-AS1"	FALSE	FALSE	FALSE	7.38479937755627	3	TRUE
"A1CF"	FALSE	FALSE	FALSE	24.5129287853301	3	TRUE
"A2M"	TRUE	TRUE	FALSE	440.927119675718	3	TRUE
"A4GALT"	FALSE	FALSE	FALSE	26.7575556569422	3	TRUE
"AAAS"	FALSE	FALSE	FALSE	36.3485885706069	3	TRUE
"AACS"	FALSE	FALSE	FALSE	21.2695854504424	3	TRUE
"AAED1"	FALSE	FALSE	FALSE	63.8872040283751	3	TRUE
"AAGAB"	FALSE	FALSE	FALSE	31.8676138147168	3	TRUE
"AAK1"	FALSE	FALSE	FALSE	34.2933598932098	3	TRUE
"AAMDC"	FALSE	FALSE	FALSE	108.522299067356	3	TRUE
"AAMP"	FALSE	FALSE	FALSE	156.864145301706	3	TRUE
"AAR2"	FALSE	FALSE	FALSE	22.1805567958937	3	TRUE
"AARS"	FALSE	FALSE	FALSE	38.6364548168539	3	TRUE
"AARS2"	FALSE	FALSE	FALSE	6.47241127047967	3	TRUE
"AARSD1"	FALSE	FALSE	FALSE	28.6511693402626	3	TRUE
"AASDH"	FALSE	FALSE	FALSE	20.0723295288646	3	TRUE
"AASDHPPT"	FALSE	FALSE	FALSE	40.8507507073303	3	TRUE
"AASS"	FALSE	FALSE	FALSE	3.69941603215591	3	TRUE
"AATF"	FALSE	FALSE	FALSE	73.2486382640689	3	TRUE
"ABAT"	FALSE	FALSE	FALSE	10.1781456736923	3	TRUE
"ABCA1"	TRUE	TRUE	TRUE	33.2695651128997	3	TRUE
"ABCA10"	FALSE	FALSE	FALSE	3.10093084527067	3	TRUE
"ABCA2"	FALSE	FALSE	FALSE	9.91248473250689	3	TRUE
"ABCA5"	FALSE	FALSE	FALSE	36.5376186047488	3	TRUE
"ABCA6"	FALSE	FALSE	FALSE	7.98083666378025	3	TRUE
"ABCA7"	FALSE	FALSE	FALSE	10.6055834012693	3	TRUE
"ABCA8"	FALSE	FALSE	FALSE	54.2044126066536	3	TRUE
"ABCB1"	FALSE	FALSE	FALSE	22.5958357284735	3	TRUE
"ABCB10"	FALSE	FALSE	FALSE	9.39072018737185	3	TRUE
"ABCB7"	FALSE	FALSE	FALSE	28.6197462719945	3	TRUE
"ABCB8"	FALSE	FALSE	FALSE	29.5523693721283	3	TRUE
"ABCB9"	FALSE	FALSE	FALSE	12.3022982697086	3	TRUE
"ABCC1"	FALSE	FALSE	FALSE	12.4672283409563	3	TRUE
"ABCC10"	FALSE	FALSE	FALSE	8.70030626741797	3	TRUE
"ABCC3"	FALSE	FALSE	FALSE	95.741085216337	3	TRUE
"ABCC4"	FALSE	FALSE	FALSE	18.299304727954	3	TRUE
"ABCC5"	FALSE	FALSE	FALSE	21.9852648059326	3	TRUE
"ABCC6"	FALSE	FALSE	FALSE	14.7121393349311	3	TRUE
"ABCD1"	FALSE	FALSE	FALSE	9.33716325652886	3	TRUE
"ABCD3"	FALSE	FALSE	FALSE	38.4738457801556	3	TRUE
"ABCD4"	FALSE	FALSE	FALSE	40.8692892679322	3	TRUE
"ABCE1"	FALSE	FALSE	FALSE	52.9009419886201	3	TRUE
"ABCF1"	FALSE	FALSE	FALSE	70.3089042225284	3	TRUE
"ABCF2"	FALSE	FALSE	FALSE	37.5901410107386	3	TRUE
"ABCF3"	FALSE	FALSE	FALSE	32.1760830609718	3	TRUE
"ABCG1"	FALSE	FALSE	FALSE	36.6743825245071	3	TRUE
"ABCG2"	FALSE	FALSE	FALSE	23.2547317516271	3	TRUE
"ABHD10"	FALSE	FALSE	FALSE	18.9790195850827	3	TRUE
"ABHD11"	FALSE	FALSE	FALSE	77.3596536716347	3	TRUE
"ABHD12"	FALSE	FALSE	FALSE	93.0436283058167	3	TRUE
"ABHD13"	FALSE	FALSE	FALSE	41.6234505695975	3	TRUE
"ABHD14A"	FALSE	FALSE	FALSE	79.749256733998	3	TRUE
"ABHD14B"	FALSE	FALSE	FALSE	149.011821590797	3	TRUE
"ABHD15"	FALSE	FALSE	FALSE	12.6279969209213	3	TRUE
"ABHD16A"	FALSE	FALSE	FALSE	6.55707055328946	3	TRUE
"ABHD17A"	FALSE	FALSE	FALSE	68.1229225724027	3	TRUE
"ABHD17B"	FALSE	FALSE	FALSE	22.6754919291749	3	TRUE
"ABHD17C"	FALSE	FALSE	FALSE	39.4433050554514	3	TRUE
"ABHD2"	FALSE	FALSE	FALSE	58.5984973188229	3	TRUE
"ABHD3"	FALSE	FALSE	FALSE	98.4914372453948	3	TRUE
"ABHD4"	FALSE	FALSE	FALSE	9.47549330761245	3	TRUE
"ABHD5"	FALSE	FALSE	FALSE	51.0228658037407	3	TRUE
"ABHD6"	FALSE	FALSE	FALSE	16.7101881771786	3	TRUE
"ABHD8"	FALSE	FALSE	FALSE	16.3822223293156	3	TRUE
"ABI1"	FALSE	FALSE	FALSE	100.590571461879	3	TRUE
"ABI2"	FALSE	FALSE	FALSE	37.1499696522965	3	TRUE
"ABI3"	FALSE	FALSE	FALSE	178.843872677291	3	TRUE
"ABI3BP"	FALSE	FALSE	FALSE	12.6621858790637	3	TRUE
"ABL1"	FALSE	FALSE	FALSE	22.436865832776	3	TRUE
"ABL2"	FALSE	FALSE	FALSE	44.7503375786874	3	TRUE
"ABLIM1"	FALSE	FALSE	FALSE	62.2534823908579	3	TRUE
"ABLIM2"	FALSE	FALSE	FALSE	4.64451651695092	3	TRUE
"ABLIM3"	FALSE	FALSE	FALSE	6.13823677172931	3	TRUE
"ABR"	FALSE	FALSE	FALSE	58.2333893033049	3	TRUE
"ABRACL"	FALSE	FALSE	FALSE	358.630268353224	3	TRUE
"ABT1"	FALSE	FALSE	FALSE	95.3711668665199	3	TRUE
"ABTB1"	FALSE	FALSE	FALSE	51.1381874882739	3	TRUE
"ABTB2"	FALSE	FALSE	FALSE	3.29492402315625	3	TRUE
"AC002117.1"	FALSE	FALSE	FALSE	3.54461832721988	3	TRUE
"AC002310.12"	FALSE	FALSE	FALSE	7.09887915587057	3	TRUE
"AC002467.7"	FALSE	FALSE	FALSE	9.38764184655913	3	TRUE
"AC003075.4"	FALSE	FALSE	FALSE	14.9739752992313	3	TRUE
"AC004069.2"	FALSE	FALSE	FALSE	9.08163395182681	3	TRUE
"AC004257.3"	FALSE	FALSE	FALSE	3.7938225338808	3	TRUE
"AC004381.6"	FALSE	FALSE	FALSE	3.36453447159429	3	TRUE
"AC004540.5"	FALSE	FALSE	FALSE	3.79947377530733	3	TRUE
"AC004791.2"	FALSE	FALSE	FALSE	11.3143437794238	3	TRUE
"AC004951.6"	FALSE	FALSE	FALSE	27.5083833511156	3	TRUE
"AC005076.5"	FALSE	FALSE	FALSE	5.97603487746531	3	TRUE
"AC005083.1"	FALSE	FALSE	FALSE	11.7170063241216	3	TRUE
"AC005154.6"	FALSE	FALSE	FALSE	22.8593456710481	3	TRUE
"AC005355.2"	FALSE	FALSE	FALSE	9.66990694538302	3	TRUE
"AC005540.3"	FALSE	FALSE	FALSE	8.93316038410487	3	TRUE
"AC005562.1"	FALSE	FALSE	FALSE	15.8391091388685	3	TRUE
"AC006129.2"	FALSE	FALSE	FALSE	12.0090754372888	3	TRUE
"AC006129.4"	FALSE	FALSE	FALSE	17.8909203833649	3	TRUE
"AC006132.1"	FALSE	FALSE	FALSE	5.91920065709919	3	TRUE
"AC007228.9"	FALSE	FALSE	FALSE	7.58068152480144	3	TRUE
"AC007246.3"	FALSE	FALSE	FALSE	21.6966024661472	3	TRUE
"AC007390.5"	FALSE	FALSE	FALSE	62.4812720279226	3	TRUE
"AC008982.2"	FALSE	FALSE	FALSE	5.76403218818224	3	TRUE
"AC009005.2"	FALSE	FALSE	FALSE	7.63618731554292	3	TRUE
"AC009014.3"	FALSE	FALSE	FALSE	9.09802148087296	3	TRUE
"AC009133.12"	FALSE	FALSE	FALSE	11.5638862772944	3	TRUE
"AC009133.14"	FALSE	FALSE	FALSE	15.1112151819371	3	TRUE
"AC009133.21"	FALSE	FALSE	FALSE	8.56128497155712	3	TRUE
"AC009336.24"	FALSE	FALSE	FALSE	9.39757137154829	3	TRUE
"AC009403.2"	FALSE	FALSE	FALSE	19.0643919478292	3	TRUE
"AC009404.2"	FALSE	FALSE	FALSE	18.3882778668492	3	TRUE
"AC009501.4"	FALSE	FALSE	FALSE	782.073759027807	3	TRUE
"AC009506.1"	FALSE	FALSE	FALSE	9.59971480985989	3	TRUE
"AC009948.5"	FALSE	FALSE	FALSE	6.3380654822647	3	TRUE
"AC009961.3"	FALSE	FALSE	FALSE	4.42274996540922	3	TRUE
"AC010226.4"	FALSE	FALSE	FALSE	10.9403500315302	3	TRUE
"AC010761.8"	FALSE	FALSE	FALSE	3.19416205588456	3	TRUE
"AC011043.1"	FALSE	FALSE	FALSE	7.69849676473312	3	TRUE
"AC011523.2"	FALSE	FALSE	FALSE	5.19222144885274	3	TRUE
"AC011526.1"	FALSE	FALSE	FALSE	83.2443744833946	3	TRUE
"AC011747.4"	FALSE	FALSE	FALSE	3.99116430491486	3	TRUE
"AC012146.7"	FALSE	FALSE	FALSE	26.4025105281009	3	TRUE
"AC012307.3"	FALSE	FALSE	FALSE	3.3637360727622	3	TRUE
"AC013264.2"	FALSE	FALSE	FALSE	3.78749016868307	3	TRUE
"AC013394.2"	FALSE	FALSE	FALSE	86.5897641112586	3	TRUE
"AC013449.1"	FALSE	FALSE	FALSE	4.09508045181997	3	TRUE
"AC016586.1"	FALSE	FALSE	FALSE	6.95566122777264	3	TRUE
"AC016629.8"	FALSE	FALSE	FALSE	13.0402086326977	3	TRUE
"AC016683.6"	FALSE	FALSE	FALSE	19.6501668662853	3	TRUE
"AC016747.3"	FALSE	FALSE	FALSE	12.4228691036715	3	TRUE
"AC016831.7"	FALSE	FALSE	FALSE	26.1910572510079	3	TRUE
"AC017002.1"	FALSE	FALSE	FALSE	32.3819945026256	3	TRUE
"AC017048.3"	FALSE	FALSE	FALSE	30.9128233111388	3	TRUE
"AC018737.1"	FALSE	FALSE	FALSE	17.9766220126311	3	TRUE
"AC018816.3"	FALSE	FALSE	FALSE	9.71963350833518	3	TRUE
"AC020571.3"	FALSE	FALSE	FALSE	44.9540891113711	3	TRUE
"AC021016.6"	FALSE	FALSE	FALSE	3.05390138022855	3	TRUE
"AC022182.3"	FALSE	FALSE	FALSE	8.11065907706332	3	TRUE
"AC023590.1"	FALSE	FALSE	FALSE	11.6007178562339	3	TRUE
"AC025335.1"	FALSE	FALSE	FALSE	3.34749342206814	3	TRUE
"AC026202.3"	FALSE	FALSE	FALSE	6.64541980196021	3	TRUE
"AC026806.2"	FALSE	FALSE	FALSE	12.3099396968439	3	TRUE
"AC027307.3"	FALSE	FALSE	FALSE	4.46527340513097	3	TRUE
"AC027763.2"	FALSE	FALSE	FALSE	16.0932571345253	3	TRUE
"AC034220.3"	FALSE	FALSE	FALSE	4.1083655789388	3	TRUE
"AC061992.2"	FALSE	FALSE	FALSE	3.41921842192751	3	TRUE
"AC062017.1"	FALSE	FALSE	FALSE	6.19172444653753	3	TRUE
"AC062029.1"	FALSE	FALSE	FALSE	3.80465599211304	3	TRUE
"AC066593.1"	FALSE	FALSE	FALSE	3.84228599493547	3	TRUE
"AC069513.4"	FALSE	FALSE	FALSE	3.58432921762543	3	TRUE
"AC073283.4"	FALSE	FALSE	FALSE	4.3787228378869	3	TRUE
"AC074138.3"	FALSE	FALSE	FALSE	5.26380155938361	3	TRUE
"AC074183.4"	FALSE	FALSE	FALSE	5.07069552918767	3	TRUE
"AC074212.5"	FALSE	FALSE	FALSE	10.3052950901433	3	TRUE
"AC074289.1"	FALSE	FALSE	FALSE	4.19157878431577	3	TRUE
"AC074389.9"	FALSE	FALSE	FALSE	5.22249399368854	3	TRUE
"AC078883.3"	FALSE	FALSE	FALSE	7.62382339462738	3	TRUE
"AC079210.1"	FALSE	FALSE	FALSE	9.82542713493616	3	TRUE
"AC079305.10"	FALSE	FALSE	FALSE	4.70226286642911	3	TRUE
"AC079602.1"	FALSE	FALSE	FALSE	9.86784403278542	3	TRUE
"AC079767.4"	FALSE	FALSE	FALSE	10.8784748755571	3	TRUE
"AC079922.3"	FALSE	FALSE	FALSE	7.15906629220607	3	TRUE
"AC084018.1"	FALSE	FALSE	FALSE	16.2507602314825	3	TRUE
"AC090186.1"	FALSE	FALSE	FALSE	7.68257689985295	3	TRUE
