"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"43","B:HLA-C_NK:CD3D",0,0,0,1.099,0.808,0,0,0,0,0,0,0,0
"44","DC:HLA-C_NK:CD3D",0,0,0,0.99,0,0,0,0,0,0,0,0,0
"45","Ery:HLA-C_NK:CD3D",0,0,0,0.598,0.355,0,0,0,0,0,0,0,0
"46","Gran:HLA-C_NK:CD3D",0,0,0,0.919,0.769,0,0,0,0,0,0,0,0
"47","HSPC:HLA-C_NK:CD3D",0,0,0,0.758,0.598,0,0,0,0,0,0,0,0
"48","Mono:HLA-C_NK:CD3D",0,0,0,1.041,0.757,0,0,0,0,0,0,0,0
"49","NK:HLA-C_NK:CD3D",0,0,0,1.232,0.917,0,0,0,0,0,0,0,0
"50","T:HLA-C_NK:CD3D",0,0,0,1.211,0.882,0,0,0,0,0,0,0,0
"51","B:HLA-C_NK:CD3G",0,0,0,1.07,0.724,0,0,0,0,0,0,0,0
"52","DC:HLA-C_NK:CD3G",0,0,0,0.962,0,0,0,0,0,0,0,0,0
"53","Ery:HLA-C_NK:CD3G",0,0,0,0.57,0.271,0,0,0,0,0,0,0,0
"54","Gran:HLA-C_NK:CD3G",0,0,0,0.891,0.686,0,0,0,0,0,0,0,0
"55","HSPC:HLA-C_NK:CD3G",0,0,0,0.73,0.514,0,0,0,0,0,0,0,0
"56","Mono:HLA-C_NK:CD3G",0,0,0,1.013,0.674,0,0,0,0,0,0,0,0
"57","NK:HLA-C_NK:CD3G",0,0,0,1.204,0.834,0,0,0,0,0,0,0,0
"58","T:HLA-C_NK:CD3G",0,0,0,1.183,0.799,0,0,0,0,0,0,0,0
"59","B:HLA-C_NK:CD8A",0,0,0,0.923,0.714,0,0.674,0,0,0,0,0,0
"60","DC:HLA-C_NK:CD8A",0,0,0,0.814,0,0,0.592,0,0,0,0,0,0
"61","Ery:HLA-C_NK:CD8A",0,0,0,0.422,0.261,0,0,0,0,0,0,0,0
"62","Gran:HLA-C_NK:CD8A",0,0,0,0.743,0.675,0,0.569,0,0,0,0,0,0
"63","HSPC:HLA-C_NK:CD8A",0,0,0,0.582,0.504,0,0.485,0,0,0,0,0,0
"64","Mono:HLA-C_NK:CD8A",0,0,0,0.865,0.663,0,0.635,0,0,0,0,0,0
"65","NK:HLA-C_NK:CD8A",0,0,0,1.056,0.824,0,0.817,0,0,0,0,0,0
"66","T:HLA-C_NK:CD8A",0,0,0,1.035,0.788,0,0.741,0,0,0,0,0,0
"67","DC:HBEGF_Mono:CD9",0.422,0,0,0,0,0,0.203,0.145,0,0,0,0,0
"68","Gran:HBEGF_Mono:CD9",0.384,0,0,0,0,0,0.259,0.171,0,0,0,0,0
"69","HSPC:HBEGF_Mono:CD9",0,0,0,0,0,0,0.132,0,0,0,0,0,0
"70","Mono:HBEGF_Mono:CD9",0.5,0,0,0.118,0,0,0.438,0.243,0,0,0,0,0
"71","DC:HBEGF_HSPC:CD44",0.465,0.583,0,0,0,0,0.537,0.345,0.36,0.362,0.266,0.286,0
"72","Ery:HBEGF_HSPC:CD44",0,0.594,0,0,0,0,0,0,0,0,0,0,0
"73","Gran:HBEGF_HSPC:CD44",0.428,0.595,0.367,0,0.721,0.49,0.592,0.371,0.381,0.386,0.27,0.284,0.264
"74","HSPC:HBEGF_HSPC:CD44",0,0,0,0,0,0,0.466,0,0,0,0,0,0
"75","Mono:HBEGF_HSPC:CD44",0.544,0.589,0.472,0.636,0.691,0.551,0.772,0.444,0.439,0.383,0.295,0.31,0.302
"76","DC:HBEGF_T:CD44",0.5,0.32,0,0,0,0,0.556,0.455,0.426,0.368,0.212,0.298,0
"77","Ery:HBEGF_T:CD44",0,0.331,0,0,0,0,0,0,0,0,0,0,0
"78","Gran:HBEGF_T:CD44",0.462,0.332,0.323,0,0.661,0.456,0.612,0.481,0.447,0.392,0.216,0.296,0.235
"79","HSPC:HBEGF_T:CD44",0,0,0,0,0,0,0.485,0,0,0,0,0,0
"80","Mono:HBEGF_T:CD44",0.578,0.326,0.429,0.436,0.63,0.517,0.791,0.554,0.505,0.389,0.242,0.322,0.273
"81","DC:HBEGF_Ery:CD82",0.251,0.068,0,0,0,0,0,0.428,0.465,0.404,0.296,0.41,0
"82","Ery:HBEGF_Ery:CD82",0,0.079,0,0,0,0,0,0,0,0,0,0,0
"83","Gran:HBEGF_Ery:CD82",0.214,0.08,0.169,0,0.494,0.224,0,0.454,0.486,0.428,0.3,0.408,0.325
"84","Mono:HBEGF_Ery:CD82",0.33,0.074,0.275,0,0.463,0.285,0,0.526,0.544,0.425,0.326,0.434,0.363
"85","Ery:CALM1_DC:INSR",0.221,0.133,0.289,0.151,0,0.27,0,0,0.453,0.48,0.448,0.318,0
"86","Ery:CALM1_Ery:INSR",0.251,0,0.312,0.19,0.24,0.224,0,0.511,0.471,0.485,0.506,0.359,0.587
"87","Ery:CALM1_Gran:INSR",0.213,0.116,0.332,0.208,0.291,0.275,0,0.496,0.47,0.49,0.454,0.338,0
"88","Ery:CALM1_HSPC:INSR",0.18,0,0.286,0.171,0,0,0,0,0.442,0.458,0.446,0.321,0.552
"89","Ery:CALM1_Mono:INSR",0.188,0,0.297,0.161,0.214,0,0,0,0,0.466,0.446,0,0
"90","Ery:CALM1_B:ABCA1",0,0,0,0,0,0,0,0.516,0.488,0,0,0,0
"91","Ery:CALM1_DC:ABCA1",0,0,0.295,0,0,0.238,0,0,0,0,0,0,0
"92","Ery:CALM1_Gran:ABCA1",0,0,0.28,0,0.209,0.251,0,0.516,0.461,0,0,0,0
"93","Ery:CALM1_HSPC:ABCA1",0,0,0,0,0,0,0,0.5,0,0,0,0,0
"94","Ery:CALM1_Mono:ABCA1",0,0,0.363,0,0,0.333,0,0.598,0.528,0,0,0,0
"95","Ery:CALM1_B:KCNN4",0,0,0,0.189,0,0,0,0,0,0,0,0,0
"96","Ery:CALM1_DC:KCNN4",0,0,0,0.159,0,0.228,0,0,0,0,0,0,0
"97","Ery:CALM1_Ery:KCNN4",0,0.103,0.294,0.196,0.244,0.224,0,0.507,0.452,0.507,0.483,0.382,0.6
"98","Ery:CALM1_Gran:KCNN4",0,0,0,0.149,0.349,0.248,0,0,0,0,0,0,0
"99","Ery:CALM1_HSPC:KCNN4",0.208,0,0,0,0,0,0,0,0,0.461,0.443,0.325,0
"100","Ery:CALM1_Mono:KCNN4",0,0,0.282,0,0,0,0,0,0,0,0,0,0
"101","Ery:CALM1_Ery:HMMR",0.342,0.223,0.413,0.211,0.324,0.329,0,0.608,0.562,0.554,0.627,0.635,0.738
"102","Ery:CALM1_Gran:HMMR",0,0,0,0.15,0.267,0,0,0,0,0.506,0.454,0.34,0.577
"103","Ery:CALM1_HSPC:HMMR",0,0,0,0,0,0,0,0,0,0,0,0.319,0.567
"104","Ery:NRG1_Gran:HLA-DPB1",0,0.324,0,0,0,0,0,0,0,0,0,0,0
"105","Mono:NRG1_Gran:HLA-DPB1",0,0,0,0,0.388,0,0.134,0.423,0.434,0,0.362,0,0
"106","Ery:NRG1_HSPC:HLA-DPB1",0,0.386,0,0,0,0,0,0,0,0,0,0,0
"107","Mono:NRG1_HSPC:HLA-DPB1",0,0,0,0,0.373,0,0.118,0.364,0.358,0,0.418,0,0
"108","Ery:NRG1_Mono:HLA-DPB1",0,0.272,0,0,0,0,0,0,0,0,0,0,0
"109","Mono:NRG1_Mono:HLA-DPB1",0,0,0,0,0.214,0,0.242,0.422,0.552,0,0.357,0,0
"110","DC:ICAM1_NK:ITGB2",0.471,0,0.365,0,0,0,0.569,0.257,0.279,0.393,0,0.342,0
"111","Gran:ICAM1_NK:ITGB2",0.427,0,0,0,0.448,0,0.617,0.237,0,0,0,0,0
"112","Mono:ICAM1_NK:ITGB2",0.495,0,0.462,0.519,0,0.397,0.632,0.286,0.315,0.381,0,0,0
"113","NK:ICAM1_NK:ITGB2",0,0,0.37,0,0.499,0,0,0,0,0,0,0,0
"114","Ery:MIF_B:CD74",0.846,0.869,0.959,0.888,1.012,0.915,0,1.107,1.144,1.333,1.164,1.271,1.234
"115","Ery:MIF_DC:CD74",0.919,0.986,1.041,0.902,0,0.91,0,1.262,1.307,1.367,1.172,1.314,1.313
"116","Ery:MIF_Ery:CD74",0.179,0.278,0,0.148,0.267,0.211,0,0,0,0.615,0,0,0.6
"117","Ery:MIF_Gran:CD74",0.331,0.79,0.732,0.762,0.891,0.723,0,1.048,1.115,1.176,0.984,1.111,1.086
"118","Ery:MIF_HSPC:CD74",0.469,0.719,0.661,0.212,0.718,0.608,0,0.869,0.901,0.986,0.837,0.956,0.983
"119","Ery:MIF_Mono:CD74",0.428,0.775,0.778,0.766,0.713,0.723,0,1.034,1.145,1.213,0.961,1.139,1.133
"120","Ery:MIF_NK:CD74",0.31,0,0.596,0.411,0.474,0.441,0,0.712,0.677,0.735,0.565,0.678,0.717
"121","Ery:MIF_T:CD74",0.362,0.494,0.428,0.455,0.468,0.406,0,0.627,0.676,0.769,0.539,0.661,0.766
"122","DC:AREG_DC:ICAM1",0.804,0,0,0,0,0,0.206,0.402,0.577,0.414,0,0.155,0
"123","Gran:AREG_DC:ICAM1",0.153,0,0,0,0,0,0.163,0.23,0.63,0.335,0,0.108,0
"124","DC:AREG_Gran:ICAM1",0.759,0,0,0,0,0,0.253,0.382,0,0,0,0,0
"125","Gran:AREG_Gran:ICAM1",0.108,0,0,0,0.126,0,0.21,0.21,0,0,0,0,0
"126","DC:AREG_Mono:ICAM1",0.828,0.264,0,0.098,0,0.194,0.268,0.431,0.613,0.403,0,0,0
"127","Gran:AREG_Mono:ICAM1",0.176,0.147,0,0.1,0,0.137,0.225,0.259,0.666,0.324,0,0,0
"128","Gran:AREG_NK:ICAM1",0,0,0,0,0.178,0,0,0,0,0,0,0,0
"129","B:GRN_NK:TNFRSF1B",0.176,0,0,0.345,0.256,0,0.33,0,0,0.141,0.133,0,0
"130","DC:GRN_NK:TNFRSF1B",0.379,0,0.509,0.658,0,0.379,0.577,0.329,0.368,0.483,0.493,0.521,0.432
"131","Ery:GRN_NK:TNFRSF1B",0.206,0,0.267,0.367,0.225,0.272,0,0.134,0.127,0.123,0.124,0.147,0.136
"132","Gran:GRN_NK:TNFRSF1B",0.626,0,0.498,0.711,0.712,0.586,0.755,0.533,0.545,0.594,0.597,0.629,0.542
"133","HSPC:GRN_NK:TNFRSF1B",0.363,0,0.353,0.341,0.29,0.263,0.379,0.173,0.164,0.187,0.157,0.189,0.219
"134","Mono:GRN_NK:TNFRSF1B",0.64,0,0.524,0.723,0.617,0.612,0.696,0.451,0.375,0.502,0.508,0.457,0.43
"135","NK:GRN_NK:TNFRSF1B",0.186,0,0,0.28,0,0,0.267,0,0,0,0,0,0
"174","DC:IL1RN_Mono:IL1B",0.39,0,0.18,0,0,0,0,0.353,0.29,0.161,0.08,0,0
"175","Gran:IL1RN_Mono:IL1B",0.424,0.133,0,0.108,0,0,0.099,0.361,0.295,0.16,0.091,0,0
"176","HSPC:IL1RN_Mono:IL1B",0.375,0,0,0,0,0,0,0,0,0,0,0,0
"177","Mono:IL1RN_Mono:IL1B",0.453,0.126,0.274,0.108,0,0.158,0.077,0.391,0.325,0.159,0.095,0,0
"223","NK:ARF1_DC:INSR",0.39,0,0.184,0.322,0,0.309,0,0,0.304,0.25,0.246,0.17,0
"224","T:ARF1_DC:INSR",0.343,0.258,0.183,0.327,0,0.31,0,0,0.271,0.239,0.195,0.16,0
"225","NK:ARF1_Ery:INSR",0.42,0,0.206,0.361,0.353,0.262,0,0.333,0.323,0.255,0.304,0.212,0.207
"226","T:ARF1_Ery:INSR",0.373,0,0.205,0.366,0.344,0.263,0,0.274,0.29,0.244,0.252,0.201,0.211
"227","NK:ARF1_Gran:INSR",0.383,0,0.227,0.379,0.404,0.314,0.495,0.317,0.321,0.26,0.253,0.19,0
"228","T:ARF1_Gran:INSR",0.336,0.241,0.226,0.384,0.395,0.314,0.453,0.259,0.288,0.249,0.201,0.18,0
"229","NK:ARF1_HSPC:INSR",0.349,0,0.181,0.342,0,0,0.486,0,0.293,0.228,0.244,0.173,0.172
"230","T:ARF1_HSPC:INSR",0.302,0,0.18,0.347,0,0,0.444,0,0.261,0.218,0.193,0.163,0.175
"231","NK:ARF1_Mono:INSR",0.357,0,0.192,0.332,0.327,0,0.47,0,0,0.236,0.245,0,0
"232","T:ARF1_Mono:INSR",0.31,0,0.19,0.337,0.319,0,0.428,0,0,0.225,0.193,0,0
"233","NK:ARF1_DC:PLD2",0,0,0,0,0,0.288,0,0,0,0,0,0,0
"234","T:ARF1_DC:PLD2",0,0,0,0,0,0.288,0,0,0,0,0,0,0
"235","Gran:ITGA6_Mono:CD9",0,0,0,0,0,0,0.148,0,0,0,0,0,0
"236","HSPC:ITGA6_Mono:CD9",0,0,0,0,0,0,0.134,0,0,0,0,0,0
"237","Mono:ITGA6_Mono:CD9",0,0,0,0,0,0,0.124,0,0,0,0,0,0
"238","DC:ITGA6_Ery:CD63",0,0,0.129,0,0,0.16,0,0,0,0,0,0,0
"239","Ery:ITGA6_Ery:CD63",0,0.14,0,0,0,0,0,0,0,0,0,0,0
"240","Gran:ITGA6_Ery:CD63",0,0,0.13,0,0,0,0,0,0,0.35,0,0,0
"241","HSPC:ITGA6_Ery:CD63",0,0.128,0.128,0,0.114,0.157,0,0,0.346,0.352,0.257,0.231,0
"242","NK:ITGA6_Ery:CD63",0,0,0,0,0,0,0,0,0,0,0.256,0.25,0
"243","T:ITGA6_Ery:CD63",0,0,0,0,0,0,0,0,0,0,0.276,0,0
"244","DC:ITGA6_Mono:CD63",0,0,0.38,0,0,0.48,0,0,0,0,0,0,0
"245","Ery:ITGA6_Mono:CD63",0,0.517,0,0,0,0,0,0,0,0,0,0,0
"246","Gran:ITGA6_Mono:CD63",0,0,0.381,0,0,0,0.597,0,0,0.405,0,0,0
"247","HSPC:ITGA6_Mono:CD63",0,0.504,0.379,0,0.494,0.476,0.583,0,0.544,0.407,0.401,0.296,0
"248","Mono:ITGA6_Mono:CD63",0,0,0,0,0,0,0.573,0,0,0,0,0,0
"249","NK:ITGA6_Mono:CD63",0,0,0,0,0,0,0,0,0,0,0.401,0.315,0
"250","T:ITGA6_Mono:CD63",0,0,0,0,0,0,0,0,0,0,0.421,0,0
"251","DC:ITGA6_Mono:CD36",0,0,0.176,0,0,0.268,0,0,0,0,0,0,0
"252","Ery:ITGA6_Mono:CD36",0,0.418,0,0,0,0,0,0,0,0,0,0,0
"253","Gran:ITGA6_Mono:CD36",0,0,0.177,0,0,0,0.32,0,0,0.341,0,0,0
"254","HSPC:ITGA6_Mono:CD36",0,0.405,0.175,0,0.336,0.264,0.306,0,0.166,0.343,0.461,0.262,0
"255","Mono:ITGA6_Mono:CD36",0,0,0,0,0,0,0.297,0,0,0,0,0,0
"256","NK:ITGA6_Mono:CD36",0,0,0,0,0,0,0,0,0,0,0.46,0.281,0
"257","T:ITGA6_Mono:CD36",0,0,0,0,0,0,0,0,0,0,0.48,0,0
"519","Mono:ADM_Gran:ADRB2",0,0,0,0,0,0,0,0,0.178,0,0,0,0
"520","Mono:ADM_NK:ADRB2",0,0,0,0,0.159,0,0,0,0,0,0,0,0
"521","Mono:ADM_T:ADRB2",0.399,0,0,0,0,0,0,0,0,0,0,0,0
"522","Ery:ADM_Mono:ACKR3",0.225,0,0,0,0,0,0,0,0,0,0,0,0
"523","Gran:ADM_Mono:ACKR3",0.243,0,0,0,0,0,0,0,0,0,0,0,0
"524","HSPC:ADM_Mono:ACKR3",0.194,0,0,0,0,0,0,0,0,0,0,0,0
"525","Mono:ADM_Mono:ACKR3",0.495,0,0,0,0,0,0,0,0,0,0,0,0
"526","Mono:ADM_DC:RAMP1",0.415,0,0,0,0,0,0,0,0,0,0,0,0
"527","Mono:ADM_HSPC:RAMP1",0,0,0,0,0,0,0.132,0.136,0.253,0.088,0,0,0
"528","Mono:ADM_NK:RAMP1",0.423,0,0,0,0,0,0.159,0.15,0.211,0,0,0,0
"529","Mono:ADM_T:RAMP1",0,0.102,0,0,0,0,0,0,0,0,0,0,0
"530","Mono:CALR_Ery:ITGA2B",0,0,0,0,0,0.244,0,0.31,0.251,0.381,0.202,0,0.156
"531","NK:CALR_Ery:ITGA2B",0,0,0,0,0,0.298,0,0.263,0.266,0.425,0.265,0,0.206
"532","Mono:CALR_HSPC:ITGA2B",0,0,0,0,0,0,0,0.344,0.298,0.313,0.227,0.266,0.199
"533","NK:CALR_HSPC:ITGA2B",0,0,0,0,0,0,0,0.297,0.312,0.357,0.29,0.291,0.249
"534","Mono:CALR_DC:ITGAV",0,0,0,0,0,0.25,0.289,0,0,0,0,0,0
"535","NK:CALR_DC:ITGAV",0,0,0,0,0,0.304,0.432,0,0,0,0,0,0
"536","Mono:CALR_Ery:ITGAV",0,0,0,0.242,0,0,0,0.28,0.229,0,0,0,0
"537","NK:CALR_Ery:ITGAV",0,0,0,0.38,0,0,0,0.233,0.243,0,0,0,0
"538","Mono:CALR_Gran:ITGAV",0,0,0.192,0,0,0,0.291,0.301,0,0,0,0,0
