"","X","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","mean_case","mean_control","log2","sender_log2FC","receiver_log2FC"
"65",65,"NK:TNFRSF1B_Ery:GRN","NK","TNFRSF1B","Ery","GRN",0.2674,0.131833333333333,1.02028427145435,0.267421490852899,NA
"69",69,"NK:TNFRSF1B_NK:GRN","NK","TNFRSF1B","NK","GRN",0.232166666666667,0.1145,1.01981325378315,0.267421490852899,NA
"86",86,"Ery:CD74_Mono:ACKR3","Ery","CD74","Mono","ACKR3",0.0831666666666667,0.0153333333333333,2.43933404928025,NA,0.259583131144177
"115",115,"Mono:IL1B_HSPC:IL1R2","Mono","IL1B","HSPC","IL1R2",0.089,0,Inf,0.290397533324859,NA
"141",141,"Mono:FN1_HSPC:CD44","Mono","FN1","HSPC","CD44",0.436333333333333,0.216166666666667,1.01328661769354,NA,0.309930995647344
"149",149,"HSPC:VEGFA_HSPC:CD44","HSPC","VEGFA","HSPC","CD44",0.431142857142857,0.186333333333333,1.21028019634705,NA,0.309930995647344
"207",207,"HSPC:LPL_HSPC:CD44","HSPC","LPL","HSPC","CD44",0.172,0,Inf,NA,0.309930995647344
"208",208,"HSPC:LPL_T:CD44","HSPC","LPL","T","CD44",0.160333333333333,0,Inf,NA,0.266350860042238
"213",213,"Ery:VIM_HSPC:CD44","Ery","VIM","HSPC","CD44",0.520166666666667,0.199166666666667,1.3849977390511,NA,0.309930995647344
"214",214,"Ery:VIM_T:CD44","Ery","VIM","T","CD44",0.4255,0.207,1.03952836418664,NA,0.266350860042238
"231",231,"B:SRGN_HSPC:CD44","B","SRGN","HSPC","CD44",0.603285714285714,0.295166666666667,1.03131161371294,NA,0.309930995647344
"253",253,"Ery:LAMC1_HSPC:CD44","Ery","LAMC1","HSPC","CD44",0.1585,0.0713333333333333,1.15183454445942,NA,0.309930995647344
"255",255,"Gran:LAMC1_HSPC:CD44","Gran","LAMC1","HSPC","CD44",0.267428571428571,0.109333333333333,1.29042029362887,NA,0.309930995647344
"256",256,"Gran:LAMC1_T:CD44","Gran","LAMC1","T","CD44",0.209,0.0976666666666667,1.09756477837979,NA,0.266350860042238
"267",267,"Ery:VCAN_HSPC:CD44","Ery","VCAN","HSPC","CD44",0.358166666666667,0.0333333333333333,3.42559357765306,NA,0.309930995647344
"268",268,"Ery:VCAN_T:CD44","Ery","VCAN","T","CD44",0.3075,0.0285,3.43155258606186,NA,0.266350860042238
"271",271,"HSPC:VCAN_HSPC:CD44","HSPC","VCAN","HSPC","CD44",0.465714285714286,0.115,2.01781127611646,NA,0.309930995647344
"272",272,"HSPC:VCAN_T:CD44","HSPC","VCAN","T","CD44",0.387428571428571,0.113333333333333,1.77335810566219,NA,0.266350860042238
"281",281,"Ery:HGF_HSPC:CD44","Ery","HGF","HSPC","CD44",0.152333333333333,0.0391666666666667,1.95953340849307,NA,0.309930995647344
"282",282,"Ery:HGF_T:CD44","Ery","HGF","T","CD44",0.102666666666667,0.0301666666666667,1.7669406536117,NA,0.266350860042238
"317",317,"Gran:CCL5_Gran:SDC4","Gran","CCL5","Gran","SDC4",0.0742857142857143,0.0315,1.23773296747093,0.283557408090166,NA
"318",318,"Gran:CCL5_Mono:SDC4","Gran","CCL5","Mono","SDC4",0.111142857142857,0.0263333333333333,2.07745317547264,0.283557408090166,NA
"319",319,"Mono:FN1_Gran:ITGA4","Mono","FN1","Gran","ITGA4",0.226333333333333,0.107833333333333,1.06964586225222,NA,0.26934471267845
"322",322,"HSPC:F13A1_Gran:ITGA4","HSPC","F13A1","Gran","ITGA4",0.269857142857143,0.119166666666667,1.17921513338617,NA,0.26934471267845
