"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","mean_weigth_case","mean_weight_control","log2FC_weights","direction"
"1","DC:HBEGF_Mono:CD9","DC","HBEGF","Mono","CD9",NA,NA,0.352976124957498,0,0.129,0.108166666666667,0.254115088145272,"down"
"2","Gran:HBEGF_Mono:CD9","Gran","HBEGF","Mono","CD9",NA,NA,0.352976124957498,0,0.200285714285714,0.1265,0.662922137258709,"down"
"3","HSPC:HBEGF_Mono:CD9","HSPC","HBEGF","Mono","CD9",NA,NA,0.352976124957498,0,0.0472857142857143,0.03,0.656441889141095,"down"
"4","Mono:HBEGF_Mono:CD9","Mono","HBEGF","Mono","CD9",NA,NA,0.352976124957498,0,0.264428571428571,0.162666666666667,0.70095942097124,"down"
"5","DC:HBEGF_HSPC:CD44","DC","HBEGF","HSPC","CD44",NA,NA,0.309930995647344,2.78177603073879e-82,0.364333333333333,0.3075,0.244672584724146,"down"
"6","Ery:HBEGF_HSPC:CD44","Ery","HBEGF","HSPC","CD44",NA,NA,0.309930995647344,2.78177603073879e-82,0.270166666666667,0.07,1.94842285785142,"up"
"7","Gran:HBEGF_HSPC:CD44","Gran","HBEGF","HSPC","CD44",NA,NA,0.309930995647344,2.78177603073879e-82,0.543142857142857,0.326,0.73645974035987,"down"
"8","HSPC:HBEGF_HSPC:CD44","HSPC","HBEGF","HSPC","CD44",NA,NA,0.309930995647344,2.78177603073879e-82,0.384428571428571,0.2295,0.744221410169005,"down"
"9","Mono:HBEGF_HSPC:CD44","Mono","HBEGF","HSPC","CD44",NA,NA,0.309930995647344,2.78177603073879e-82,0.607857142857143,0.362166666666667,0.747078536055594,"down"
"10","DC:HBEGF_T:CD44","DC","HBEGF","T","CD44",NA,NA,0.266350860042238,7.13047345198438e-170,0.296166666666667,0.326166666666667,-0.139200074598126,"down"
"11","Ery:HBEGF_T:CD44","Ery","HBEGF","T","CD44",NA,NA,0.266350860042238,7.13047345198438e-170,0.214833333333333,0.0673333333333333,1.67382506560986,"up"
"12","Gran:HBEGF_T:CD44","Gran","HBEGF","T","CD44",NA,NA,0.266350860042238,7.13047345198438e-170,0.465,0.3445,0.432726733291103,"down"
"13","HSPC:HBEGF_T:CD44","HSPC","HBEGF","T","CD44",NA,NA,0.266350860042238,7.13047345198438e-170,0.301,0.248166666666667,0.278454138898758,"down"
