Gene;OverallAverageExpression;case_avg;control_avg
AL627309.5;6,28169376344039e-03;6,46081976394246e-03;6,13135095706414e-03
LINC01409;3,76889557196225e-02;3,94806154146261e-02;3,61851921908044e-02
LINC01128;2,79919071495763e-02;2,97062284440916e-02;2,65530547567041e-02
LINC00115;7,73660087956751e-03;7,80218018495965e-03;7,68155930667900e-03
FAM41C;1,19322313823262e-02;1,43769390890443e-02;9,88035607462389e-03
AL645608.2;1,17761016985496e-03;2,14252106709717e-03;3,67747772504368e-04
NOC2L;9,06963824179801e-02;8,62900510138913e-02;9,43946742754310e-02
KLHL17;7,07112538983516e-03;9,50726157150584e-03;5,02644427575601e-03
PLEKHN1;4,28991279303511e-03;5,08495712687644e-03;3,62262163481004e-03
HES4;4,20845144617600e-02;3,68376403396168e-02;4,64882848692663e-02
ISG15;3,43652247451745e-01;5,44929726419714e-01;1,74717414074313e-01
AGRN;4,47919991778990e-03;7,12396807166733e-03;2,25941124750194e-03
C1orf159;1,36261108525136e-02;1,84633035911183e-02;9,56619141442901e-03
TNFRSF18;1,81198679042835e-02;2,02500433008334e-02;1,63319836982313e-02
TNFRSF4;1,91141238193708e-02;2,36280812155107e-02;1,53255000523220e-02
SDF4;1,56570784010075e-01;1,75691238473528e-01;1,40522735289243e-01
B3GALT6;3,30347811093713e-02;3,10803327545534e-02;3,46751752998137e-02
C1QTNF12;3,00452450858077e-03;3,73306925353938e-03;2,39304732927262e-03
AL162741.1;1,79243099904555e-03;2,07871409970745e-03;1,55214983019810e-03
UBE2J2;1,01231353844319e-01;9,52845883947439e-02;1,06222552241227e-01
SCNN1D;3,14825180837573e-03;4,46453131521403e-03;2,04348111914604e-03
ACAP3;4,36485008617607e-02;4,97096357946048e-02;3,85613106544495e-02
PUSL1;2,61470127494908e-02;2,55167598173619e-02;2,66759923184956e-02
INTS11;7,75105096461517e-02;8,15402342028711e-02;7,41283088652353e-02
CPTP;1,52586669375851e-02;1,65246437159320e-02;1,41961159894794e-02
DVL1;1,85080099139781e-02;2,28345392191135e-02;1,48766970069741e-02
AURKAIP1;3,15904077212030e-01;3,10506578408261e-01;3,20434268894403e-01
CCNL2;1,29854047728992e-01;1,58695831691765e-01;1,05646759397274e-01
MRPL20-AS1;1,56884753288765e-02;1,22906440772276e-02;1,85403197542198e-02
MRPL20;2,64175813095425e-01;2,42988563428554e-01;2,81958550193243e-01
AL391244.2;1,89579198893157e-03;1,83285613273793e-03;1,94861488016636e-03
ANKRD65;5,99361006112250e-03;1,08833593055589e-02;1,88957925697204e-03
ATAD3C;3,32222555334173e-03;4,06261132090016e-03;2,70081004814549e-03
ATAD3B;3,22998025485093e-02;4,34828450059433e-02;2,29137280413857e-02
ATAD3A;2,87553148698091e-02;3,05689315206294e-02;2,72331225794058e-02
SSU72;2,77384198429172e-01;2,67197885879031e-01;2,85933704425630e-01
AL645728.1;2,51693944322187e-02;2,26189910005382e-02;2,73099815509830e-02
FNDC10;1,44867394455041e-02;1,67644650547032e-02;1,25750144068037e-02
AL691432.4;2,56400142850847e-03;2,53064153168115e-03;2,59200082834648e-03
AL691432.2;1,34716687500836e-02;1,41757024309655e-02;1,28807640289906e-02
MIB2;7,09467913616342e-02;7,36959639476323e-02;6,86393746793371e-02
MMP23B;1,34405381465326e-02;1,32935241327062e-02;1,35639289404617e-02
CDK11B;9,78698164359163e-02;1,23418983143719e-01;7,64260650393588e-02
