"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"1","Mono:ACKR3_Mono:CXCR4","Mono","ACKR3","Mono","CXCR4",0.259583131144177,0,0.331253411563129,0
"2","Mono:ACTR2_Mono:LDLR","Mono","ACTR2","Mono","LDLR",NA,NA,NA,NA
"3","Mono:ADAM10_Mono:CADM1","Mono","ADAM10","Mono","CADM1",NA,NA,NA,NA
"4","Mono:ADAM10_Mono:CD44","Mono","ADAM10","Mono","CD44",NA,NA,NA,NA
"5","Mono:ADAM10_Mono:IL6R","Mono","ADAM10","Mono","IL6R",NA,NA,NA,NA
"6","Mono:ADAM10_Mono:NOTCH2","Mono","ADAM10","Mono","NOTCH2",NA,NA,NA,NA
"7","Mono:ADAM10_Mono:TSPAN14","Mono","ADAM10","Mono","TSPAN14",NA,NA,NA,NA
"8","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
"9","Mono:APP_Mono:APLP2","Mono","APP","Mono","APLP2",NA,NA,NA,NA
"10","Mono:APP_Mono:CD74","Mono","APP","Mono","CD74",NA,NA,NA,NA
"11","Mono:APP_Mono:LRP1","Mono","APP","Mono","LRP1",NA,NA,NA,NA
"12","Mono:APP_Mono:LRP10","Mono","APP","Mono","LRP10",NA,NA,NA,NA
"13","Mono:APP_Mono:NCSTN","Mono","APP","Mono","NCSTN",NA,NA,NA,NA
"14","Mono:APP_Mono:NOTCH2","Mono","APP","Mono","NOTCH2",NA,NA,NA,NA
"15","Mono:APP_Mono:PTGER2","Mono","APP","Mono","PTGER2",NA,NA,0.300360041056194,0
"16","Mono:APP_Mono:RPSA","Mono","APP","Mono","RPSA",NA,NA,NA,NA
"17","Mono:ARPC5_Mono:LDLR","Mono","ARPC5","Mono","LDLR",NA,NA,NA,NA
"18","Mono:CCL4_Mono:CCR1","Mono","CCL4","Mono","CCR1",NA,NA,NA,NA
"19","Mono:CCR1_Mono:MBP","Mono","CCR1","Mono","MBP",NA,NA,NA,NA
"20","Mono:CCR1_Mono:PRNP","Mono","CCR1","Mono","PRNP",NA,NA,NA,NA
"21","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10",-0.616674115176584,0,NA,NA
"22","Mono:CD53_Mono:CD37","Mono","CD53","Mono","CD37",NA,NA,NA,NA
"23","Mono:CD74_Mono:ACKR3","Mono","CD74","Mono","ACKR3",NA,NA,0.259583131144177,0
"24","Mono:CD74_Mono:CXCR4","Mono","CD74","Mono","CXCR4",NA,NA,0.331253411563129,0
"25","Mono:CD82_Mono:CD37","Mono","CD82","Mono","CD37",NA,NA,NA,NA
"26","Mono:COPA_Mono:CD74","Mono","COPA","Mono","CD74",NA,NA,NA,NA
"27","Mono:COPA_Mono:SORT1","Mono","COPA","Mono","SORT1",NA,NA,NA,NA
"28","Mono:FCGR1A_Mono:LILRB3","Mono","FCGR1A","Mono","LILRB3",NA,NA,NA,NA
"29","Mono:FCGR1A_Mono:PILRA","Mono","FCGR1A","Mono","PILRA",NA,NA,NA,NA
"30","Mono:IL18_Mono:CD48","Mono","IL18","Mono","CD48",NA,NA,-0.405816577096736,0
"31","Mono:IL1RN_Mono:IL1B","Mono","IL1RN","Mono","IL1B",NA,NA,0.290397533324859,2.87318281237088e-302
"32","Mono:IL1RN_Mono:IL1R2","Mono","IL1RN","Mono","IL1R2",NA,NA,NA,NA
"33","Mono:IL1RN_Mono:IL1RAP","Mono","IL1RN","Mono","IL1RAP",NA,NA,NA,NA
"34","Mono:JAK1_Mono:IFNAR1","Mono","JAK1","Mono","IFNAR1",NA,NA,NA,NA
"35","Mono:JAK1_Mono:IFNAR2","Mono","JAK1","Mono","IFNAR2",NA,NA,NA,NA
"36","Mono:LILRB4_Mono:LAIR1","Mono","LILRB4","Mono","LAIR1",0.333429879547968,0,NA,NA
"37","Mono:LMAN1_Mono:MCFD2","Mono","LMAN1","Mono","MCFD2",NA,NA,NA,NA
"38","Mono:LY86_Mono:CD180","Mono","LY86","Mono","CD180",NA,NA,NA,NA
"39","Mono:MIF_Mono:ACKR3","Mono","MIF","Mono","ACKR3",NA,NA,0.259583131144177,0
"40","Mono:MIF_Mono:CD44","Mono","MIF","Mono","CD44",NA,NA,NA,NA
"41","Mono:MIF_Mono:CD74","Mono","MIF","Mono","CD74",NA,NA,NA,NA
"42","Mono:MIF_Mono:CXCR4","Mono","MIF","Mono","CXCR4",NA,NA,0.331253411563129,0
"43","Mono:MIF_Mono:TNFRSF14","Mono","MIF","Mono","TNFRSF14",NA,NA,NA,NA
"44","Mono:QDPR_Mono:DYSF","Mono","QDPR","Mono","DYSF",NA,NA,NA,NA
"45","Mono:RPS19_Mono:C5AR1","Mono","RPS19","Mono","C5AR1",NA,NA,NA,NA
"46","Mono:S100A12_Mono:CD36","Mono","S100A12","Mono","CD36",NA,NA,0.282537866386678,0
"47","Mono:S100A12_Mono:TLR4","Mono","S100A12","Mono","TLR4",NA,NA,NA,NA
"48","Mono:SIGLEC7_Mono:CD33","Mono","SIGLEC7","Mono","CD33",NA,NA,NA,NA
"49","Mono:SIGLEC7_Mono:CD4","Mono","SIGLEC7","Mono","CD4",NA,NA,NA,NA
"50","Mono:SIGLEC7_Mono:SIGLEC10","Mono","SIGLEC7","Mono","SIGLEC10",NA,NA,NA,NA
"51","Mono:TNF_Mono:FAS","Mono","TNF","Mono","FAS",NA,NA,NA,NA
"52","Mono:TNF_Mono:FFAR2","Mono","TNF","Mono","FFAR2",NA,NA,NA,NA
"53","Mono:TNF_Mono:LTBR","Mono","TNF","Mono","LTBR",NA,NA,NA,NA
"54","Mono:TNF_Mono:TRADD","Mono","TNF","Mono","TRADD",NA,NA,NA,NA
"55","Mono:TNF_Mono:VSIR","Mono","TNF","Mono","VSIR",NA,NA,NA,NA
"56","Mono:TNFSF13_Mono:FAS","Mono","TNFSF13","Mono","FAS",NA,NA,NA,NA
"57","Mono:TNFSF13_Mono:TNFRSF14","Mono","TNFSF13","Mono","TNFRSF14",NA,NA,NA,NA
"58","Mono:TNFSF13_Mono:TNFRSF1A","Mono","TNFSF13","Mono","TNFRSF1A",NA,NA,NA,NA
"59","Mono:TOR2A_Mono:ATP5F1B","Mono","TOR2A","Mono","ATP5F1B",NA,NA,NA,NA
"60","Mono:TSPAN3_Mono:ADAM10","Mono","TSPAN3","Mono","ADAM10",NA,NA,NA,NA
"61","Mono:TYK2_Mono:IFNAR1","Mono","TYK2","Mono","IFNAR1",NA,NA,NA,NA
"62","Mono:TYK2_Mono:IFNAR2","Mono","TYK2","Mono","IFNAR2",NA,NA,NA,NA
"63","Mono:TYK2_Mono:JAK1","Mono","TYK2","Mono","JAK1",NA,NA,NA,NA
"64","Gran:ACTR2_Mono:LDLR","Gran","ACTR2","Mono","LDLR",NA,NA,NA,NA
"65","Gran:ADAM10_Mono:CADM1","Gran","ADAM10","Mono","CADM1",NA,NA,NA,NA
"66","Gran:ADAM10_Mono:CD44","Gran","ADAM10","Mono","CD44",NA,NA,NA,NA
"67","Gran:ADAM10_Mono:IL6R","Gran","ADAM10","Mono","IL6R",NA,NA,NA,NA
"68","Gran:ADAM10_Mono:NOTCH2","Gran","ADAM10","Mono","NOTCH2",NA,NA,NA,NA
"69","Gran:ADAM10_Mono:TSPAN14","Gran","ADAM10","Mono","TSPAN14",NA,NA,NA,NA
"70","Gran:ALOX5AP_Mono:ALOX5","Gran","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
