"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene"
"1","Mono:ADAM9_Mono:ITGB1","Mono","ADAM9","Mono","ITGB1"
"2","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5"
"3","Mono:APP_Mono:APLP2","Mono","APP","Mono","APLP2"
"4","Mono:APP_Mono:LRP1","Mono","APP","Mono","LRP1"
"5","Mono:APP_Mono:LRP10","Mono","APP","Mono","LRP10"
"6","Mono:APP_Mono:NCSTN","Mono","APP","Mono","NCSTN"
"7","Mono:APP_Mono:NOTCH2","Mono","APP","Mono","NOTCH2"
"8","Mono:APP_Mono:PTGER2","Mono","APP","Mono","PTGER2"
"9","Mono:APP_Mono:RPSA","Mono","APP","Mono","RPSA"
"10","Mono:APP_Mono:SORL1","Mono","APP","Mono","SORL1"
"11","Mono:CCL5_Mono:CCR1","Mono","CCL5","Mono","CCR1"
"12","Mono:CCL5_Mono:SDC4","Mono","CCL5","Mono","SDC4"
"13","Mono:CD14_Mono:ITGA4","Mono","CD14","Mono","ITGA4"
"14","Mono:CD4_Mono:CXCR4","Mono","CD4","Mono","CXCR4"
"15","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10"
"16","Mono:FAM3C_Mono:FFAR2","Mono","FAM3C","Mono","FFAR2"
"17","Mono:FAM3C_Mono:HLA-C","Mono","FAM3C","Mono","HLA-C"
"18","Mono:FAM3C_Mono:LAMP1","Mono","FAM3C","Mono","LAMP1"
"19","Mono:FCGR1A_Mono:PILRA","Mono","FCGR1A","Mono","PILRA"
"20","Mono:FYN_Mono:SPN","Mono","FYN","Mono","SPN"
"21","Mono:GNAI2_Mono:ADCY7","Mono","GNAI2","Mono","ADCY7"
"22","Mono:GNAI2_Mono:C5AR1","Mono","GNAI2","Mono","C5AR1"
"23","Mono:GNAI2_Mono:FPR1","Mono","GNAI2","Mono","FPR1"
"24","Mono:HLA-B_Mono:CANX","Mono","HLA-B","Mono","CANX"
"25","Mono:HLA-B_Mono:LILRA1","Mono","HLA-B","Mono","LILRA1"
"26","Mono:HLA-B_Mono:LILRB1","Mono","HLA-B","Mono","LILRB1"
"27","Mono:HLA-B_Mono:LILRB2","Mono","HLA-B","Mono","LILRB2"
"28","Mono:HLA-B_Mono:SIGLEC10","Mono","HLA-B","Mono","SIGLEC10"
"29","Mono:HLA-DQB1_Mono:CD4","Mono","HLA-DQB1","Mono","CD4"
"30","Mono:HSP90B1_Mono:ASGR1","Mono","HSP90B1","Mono","ASGR1"
"31","Mono:HSP90B1_Mono:LRP1","Mono","HSP90B1","Mono","LRP1"
"32","Mono:HSP90B1_Mono:TLR2","Mono","HSP90B1","Mono","TLR2"
"33","Mono:HSP90B1_Mono:TLR4","Mono","HSP90B1","Mono","TLR4"
"34","Mono:IL18_Mono:CD48","Mono","IL18","Mono","CD48"
"35","Mono:IL1RN_Mono:IL1B","Mono","IL1RN","Mono","IL1B"
"36","Mono:IL1RN_Mono:IL1R2","Mono","IL1RN","Mono","IL1R2"
"37","Mono:IL1RN_Mono:IL1RAP","Mono","IL1RN","Mono","IL1RAP"
"38","Mono:LGALS9_Mono:CD44","Mono","LGALS9","Mono","CD44"
"39","Mono:LGALS9_Mono:CD47","Mono","LGALS9","Mono","CD47"
"40","Mono:LGALS9_Mono:HAVCR2","Mono","LGALS9","Mono","HAVCR2"
"41","Mono:LGALS9_Mono:LRP1","Mono","LGALS9","Mono","LRP1"
"42","Mono:LGALS9_Mono:PTPRC","Mono","LGALS9","Mono","PTPRC"
"43","Mono:LGALS9_Mono:SLC1A5","Mono","LGALS9","Mono","SLC1A5"
"44","Mono:LMAN1_Mono:MCFD2","Mono","LMAN1","Mono","MCFD2"
"45","Mono:LY86_Mono:CD180","Mono","LY86","Mono","CD180"
"46","Mono:QDPR_Mono:DYSF","Mono","QDPR","Mono","DYSF"
"47","Mono:RPS19_Mono:C5AR1","Mono","RPS19","Mono","C5AR1"
"48","Mono:S100A12_Mono:CD36","Mono","S100A12","Mono","CD36"
"49","Mono:S100A12_Mono:TLR4","Mono","S100A12","Mono","TLR4"
"50","Mono:SPTAN1_Mono:PTPRA","Mono","SPTAN1","Mono","PTPRA"
"51","Mono:TGFB1_Mono:CXCR4","Mono","TGFB1","Mono","CXCR4"
"52","Mono:TGFB1_Mono:ENG","Mono","TGFB1","Mono","ENG"
"53","Mono:TGFB1_Mono:ITGB1","Mono","TGFB1","Mono","ITGB1"
"54","Mono:TGFB1_Mono:LPP","Mono","TGFB1","Mono","LPP"
"55","Mono:TGFB1_Mono:SMAD3","Mono","TGFB1","Mono","SMAD3"
"56","Mono:TGFB1_Mono:TGFBR2","Mono","TGFB1","Mono","TGFBR2"
"57","Mono:TGOLN2_Mono:BTN3A1","Mono","TGOLN2","Mono","BTN3A1"
"58","Mono:TNF_Mono:FAS","Mono","TNF","Mono","FAS"
"59","Mono:TNF_Mono:FFAR2","Mono","TNF","Mono","FFAR2"
"60","Mono:TNF_Mono:LTBR","Mono","TNF","Mono","LTBR"
