"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","mean_weigth_case","mean_weight_control","log2FC_weights","direction"
"1","B-cells:HBEGF_Endothelial:CD9","B-cells","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"2","Endothelial:HBEGF_Endothelial:CD9","Endothelial","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"3","Fibroblasts:HBEGF_Endothelial:CD9","Fibroblasts","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"4","Lymphocytes:HBEGF_Endothelial:CD9","Lymphocytes","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"5","Mast:HBEGF_Endothelial:CD9","Mast","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"6","Myeloid:HBEGF_Endothelial:CD9","Myeloid","HBEGF","Endothelial","CD9",NA,NA,0.382515002114554,1.21269755069406e-20,NA,NA,NA,NA
"7","B-cells:HBEGF_Epithelial:CD44","B-cells","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"8","Endothelial:HBEGF_Epithelial:CD44","Endothelial","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"9","Fibroblasts:HBEGF_Epithelial:CD44","Fibroblasts","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"10","Lymphocytes:HBEGF_Epithelial:CD44","Lymphocytes","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"11","Mast:HBEGF_Epithelial:CD44","Mast","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"12","Myeloid:HBEGF_Epithelial:CD44","Myeloid","HBEGF","Epithelial","CD44",NA,NA,0.270140311770534,0,NA,NA,NA,NA
"13","B-cells:HBEGF_Myeloid:CD44","B-cells","HBEGF","Myeloid","CD44",NA,NA,0.259379687423267,6.05039640057368e-32,NA,NA,NA,NA
"14","Fibroblasts:HBEGF_Myeloid:CD44","Fibroblasts","HBEGF","Myeloid","CD44",NA,NA,0.259379687423267,6.05039640057368e-32,NA,NA,NA,NA
"15","Lymphocytes:HBEGF_Myeloid:CD44","Lymphocytes","HBEGF","Myeloid","CD44",NA,NA,0.259379687423267,6.05039640057368e-32,NA,NA,NA,NA
"16","Mast:HBEGF_Myeloid:CD44","Mast","HBEGF","Myeloid","CD44",NA,NA,0.259379687423267,6.05039640057368e-32,NA,NA,NA,NA
"17","Myeloid:HBEGF_Myeloid:CD44","Myeloid","HBEGF","Myeloid","CD44",NA,NA,0.259379687423267,6.05039640057368e-32,NA,NA,NA,NA
"18","Epithelial:PLA2G2A_B-cells:EGFR","Epithelial","PLA2G2A","B-cells","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"19","Epithelial:PLA2G2A_Endothelial:EGFR","Epithelial","PLA2G2A","Endothelial","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"20","Epithelial:PLA2G2A_Epithelial:EGFR","Epithelial","PLA2G2A","Epithelial","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"21","Epithelial:PLA2G2A_Lymphocytes:EGFR","Epithelial","PLA2G2A","Lymphocytes","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"22","Epithelial:PLA2G2A_Mast:EGFR","Epithelial","PLA2G2A","Mast","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"23","Epithelial:PLA2G2A_Myeloid:EGFR","Epithelial","PLA2G2A","Myeloid","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"24","Epithelial:PLA2G2A_Plasma:EGFR","Epithelial","PLA2G2A","Plasma","EGFR",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"25","Epithelial:PLA2G2A_B-cells:ITGB1","Epithelial","PLA2G2A","B-cells","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"26","Epithelial:PLA2G2A_Endothelial:ITGB1","Epithelial","PLA2G2A","Endothelial","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"27","Epithelial:PLA2G2A_Epithelial:ITGB1","Epithelial","PLA2G2A","Epithelial","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"28","Epithelial:PLA2G2A_Fibroblasts:ITGB1","Epithelial","PLA2G2A","Fibroblasts","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"29","Epithelial:PLA2G2A_Lymphocytes:ITGB1","Epithelial","PLA2G2A","Lymphocytes","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"30","Epithelial:PLA2G2A_Mast:ITGB1","Epithelial","PLA2G2A","Mast","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"31","Epithelial:PLA2G2A_Myeloid:ITGB1","Epithelial","PLA2G2A","Myeloid","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"32","Epithelial:PLA2G2A_Plasma:ITGB1","Epithelial","PLA2G2A","Plasma","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"33","Epithelial:PLA2G2A_T-cells:ITGB1","Epithelial","PLA2G2A","T-cells","ITGB1",0.95932001982972,0.95932001982972,NA,NA,NA,NA,NA,NA
"34","Endothelial:ANXA2_B-cells:EGFR","Endothelial","ANXA2","B-cells","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"35","Endothelial:ANXA2_Endothelial:EGFR","Endothelial","ANXA2","Endothelial","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"36","Endothelial:ANXA2_Epithelial:EGFR","Endothelial","ANXA2","Epithelial","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"37","Endothelial:ANXA2_Lymphocytes:EGFR","Endothelial","ANXA2","Lymphocytes","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"38","Endothelial:ANXA2_Mast:EGFR","Endothelial","ANXA2","Mast","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"39","Endothelial:ANXA2_Myeloid:EGFR","Endothelial","ANXA2","Myeloid","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"40","Endothelial:ANXA2_Plasma:EGFR","Endothelial","ANXA2","Plasma","EGFR",0.422965244358864,0.422965244358864,NA,NA,NA,NA,NA,NA
"41","Epithelial:SPINK1_B-cells:EGFR","Epithelial","SPINK1","B-cells","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"42","Epithelial:SPINK1_Endothelial:EGFR","Epithelial","SPINK1","Endothelial","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"43","Epithelial:SPINK1_Epithelial:EGFR","Epithelial","SPINK1","Epithelial","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"44","Epithelial:SPINK1_Lymphocytes:EGFR","Epithelial","SPINK1","Lymphocytes","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"45","Epithelial:SPINK1_Mast:EGFR","Epithelial","SPINK1","Mast","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"46","Epithelial:SPINK1_Myeloid:EGFR","Epithelial","SPINK1","Myeloid","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"47","Epithelial:SPINK1_Plasma:EGFR","Epithelial","SPINK1","Plasma","EGFR",0.468852350451685,0.468852350451685,NA,NA,NA,NA,NA,NA
"48","Epithelial:HSP90AA1_B-cells:EGFR","Epithelial","HSP90AA1","B-cells","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"49","Fibroblasts:HSP90AA1_B-cells:EGFR","Fibroblasts","HSP90AA1","B-cells","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"50","Epithelial:HSP90AA1_Endothelial:EGFR","Epithelial","HSP90AA1","Endothelial","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"51","Fibroblasts:HSP90AA1_Endothelial:EGFR","Fibroblasts","HSP90AA1","Endothelial","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"52","Epithelial:HSP90AA1_Epithelial:EGFR","Epithelial","HSP90AA1","Epithelial","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"53","Fibroblasts:HSP90AA1_Epithelial:EGFR","Fibroblasts","HSP90AA1","Epithelial","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"54","Epithelial:HSP90AA1_Lymphocytes:EGFR","Epithelial","HSP90AA1","Lymphocytes","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"55","Fibroblasts:HSP90AA1_Lymphocytes:EGFR","Fibroblasts","HSP90AA1","Lymphocytes","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"56","Epithelial:HSP90AA1_Mast:EGFR","Epithelial","HSP90AA1","Mast","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"57","Fibroblasts:HSP90AA1_Mast:EGFR","Fibroblasts","HSP90AA1","Mast","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"58","Epithelial:HSP90AA1_Myeloid:EGFR","Epithelial","HSP90AA1","Myeloid","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
"59","Fibroblasts:HSP90AA1_Myeloid:EGFR","Fibroblasts","HSP90AA1","Myeloid","EGFR",0.2595961125446,0.2595961125446,NA,NA,NA,NA,NA,NA
"60","Epithelial:HSP90AA1_Plasma:EGFR","Epithelial","HSP90AA1","Plasma","EGFR",0.252328463438891,0.252328463438891,NA,NA,NA,NA,NA,NA
