"","interaction_ID","N10.A","N106.B","N11.B","N111.B1","N12.B","N14.B","N15.A","N16.A","N17.A","N18.A","N19.B","N20.A","N21.A","N24.B","N44.B","N46.A","N49.B","N50.B","N51.A","N52.B1a","N539.B","N9.B"
"1","Endothelial:HLA-C_B-cells:CD3D",0,0,0,0,0,0,0,0,0,0,0.568,0,0,0,0,0,0,0,0,0,0,0
"2","Endothelial:HLA-C_Lymphocytes:CD3D",0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","B-cells:HBEGF_Endothelial:CD9",0,0,0,0,0,0,0,0.887,1.113,0,0,0.855,1.231,0,0,1.205,0.917,0,0,0,0,0
"4","Endothelial:HBEGF_Endothelial:CD9",0,0,0,0,0,0,0,0,0,0,0,0,0,1.109,0,0,0,0,0,0,0,0
"5","Fibroblasts:HBEGF_Endothelial:CD9",0,0,1.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Lymphocytes:HBEGF_Endothelial:CD9",1.193,0,1.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.232,0,0
"7","Mast:HBEGF_Endothelial:CD9",0,0,1.299,0.925,0,0,0,0,0,0,0,0,0,1.115,0,0,0,0,0,0,0,0
"8","Myeloid:HBEGF_Endothelial:CD9",0,0,1.239,0,0,0,0,0,0,1.201,0,0,0,0,0,0,0,0,0,0,0,0
"9","B-cells:HBEGF_Epithelial:CD44",0,0,0,0,0,0,0,0.109,0.17,0,0,0.187,0.185,0,0,0.121,0.166,0,0,0,0,0
"10","Endothelial:HBEGF_Epithelial:CD44",0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0
"11","Fibroblasts:HBEGF_Epithelial:CD44",0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Lymphocytes:HBEGF_Epithelial:CD44",0.122,0,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0
"13","Mast:HBEGF_Epithelial:CD44",0,0,0.17,0.174,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0
"14","Myeloid:HBEGF_Epithelial:CD44",0,0,0.11,0,0,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0
"15","B-cells:HBEGF_Myeloid:CD44",0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Fibroblasts:HBEGF_Myeloid:CD44",0,0,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Lymphocytes:HBEGF_Myeloid:CD44",0.085,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"18","Mast:HBEGF_Myeloid:CD44",0,0,0.149,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Myeloid:HBEGF_Myeloid:CD44",0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","B-cells:ADAM17_Epithelial:MUC1",0,0,0,0,0,0,0,0.137,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0
"30","Lymphocytes:ADAM17_Epithelial:MUC1",0,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,0,0,0,0,0
"31","Mast:ADAM17_Epithelial:MUC1",0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Plasma:ADAM17_Epithelial:MUC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0
"33","Endothelial:S100A4_Endothelial:EGFR",0,0,0,0,0,0,0,0,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0
"34","Endothelial:S100A4_Epithelial:EGFR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0
"35","Endothelial:S100A4_B-cells:ERBB2",0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0.166,0,0
"36","Endothelial:S100A4_Endothelial:ERBB2",0,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.128,0,0
"37","Endothelial:S100A4_Epithelial:ERBB2",0,0,0,0,0,0,0,0,0,0,0,0,0.157,0,0,0,0,0,0,0.142,0,0
"38","Endothelial:S100A4_Fibroblasts:ERBB2",0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0.097,0,0
