"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene"
"1","Epithelial:APP_Epithelial:APLP2","Epithelial","APP","Epithelial","APLP2"
"2","Epithelial:APP_Epithelial:CD74","Epithelial","APP","Epithelial","CD74"
"3","Epithelial:APP_Epithelial:LRP1","Epithelial","APP","Epithelial","LRP1"
"4","Epithelial:APP_Epithelial:LRP10","Epithelial","APP","Epithelial","LRP10"
"5","Epithelial:APP_Epithelial:NCSTN","Epithelial","APP","Epithelial","NCSTN"
"6","Epithelial:APP_Epithelial:RPSA","Epithelial","APP","Epithelial","RPSA"
"7","Epithelial:APP_Epithelial:TSPAN15","Epithelial","APP","Epithelial","TSPAN15"
"8","Epithelial:ARF6_Epithelial:SMAP1","Epithelial","ARF6","Epithelial","SMAP1"
"9","Epithelial:CA2_Epithelial:AQP1","Epithelial","CA2","Epithelial","AQP1"
"10","Epithelial:CD320_Epithelial:TMEM167A","Epithelial","CD320","Epithelial","TMEM167A"
"11","Epithelial:CLDN4_Epithelial:EFNB1","Epithelial","CLDN4","Epithelial","EFNB1"
"12","Epithelial:COPA_Epithelial:CD74","Epithelial","COPA","Epithelial","CD74"
"13","Epithelial:COPA_Epithelial:SORT1","Epithelial","COPA","Epithelial","SORT1"
"14","Epithelial:DNAJA3_Epithelial:ERBB2","Epithelial","DNAJA3","Epithelial","ERBB2"
"15","Epithelial:DSC2_Epithelial:DSG2","Epithelial","DSC2","Epithelial","DSG2"
"16","Epithelial:EFNB1_Epithelial:DAG1","Epithelial","EFNB1","Epithelial","DAG1"
"17","Epithelial:EFNB1_Epithelial:ITLN1","Epithelial","EFNB1","Epithelial","ITLN1"
"18","Epithelial:FADD_Epithelial:TRADD","Epithelial","FADD","Epithelial","TRADD"
"19","Epithelial:FGFR4_Epithelial:SDC4","Epithelial","FGFR4","Epithelial","SDC4"
"20","Epithelial:GNAS_Epithelial:VIPR1","Epithelial","GNAS","Epithelial","VIPR1"
"21","Epithelial:GRN_Epithelial:SORT1","Epithelial","GRN","Epithelial","SORT1"
"22","Epithelial:GRN_Epithelial:TNFRSF1A","Epithelial","GRN","Epithelial","TNFRSF1A"
"23","Epithelial:GUCA2B_Epithelial:GUCY2C","Epithelial","GUCA2B","Epithelial","GUCY2C"
"24","Epithelial:HMGB1_Epithelial:SDC1","Epithelial","HMGB1","Epithelial","SDC1"
"25","Epithelial:LAMA1_Epithelial:CD44","Epithelial","LAMA1","Epithelial","CD44"
"26","Epithelial:LAMA1_Epithelial:DAG1","Epithelial","LAMA1","Epithelial","DAG1"
"27","Epithelial:LAMA1_Epithelial:ITGA3","Epithelial","LAMA1","Epithelial","ITGA3"
"28","Epithelial:LAMA1_Epithelial:ITGA6","Epithelial","LAMA1","Epithelial","ITGA6"
"29","Epithelial:LAMA1_Epithelial:ITGB1","Epithelial","LAMA1","Epithelial","ITGB1"
"30","Epithelial:LAMA1_Epithelial:ITGB4","Epithelial","LAMA1","Epithelial","ITGB4"
"31","Epithelial:LAMA1_Epithelial:RPSA","Epithelial","LAMA1","Epithelial","RPSA"
"32","Epithelial:LAMA1_Epithelial:SDC4","Epithelial","LAMA1","Epithelial","SDC4"
"33","Epithelial:LGALS3_Epithelial:ANXA2","Epithelial","LGALS3","Epithelial","ANXA2"
"34","Epithelial:LGALS3_Epithelial:PTPRK","Epithelial","LGALS3","Epithelial","PTPRK"
"35","Epithelial:MDK_Epithelial:ITGA6","Epithelial","MDK","Epithelial","ITGA6"
"36","Epithelial:MDK_Epithelial:ITGB1","Epithelial","MDK","Epithelial","ITGB1"
"37","Epithelial:MDK_Epithelial:LRP1","Epithelial","MDK","Epithelial","LRP1"
"38","Epithelial:MDK_Epithelial:NCL","Epithelial","MDK","Epithelial","NCL"
"39","Epithelial:MDK_Epithelial:SDC1","Epithelial","MDK","Epithelial","SDC1"
"40","Epithelial:MDK_Epithelial:SDC4","Epithelial","MDK","Epithelial","SDC4"
"41","Epithelial:MDK_Epithelial:SORL1","Epithelial","MDK","Epithelial","SORL1"
"42","Epithelial:MDK_Epithelial:TSPAN1","Epithelial","MDK","Epithelial","TSPAN1"
"43","Epithelial:MIF_Epithelial:CD44","Epithelial","MIF","Epithelial","CD44"
"44","Epithelial:MIF_Epithelial:CD74","Epithelial","MIF","Epithelial","CD74"
"45","Epithelial:MIF_Epithelial:TNFRSF14","Epithelial","MIF","Epithelial","TNFRSF14"
"46","Epithelial:MMP15_Epithelial:DDR1","Epithelial","MMP15","Epithelial","DDR1"
"47","Epithelial:MUC2_Epithelial:AGR2","Epithelial","MUC2","Epithelial","AGR2"
"48","Epithelial:PA2G4_Epithelial:ERBB3","Epithelial","PA2G4","Epithelial","ERBB3"
"49","Epithelial:PKM_Epithelial:CD44","Epithelial","PKM","Epithelial","CD44"
"50","Epithelial:PLA2G2A_Epithelial:ERBB3","Epithelial","PLA2G2A","Epithelial","ERBB3"
"51","Epithelial:PLA2G2A_Epithelial:ITGB1","Epithelial","PLA2G2A","Epithelial","ITGB1"
"52","Epithelial:PLXNA2_Epithelial:SEMA6A","Epithelial","PLXNA2","Epithelial","SEMA6A"
"53","Epithelial:PTMA_Epithelial:VIPR1","Epithelial","PTMA","Epithelial","VIPR1"
"54","Epithelial:SLPI_Epithelial:PLSCR1","Epithelial","SLPI","Epithelial","PLSCR1"
"55","Epithelial:SPINT1_Epithelial:ST14","Epithelial","SPINT1","Epithelial","ST14"
"56","Epithelial:STUB1_Epithelial:DNAJA3","Epithelial","STUB1","Epithelial","DNAJA3"
"57","Epithelial:STUB1_Epithelial:ERBB2","Epithelial","STUB1","Epithelial","ERBB2"
"58","Epithelial:TJP3_Epithelial:CLDN3","Epithelial","TJP3","Epithelial","CLDN3"
"59","Epithelial:TJP3_Epithelial:CLDN4","Epithelial","TJP3","Epithelial","CLDN4"
"60","Epithelial:TJP3_Epithelial:CLDN7","Epithelial","TJP3","Epithelial","CLDN7"
"61","Epithelial:TJP3_Epithelial:F11R","Epithelial","TJP3","Epithelial","F11R"
"62","Fibroblasts:ADM_Epithelial:VIPR1","Fibroblasts","ADM","Epithelial","VIPR1"
"63","Fibroblasts:ANGPTL4_Epithelial:SDC1","Fibroblasts","ANGPTL4","Epithelial","SDC1"
"64","Fibroblasts:ANGPTL4_Epithelial:SDC4","Fibroblasts","ANGPTL4","Epithelial","SDC4"
"65","Fibroblasts:APP_Epithelial:APLP2","Fibroblasts","APP","Epithelial","APLP2"
"66","Fibroblasts:APP_Epithelial:CD74","Fibroblasts","APP","Epithelial","CD74"
"67","Fibroblasts:APP_Epithelial:LRP1","Fibroblasts","APP","Epithelial","LRP1"
"68","Fibroblasts:APP_Epithelial:LRP10","Fibroblasts","APP","Epithelial","LRP10"
"69","Fibroblasts:APP_Epithelial:NCSTN","Fibroblasts","APP","Epithelial","NCSTN"
"70","Fibroblasts:APP_Epithelial:RPSA","Fibroblasts","APP","Epithelial","RPSA"
"71","Fibroblasts:APP_Epithelial:TSPAN15","Fibroblasts","APP","Epithelial","TSPAN15"
"72","Fibroblasts:BMP4_Epithelial:ACVRL1","Fibroblasts","BMP4","Epithelial","ACVRL1"
"73","Fibroblasts:BMP4_Epithelial:RGMB","Fibroblasts","BMP4","Epithelial","RGMB"
"74","Fibroblasts:COL18A1_Epithelial:ITGA3","Fibroblasts","COL18A1","Epithelial","ITGA3"
"75","Fibroblasts:COL18A1_Epithelial:ITGB1","Fibroblasts","COL18A1","Epithelial","ITGB1"
"76","Fibroblasts:COL1A1_Epithelial:CD44","Fibroblasts","COL1A1","Epithelial","CD44"
"77","Fibroblasts:COL1A1_Epithelial:DDR1","Fibroblasts","COL1A1","Epithelial","DDR1"
"78","Fibroblasts:COL1A1_Epithelial:ITGA3","Fibroblasts","COL1A1","Epithelial","ITGA3"
"79","Fibroblasts:COL1A1_Epithelial:ITGB1","Fibroblasts","COL1A1","Epithelial","ITGB1"
"80","Fibroblasts:COL1A1_Epithelial:SDC1","Fibroblasts","COL1A1","Epithelial","SDC1"
"81","Fibroblasts:COL1A1_Epithelial:SDC4","Fibroblasts","COL1A1","Epithelial","SDC4"
"82","Fibroblasts:COL1A2_Epithelial:CD44","Fibroblasts","COL1A2","Epithelial","CD44"
"83","Fibroblasts:COL1A2_Epithelial:DDR1","Fibroblasts","COL1A2","Epithelial","DDR1"
"84","Fibroblasts:COL1A2_Epithelial:ITGA3","Fibroblasts","COL1A2","Epithelial","ITGA3"
"85","Fibroblasts:COL1A2_Epithelial:ITGB1","Fibroblasts","COL1A2","Epithelial","ITGB1"
"86","Fibroblasts:COL1A2_Epithelial:SDC1","Fibroblasts","COL1A2","Epithelial","SDC1"
