Gene;OverallAverageExpression;case_avg;control_avg
A1BG-AS1;8,12975378997714e-03;0,008099766846852012;8,17473460516357e-03
A1CF;3,57897068833134e-02;0,027919350739807794;4,75953462132464e-02
A2M;1,88902953786463e-01;0,180158493373900608;2,02019761194319e-01
A4GALT;1,38374903510709e-02;0,015571004366515460;1,12371961754879e-02
AAAS;4,76681243654908e-02;0,043908318975009526;5,33078826663126e-02
AACS;3,06602552580471e-02;0,031989271373461955;2,86667133348899e-02
AAED1;5,10331091317617e-02;0,051325631481974679;5,05943216995806e-02
AAGAB;3,63153853938293e-02;0,038624359393827259;3,28518935557042e-02
AAK1;3,75555136350447e-02;0,046408277963785001;2,42762489064410e-02
AAMDC;1,17528340238894e-01;0,091632377529738129;1,56372630163176e-01
AAMP;1,85551928721038e-01;0,158422230638255473;2,26246838183246e-01
AAR2;2,47071363520455e-02;0,022888016608579011;2,74358402629920e-02
AARS;5,37224533390855e-02;0,053588432399983468;5,39234865376916e-02
AARS2;8,27649969450000e-03;0,007861945507149947;8,89833651221588e-03
AARSD1;3,94807800174536e-02;0,035518210166619935;4,54246877168796e-02
AASDH;2,74341487095735e-02;0,031449611683247190;2,14109006194590e-02
AASDHPPT;4,65579630850385e-02;0,047584211509311150;4,50185767422905e-02
AASS;4,42275429308536e-03;0,005004909638637261;3,54951349962400e-03
AATF;7,65276884186472e-02;0,075374656398815382;7,82572518480266e-02
ABAT;1,17859142864325e-02;0,009874089538623777;1,46536769420392e-02
ABCA1;2,49847348822493e-02;0,025918260644063260;2,35844337715719e-02
ABCA10;5,91187100555448e-03;0,005757342383367114;6,14366600268443e-03
ABCA2;1,40544062424359e-02;0,013276431259522856;1,52213791072613e-02
ABCA5;5,65576967644918e-02;0,061029781314115815;4,98495102119186e-02
ABCA6;1,02410080051922e-02;0,009806026650252205;1,08934858471135e-02
ABCA7;1,14865527151651e-02;0,011399872792188641;1,16165737573071e-02
ABCA8;4,31937953420324e-02;0,031827130206865964;6,02439448553589e-02
ABCB1;3,33256122413092e-02;0,023768836759074586;4,76609031027663e-02
ABCB10;1,20069864894181e-02;0,013572229111533782;9,65910165122247e-03
ABCB7;3,02895375138232e-02;0,028986915640337407;3,22434877215714e-02
ABCB8;3,59468399221686e-02;0,034259464474337732;3,84779256301150e-02
ABCB9;2,42241011161110e-02;0,022016204892749743;2,75359749393092e-02
ABCC1;1,13569966897665e-02;0,013134749296574337;8,69034403629801e-03
ABCC10;1,16891370837255e-02;0,011552462533425499;1,18941507345696e-02
ABCC3;1,29969737967354e-01;0,110145107355207286;1,59706948658801e-01
ABCC4;1,86298701532759e-02;0,022756188760370173;1,24403371324680e-02
ABCC5;2,19000958937659e-02;0,020179939841957262;2,44803529454892e-02
ABCC6;2,23785450064700e-02;0,014550193265412695;3,41211771717294e-02
ABCD1;8,67365936813813e-03;0,008942679590201723;8,27012544207024e-03
