"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","mean_weigth_case","mean_weight_control","log2FC_weights","direction"
"1","DC:VCAN_DC:FN1","DC","VCAN","DC","FN1",-0.251523844617799,-0.251523844617799,NA,NA,0.358857142857143,NA,NA,NA
"2","DC:VCAN_Ery:FN1","DC","VCAN","Ery","FN1",-0.251523844617799,-0.251523844617799,NA,NA,0.386833333333333,NA,NA,NA
"3","DC:VCAN_HSPC:FN1","DC","VCAN","HSPC","FN1",-0.251523844617799,-0.251523844617799,NA,NA,0.304714285714286,NA,NA,NA
"4","DC:VCAN_Mono:FN1","DC","VCAN","Mono","FN1",-0.251523844617799,-0.251523844617799,NA,NA,0.349142857142857,NA,NA,NA
"5","DC:VCAN_T:FN1","DC","VCAN","T","FN1",-0.251523844617799,-0.251523844617799,NA,NA,0.327,NA,NA,NA
"6","DC:VCAN_DC:LDLR","DC","VCAN","DC","LDLR",-0.251523844617799,-0.251523844617799,NA,NA,0.366,NA,NA,NA
"7","DC:VCAN_Ery:LDLR","DC","VCAN","Ery","LDLR",-0.251523844617799,-0.251523844617799,NA,NA,0.405333333333333,NA,NA,NA
"8","DC:VCAN_HSPC:LDLR","DC","VCAN","HSPC","LDLR",-0.251523844617799,-0.251523844617799,NA,NA,0.354857142857143,NA,NA,NA
"9","DC:VCAN_Mono:LDLR","DC","VCAN","Mono","LDLR",-0.251523844617799,-0.251523844617799,NA,NA,0.377857142857143,NA,NA,NA
"10","DC:VCAN_T:LDLR","DC","VCAN","T","LDLR",-0.251523844617799,-0.251523844617799,NA,NA,0.336666666666667,NA,NA,NA
"11","DC:VCAN_DC:ITGB1","DC","VCAN","DC","ITGB1",-0.251523844617799,-0.251523844617799,NA,NA,0.569,NA,NA,NA
"12","DC:VCAN_Ery:ITGB1","DC","VCAN","Ery","ITGB1",-0.251523844617799,-0.251523844617799,NA,NA,0.616666666666667,NA,NA,NA
"13","DC:VCAN_HSPC:ITGB1","DC","VCAN","HSPC","ITGB1",-0.251523844617799,-0.251523844617799,NA,NA,0.534142857142857,NA,NA,NA
"14","DC:VCAN_Mono:ITGB1","DC","VCAN","Mono","ITGB1",-0.251523844617799,-0.251523844617799,NA,NA,0.435428571428571,NA,NA,NA
"15","DC:VCAN_T:ITGB1","DC","VCAN","T","ITGB1",-0.251523844617799,-0.251523844617799,NA,NA,0.424666666666667,NA,NA,NA
"16","DC:VCAN_DC:TLR2","DC","VCAN","DC","TLR2",-0.251523844617799,-0.251523844617799,NA,NA,0.408285714285714,NA,NA,NA
"17","DC:VCAN_Ery:TLR2","DC","VCAN","Ery","TLR2",-0.251523844617799,-0.251523844617799,NA,NA,0.391833333333333,NA,NA,NA
"18","DC:VCAN_HSPC:TLR2","DC","VCAN","HSPC","TLR2",-0.251523844617799,-0.251523844617799,NA,NA,0.369428571428571,NA,NA,NA
"19","DC:VCAN_Mono:TLR2","DC","VCAN","Mono","TLR2",-0.251523844617799,-0.251523844617799,NA,NA,0.405571428571429,NA,NA,NA
"20","DC:VCAN_T:TLR2","DC","VCAN","T","TLR2",-0.251523844617799,-0.251523844617799,NA,NA,0.329833333333333,NA,NA,NA
