"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene"
"1","Mono:ACKR3_Mono:CXCR4","Mono","ACKR3","Mono","CXCR4"
"2","Mono:ACTR2_Mono:LDLR","Mono","ACTR2","Mono","LDLR"
"3","Mono:ADAM10_Mono:CADM1","Mono","ADAM10","Mono","CADM1"
"4","Mono:ADAM10_Mono:CD44","Mono","ADAM10","Mono","CD44"
"5","Mono:ADAM10_Mono:IL6R","Mono","ADAM10","Mono","IL6R"
"6","Mono:ADAM10_Mono:NOTCH2","Mono","ADAM10","Mono","NOTCH2"
"7","Mono:ADAM10_Mono:TSPAN14","Mono","ADAM10","Mono","TSPAN14"
"8","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5"
"9","Mono:APP_Mono:APLP2","Mono","APP","Mono","APLP2"
"10","Mono:APP_Mono:CD74","Mono","APP","Mono","CD74"
"11","Mono:APP_Mono:LRP1","Mono","APP","Mono","LRP1"
"12","Mono:APP_Mono:LRP10","Mono","APP","Mono","LRP10"
"13","Mono:APP_Mono:NCSTN","Mono","APP","Mono","NCSTN"
"14","Mono:APP_Mono:NOTCH2","Mono","APP","Mono","NOTCH2"
"15","Mono:APP_Mono:PTGER2","Mono","APP","Mono","PTGER2"
"16","Mono:APP_Mono:RPSA","Mono","APP","Mono","RPSA"
"17","Mono:ARPC5_Mono:LDLR","Mono","ARPC5","Mono","LDLR"
"18","Mono:CCR1_Mono:MBP","Mono","CCR1","Mono","MBP"
"19","Mono:CCR1_Mono:PRNP","Mono","CCR1","Mono","PRNP"
"20","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10"
"21","Mono:CD53_Mono:CD37","Mono","CD53","Mono","CD37"
"22","Mono:CD74_Mono:ACKR3","Mono","CD74","Mono","ACKR3"
"23","Mono:CD74_Mono:CXCR4","Mono","CD74","Mono","CXCR4"
"24","Mono:CD82_Mono:CD37","Mono","CD82","Mono","CD37"
"25","Mono:COPA_Mono:CD74","Mono","COPA","Mono","CD74"
"26","Mono:COPA_Mono:SORT1","Mono","COPA","Mono","SORT1"
"27","Mono:FCGR1A_Mono:LILRB3","Mono","FCGR1A","Mono","LILRB3"
"28","Mono:FCGR1A_Mono:PILRA","Mono","FCGR1A","Mono","PILRA"
"29","Mono:IL18_Mono:CD48","Mono","IL18","Mono","CD48"
"30","Mono:IL1RN_Mono:IL1B","Mono","IL1RN","Mono","IL1B"
"31","Mono:IL1RN_Mono:IL1R2","Mono","IL1RN","Mono","IL1R2"
"32","Mono:IL1RN_Mono:IL1RAP","Mono","IL1RN","Mono","IL1RAP"
"33","Mono:JAK1_Mono:IFNAR1","Mono","JAK1","Mono","IFNAR1"
"34","Mono:JAK1_Mono:IFNAR2","Mono","JAK1","Mono","IFNAR2"
"35","Mono:LILRB4_Mono:LAIR1","Mono","LILRB4","Mono","LAIR1"
"36","Mono:LMAN1_Mono:MCFD2","Mono","LMAN1","Mono","MCFD2"
"37","Mono:LY86_Mono:CD180","Mono","LY86","Mono","CD180"
"38","Mono:MIF_Mono:ACKR3","Mono","MIF","Mono","ACKR3"
"39","Mono:MIF_Mono:CD44","Mono","MIF","Mono","CD44"
"40","Mono:MIF_Mono:CD74","Mono","MIF","Mono","CD74"
"41","Mono:MIF_Mono:CXCR4","Mono","MIF","Mono","CXCR4"
"42","Mono:MIF_Mono:TNFRSF14","Mono","MIF","Mono","TNFRSF14"
"43","Mono:QDPR_Mono:DYSF","Mono","QDPR","Mono","DYSF"
"44","Mono:RPS19_Mono:C5AR1","Mono","RPS19","Mono","C5AR1"
"45","Mono:S100A12_Mono:CD36","Mono","S100A12","Mono","CD36"
"46","Mono:S100A12_Mono:TLR4","Mono","S100A12","Mono","TLR4"
"47","Mono:TNF_Mono:FAS","Mono","TNF","Mono","FAS"
"48","Mono:TNF_Mono:FFAR2","Mono","TNF","Mono","FFAR2"
"49","Mono:TNF_Mono:LTBR","Mono","TNF","Mono","LTBR"
"50","Mono:TNF_Mono:TRADD","Mono","TNF","Mono","TRADD"
"51","Mono:TNF_Mono:VSIR","Mono","TNF","Mono","VSIR"
"52","Mono:TNFRSF1A_Mono:TNF","Mono","TNFRSF1A","Mono","TNF"
"53","Mono:TNFRSF1B_Mono:TNF","Mono","TNFRSF1B","Mono","TNF"
"54","Mono:TNFSF13_Mono:FAS","Mono","TNFSF13","Mono","FAS"
"55","Mono:TNFSF13_Mono:TNFRSF14","Mono","TNFSF13","Mono","TNFRSF14"
"56","Mono:TNFSF13_Mono:TNFRSF1A","Mono","TNFSF13","Mono","TNFRSF1A"
"57","Mono:TOR2A_Mono:ATP5F1B","Mono","TOR2A","Mono","ATP5F1B"
"58","Mono:TSPAN3_Mono:ADAM10","Mono","TSPAN3","Mono","ADAM10"
"59","Mono:TYK2_Mono:IFNAR1","Mono","TYK2","Mono","IFNAR1"
