Gene;OverallAverageExpression;case_avg;control_avg
A1BG;1,11029070231625e-01;1,24679681942328e-01;1,08438358948049e-01
A1BG-AS1;9,23346761585832e-03;7,83285874966608e-03;9,49928524150183e-03
A2M-AS1;1,23781618558529e-02;3,23395502678256e-03;1,41136152050130e-02
A4GALT;8,16996884064648e-03;3,03688813840090e-03;9,14416182017326e-03
AAAS;3,02239902064119e-02;2,92238698456868e-02;3,04138002426488e-02
AACS;8,33873449121880e-03;1,24881351562988e-02;7,55123138506341e-03
AADAT;7,76603476822849e-04;3,28594630101810e-03;3,00362345159464e-04
AAED1;4,92543947319482e-02;7,46982672465697e-02;4,44254735803919e-02
AAGAB;3,58650078342437e-02;4,27669079036060e-02;3,45551155915547e-02
AAK1;1,83942104017080e-01;1,08696021581306e-01;1,98222846810342e-01
AAMDC;3,75661547403041e-02;4,18433401011049e-02;3,67543997353996e-02
AAMP;7,61947228522246e-02;8,84952787618727e-02;7,38602348699466e-02
AAR2;2,48537905549941e-02;3,19679804227158e-02;2,35036084273056e-02
AARS;1,67874920435601e-02;2,10559426030328e-02;1,59773947920837e-02
AARS2;6,31656419049429e-03;1,57578582974906e-02;4,52472748068772e-03
AARSD1;4,17376471277226e-02;5,14079644466353e-02;3,99023447453230e-02
AASDH;3,02305594635390e-02;3,88420229019988e-02;2,85962139872387e-02
AASDHPPT;5,33884982223450e-02;9,70154233468656e-02;4,51086665500989e-02
AASS;1,54828968937306e-03;3,68644597859898e-03;1,14249500837697e-03
AATBC;2,15639301172215e-03;5,72737195154300e-03;1,47866694135478e-03
AATF;7,60909930206357e-02;7,81678543428091e-02;7,56968313394007e-02
ABALON;1,23107363914246e-03;3,60487572762296e-03;7,80556403289923e-04
ABAT;1,20318675122818e-02;1,36600406734742e-02;1,17228610977920e-02
ABCA1;1,77412845546240e-02;2,84973373100843e-02;1,56999234910419e-02
ABCA13;3,27265594866050e-05;4,47391955728661e-03;-8,10154994525880e-04
ABCA2;1,06424655895395e-02;1,17712445583096e-02;1,04282377971862e-02
ABCA5;2,21409550037157e-02;1,81618462148652e-02;2,28961388926376e-02
ABCA6;2,85707306378290e-03;5,22474992043910e-03;2,40771831848668e-03
ABCA7;4,06837600767879e-02;4,91224626017841e-02;3,90822024093681e-02
ABCB1;9,88662559811357e-03;1,21721847941665e-02;9,45285573314465e-03
ABCB10;5,17761337414191e-02;4,48874058107467e-02;5,30835260808762e-02
ABCB4;1,29326309116282e-03;-1,87068845870777e-04;1,57421113466359e-03
ABCB6;5,56413138370766e-04;6,66996269113898e-04;5,35425876359296e-04
ABCB7;5,23320036707403e-02;6,11223815750761e-02;5,06637025201184e-02
ABCB8;1,98187467390451e-02;1,02303167068098e-02;2,16385079631383e-02
ABCB9;7,25321824113025e-03;9,32941777960920e-03;6,85918215796520e-03
ABCC1;2,75018460838948e-02;6,13120499347293e-02;2,10851023897146e-02
ABCC10;9,83991070387470e-03;9,43853252370217e-03;9,91608714214660e-03
ABCC3;5,04115467618139e-03;6,81297917452972e-03;4,70488507759717e-03
ABCC4;1,28585433363380e-02;2,65426240817532e-02;1,02614800586013e-02
ABCC5;2,08123764622482e-02;2,48849084442827e-02;2,00394620477017e-02
ABCD1;1,03239223526756e-02;1,34038151589978e-02;9,73939814125975e-03
ABCD2;2,99971951266558e-03;1,44145747549401e-04;3,54167084284437e-03
ABCD3;2,88071083289578e-02;3,46519814705199e-02;2,76978262601519e-02
ABCD4;3,55883697785530e-02;4,56900230016614e-02;3,36712053655210e-02
ABCE1;1,12269139693378e-01;1,58101054707376e-01;1,03570829178725e-01
ABCF1;1,02158552184122e-01;1,13107280260511e-01;1,00080623812161e-01
ABCF2;3,36628388429550e-02;4,06024300424934e-02;3,23457933064571e-02
ABCF3;3,14130648919725e-02;2,90908220472703e-02;3,18537968436590e-02
