interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
Ery:GNAS_DC:ADRB2,0,0,0,1,0,0,0,0,0,0,1,0,0
Ery:GNAS_Gran:ADRB2,0,0,0,1,0,0,0,0,1,0,0,1,0
Ery:GNAS_HSPC:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
Ery:GNAS_Mono:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
Ery:GNAS_NK:ADRB2,0,0,0,1,1,0,0,0,0,0,1,0,0
Ery:GNAS_T:ADRB2,1,0,0,1,0,0,0,0,0,0,0,0,0
B:ARPC5_DC:ADRB2,0,0,0,1,0,0,0,0,0,0,1,0,0
B:ARPC5_Gran:ADRB2,0,0,0,1,0,0,0,0,1,0,0,1,0
B:ARPC5_HSPC:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
B:ARPC5_Mono:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
B:ARPC5_NK:ADRB2,0,0,0,1,1,0,0,0,0,0,1,0,0
B:ARPC5_T:ADRB2,1,0,0,1,0,0,0,0,0,0,0,0,0
Mono:IL1B_DC:ADRB2,0,0,0,1,0,0,0,0,0,0,1,0,0
Mono:IL1B_Gran:ADRB2,0,0,0,1,0,0,0,0,1,0,0,0,0
Mono:IL1B_HSPC:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
Mono:IL1B_Mono:ADRB2,0,0,0,1,0,0,0,0,0,0,0,0,0
Mono:IL1B_NK:ADRB2,0,0,0,1,0,0,0,0,0,0,1,0,0
Mono:IL1B_T:ADRB2,1,0,0,1,0,0,0,0,0,0,0,0,0
Ery:GNAS_B:ADCY7,1,0,0,1,0,0,0,0,0,0,0,0,0
Ery:GNAS_DC:ADCY7,0,1,0,1,0,0,0,0,1,1,1,1,1
Ery:GNAS_Ery:ADCY7,1,1,1,1,1,0,0,1,1,1,1,1,1
Ery:GNAS_Gran:ADCY7,1,1,1,1,0,0,0,1,0,1,1,1,1
Ery:GNAS_HSPC:ADCY7,1,0,0,1,0,0,0,0,0,1,1,0,1
Ery:GNAS_Mono:ADCY7,1,1,1,1,0,0,0,0,0,1,1,1,0
Ery:GNAS_NK:ADCY7,0,0,0,1,1,0,0,0,0,1,1,1,0
Ery:GNAS_T:ADCY7,0,0,0,1,0,0,0,0,0,0,0,0,0
Ery:GNAS_NK:PTGDR,0,0,0,1,1,0,0,0,0,1,1,1,1
Ery:GNAS_T:PTGDR,1,0,0,1,1,0,0,0,0,1,0,0,0
NK:TGFB1_HSPC:CAV1,1,0,0,0,0,0,0,0,0,0,0,0,0
T:TGFB1_HSPC:CAV1,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:CALR_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
Mono:CALR_Ery:LRP1,1,1,1,0,1,1,0,0,1,0,1,1,1
Mono:CALR_Gran:LRP1,1,1,0,1,1,0,0,1,1,1,1,1,0
Mono:CALR_Mono:LRP1,1,1,1,1,1,1,1,1,1,1,1,1,1
NK:CALR_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
NK:CALR_Ery:LRP1,1,0,1,0,1,1,0,0,1,0,1,1,1
NK:CALR_Gran:LRP1,1,0,0,1,1,0,0,1,1,1,1,1,0
NK:CALR_Mono:LRP1,1,0,1,1,1,1,1,1,1,1,1,1,1
Gran:FCN1_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
Gran:FCN1_Ery:LRP1,1,1,1,0,1,1,0,0,1,0,1,1,1
Gran:FCN1_Gran:LRP1,1,1,0,1,1,0,0,1,1,1,1,1,0
Gran:FCN1_Mono:LRP1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mono:FCN1_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
Mono:FCN1_Ery:LRP1,1,1,1,0,1,1,0,0,1,0,1,1,1
Mono:FCN1_Gran:LRP1,1,1,0,1,1,0,0,1,1,1,1,1,0
Mono:FCN1_Mono:LRP1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ery:SERPINE2_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
Ery:SERPINE2_Ery:LRP1,0,0,1,0,1,0,0,0,1,0,1,1,1
Ery:SERPINE2_Gran:LRP1,0,0,0,1,1,0,0,1,1,1,1,1,0
Ery:SERPINE2_Mono:LRP1,0,0,1,1,1,0,0,1,1,1,1,1,1
HSPC:SERPINE2_DC:LRP1,0,0,0,0,0,0,0,1,1,1,1,1,0
HSPC:SERPINE2_Ery:LRP1,1,0,0,0,0,0,0,0,1,0,1,1,1
HSPC:SERPINE2_Gran:LRP1,1,0,0,0,0,0,0,1,1,1,1,1,0
HSPC:SERPINE2_Mono:LRP1,1,0,0,0,0,0,0,1,1,1,1,1,1
B:CD74_Ery:MIF,1,1,1,1,1,1,0,1,1,1,1,1,1
DC:CD74_Ery:MIF,1,1,1,1,0,1,0,1,1,1,1,1,1
Ery:CD74_Ery:MIF,1,1,0,1,1,1,0,0,0,1,0,0,1
Gran:CD74_Ery:MIF,1,1,1,1,1,1,0,1,1,1,1,1,1
HSPC:CD74_Ery:MIF,1,1,1,1,1,1,0,1,1,1,1,1,1
Mono:CD74_Ery:MIF,1,1,1,1,1,1,0,1,1,1,1,1,1
NK:CD74_Ery:MIF,1,0,1,1,1,1,0,1,1,1,1,1,1
T:CD74_Ery:MIF,1,1,1,1,1,1,0,1,1,1,1,1,1
DC:ICAM1_DC:AREG,1,0,0,0,0,0,1,1,1,1,0,1,0
DC:ICAM1_Gran:AREG,1,0,0,0,0,0,1,1,1,1,0,1,0
Gran:ICAM1_DC:AREG,1,0,0,0,0,0,1,1,0,0,0,0,0
Gran:ICAM1_Gran:AREG,1,0,0,0,1,0,1,1,0,0,0,0,0
Mono:ICAM1_DC:AREG,1,1,0,1,0,1,1,1,1,1,0,0,0
Mono:ICAM1_Gran:AREG,1,1,0,1,0,1,1,1,1,1,0,0,0
NK:ICAM1_Gran:AREG,0,0,0,0,1,0,0,0,0,0,0,0,0
NK:TNFRSF1B_B:GRN,1,0,0,1,1,0,1,0,0,1,1,0,0
NK:TNFRSF1B_DC:GRN,1,0,1,1,0,1,1,1,1,1,1,1,1
NK:TNFRSF1B_Gran:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TNFRSF1B_HSPC:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
NK:TNFRSF1B_Mono:GRN,1,0,1,1,1,1,1,1,1,1,1,1,1
B:ARPC5_DC:LDLR,1,0,0,1,0,0,1,0,1,0,0,0,0
B:ARPC5_Ery:LDLR,0,0,0,1,0,0,0,0,1,1,1,1,1
B:ARPC5_Gran:LDLR,1,1,0,1,1,1,1,0,1,1,1,1,1
B:ARPC5_HSPC:LDLR,1,1,0,1,0,1,0,0,1,0,0,1,1
B:ARPC5_Mono:LDLR,1,1,0,1,1,0,0,0,1,0,0,0,1
B:ARPC5_T:LDLR,0,1,0,0,0,0,0,0,0,0,0,0,0
B:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Ery:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:MIF_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
