"","X","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","mean_case","mean_control","log2","sender_log2FC","receiver_log2FC"
"1",1,"Ery:GNAS_DC:ADRB2","Ery","GNAS","DC","ADRB2",0.2582,0.555666666666667,-1.10573069784543,-0.272905096488868,NA
"2",2,"Ery:GNAS_Gran:ADRB2","Ery","GNAS","Gran","ADRB2",0.283166666666667,0.561333333333333,-0.987206285882176,-0.272905096488868,NA
"3",3,"Ery:GNAS_HSPC:ADRB2","Ery","GNAS","HSPC","ADRB2",0.264,0.541833333333333,-1.03731122061075,-0.272905096488868,NA
"4",4,"Ery:GNAS_Mono:ADRB2","Ery","GNAS","Mono","ADRB2",0.348833333333333,0.549166666666667,-0.654706153639705,-0.272905096488868,NA
"5",5,"Ery:GNAS_NK:ADRB2","Ery","GNAS","NK","ADRB2",0.4132,0.573,-0.471694884779208,-0.272905096488868,NA
"6",6,"Ery:GNAS_T:ADRB2","Ery","GNAS","T","ADRB2",0.424833333333333,0.5565,-0.389484720040914,-0.272905096488868,NA
"7",7,"B:ARPC5_DC:ADRB2","B","ARPC5","DC","ADRB2",0.0828333333333333,0.165333333333333,-0.997094268824589,-0.284818863317868,NA
"8",8,"B:ARPC5_Gran:ADRB2","B","ARPC5","Gran","ADRB2",0.0841428571428571,0.171166666666667,-1.02448906382418,-0.284818863317868,NA
"9",9,"B:ARPC5_HSPC:ADRB2","B","ARPC5","HSPC","ADRB2",0.0794285714285714,0.151666666666667,-0.933174083698999,-0.284818863317868,NA
"10",10,"B:ARPC5_Mono:ADRB2","B","ARPC5","Mono","ADRB2",0.0935714285714286,0.158666666666667,-0.761859088219579,-0.284818863317868,NA
"11",11,"B:ARPC5_NK:ADRB2","B","ARPC5","NK","ADRB2",0.136666666666667,0.182666666666667,-0.418551983455081,-0.284818863317868,NA
"12",12,"B:ARPC5_T:ADRB2","B","ARPC5","T","ADRB2",0.116571428571429,0.166166666666667,-0.511416773763148,-0.284818863317868,NA
"13",13,"Mono:IL1B_DC:ADRB2","Mono","IL1B","DC","ADRB2",0.067,0.161333333333333,-1.26781154609567,0.290397533324859,NA
"14",14,"Mono:IL1B_Gran:ADRB2","Mono","IL1B","Gran","ADRB2",0.109142857142857,0.167166666666667,-0.61506948391288,0.290397533324859,NA
"15",15,"Mono:IL1B_HSPC:ADRB2","Mono","IL1B","HSPC","ADRB2",0.06,0.147833333333333,-1.30093719797139,0.290397533324859,NA
"16",16,"Mono:IL1B_Mono:ADRB2","Mono","IL1B","Mono","ADRB2",0.116571428571429,0.154833333333333,-0.409501865747605,0.290397533324859,NA
"17",17,"Mono:IL1B_NK:ADRB2","Mono","IL1B","NK","ADRB2",0.153833333333333,0.1785,-0.214555927104482,0.290397533324859,NA
"18",18,"Mono:IL1B_T:ADRB2","Mono","IL1B","T","ADRB2",0.131714285714286,0.162333333333333,-0.301547442989452,0.290397533324859,NA
"19",19,"Ery:GNAS_B:ADCY7","Ery","GNAS","B","ADCY7",0.254833333333333,0.546166666666667,-1.09978726618196,-0.272905096488868,NA
"20",20,"Ery:GNAS_DC:ADCY7","Ery","GNAS","DC","ADCY7",0.29,0.6005,-1.0501113456907,-0.272905096488868,NA
"21",21,"Ery:GNAS_Ery:ADCY7","Ery","GNAS","Ery","ADCY7",0.425166666666667,0.578,-0.443040999619362,-0.272905096488868,NA
"22",22,"Ery:GNAS_Gran:ADCY7","Ery","GNAS","Gran","ADCY7",0.385,0.593166666666667,-0.623579081206365,-0.272905096488868,NA
"23",23,"Ery:GNAS_HSPC:ADCY7","Ery","GNAS","HSPC","ADCY7",0.426666666666667,0.560833333333333,-0.394462694610317,-0.272905096488868,NA
"24",24,"Ery:GNAS_Mono:ADCY7","Ery","GNAS","Mono","ADCY7",0.466166666666667,0.588333333333333,-0.335787929682351,-0.272905096488868,NA
"25",25,"Ery:GNAS_NK:ADCY7","Ery","GNAS","NK","ADCY7",0.4112,0.588666666666667,-0.517610672620794,-0.272905096488868,NA
"26",26,"Ery:GNAS_T:ADCY7","Ery","GNAS","T","ADCY7",0.420833333333333,0.556,-0.401835900918144,-0.272905096488868,NA
"27",27,"Ery:GNAS_NK:PTGDR","Ery","GNAS","NK","PTGDR",0.3594,0.630333333333333,-0.810524548606026,-0.272905096488868,NA
"28",28,"Ery:GNAS_T:PTGDR","Ery","GNAS","T","PTGDR",0.429833333333333,0.564833333333333,-0.39404786369478,-0.272905096488868,NA
"29",29,"NK:TGFB1_HSPC:CAV1","NK","TGFB1","HSPC","CAV1",0.190333333333333,0.200333333333333,-0.0738742453483427,0.295412803381332,NA
"30",30,"T:TGFB1_HSPC:CAV1","T","TGFB1","HSPC","CAV1",0.150285714285714,0.1195,0.33069725925395,0.27420084052862,NA
"31",31,"Mono:CALR_DC:LRP1","Mono","CALR","DC","LRP1",0.157,0.2485,-0.662481292670659,0.301620408675452,NA
"32",32,"Mono:CALR_Ery:LRP1","Mono","CALR","Ery","LRP1",0.2385,0.173833333333333,0.456284514206902,0.301620408675452,NA
"33",33,"Mono:CALR_Gran:LRP1","Mono","CALR","Gran","LRP1",0.305142857142857,0.2535,0.267499072626609,0.301620408675452,NA
"34",34,"Mono:CALR_Mono:LRP1","Mono","CALR","Mono","LRP1",0.405285714285714,0.342,0.244942998330857,0.301620408675452,NA
"35",35,"NK:CALR_DC:LRP1","NK","CALR","DC","LRP1",0.227,0.2735,-0.268848535501642,0.276264775361162,NA
"36",36,"NK:CALR_Ery:LRP1","NK","CALR","Ery","LRP1",0.2926,0.1915,0.611585377326167,0.276264775361162,NA
"37",37,"NK:CALR_Gran:LRP1","NK","CALR","Gran","LRP1",0.400166666666667,0.278333333333333,0.523787300869002,0.276264775361162,NA
"38",38,"NK:CALR_Mono:LRP1","NK","CALR","Mono","LRP1",0.509666666666667,0.367,0.473773937796436,0.276264775361162,NA
"39",39,"Gran:FCN1_DC:LRP1","Gran","FCN1","DC","LRP1",0.170833333333333,0.523166666666667,-1.61468111918931,-0.529143186307675,NA
"40",40,"Gran:FCN1_Ery:LRP1","Gran","FCN1","Ery","LRP1",0.282,0.396,-0.489805267680816,-0.529143186307675,NA
"41",41,"Gran:FCN1_Gran:LRP1","Gran","FCN1","Gran","LRP1",0.314142857142857,0.528166666666667,-0.749572476863714,-0.529143186307675,NA
"42",42,"Gran:FCN1_Mono:LRP1","Gran","FCN1","Mono","LRP1",0.414428571428571,0.616833333333333,-0.573757261438671,-0.529143186307675,NA
"43",43,"Mono:FCN1_DC:LRP1","Mono","FCN1","DC","LRP1",0.345166666666667,0.720333333333333,-1.061371518639,-0.314858542660263,NA
"44",44,"Mono:FCN1_Ery:LRP1","Mono","FCN1","Ery","LRP1",0.452166666666667,0.566,-0.323947411271173,-0.314858542660263,NA
"45",45,"Mono:FCN1_Gran:LRP1","Mono","FCN1","Gran","LRP1",0.563142857142857,0.725333333333333,-0.365143201543302,-0.314858542660263,NA
"46",46,"Mono:FCN1_Mono:LRP1","Mono","FCN1","Mono","LRP1",0.663428571428571,0.813666666666667,-0.294496744252035,-0.314858542660263,NA
