interaction_ID,AML.0024,AML.0160,AML.0693,AML.1371,AML.2123,AML.3133,AML.4340,healthy.1,healthy.2,healthy.3,healthy.4,healthy.4003,healthy.5
NK:TNFRSF1B_Ery:GRN,1,0,1,1,1,1,0,1,1,1,1,1,1
NK:TNFRSF1B_NK:GRN,1,0,0,1,0,0,1,0,0,0,0,0,0
Ery:CD74_Mono:ACKR3,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:IL1B_HSPC:IL1R2,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:FN1_HSPC:CD44,1,0,0,0,0,1,0,0,0,0,0,0,0
HSPC:VEGFA_HSPC:CD44,0,0,1,0,0,0,0,0,0,0,0,0,0
HSPC:LPL_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:LPL_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
Ery:VIM_HSPC:CD44,1,1,0,1,1,1,0,0,0,1,0,0,0
Ery:VIM_T:CD44,1,1,0,1,1,1,0,0,0,1,0,0,0
B:SRGN_HSPC:CD44,1,1,1,1,1,1,1,1,1,1,1,1,1
Ery:LAMC1_HSPC:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
Gran:LAMC1_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
Gran:LAMC1_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
Ery:VCAN_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
Ery:VCAN_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:VCAN_HSPC:CD44,1,0,0,0,0,0,0,0,0,0,0,0,1
HSPC:VCAN_T:CD44,1,0,0,0,0,0,0,0,0,0,0,0,1
Ery:HGF_HSPC:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
Ery:HGF_T:CD44,0,1,0,0,0,0,0,0,0,0,0,0,0
Gran:CCL5_Gran:SDC4,1,0,0,0,0,0,0,1,0,0,0,0,0
Gran:CCL5_Mono:SDC4,1,0,0,0,0,0,0,0,0,0,0,0,0
Mono:FN1_Gran:ITGA4,1,0,0,0,0,1,0,0,0,0,0,0,0
HSPC:F13A1_Gran:ITGA4,1,1,0,1,0,0,1,0,0,0,0,0,0
Ery:VCAN_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:VCAN_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,1
T:VCAN_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,0
DC:THBS1_Gran:ITGA4,1,0,0,0,0,1,0,1,1,0,0,0,0
Ery:THBS1_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,0
NK:THBS1_Gran:ITGA4,1,0,1,0,0,0,0,0,0,0,0,0,0
Ery:CD14_Gran:ITGA4,1,0,0,1,0,0,0,0,0,0,0,0,0
HSPC:CD14_Gran:ITGA4,1,0,0,0,0,0,0,0,0,0,0,0,0
HSPC:CXCL8_DC:SDC2,1,0,0,1,0,0,0,0,0,0,0,0,0
HSPC:CXCL8_Gran:SDC2,0,0,0,0,1,0,0,1,0,0,0,0,0
HSPC:CXCL8_Mono:SDC2,0,0,0,0,0,0,1,1,0,0,0,0,0
T:TGFB1_Gran:SDC2,0,0,0,0,1,0,0,1,1,0,0,0,0
Mono:C1QA_HSPC:CD93,1,0,0,0,0,0,0,0,0,0,0,0,0
