"","interaction_id","sender_cell_type","sender_gene","receiver_cell_type","receiver_gene","sender_pval","receiver_pval","sender_logfc","receiver_logfc"
"1","Mono:ACKR3_Mono:CXCR4","Mono","ACKR3","Mono","CXCR4",0,0,0.259583131144177,0.331253411563129
"2","Mono:ADAM10_Mono:CADM1","Mono","ADAM10","Mono","CADM1",NA,NA,NA,NA
"3","Mono:ADAM10_Mono:CD44","Mono","ADAM10","Mono","CD44",NA,NA,NA,NA
"4","Mono:ADAM10_Mono:IL6R","Mono","ADAM10","Mono","IL6R",NA,NA,NA,NA
"5","Mono:ADAM10_Mono:NOTCH2","Mono","ADAM10","Mono","NOTCH2",NA,NA,NA,NA
"6","Mono:ADAM10_Mono:TSPAN14","Mono","ADAM10","Mono","TSPAN14",NA,NA,NA,NA
"7","Mono:ADAM17_Mono:RHBDF2","Mono","ADAM17","Mono","RHBDF2",NA,NA,NA,NA
"8","Mono:ADAM9_Mono:ITGB1","Mono","ADAM9","Mono","ITGB1",NA,NA,NA,NA
"9","Mono:ADM_Mono:ACKR3","Mono","ADM","Mono","ACKR3",0,0,0.456471928300587,0.259583131144177
"10","Mono:AGTRAP_Mono:RACK1","Mono","AGTRAP","Mono","RACK1",NA,NA,NA,NA
"11","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
"12","Mono:ANG_Mono:PLXNB2","Mono","ANG","Mono","PLXNB2",NA,NA,NA,NA
"13","Mono:ANXA1_Mono:DYSF","Mono","ANXA1","Mono","DYSF",NA,NA,NA,NA
"14","Mono:ANXA1_Mono:FPR1","Mono","ANXA1","Mono","FPR1",NA,NA,NA,NA
"15","Mono:APP_Mono:APLP2","Mono","APP","Mono","APLP2",NA,NA,NA,NA
"16","Mono:APP_Mono:LRP1","Mono","APP","Mono","LRP1",NA,NA,NA,NA
"17","Mono:APP_Mono:LRP10","Mono","APP","Mono","LRP10",NA,NA,NA,NA
"18","Mono:APP_Mono:NCSTN","Mono","APP","Mono","NCSTN",NA,NA,NA,NA
"19","Mono:APP_Mono:NOTCH2","Mono","APP","Mono","NOTCH2",NA,NA,NA,NA
"20","Mono:APP_Mono:PTGER2","Mono","APP","Mono","PTGER2",NA,0,NA,0.300360041056194
"21","Mono:APP_Mono:RPSA","Mono","APP","Mono","RPSA",NA,NA,NA,NA
"22","Mono:APP_Mono:SORL1","Mono","APP","Mono","SORL1",NA,NA,NA,NA
"23","Mono:AREG_Mono:ICAM1","Mono","AREG","Mono","ICAM1",NA,NA,NA,NA
"24","Mono:ARF1_Mono:INSR","Mono","ARF1","Mono","INSR",NA,NA,NA,NA
"25","Mono:ARF6_Mono:SMAP1","Mono","ARF6","Mono","SMAP1",NA,NA,NA,NA
"26","Mono:ARPC5_Mono:LDLR","Mono","ARPC5","Mono","LDLR",NA,NA,NA,NA
"27","Mono:ARRB2_Mono:ENG","Mono","ARRB2","Mono","ENG",NA,NA,NA,NA
"28","Mono:B2M_Mono:HLA-F","Mono","B2M","Mono","HLA-F",NA,NA,NA,NA
"29","Mono:B2M_Mono:LILRB1","Mono","B2M","Mono","LILRB1",NA,NA,NA,NA
"30","Mono:B2M_Mono:LILRB2","Mono","B2M","Mono","LILRB2",NA,NA,NA,NA
"31","Mono:B2M_Mono:TFRC","Mono","B2M","Mono","TFRC",NA,NA,NA,NA
"32","Mono:BMP2_Mono:ACTR2","Mono","BMP2","Mono","ACTR2",NA,NA,NA,NA
"33","Mono:BMP2_Mono:BMPR2","Mono","BMP2","Mono","BMPR2",NA,NA,NA,NA
"34","Mono:BMP2_Mono:ENG","Mono","BMP2","Mono","ENG",NA,NA,NA,NA
"35","Mono:BSG_Mono:SLC16A7","Mono","BSG","Mono","SLC16A7",NA,NA,NA,NA
"36","Mono:BTK_Mono:JAK2","Mono","BTK","Mono","JAK2",NA,NA,NA,NA
"37","Mono:C1QA_Mono:CD33","Mono","C1QA","Mono","CD33",0,NA,0.369054542560968,NA
"38","Mono:C1QA_Mono:CD93","Mono","C1QA","Mono","CD93",0,NA,0.369054542560968,NA
"39","Mono:C1QA_Mono:CR1","Mono","C1QA","Mono","CR1",0,NA,0.369054542560968,NA
"40","Mono:C1QB_Mono:C1QBP","Mono","C1QB","Mono","C1QBP",NA,NA,NA,NA
"41","Mono:C1QB_Mono:CD33","Mono","C1QB","Mono","CD33",NA,NA,NA,NA
"42","Mono:C1QB_Mono:LRP1","Mono","C1QB","Mono","LRP1",NA,NA,NA,NA
"43","Mono:CALM1_Mono:FAS","Mono","CALM1","Mono","FAS",NA,NA,NA,NA
"44","Mono:CALM1_Mono:KCNQ1","Mono","CALM1","Mono","KCNQ1",NA,NA,NA,NA
"45","Mono:CALM1_Mono:PTPRA","Mono","CALM1","Mono","PTPRA",NA,NA,NA,NA
"46","Mono:CALM1_Mono:SELL","Mono","CALM1","Mono","SELL",NA,NA,NA,NA
"47","Mono:CALM2_Mono:KCNQ1","Mono","CALM2","Mono","KCNQ1",NA,NA,NA,NA
"48","Mono:CALM2_Mono:SELL","Mono","CALM2","Mono","SELL",NA,NA,NA,NA
"49","Mono:CALM3_Mono:KCNQ1","Mono","CALM3","Mono","KCNQ1",NA,NA,NA,NA
"50","Mono:CALM3_Mono:SELL","Mono","CALM3","Mono","SELL",NA,NA,NA,NA
"51","Mono:CALR_Mono:HLA-F","Mono","CALR","Mono","HLA-F",0,NA,0.301620408675452,NA
"52","Mono:CALR_Mono:LRP1","Mono","CALR","Mono","LRP1",0,NA,0.301620408675452,NA
"53","Mono:CASP8_Mono:FAS","Mono","CASP8","Mono","FAS",NA,NA,NA,NA
"54","Mono:CCL3_Mono:CCR1","Mono","CCL3","Mono","CCR1",0,NA,0.336325270028857,NA
"55","Mono:CCL3L1_Mono:CCR1","Mono","CCL3L1","Mono","CCR1",NA,NA,NA,NA
"56","Mono:CCL4_Mono:CCR1","Mono","CCL4","Mono","CCR1",NA,NA,NA,NA
"57","Mono:CCL5_Mono:CCR1","Mono","CCL5","Mono","CCR1",NA,NA,NA,NA
"58","Mono:CCL5_Mono:SDC4","Mono","CCL5","Mono","SDC4",NA,NA,NA,NA
"59","Mono:CD14_Mono:ITGA4","Mono","CD14","Mono","ITGA4",NA,NA,NA,NA
"60","Mono:CD1D_Mono:LILRB2","Mono","CD1D","Mono","LILRB2",NA,NA,NA,NA
"61","Mono:CD33_Mono:SIGLEC1","Mono","CD33","Mono","SIGLEC1",NA,NA,NA,NA
"62","Mono:CD33_Mono:SIGLEC10","Mono","CD33","Mono","SIGLEC10",NA,NA,NA,NA
"63","Mono:CD4_Mono:CXCR4","Mono","CD4","Mono","CXCR4",NA,0,NA,0.331253411563129
"64","Mono:CD47_Mono:SIGLEC1","Mono","CD47","Mono","SIGLEC1",NA,NA,NA,NA
"65","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10",0,NA,-0.616674115176584,NA
"66","Mono:CD55_Mono:ADGRE2","Mono","CD55","Mono","ADGRE2",NA,NA,NA,NA
"67","Mono:CD55_Mono:ADGRE5","Mono","CD55","Mono","ADGRE5",NA,NA,NA,NA
"68","Mono:CD55_Mono:CR1","Mono","CD55","Mono","CR1",NA,NA,NA,NA
"69","Mono:CD74_Mono:ACKR3","Mono","CD74","Mono","ACKR3",NA,0,NA,0.259583131144177
"70","Mono:CD74_Mono:CXCR4","Mono","CD74","Mono","CXCR4",NA,0,NA,0.331253411563129
"71","Mono:CD99_Mono:CD81","Mono","CD99","Mono","CD81",NA,NA,NA,NA
"72","Mono:CD99_Mono:PILRA","Mono","CD99","Mono","PILRA",NA,NA,NA,NA
"73","Mono:CIRBP_Mono:TREM1","Mono","CIRBP","Mono","TREM1",NA,0,NA,0.377639889355493
"74","Mono:CLEC11A_Mono:ITGB1","Mono","CLEC11A","Mono","ITGB1",NA,NA,NA,NA
"75","Mono:COPA_Mono:CD74","Mono","COPA","Mono","CD74",NA,NA,NA,NA
"76","Mono:COPA_Mono:SORT1","Mono","COPA","Mono","SORT1",NA,NA,NA,NA
"77","Mono:CSF1R_Mono:PRLR","Mono","CSF1R","Mono","PRLR",NA,NA,NA,NA
"78","Mono:F13A1_Mono:ITGA4","Mono","F13A1","Mono","ITGA4",NA,NA,NA,NA
"79","Mono:F13A1_Mono:ITGB1","Mono","F13A1","Mono","ITGB1",NA,NA,NA,NA
"80","Mono:FABP5_Mono:RXRA","Mono","FABP5","Mono","RXRA",0,NA,0.295908494364388,NA
"81","Mono:FAM126B_Mono:ENG","Mono","FAM126B","Mono","ENG",NA,NA,NA,NA
"82","Mono:FAM3C_Mono:FFAR2","Mono","FAM3C","Mono","FFAR2",NA,NA,NA,NA
"83","Mono:FAM3C_Mono:HLA-C","Mono","FAM3C","Mono","HLA-C",NA,NA,NA,NA
"84","Mono:FAM3C_Mono:LAMP1","Mono","FAM3C","Mono","LAMP1",NA,NA,NA,NA
"85","Mono:FCGR1A_Mono:PILRA","Mono","FCGR1A","Mono","PILRA",NA,NA,NA,NA
"86","Mono:FCGRT_Mono:CD300E","Mono","FCGRT","Mono","CD300E",NA,NA,NA,NA
"87","Mono:FCGRT_Mono:IGFLR1","Mono","FCGRT","Mono","IGFLR1",NA,NA,NA,NA
"88","Mono:FCGRT_Mono:LILRA2","Mono","FCGRT","Mono","LILRA2",NA,NA,NA,NA
"89","Mono:FCGRT_Mono:LILRB2","Mono","FCGRT","Mono","LILRB2",NA,NA,NA,NA
"90","Mono:FCGRT_Mono:SHISA4","Mono","FCGRT","Mono","SHISA4",NA,NA,NA,NA
"91","Mono:FCN1_Mono:LRP1","Mono","FCN1","Mono","LRP1",0,NA,-0.314858542660263,NA
"92","Mono:FN1_Mono:C5AR1","Mono","FN1","Mono","C5AR1",NA,NA,NA,NA
"93","Mono:FN1_Mono:CD44","Mono","FN1","Mono","CD44",NA,NA,NA,NA
"94","Mono:FN1_Mono:CD93","Mono","FN1","Mono","CD93",NA,NA,NA,NA
"95","Mono:FN1_Mono:ENG","Mono","FN1","Mono","ENG",NA,NA,NA,NA
"96","Mono:FN1_Mono:ITGA4","Mono","FN1","Mono","ITGA4",NA,NA,NA,NA
"97","Mono:FN1_Mono:ITGA5","Mono","FN1","Mono","ITGA5",NA,NA,NA,NA
"98","Mono:FN1_Mono:ITGB1","Mono","FN1","Mono","ITGB1",NA,NA,NA,NA
"99","Mono:FN1_Mono:ITGB7","Mono","FN1","Mono","ITGB7",NA,NA,NA,NA
"100","Mono:FN1_Mono:PLAUR","Mono","FN1","Mono","PLAUR",NA,NA,NA,NA
"101","Mono:FN1_Mono:SDC4","Mono","FN1","Mono","SDC4",NA,NA,NA,NA
"102","Mono:FYN_Mono:SPN","Mono","FYN","Mono","SPN",NA,NA,NA,NA
"103","Mono:GNAI2_Mono:ADCY7","Mono","GNAI2","Mono","ADCY7",NA,NA,NA,NA
"104","Mono:GNAI2_Mono:C5AR1","Mono","GNAI2","Mono","C5AR1",NA,NA,NA,NA
"105","Mono:GNAI2_Mono:FPR1","Mono","GNAI2","Mono","FPR1",NA,NA,NA,NA
"106","Mono:GNAS_Mono:ADCY7","Mono","GNAS","Mono","ADCY7",NA,NA,NA,NA
"107","Mono:GRN_Mono:SORT1","Mono","GRN","Mono","SORT1",NA,NA,NA,NA
"108","Mono:GRN_Mono:TNFRSF1A","Mono","GRN","Mono","TNFRSF1A",NA,NA,NA,NA
"109","Mono:GRN_Mono:TNFRSF1B","Mono","GRN","Mono","TNFRSF1B",NA,NA,NA,NA
"110","Mono:HGF_Mono:CD44","Mono","HGF","Mono","CD44",NA,NA,NA,NA
"111","Mono:HGF_Mono:ITGB1","Mono","HGF","Mono","ITGB1",NA,NA,NA,NA
"112","Mono:HLA-A_Mono:APLP2","Mono","HLA-A","Mono","APLP2",NA,NA,NA,NA
"113","Mono:HLA-A_Mono:LILRA1","Mono","HLA-A","Mono","LILRA1",NA,NA,NA,NA
"114","Mono:HLA-A_Mono:LILRB1","Mono","HLA-A","Mono","LILRB1",NA,NA,NA,NA
"115","Mono:HLA-A_Mono:LILRB2","Mono","HLA-A","Mono","LILRB2",NA,NA,NA,NA
"116","Mono:HLA-B_Mono:CANX","Mono","HLA-B","Mono","CANX",NA,NA,NA,NA
"117","Mono:HLA-B_Mono:LILRA1","Mono","HLA-B","Mono","LILRA1",NA,NA,NA,NA
"118","Mono:HLA-B_Mono:LILRB1","Mono","HLA-B","Mono","LILRB1",NA,NA,NA,NA
"119","Mono:HLA-B_Mono:LILRB2","Mono","HLA-B","Mono","LILRB2",NA,NA,NA,NA
"120","Mono:HLA-B_Mono:SIGLEC10","Mono","HLA-B","Mono","SIGLEC10",NA,NA,NA,NA
"121","Mono:HLA-C_Mono:CD53","Mono","HLA-C","Mono","CD53",NA,NA,NA,NA
"122","Mono:HLA-C_Mono:CD81","Mono","HLA-C","Mono","CD81",NA,NA,NA,NA
"123","Mono:HLA-C_Mono:LILRB1","Mono","HLA-C","Mono","LILRB1",NA,NA,NA,NA
"124","Mono:HLA-C_Mono:LILRB2","Mono","HLA-C","Mono","LILRB2",NA,NA,NA,NA
"125","Mono:HLA-DQB1_Mono:CD4","Mono","HLA-DQB1","Mono","CD4",0,NA,-0.462548370438111,NA
"126","Mono:HLA-DRA_Mono:CD37","Mono","HLA-DRA","Mono","CD37",0,NA,-0.514404387512692,NA
"127","Mono:HLA-DRA_Mono:CD4","Mono","HLA-DRA","Mono","CD4",0,NA,-0.514404387512692,NA
"128","Mono:HLA-DRA_Mono:CD53","Mono","HLA-DRA","Mono","CD53",0,NA,-0.514404387512692,NA
"129","Mono:HLA-DRA_Mono:CD63","Mono","HLA-DRA","Mono","CD63",0,0,-0.514404387512692,0.258755429782416
"130","Mono:HLA-DRA_Mono:CD81","Mono","HLA-DRA","Mono","CD81",0,NA,-0.514404387512692,NA
"131","Mono:HLA-DRA_Mono:CD82","Mono","HLA-DRA","Mono","CD82",0,NA,-0.514404387512692,NA
"132","Mono:HLA-DRA_Mono:CD9","Mono","HLA-DRA","Mono","CD9",0,0,-0.514404387512692,0.352976124957498
"133","Mono:HLA-DRB1_Mono:CD37","Mono","HLA-DRB1","Mono","CD37",0,NA,-0.510387132729279,NA
"134","Mono:HLA-DRB1_Mono:CD53","Mono","HLA-DRB1","Mono","CD53",0,NA,-0.510387132729279,NA
"135","Mono:HLA-DRB1_Mono:CD81","Mono","HLA-DRB1","Mono","CD81",0,NA,-0.510387132729279,NA
"136","Mono:HLA-DRB1_Mono:CD82","Mono","HLA-DRB1","Mono","CD82",0,NA,-0.510387132729279,NA
"137","Mono:HLA-DRB5_Mono:CD4","Mono","HLA-DRB5","Mono","CD4",NA,NA,NA,NA
"138","Mono:HLA-F_Mono:LILRB1","Mono","HLA-F","Mono","LILRB1",NA,NA,NA,NA
"139","Mono:HLA-F_Mono:LILRB2","Mono","HLA-F","Mono","LILRB2",NA,NA,NA,NA
"140","Mono:HMGB1_Mono:CD163","Mono","HMGB1","Mono","CD163",NA,NA,NA,NA
