	gene_symbol	gene_symbol.1	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
0	AL627309.5	AL627309.5	False	False	False	0.747110310138937	0.25	True	False	0.007483837622593321	-5.344092185271523	-0.9212011
1	LINC01409	LINC01409	False	False	False	6.60459447505159	0.25	True	False	0.02777899618952286	-4.890478458481331	-0.5121056
2	LINC01128	LINC01128	False	False	False	6.46358906907187	0.25	True	False	0.026441889316092412	-3.9472319265768996	0.33856955
3	LINC00115	LINC00115	False	False	False	1.12972086818535	0.25	True	False	0.00748009003016279	-5.556598173931945	-1.1128515
4	FAM41C	FAM41C	False	False	False	2.48016120735575	0.25	True	False	0.009210848347281255	-5.609191202976245	-1.160283
5	AL645608.2	AL645608.2	False	False	False	0.263804455865724	0.25	True	False	0.0014070621846050198	-3.9973498387708344	0.29337028
6	NOC2L	NOC2L	False	False	False	17.1082685977934	0.25	True	False	0.07672795241630323	-4.109535969803263	-0.7208496
7	KLHL17	KLHL17	False	False	False	0.994568492983317	0.25	True	False	0.008157240488392241	-6.120565642344979	-1.6214706
8	PLEKHN1	PLEKHN1	False	False	False	0.57631965488482	0.25	True	False	0.007392865146806988	-5.340586990070881	-0.9180399
9	HES4	HES4	False	False	False	6.1431682526141	0.25	True	True	0.02425591743727865	-1.936573308754052	2.1518996
10	ISG15	ISG15	False	False	False	39.066855224283	0.25	True	True	0.4899513275109568	-0.7836519932139377	1.8329581
11	AGRN	AGRN	False	False	False	0.953087930883557	0.25	True	False	0.006976426586677129	-5.233088396758774	-0.82109135
12	C1orf159	C1orf159	False	False	False	2.30834001088152	0.25	True	False	0.017383289543446968	-5.473962858205646	-1.0383261
13	TNFRSF18	TNFRSF18	False	False	False	4.26064714883282	0.25	True	True	0.01766657204270174	-2.914214119603723	1.2702057
14	TNFRSF4	TNFRSF4	False	False	False	2.72943904451087	0.25	True	True	0.01774708581710284	-2.4141367251575843	1.7212049
15	SDF4	SDF4	False	False	False	25.9863008956747	0.25	True	False	0.14596452946515454	-3.811079686632686	-0.8779583
16	B3GALT6	B3GALT6	False	False	False	5.43963361582867	0.25	True	False	0.037771359082707456	-4.869337498574137	-0.49303943
17	C1QTNF12	C1QTNF12	False	False	False	0.561287324260322	0.25	True	False	0.0011064482264248336	-4.851929118260324	-0.47733954
18	AL162741.1	AL162741.1	False	False	False	0.269066002363326	0.25	True	False	0.0023332431034003313	-6.247096122132559	-1.7355832
19	UBE2J2	UBE2J2	False	False	False	15.5824611638458	0.25	True	False	0.09650969796554265	-4.389955533422616	-1.0691239
20	SCNN1D	SCNN1D	False	False	False	0.600791764698619	0.25	True	False	0.003205939835611642	-5.738792407637968	-1.2771649
21	ACAP3	ACAP3	False	False	False	7.14188325052223	0.25	True	False	0.04566792596260878	-4.516005156186119	-0.17438357
