	gene_symbol	is_in_LR_database	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter
0	AL627309.5	False	False	False	0.747110310138937	0.25	True
1	LINC01409	False	False	False	6.60459447505159	0.25	True
2	LINC01128	False	False	False	6.46358906907187	0.25	True
3	LINC00115	False	False	False	1.12972086818535	0.25	True
4	FAM41C	False	False	False	2.48016120735575	0.25	True
5	AL645608.2	False	False	False	0.263804455865724	0.25	True
6	NOC2L	False	False	False	17.1082685977934	0.25	True
7	KLHL17	False	False	False	0.994568492983317	0.25	True
8	PLEKHN1	False	False	False	0.57631965488482	0.25	True
9	HES4	False	False	False	6.1431682526141	0.25	True
10	ISG15	False	False	False	39.066855224283	0.25	True
11	AGRN	True	True	False	0.953087930883557	0.25	True
12	C1orf159	False	False	False	2.30834001088152	0.25	True
13	TNFRSF18	True	False	True	4.26064714883282	0.25	True
14	TNFRSF4	True	False	True	2.72943904451087	0.25	True
15	SDF4	False	False	False	25.9863008956747	0.25	True
16	B3GALT6	False	False	False	5.43963361582867	0.25	True
17	C1QTNF12	False	False	False	0.561287324260322	0.25	True
18	AL162741.1	False	False	False	0.269066002363326	0.25	True
19	UBE2J2	False	False	False	15.5824611638458	0.25	True
20	SCNN1D	False	False	False	0.600791764698619	0.25	True
21	ACAP3	False	False	False	7.14188325052223	0.25	True
22	PUSL1	False	False	False	3.94705190028129	0.25	True
23	INTS11	False	False	False	13.681630675302	0.25	True
24	CPTP	False	False	False	2.24689278438283	0.25	True
25	DVL1	False	False	False	3.01903745054454	0.25	True
26	AURKAIP1	False	False	False	52.1832354775163	0.25	True
27	CCNL2	False	False	False	22.3455220965447	0.25	True
28	MRPL20-AS1	False	False	False	2.50222090636804	0.25	True
29	MRPL20	False	False	False	44.8298070184123	0.25	True
30	AL391244.2	False	False	False	0.530638401709228	0.25	True
31	ANKRD65	False	False	False	0.850487163520009	0.25	True
32	ATAD3C	False	False	False	0.474961922342475	0.25	True
33	ATAD3B	False	False	False	6.70346821633704	0.25	True
34	ATAD3A	False	False	False	7.93055078812906	0.25	True
35	SSU72	False	False	False	44.0146134987992	0.25	True
36	AL645728.1	False	False	False	3.87007258102033	0.25	True
37	FNDC10	False	False	False	2.83829400982113	0.25	True
38	AL691432.4	False	False	False	0.357282016140884	0.25	True
39	AL691432.2	False	False	False	2.22494580547589	0.25	True
40	MIB2	False	False	False	12.4375862831399	0.25	True
41	MMP23B	False	False	False	2.73957623233198	0.25	True
42	CDK11B	False	False	False	16.1471296545562	0.25	True
43	FO704657.1	False	False	False	0.339223001433676	0.25	True
44	SLC35E2B	False	False	False	3.47129983968559	0.25	True
45	CDK11A	False	False	False	23.8810564818417	0.25	True
46	SLC35E2A	False	False	False	2.59199229320584	0.25	True
47	NADK	False	False	False	13.1257819459675	0.25	True
48	GNB1	True	True	False	52.1528679025902	0.25	True
49	GABRD	False	False	False	0.376448744904044	0.25	True
50	PRKCZ	True	False	True	1.80256958257538	0.25	True
51	AL590822.2	False	False	False	0.290436215283849	0.25	True
52	FAAP20	False	False	False	37.9697216656106	0.25	True
53	SKI	False	False	False	11.7763375459964	0.25	True
54	AL590822.3	False	False	False	0.558651924259209	0.25	True
55	MORN1	False	False	False	1.21300678411107	0.25	True
56	AL513477.2	False	False	False	0.328087687850316	0.25	True
57	RER1	False	False	False	31.3863121149134	0.25	True
58	PEX10	False	False	False	3.09428732900381	0.25	True
59	PLCH2	False	False	False	0.746501042914371	0.25	True
60	PANK4	False	False	False	1.47803154448927	0.25	True
61	HES5	False	False	False	0.390228664560046	0.25	True
62	AL139246.5	False	False	False	5.18819932166514	0.25	True
63	TNFRSF14-AS1	False	False	False	1.72262461027662	0.25	True
64	TNFRSF14	True	False	True	24.4871429128792	0.25	True
65	PRXL2B	False	False	False	2.71098556400573	0.25	True
66	MMEL1	False	False	False	0.445574520889851	0.25	True
67	TTC34	False	False	False	0.565514983835885	0.25	True
68	PRDM16-DT	False	False	False	0.449565702397729	0.25	True
69	PRDM16	False	False	False	0.644280895559345	0.25	True
70	MEGF6	False	False	False	2.30136657591929	0.25	True
71	TPRG1L	False	False	False	7.56452858948257	0.25	True
72	WRAP73	False	False	False	6.39493948425925	0.25	True
73	TP73	False	False	False	0.251202580436906	0.25	True
74	SMIM1	False	False	False	14.4841274381998	0.25	True
75	LRRC47	False	False	False	9.96795271649333	0.25	True
76	CEP104	False	False	False	6.38864475766236	0.25	True
77	DFFB	False	False	False	2.23697183800805	0.25	True
78	C1orf174	False	False	False	12.0838452005906	0.25	True
79	NPHP4	False	False	False	0.754634302403602	0.25	True
80	KCNAB2	False	False	False	24.1563605430871	0.25	True
81	RPL22	False	False	False	284.997162914043	0.25	True
