"gene_symbol"	"is_in_LR_database"	"isLigand"	"isReceptor"	"sum_pseudobulkCellType_expr"	"sum_pseudobulkCellType_expr_threshold"	"sum_pseudobulkCellType_expr_filter"
"A1BG"	FALSE	FALSE	TRUE	40.7566832748477	1	TRUE
"A1BG-AS1"	FALSE	FALSE	FALSE	1.66969588226937	1	TRUE
"A2M-AS1"	FALSE	FALSE	FALSE	2.7369215848413	1	TRUE
"A4GALT"	FALSE	FALSE	FALSE	10.8568604598516	1	TRUE
"AAAS"	FALSE	FALSE	FALSE	18.2017994267154	1	TRUE
"AACS"	FALSE	FALSE	FALSE	4.33872876305198	1	TRUE
"AADAT"	FALSE	FALSE	FALSE	1.52213131643439	1	TRUE
"AAED1"	FALSE	FALSE	FALSE	31.5310340797641	1	TRUE
"AAGAB"	FALSE	FALSE	FALSE	14.1151742386435	1	TRUE
"AAK1"	FALSE	FALSE	FALSE	39.6436688325538	1	TRUE
"AAMDC"	FALSE	FALSE	FALSE	22.8904725329552	1	TRUE
"AAMP"	FALSE	FALSE	FALSE	44.9107383876795	1	TRUE
"AAR2"	FALSE	FALSE	FALSE	10.1858347055855	1	TRUE
"AARS"	FALSE	FALSE	FALSE	13.1096805643894	1	TRUE
"AARS2"	FALSE	FALSE	FALSE	4.80978491576367	1	TRUE
"AARSD1"	FALSE	FALSE	FALSE	13.3451417372327	1	TRUE
"AASDH"	FALSE	FALSE	FALSE	17.2504004900692	1	TRUE
"AASDHPPT"	FALSE	FALSE	FALSE	32.9428808868132	1	TRUE
"AASS"	FALSE	FALSE	FALSE	3.90493775912316	1	TRUE
"AATBC"	FALSE	FALSE	FALSE	1.07709668849442	1	TRUE
"AATF"	FALSE	FALSE	FALSE	38.2338689096162	1	TRUE
"ABALON"	FALSE	FALSE	FALSE	1.54474401864166	1	TRUE
"ABAT"	FALSE	FALSE	FALSE	2.29883227264233	1	TRUE
"ABCA1"	FALSE	TRUE	TRUE	5.04656093285565	1	TRUE
"ABCA13"	FALSE	FALSE	FALSE	1.01623269900135	1	TRUE
"ABCA2"	FALSE	FALSE	FALSE	3.70338784664068	1	TRUE
"ABCA5"	FALSE	FALSE	FALSE	8.77647193678656	1	TRUE
