"interaction_ID","community","CPDB","NicheNet","CellChat"
"Mono:RETN_Mono:CAP1",TRUE,TRUE,FALSE,TRUE
"Mono:ANXA1_Gran:FPR1",TRUE,TRUE,FALSE,FALSE
"Mono:RETN_Gran:CAP1",TRUE,TRUE,TRUE,TRUE
"Mono:GNAI2_Gran:FPR1",TRUE,FALSE,FALSE,FALSE
"Mono:CD14_Gran:PLXND1",TRUE,FALSE,TRUE,FALSE
"Mono:FCAR_Gran:CD33",TRUE,FALSE,FALSE,FALSE
"Mono:CD48_T:CD2",TRUE,TRUE,TRUE,TRUE
"Mono:THBS1_T:CD47",TRUE,FALSE,TRUE,FALSE
"Mono:RETN_T:CAP1",TRUE,TRUE,FALSE,TRUE
"Mono:THBS1_T:ITGB1",TRUE,FALSE,TRUE,FALSE
"Mono:THBS1_NK:ITGA4",TRUE,FALSE,TRUE,FALSE
"Mono:RETN_NK:CAP1",TRUE,TRUE,TRUE,TRUE
"Mono:THBS1_NK:ITGB1",TRUE,FALSE,TRUE,FALSE
"Mono:LGALS1_B:PTPRC",TRUE,FALSE,TRUE,FALSE
"Mono:THBS1_B:ITGA4",TRUE,FALSE,TRUE,FALSE
"Mono:AGTRAP_B:RACK1",TRUE,FALSE,FALSE,TRUE
"Mono:CD99_B:CD81",TRUE,TRUE,FALSE,TRUE
"Mono:RETN_B:CAP1",TRUE,TRUE,FALSE,TRUE
"Mono:HLA-DRA_B:CD37",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DRA_B:CD81",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DRB1_B:CD81",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-C_B:CD81",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DRB1_B:CD37",TRUE,TRUE,TRUE,TRUE
"Mono:MIF_B:CD74",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-C_B:CD47",TRUE,FALSE,TRUE,TRUE
"Mono:PECAM1_B:CD38",TRUE,FALSE,TRUE,FALSE
"Mono:ITGB1_B:CD81",TRUE,TRUE,FALSE,TRUE
"Mono:THBS1_HSPC:CD36",TRUE,FALSE,FALSE,FALSE
"Mono:ARF6_HSPC:PLD1",TRUE,TRUE,FALSE,TRUE
"Mono:S100A8_HSPC:CD36",TRUE,FALSE,TRUE,FALSE
"Mono:S100A12_HSPC:CD36",TRUE,FALSE,TRUE,TRUE
"Mono:S100A9_HSPC:CD36",TRUE,FALSE,TRUE,FALSE
"Mono:S100A9_HSPC:CD68",TRUE,FALSE,TRUE,TRUE
"Mono:S100A8_HSPC:CD68",TRUE,FALSE,TRUE,TRUE
"Mono:CALR_HSPC:ITGA2B",TRUE,TRUE,FALSE,FALSE
"Mono:THBS1_HSPC:GP1BB",TRUE,TRUE,FALSE,TRUE
"Mono:THBS1_HSPC:ITGA2B",TRUE,FALSE,FALSE,FALSE
"Mono:TGFB1_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Mono:APP_HSPC:LRP10",TRUE,FALSE,FALSE,FALSE
"Mono:TLR2_HSPC:CD36",TRUE,FALSE,TRUE,FALSE
"Mono:LRPAP1_HSPC:CD320",TRUE,FALSE,FALSE,FALSE
"Mono:RPS27A_HSPC:SMAD3",TRUE,TRUE,FALSE,TRUE
"Mono:UBA52_HSPC:SMAD3",TRUE,FALSE,FALSE,TRUE
"Mono:UBB_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Mono:UBC_HSPC:SMAD3",TRUE,FALSE,FALSE,FALSE
"Mono:TIMP1_Ery:CD63",TRUE,TRUE,FALSE,TRUE
"Mono:FYN_Ery:SPN",TRUE,TRUE,TRUE,TRUE
"Mono:RETN_Ery:CAP1",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DRA_Ery:CD63",TRUE,TRUE,TRUE,TRUE
"Mono:THBS1_Ery:GP1BB",TRUE,FALSE,FALSE,FALSE
"Mono:GNAI2_Ery:IGF1R",TRUE,FALSE,FALSE,FALSE
"Mono:JAK1_Ery:IFNAR2",TRUE,FALSE,FALSE,FALSE
"Mono:JAK1_Ery:IFNAR1",TRUE,FALSE,FALSE,FALSE
"Mono:ADAM10_Ery:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:ADAM17_Ery:MUC1",TRUE,TRUE,FALSE,TRUE
"Mono:ZYX_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Mono:TGFB1_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Mono:ADAM10_Ery:TSPAN17",TRUE,FALSE,FALSE,FALSE
"Mono:GNAI2_Ery:ADCY7",TRUE,FALSE,FALSE,FALSE
"Mono:GNAI2_Ery:S1PR4",TRUE,FALSE,FALSE,FALSE
"Mono:GSTP1_Ery:TRAF2",TRUE,FALSE,TRUE,FALSE
"Mono:PSEN1_Ery:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:BSG_Ery:SLC16A1",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-E_Ery:SLC16A4",TRUE,FALSE,FALSE,FALSE
"Mono:CD44_Ery:EPCAM",TRUE,TRUE,FALSE,TRUE
"Mono:LRPAP1_Ery:CD320",TRUE,TRUE,TRUE,FALSE
"Mono:FCGRT_Ery:IGFLR1",TRUE,TRUE,FALSE,TRUE
"Mono:IL10RB_Ery:IFNAR1",TRUE,FALSE,FALSE,FALSE
"Mono:STUB1_Ery:DNAJA3",TRUE,FALSE,FALSE,FALSE
"Mono:LGALS3_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Mono:HLA-DRB1_Ery:CD82",TRUE,TRUE,TRUE,TRUE
"Mono:CD14_Ery:PLXND1",TRUE,FALSE,FALSE,FALSE
"Mono:ARRB2_Ery:ENG",TRUE,TRUE,TRUE,TRUE
"Mono:CCR1_Ery:PRNP",TRUE,FALSE,FALSE,FALSE
"Mono:ITGA4_Ery:CD82",TRUE,TRUE,FALSE,TRUE
"Mono:ITGA4_Ery:CD81",TRUE,TRUE,FALSE,FALSE
"Mono:HLA-DRA_Ery:CD82",TRUE,TRUE,TRUE,TRUE
"Mono:RGS19_Ery:ENG",TRUE,TRUE,FALSE,TRUE
"Mono:UBB_Ery:RIPK1",TRUE,FALSE,FALSE,FALSE
"Mono:SERPINA1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:BST2_DC:LILRA4",TRUE,TRUE,FALSE,TRUE
"Mono:THBS1_DC:ITGA4",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:CD47",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:CD36",TRUE,TRUE,FALSE,TRUE
"Mono:TNFSF13_DC:TNFRSF14",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-C_DC:LILRB2",TRUE,FALSE,FALSE,TRUE
"Mono:PSAP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:TNFSF13B_DC:TFRC",TRUE,TRUE,TRUE,TRUE
"Mono:B2M_DC:LILRB2",TRUE,FALSE,TRUE,FALSE
"Mono:HLA-A_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"Mono:HLA-B_DC:LILRB2",TRUE,FALSE,TRUE,TRUE
"Mono:RETN_DC:CAP1",TRUE,TRUE,TRUE,TRUE
"Mono:HLA-DQA1_DC:CD4",TRUE,TRUE,FALSE,TRUE
"Mono:HLA-F_DC:LILRB2",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:PTPRJ",TRUE,FALSE,FALSE,FALSE
"Mono:B2M_DC:CD1C",TRUE,TRUE,TRUE,TRUE
"Mono:MIF_DC:TNFRSF14",TRUE,FALSE,FALSE,FALSE
"Mono:LGALS9_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"Mono:THBS1_DC:ITGB1",TRUE,FALSE,FALSE,FALSE
"Mono:THBS1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:CALR_DC:LRP1",TRUE,TRUE,TRUE,FALSE
"Mono:APP_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:APP_DC:LRP10",TRUE,FALSE,FALSE,FALSE
"Mono:CALM2_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:CALM1_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:CALM3_DC:KCNQ1",TRUE,FALSE,FALSE,FALSE
"Mono:HSP90B1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:LRPAP1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:HSP90AA1_DC:LRP1",TRUE,FALSE,FALSE,FALSE
"Mono:PSEN1_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:APP_DC:NOTCH2",TRUE,FALSE,FALSE,FALSE
"Mono:FCGRT_DC:LILRB2",TRUE,TRUE,FALSE,TRUE
