"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","datasets","source.ligand","target.receptor","ligand.pvalues","ligand.logFC","ligand.pct.1","ligand.pct.2","receptor.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","direction_lig","direction_rec","direction_lig_rec","direction"
"1","T","DC","FLT3LG","FLT3",0.00517919137282459,0,"FLT3LG_FLT3","FLT3LG - FLT3","","AML","T.FLT3LG","DC.FLT3",NA,NA,NA,NA,0,0.177947052077444,20.6888461357984,3.72179118585326,NA,"up","NA_up","up"
"2","T","Gran","FLT3LG","FLT3",0.0037910149325371,0,"FLT3LG_FLT3","FLT3LG - FLT3","","AML","T.FLT3LG","Gran.FLT3",NA,NA,NA,NA,0,0.177947052077444,20.6888461357984,3.72179118585326,NA,"up","NA_up","up"
"3","T","HSPC","FLT3LG","FLT3",0.00156692695546374,0,"FLT3LG_FLT3","FLT3LG - FLT3","","AML","T.FLT3LG","HSPC.FLT3",NA,NA,NA,NA,0,0.177947052077444,20.6888461357984,3.72179118585326,NA,"up","NA_up","up"
"4","T","Mono","FLT3LG","FLT3",0.00244147458270823,0,"FLT3LG_FLT3","FLT3LG - FLT3","","AML","T.FLT3LG","Mono.FLT3",NA,NA,NA,NA,0,0.177947052077444,20.6888461357984,3.72179118585326,NA,"up","NA_up","up"
"5","DC","Gran","TNFSF10","TNFRSF10B",0.000364006029428356,0.01,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","DC.TNFSF10","Gran.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"6","Gran","Gran","TNFSF10","TNFRSF10B",0.000534152011682688,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","Gran.TNFSF10","Gran.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"7","Mono","Gran","TNFSF10","TNFRSF10B",0.00195974971732347,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","Mono.TNFSF10","Gran.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"8","DC","Mono","TNFSF10","TNFRSF10B",0.000528010229008142,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","DC.TNFSF10","Mono.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"9","Gran","Mono","TNFSF10","TNFRSF10B",0.000774756668910536,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","Gran.TNFSF10","Mono.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"10","Mono","Mono","TNFSF10","TNFRSF10B",0.002840678759375,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","","AML","Mono.TNFSF10","Mono.TNFRSF10B",NA,NA,NA,NA,5.27274048329312e-220,0.0770912846935622,14.8702547979916,5.82096018274192,NA,"up","NA_up","up"
"11","B","NK","TGFB1","TGFBR3",0.00433116621508125,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","B.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"12","DC","NK","TGFB1","TGFBR3",0.0111614940761109,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","DC.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"13","Ery","NK","TGFB1","TGFBR3",0.000198888786997735,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Ery.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"14","Gran","NK","TGFB1","TGFBR3",0.0090163808546342,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Gran.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"15","HSPC","NK","TGFB1","TGFBR3",0.00470701867495373,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","HSPC.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"16","Mono","NK","TGFB1","TGFBR3",0.0140406808345682,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Mono.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"17","NK","NK","TGFB1","TGFBR3",0.0286690529200072,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","NK.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"18","T","NK","TGFB1","TGFBR3",0.018512880492771,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","T.TGFB1","NK.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"19","B","T","TGFB1","TGFBR3",0.00144818069709352,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","B.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"20","DC","T","TGFB1","TGFBR3",0.00374910752616683,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","DC.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"21","Ery","T","TGFB1","TGFBR3",6.63177970108544e-05,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Ery.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"22","Gran","T","TGFB1","TGFBR3",0.00302421450681252,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Gran.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"23","HSPC","T","TGFB1","TGFBR3",0.00157424732419939,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","HSPC.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"24","Mono","T","TGFB1","TGFBR3",0.00472535369890845,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","Mono.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"25","NK","T","TGFB1","TGFBR3",0.00974441186539723,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","NK.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
"26","T","T","TGFB1","TGFBR3",0.00624926677619197,0,"TGFB1_TGFBR3","TGFB1 - TGFBR3","","AML","T.TGFB1","T.TGFBR3",3.32977127220355e-163,0.199274696532135,56.5341842241096,40.8609349769603,NA,NA,NA,NA,"up",NA,"up_NA","up"
