interaction_ID,average_logFC,pval,direction
Gran:SRGN_DC:CD44,0.41463899036311336,0,up
Mono:SRGN_DC:CD44,0.41463899036311336,0,up
NK:SRGN_DC:CD44,0.41463899036311336,0.01,up
Gran:SRGN_Gran:CD44,0.41463899036311336,0,up
Mono:SRGN_Gran:CD44,0.41463899036311336,0,up
Gran:SRGN_HSPC:CD44,0.41463899036311336,0,up
Mono:SRGN_HSPC:CD44,0.41463899036311336,0,up
Gran:SRGN_Mono:CD44,0.41463899036311336,0,up
Mono:SRGN_Mono:CD44,0.41463899036311336,0,up
NK:SRGN_Mono:CD44,0.41463899036311336,0,up
T:SRGN_Mono:CD44,0.41463899036311336,0,up
Gran:SRGN_T:CD44,0.41463899036311336,0,up
Mono:SRGN_T:CD44,0.41463899036311336,0,up
DC:TGFB1_B:CXCR4,0.374959178079708,0,up
Mono:TGFB1_B:CXCR4,0.374959178079708,0,up
NK:TGFB1_B:CXCR4,0.374959178079708,0,up
T:TGFB1_B:CXCR4,0.374959178079708,0,up
NK:TGFB1_DC:CXCR4,0.374959178079708,0,up
NK:TGFB1_Gran:CXCR4,0.374959178079708,0,up
T:TGFB1_Gran:CXCR4,0.374959178079708,0,up
NK:TGFB1_Mono:CXCR4,0.374959178079708,0,up
T:TGFB1_Mono:CXCR4,0.374959178079708,0,up
DC:TGFB1_NK:CXCR4,0.374959178079708,0,up
Mono:TGFB1_NK:CXCR4,0.374959178079708,0,up
NK:TGFB1_NK:CXCR4,0.374959178079708,0,up
T:TGFB1_NK:CXCR4,0.374959178079708,0,up
DC:TGFB1_T:CXCR4,0.374959178079708,0,up
Gran:TGFB1_T:CXCR4,0.374959178079708,0,up
Mono:TGFB1_T:CXCR4,0.374959178079708,0,up
NK:TGFB1_T:CXCR4,0.374959178079708,0,up
T:TGFB1_T:CXCR4,0.374959178079708,0,up
Mono:ACKR3_B:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_DC:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_Gran:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_HSPC:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_Mono:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_NK:CXCR4,0.3354397369163965,0,up
Mono:ACKR3_T:CXCR4,0.3354397369163965,0,up
DC:MIF_B:CXCR4,0.30460602596997705,0,up
Gran:MIF_B:CXCR4,0.30460602596997705,0,up
HSPC:MIF_B:CXCR4,0.30460602596997705,0,up
Mono:MIF_B:CXCR4,0.30460602596997705,0,up
NK:MIF_B:CXCR4,0.30460602596997705,0,up
T:MIF_B:CXCR4,0.30460602596997705,0,up
Gran:MIF_Mono:CXCR4,0.30460602596997705,0.02,up
HSPC:MIF_Mono:CXCR4,0.30460602596997705,0,up
DC:MIF_NK:CXCR4,0.30460602596997705,0,up
Gran:MIF_NK:CXCR4,0.30460602596997705,0,up
HSPC:MIF_NK:CXCR4,0.30460602596997705,0,up
Mono:MIF_NK:CXCR4,0.30460602596997705,0,up
NK:MIF_NK:CXCR4,0.30460602596997705,0,up
