gene_name,uniprot,hgnc_symbol,ensembl
KLRF1,Q9NZS2,KLRF1,ENSG00000150045
CERS6,Q6ZMG9,CERS6,ENSG00000172292
KIR2DL5A,Q8N109,KIR2DL5A,ENSG00000275596
CEACAM1,P13688,CEACAM1,ENSG00000079385
KCNJ15,Q99712,KCNJ15,ENSG00000157551
ASGR1,P07306,ASGR1,ENSG00000141505
STAB2,Q8WWQ8,STAB2,ENSG00000136011
IL1B,P01584,IL1B,ENSG00000125538
CNTFR,P26992,CNTFR,ENSG00000122756
PLXNB3,Q9ULL4,PLXNB3,ENSG00000198753
CLEC12A,Q5QGZ9,CLEC12A,ENSG00000172322
FAM187B,Q17R55,FAM187B,ENSG00000177558
YIF1B,Q5BJH7,YIF1B,ENSG00000167645
GRIN2A,Q12879,GRIN2A,ENSG00000183454
MUC5AC,P98088,MUC5AC,ENSG00000283158
ADGRL1,O94910,ADGRL1,ENSG00000288324
OR1G1,P47890,OR1G1,ENSG00000183024
SEMA4F,O95754,SEMA4F,ENSG00000135622
AVPR1B,P47901,AVPR1B,ENSG00000198049
LIFR,P42702,LIFR,ENSG00000113594
STX4,Q12846,STX4,ENSG00000103496
KIR2DS2,P43631,KIR2DS2,ENSG00000278152
ADGRL4,Q9HBW9,ADGRL4,ENSG00000162618
CD1A,P06126,CD1A,ENSG00000158477
VSIG4,Q9Y279,VSIG4,ENSG00000155659
NCSTN,Q92542,NCSTN,ENSG00000162736
KREMEN2,Q8NCW0,KREMEN2,ENSG00000131650
TMPRSS6,Q8IU80,TMPRSS6,ENSG00000187045
IGF2,P01344,IGF2,ENSG00000167244
CELSR2,Q9HCU4,CELSR2,ENSG00000143126
EGFR,P00533,EGFR,ENSG00000146648
TNR,Q92752,TNR,ENSG00000116147
BMPR2,Q13873,BMPR2,ENSG00000204217
NAALAD2,Q9Y3Q0,NAALAD2,ENSG00000285516
FCAMR,Q8WWV6,FCAMR,ENSG00000162897
ERAP1,Q9NZ08,ERAP1,ENSG00000164307
BMP8B,P34820,BMP8B,ENSG00000116985
CCR6,P51684,CCR6,ENSG00000112486
ITGA2,P17301,ITGA2,ENSG00000164171
TARM1,B6A8C7,TARM1,ENSG00000274889
ITGAM,P11215,ITGAM,ENSG00000169896
GNRHR,P30968,GNRHR,ENSG00000109163
PITPNM3,Q9BZ71,PITPNM3,ENSG00000091622
RAMP3,O60896,RAMP3,ENSG00000122679
GRIN2C,Q14957,GRIN2C,ENSG00000161509
CD177,Q8N6Q3,CD177,ENSG00000204936
COL13A1,Q5TAT6,COL13A1,ENSG00000197467
OPRK1,P41145,OPRK1,ENSG00000082556
PCSK4,Q6UW60,PCSK4,ENSG00000115257
TREML1,Q86YW5,TREML1,ENSG00000161911
TMEM67,Q5HYA8,TMEM67,ENSG00000164953
PDGFRA,P16234,PDGFRA,ENSG00000134853
TNFRSF18,Q9Y5U5,TNFRSF18,ENSG00000186891
SLC52A2,Q9HAB3,SLC52A2,ENSG00000285112
EDNRA,P25101,EDNRA,ENSG00000151617
LRPAP1,P30533,LRPAP1,ENSG00000163956
NCR1,O76036,NCR1,ENSG00000278362
FZD1,Q9UP38,FZD1,ENSG00000157240
SCARF1,Q14162,SCARF1,ENSG00000276336
FZD5,Q13467,FZD5,ENSG00000163251
INHBE,P58166,INHBE,ENSG00000139269
PRSS55,Q6UWB4,PRSS55,ENSG00000184647
NEO1,Q92859,NEO1,ENSG00000067141
NECTIN1,Q15223,NECTIN1,ENSG00000110400
NPY1R,P25929,NPY1R,ENSG00000164128
CLDN12,P56749,CLDN12,ENSG00000157224
NECTIN3,Q9NQS3,NECTIN3,ENSG00000177707
LILRA1,O75019,LILRA1,ENSG00000274935
ADGRV1,Q8WXG9,ADGRV1,ENSG00000164199
CDH2,P19022,CDH2,ENSG00000170558
CHRNA5,P30532,CHRNA5,ENSG00000169684
PDGFRB,P09619,PDGFRB,ENSG00000113721
GRPR,P30550,GRPR,ENSG00000126010
ADAM21,Q9UKJ8,ADAM21,ENSG00000139985
GRM8,O00222,GRM8,ENSG00000179603
NGFR,P08138,NGFR,ENSG00000064300
LYPD6,Q86Y78,LYPD6,ENSG00000187123
SCN5A,Q14524,SCN5A,ENSG00000183873
ROS1,P08922,ROS1,ENSG00000047936
HLA-DQB2,P05538,HLA-DQB2,ENSG00000229493
PGAP6,Q9HCN3,PGAP6,ENSG00000129925
F2RL3,Q96RI0,F2RL3,ENSG00000127533
GALR2,O43603,GALR2,ENSG00000182687
GPC1,P35052,GPC1,ENSG00000063660
JMJD6,Q6NYC1,JMJD6,ENSG00000070495
ATP1A3,P13637,ATP1A3,ENSG00000105409
TNFRSF10B,O14763,TNFRSF10B,ENSG00000120889
IL22RA1,Q8N6P7,IL22RA1,ENSG00000142677
NKD2,Q969F2,NKD2,ENSG00000276920
WNT16,Q9UBV4,WNT16,ENSG00000002745
DIP2A,Q14689,DIP2A,ENSG00000160305
PTH1R,Q03431,PTH1R,ENSG00000160801
SLC16A4,O15374,SLC16A4,ENSG00000168679
TSPAN33,Q86UF1,TSPAN33,ENSG00000158457
CALM2,P0DP24,CALM2,ENSG00000143933
CNIH1,O95406,CNIH1,ENSG00000100528
PEAR1,Q5VY43,PEAR1,ENSG00000187800
FZD4,Q9ULV1,FZD4,ENSG00000174804
SCN1B,Q07699,SCN1B,ENSG00000105711
HLA-C,P10321,HLA-C,ENSG00000204525
CLDN11,O75508,CLDN11,ENSG00000013297
EPHB3,P54753,EPHB3,ENSG00000182580
CD46,P15529,CD46,ENSG00000117335
PTPRC,P08575,PTPRC,ENSG00000262418
LILRA5,A6NI73,LILRA5,ENSG00000275404
VANGL2,Q9ULK5,VANGL2,ENSG00000162738
GYPE,P15421,GYPE,ENSG00000197465
ACTR2,P61160,ACTR2,ENSG00000138071
COL3A1,P02461,COL3A1,ENSG00000168542
CHRNA10,Q9GZZ6,CHRNA10,ENSG00000129749
WNT1,P04628,WNT1,ENSG00000125084
EPGN,Q6UW88,EPGN,ENSG00000182585
YIF1A,O95070,YIF1A,ENSG00000174851
DSG3,P32926,DSG3,ENSG00000134757
ANTXR1,Q9H6X2,ANTXR1,ENSG00000169604
ULBP3,Q9BZM4,ULBP3,ENSG00000131019
TRPV1,Q8NER1,TRPV1,ENSG00000196689
BMP8A,Q7Z5Y6,BMP8A,ENSG00000183682
SIGLEC10,Q96LC7,SIGLEC10,ENSG00000142512
PTH2R,P49190,PTH2R,ENSG00000144407
LRP6,O75581,LRP6,ENSG00000281324
MPZ,P25189,MPZ,ENSG00000158887
FLT3,P36888,FLT3,ENSG00000122025
TYROBP,O43914,TYROBP,ENSG00000011600
CLEC10A,Q8IUN9,CLEC10A,ENSG00000132514
HHIP,Q96QV1,HHIP,ENSG00000164161
SEMA4G,Q9NTN9,SEMA4G,ENSG00000095539
WLS,Q5T9L3,WLS,ENSG00000116729
LCTL,Q6UWM7,LCTL,ENSG00000188501
CLDN1,O95832,CLDN1,ENSG00000163347
HJV,Q6ZVN8,HJV,ENSG00000168509
S1PR2,O95136,S1PR2,ENSG00000267534
CD226,Q15762,CD226,ENSG00000150637
NCAM1,P13591,NCAM1,ENSG00000149294
GFRA2,O00451,GFRA2,ENSG00000168546
ACVR2B,Q13705,ACVR2B,ENSG00000114739
IL27RA,Q6UWB1,IL27RA,ENSG00000288185
IL2RB,P14784,IL2RB,ENSG00000100385
GRM5,P41594,GRM5,ENSG00000168959
MC2R,Q01718,MC2R,ENSG00000185231
TSPAN1,O60635,TSPAN1,ENSG00000117472
CHRNA4,P43681,CHRNA4,ENSG00000101204
INHBC,P55103,INHBC,ENSG00000175189
LEPR,P48357,LEPR,ENSG00000116678
WNT8A,Q9H1J5,WNT8A,ENSG00000061492
CLEC2B,Q92478,CLEC2B,ENSG00000110852
TECTB,Q96PL2,TECTB,ENSG00000119913
IFNGR1,P15260,IFNGR1,ENSG00000027697
CANX,P27824,CANX,ENSG00000283777
FAM200A,Q8TCP9,FAM200A,ENSG00000221909
CCR2,P41597,CCR2,ENSG00000121807
MCHR2,Q969V1,MCHR2,ENSG00000152034
EPHA5,P54756,EPHA5,ENSG00000145242
ROBO4,Q8WZ75,ROBO4,ENSG00000154133
GRIN2D,O15399,GRIN2D,ENSG00000105464
SDC3,O75056,SDC3,ENSG00000162512
CD99L2,Q8TCZ2,CD99L2,ENSG00000102181
TNFRSF6B,O95407,TNFRSF6B,ENSG00000243509
SRC,P12931,SRC,ENSG00000197122
NRSN1,Q8IZ57,NRSN1,ENSG00000152954
DRD2,P14416,DRD2,ENSG00000149295
PLXNA3,P51805,PLXNA3,ENSG00000130827
ART1,P52961,ART1,ENSG00000129744
TNFRSF9,Q07011,TNFRSF9,ENSG00000049249
CHRNB2,P17787,CHRNB2,ENSG00000160716
MST1R,Q04912,MST1R,ENSG00000164078
UTS2R,Q9UKP6,UTS2R,ENSG00000181408
CDH5,P33151,CDH5,ENSG00000179776
CACHD1,Q5VU97,CACHD1,ENSG00000158966
IL1RAPL2,Q9NP60,IL1RAPL2,ENSG00000189108
ITGA8,P53708,ITGA8,ENSG00000077943
HTR7,P34969,HTR7,ENSG00000148680
SIGLEC14,Q08ET2,SIGLEC14,ENSG00000254415
NPSR1,Q6W5P4,NPSR1,ENSG00000187258
SELL,P14151,SELL,ENSG00000188404
SLC4A11,Q8NBS3,SLC4A11,ENSG00000088836
SLC18A3,Q16572,SLC18A3,ENSG00000187714
IL1A,P01583,IL1A,ENSG00000115008
