partner_a,partner_b,source,annotation_strategy
P01023,Q07954,OmniPath,LR
P61160,P07550,OmniPath,LR
P61160,P01130,OmniPath,LR
P61160,P98164,OmniPath,LR
O75078,P51679,OmniPath,LR
O75078,P13612,OmniPath,LR
P18509,P41586,OmniPath,LR
P18509,P07550,OmniPath,LR
P18509,P13945,OmniPath,LR
P18509,P27487,OmniPath,LR
P18509,Q99678,OmniPath,LR
P18509,Q9NQS5,OmniPath,LR
P18509,Q03431,OmniPath,LR
P18509,O60895,OmniPath,LR
P18509,O60896,OmniPath,LR
P18509,P47872,OmniPath,LR
P18509,P16473,OmniPath,LR
P18509,P32241,OmniPath,LR
P18509,P41587,OmniPath,LR
Q15848,Q96A54,OmniPath,LR
Q15848,Q86V24,OmniPath,LR
Q15848,P07307,OmniPath,LR
Q15848,Q9UHP7,OmniPath,LR
Q15848,P34972,OmniPath,LR
Q15848,Q8TDT2,OmniPath,LR
Q15848,O15529,OmniPath,LR
Q15848,Q8NFJ6,OmniPath,LR
P35318,P25106,OmniPath,LR
P35318,P41586,OmniPath,LR
P35318,P07550,OmniPath,LR
P35318,P13945,OmniPath,LR
P35318,P30988,OmniPath,LR
P35318,Q16602,OmniPath,LR
P35318,Q9C098,OmniPath,LR
P35318,O15218,OmniPath,LR
P35318,Q99678,OmniPath,LR
P35318,Q9NQS5,OmniPath,LR
P35318,Q96LB1,OmniPath,LR
P35318,Q03431,OmniPath,LR
P35318,O60894,OmniPath,LR
P35318,O60895,OmniPath,LR
P35318,O60896,OmniPath,LR
P35318,P16473,OmniPath,LR
P35318,P32241,OmniPath,LR
Q7Z4H4,P41586,OmniPath,LR
Q7Z4H4,P07550,OmniPath,LR
Q7Z4H4,P13945,OmniPath,LR
Q7Z4H4,P30988,OmniPath,LR
Q7Z4H4,Q16602,OmniPath,LR
Q7Z4H4,Q9C098,OmniPath,LR
Q7Z4H4,Q99678,OmniPath,LR
Q7Z4H4,Q9NQS5,OmniPath,LR
Q7Z4H4,Q03431,OmniPath,LR
Q7Z4H4,O60894,OmniPath,LR
Q7Z4H4,O60895,OmniPath,LR
Q7Z4H4,O60896,OmniPath,LR
Q7Z4H4,P16473,OmniPath,LR
Q7Z4H4,P32241,OmniPath,LR
Q96SZ5,P30542,OmniPath,LR
Q96SZ5,P29274,OmniPath,LR
Q96SZ5,P29275,OmniPath,LR
Q96SZ5,P0DMS8,OmniPath,LR
P55196,Q15375,OmniPath,LR
P55196,P29323,OmniPath,LR
P55196,P54753,OmniPath,LR
P55196,O15197,OmniPath,LR
P55196,Q15223,OmniPath,LR
P55196,Q92692,OmniPath,LR
P55196,Q96NY8,OmniPath,LR
P55196,P58401,OmniPath,LR
P55196,Q9Y4C0,OmniPath,LR
O00468,Q14118,OmniPath,LR
O00468,P05556,OmniPath,LR
O00468,Q07954,OmniPath,LR
O00468,P98164,OmniPath,LR
O00468,O75096,OmniPath,LR
O00468,O15146,OmniPath,LR
O00253,O75882,OmniPath,LR
O00253,Q01726,OmniPath,LR
O00253,P41968,OmniPath,LR
O00253,P32245,OmniPath,LR
O00253,P33032,OmniPath,LR
O00253,P18827,OmniPath,LR
O00253,O75056,OmniPath,LR
P01019,P08913,OmniPath,LR
P01019,P30556,OmniPath,LR
P01019,P50052,OmniPath,LR
P01019,Q14831,OmniPath,LR
P01019,P98164,OmniPath,LR
P01019,P04201,OmniPath,LR
P01019,P48039,OmniPath,LR
Q6RW13,P63244,OmniPath,LR
P02765,P06213,OmniPath,LR
Q12904,P04629,OmniPath,LR
P02768,P98164,OmniPath,LR
Q13740,P30203,OmniPath,LR
Q13740,O00533,OmniPath,LR
Q13740,O14786,OmniPath,LR
Q6UXT8,Q9UM73,OmniPath,LR
Q6UXT8,P29376,OmniPath,LR
Q6UX46,Q9UM73,OmniPath,LR
Q6UX46,P29376,OmniPath,LR
Q9NP70,P08962,OmniPath,LR
Q99217,P08962,OmniPath,LR
Q99217,P11279,OmniPath,LR
Q99217,P13473,OmniPath,LR
Q99218,P08962,OmniPath,LR
Q99218,P11279,OmniPath,LR
Q99218,P13473,OmniPath,LR
P03971,Q04771,OmniPath,LR
P03971,Q16671,OmniPath,LR
P03971,P36894,OmniPath,LR
P03971,O00238,OmniPath,LR
P03971,P00533,OmniPath,LR
P03950,P00533,OmniPath,LR
P03950,O15031,OmniPath,LR
Q15389,P08648,OmniPath,LR
Q15389,P05556,OmniPath,LR
Q15389,Q02763,OmniPath,LR
Q15389,P35590,OmniPath,LR
O15123,Q02763,OmniPath,LR
O15123,P35590,OmniPath,LR
Q9Y264,Q02763,OmniPath,LR
Q9Y264,P35590,OmniPath,LR
O95841,Q8N423,OmniPath,LR
O95841,O75022,OmniPath,LR
O95841,Q02763,OmniPath,LR
Q9UKU9,P08648,OmniPath,LR
Q9UKU9,P05556,OmniPath,LR
Q9UKU9,Q8N423,OmniPath,LR
Q9UKU9,O75022,OmniPath,LR
Q9UKU9,Q02763,OmniPath,LR
Q9UKU9,P35590,OmniPath,LR
Q9UKU9,O00206,OmniPath,LR
Q9Y5C1,P08648,OmniPath,LR
Q9Y5C1,P06756,OmniPath,LR
Q9Y5C1,P05106,OmniPath,LR
Q9Y5C1,Q02763,OmniPath,LR
Q9BY76,P55287,OmniPath,LR
Q9BY76,P33151,OmniPath,LR
Q9BY76,Q8IV16,OmniPath,LR
Q9BY76,P18827,OmniPath,LR
