"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj","direction"
"1","B:ALCAM_NK:CD6","B","ALCAM","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"2","DC:ALCAM_NK:CD6","DC","ALCAM","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"3","Gran:ALCAM_NK:CD6","Gran","ALCAM","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"4","HSPC:ALCAM_NK:CD6","HSPC","ALCAM","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"down"
"5","Mono:ALCAM_NK:CD6","Mono","ALCAM","NK","CD6",NA,NA,0.290021653772457,5.62531410574651e-50,"up"
"6","B:ALCAM_T:CD6","B","ALCAM","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"7","DC:ALCAM_T:CD6","DC","ALCAM","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"8","Gran:ALCAM_T:CD6","Gran","ALCAM","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"9","HSPC:ALCAM_T:CD6","HSPC","ALCAM","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"10","Mono:ALCAM_T:CD6","Mono","ALCAM","T","CD6",NA,NA,0.278549160674743,7.67882943660088e-119,"down"
"11","Ery:CD320_DC:JAML","Ery","CD320","DC","JAML",-0.274278028608073,-0.274278028608073,NA,NA,"down"
"12","Ery:CD320_Gran:JAML","Ery","CD320","Gran","JAML",-0.274278028608073,-0.274278028608073,NA,NA,"down"
"13","Ery:CD320_HSPC:JAML","Ery","CD320","HSPC","JAML",-0.274278028608073,-0.274278028608073,NA,NA,"down"
"14","B:CD320_Mono:JAML","B","CD320","Mono","JAML",NA,NA,-0.419921705582659,5.07243003939177e-273,"down"
"15","DC:CD320_Mono:JAML","DC","CD320","Mono","JAML",NA,NA,-0.419921705582659,5.07243003939177e-273,"down"
"16","Ery:CD320_Mono:JAML","Ery","CD320","Mono","JAML",-0.274278028608073,-0.274278028608073,-0.419921705582659,5.07243003939177e-273,"down"
"17","HSPC:CD320_Mono:JAML","HSPC","CD320","Mono","JAML",NA,NA,-0.419921705582659,5.07243003939177e-273,"down"
"18","NK:CD320_Mono:JAML","NK","CD320","Mono","JAML",NA,NA,-0.419921705582659,5.07243003939177e-273,"down"
"19","T:CD320_Mono:JAML","T","CD320","Mono","JAML",NA,NA,-0.419921705582659,5.07243003939177e-273,"down"
"20","Ery:CD320_T:JAML","Ery","CD320","T","JAML",-0.274278028608073,-0.274278028608073,NA,NA,"down"
"21","B:HLA-C_NK:CD8A","B","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"22","DC:HLA-C_NK:CD8A","DC","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"23","Ery:HLA-C_NK:CD8A","Ery","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"24","Gran:HLA-C_NK:CD8A","Gran","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"25","HSPC:HLA-C_NK:CD8A","HSPC","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"26","Mono:HLA-C_NK:CD8A","Mono","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"27","NK:HLA-C_NK:CD8A","NK","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"28","T:HLA-C_NK:CD8A","T","HLA-C","NK","CD8A",NA,NA,0.447479522133646,1.73699855846214e-70,"down"
"29","B:HLA-C_T:CD8A","B","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"30","DC:HLA-C_T:CD8A","DC","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"31","Ery:HLA-C_T:CD8A","Ery","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"32","Gran:HLA-C_T:CD8A","Gran","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"33","HSPC:HLA-C_T:CD8A","HSPC","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"34","Mono:HLA-C_T:CD8A","Mono","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
"35","NK:HLA-C_T:CD8A","NK","HLA-C","T","CD8A",NA,NA,0.275455168421118,9.08538764991118e-77,"down"
