"","interaction_ID","AML-0024","AML-0160","AML-0693","AML-1371","AML-2123","AML-3133","AML-4340","healthy-1","healthy-2","healthy-3","healthy-4","healthy-4003","healthy-5"
"79","B:ALCAM_NK:CD6",0,0,0,0.211,0,0,0,0,0,0,0,0,0
"80","DC:ALCAM_NK:CD6",0.291,0,0,0.356,0,0.205,0.403,0,0,0,0,0,0
"81","Gran:ALCAM_NK:CD6",0.191,0,0,0.347,0.234,0.233,0.239,0,0,0,0,0,0
"82","HSPC:ALCAM_NK:CD6",0,0,0,0.227,0.215,0.242,0.316,0,0,0,0,0,0
"83","Mono:ALCAM_NK:CD6",0.137,0,0,0.198,0.271,0,0.242,0,0,0,0,0,0
"84","B:ALCAM_T:CD6",0,0,0.313,0.278,0,0,0,0,0,0,0,0,0
"85","DC:ALCAM_T:CD6",0.424,0.356,0.387,0.424,0,0.279,0.711,0.314,0.328,0.324,0.303,0.322,0.33
"86","Gran:ALCAM_T:CD6",0.324,0.273,0.413,0.414,0.429,0.307,0.547,0.308,0.266,0.244,0.202,0.238,0.217
"87","HSPC:ALCAM_T:CD6",0,0.297,0.408,0.295,0.41,0.316,0.624,0.269,0.25,0.218,0.22,0.271,0.232
"88","Mono:ALCAM_T:CD6",0.27,0.253,0.308,0.266,0.466,0,0.55,0,0,0,0,0,0
"211","HSPC:GP1BB_B:ITGB2",0,0,0,0,0,0,0,0,0,0.433,0.37,0,0
"212","HSPC:GP1BB_DC:ITGB2",0,0,0.644,0,0,0.464,0,0.669,0.774,1.003,0.896,0.843,0.774
"213","HSPC:GP1BB_Ery:ITGB2",0,0,0,0,0,0,0,0,0,0.362,0,0,0
"214","HSPC:GP1BB_Gran:ITGB2",0,0,0.556,0,0,0.909,0,0.981,0.991,1.016,1.183,1.009,0.984
"215","HSPC:GP1BB_HSPC:ITGB2",0,0,0.249,0,0,0.239,0,0.281,0.413,0.445,0.326,0.421,0.459
"216","HSPC:GP1BB_Mono:ITGB2",0,0,0.695,0,0,0.9,0,1.05,0.985,1.089,1.29,1.007,0.976
"217","Ery:GP1BB_NK:ITGB2",0,0,0.618,0,0,0.725,0,0.524,0.577,0.883,0.965,0.635,0.655
"218","HSPC:GP1BB_NK:ITGB2",0,0,0.669,0,0,0.69,0,0.569,0.804,0.982,1.091,0.88,0.814
"219","HSPC:GP1BB_T:ITGB2",0,0,0.33,0,0,0.293,0,0.368,0.447,0.653,0.598,0.612,0.621
"220","Ery:GP1BB_DC:ITGAM",0,0.139,0,0,0,0.183,0,0,0,0,0.138,0,0
"221","HSPC:GP1BB_DC:ITGAM",0,0,0,0,0,0.149,0,0,0,0,0.264,0,0
"222","HSPC:GP1BB_Gran:ITGAM",0,0,0,0,0,0.317,0,0.301,0.461,0.568,0.453,0.439,0.437
"223","HSPC:GP1BB_Mono:ITGAM",0,0,0.276,0,0,0.303,0,0.383,0.484,0.594,0.528,0.468,0.523
"224","HSPC:GP1BB_NK:ITGAM",0,0,0,0,0,0.265,0,0,0,0.517,0.415,0.473,0
"651","HSPC:SORL1_B:APP",0,0,0,0.18,0,0,0.302,0,0,0.212,0,0,0
