id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Ery	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Ery|B	Ery|DC	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|DC	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.027	0.152	0.084	0.175	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.027	0.152	0.084	0.175	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.279	0.0	0.298	0.423	0.354	0.446	0.289	0.0	0.147	0.0	0.165	0.29	0.222	0.313	0.157	0.0	0.055	0.0	0.073	0.198	0.13	0.221	0.065	0.0	0.076	0.0	0.094	0.219	0.151	0.243	0.086	0.0	0.054	0.0	0.073	0.198	0.129	0.221	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.101	0.0	0.12	0.245	0.176	0.268	0.112	0.0	0.106	0.0	0.124	0.25	0.181	0.273	0.116	0.0	0.168	0.0	0.187	0.312	0.243	0.335	0.179	0.0	0.484	0.0	0.503	0.628	0.56	0.651	0.495	0.0	0.222	0.0	0.24	0.365	0.297	0.388	0.232	0.0	0.429	0.0	0.447	0.572	0.504	0.596	0.439	0.0	0.276	0.0	0.294	0.419	0.351	0.442	0.286	0.0	0.213	0.0	0.231	0.356	0.288	0.379	0.223	0.0
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.031	0.157	0.088	0.18	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.029	0.155	0.086	0.178	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.028	0.153	0.085	0.176	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.031	0.156	0.088	0.179	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.042	0.167	0.099	0.19	0.034	0.0
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.065	0.0	0.075	0.069	0.0	0.079	0.079	0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.043	0.036	0.0	0.047	0.047	0.106	0.095	0.0	0.105	0.099	0.0	0.109	0.109	0.168	0.102	0.0	0.112	0.106	0.0	0.116	0.116	0.175	0.073	0.0	0.084	0.077	0.0	0.087	0.087	0.146	0.039	0.0	0.049	0.043	0.0	0.053	0.053	0.112	0.069	0.0	0.079	0.073	0.0	0.083	0.083	0.142
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.198	0.0	0.208	0.202	0.0	0.212	0.212	0.271	0.313	0.0	0.323	0.317	0.0	0.327	0.327	0.386	0.124	0.0	0.134	0.128	0.0	0.138	0.138	0.197	0.605	0.0	0.615	0.609	0.0	0.619	0.619	0.678	0.414	0.0	0.424	0.417	0.0	0.428	0.428	0.487	0.608	0.0	0.618	0.611	0.0	0.621	0.621	0.681	0.301	0.0	0.311	0.305	0.0	0.315	0.315	0.374	0.172	0.0	0.182	0.176	0.0	0.186	0.186	0.245
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.138	0.0	0.149	0.142	0.0	0.152	0.152	0.212	0.194	0.0	0.204	0.197	0.0	0.207	0.207	0.267	0.113	0.0	0.123	0.116	0.0	0.127	0.126	0.186	0.061	0.0	0.071	0.064	0.0	0.075	0.074	0.134	0.081	0.0	0.092	0.085	0.0	0.095	0.095	0.155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.076	0.0	0.086	0.079	0.0	0.089	0.089	0.149	0.119	0.0	0.129	0.123	0.0	0.133	0.133	0.192	0.322	0.0	0.332	0.326	0.0	0.336	0.336	0.395	0.263	0.0	0.273	0.266	0.0	0.277	0.277	0.336	0.252	0.0	0.262	0.255	0.0	0.266	0.265	0.325	0.676	0.0	0.686	0.679	0.0	0.69	0.689	0.749	0.07	0.0	0.08	0.073	0.0	0.084	0.083	0.143	0.118	0.0	0.129	0.122	0.0	0.132	0.132	0.192
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.108	0.0	0.118	0.111	0.0	0.122	0.122	0.181	0.078	0.0	0.088	0.082	0.0	0.092	0.092	0.151	0.042	0.0	0.052	0.045	0.0	0.056	0.055	0.115	0.117	0.0	0.127	0.12	0.0	0.131	0.13	0.19	0.13	0.0	0.14	0.134	0.0	0.144	0.144	0.203	0.131	0.0	0.141	0.134	0.0	0.145	0.144	0.204	0.262	0.0	0.272	0.265	0.0	0.276	0.276	0.335	0.33	0.0	0.34	0.333	0.0	0.344	0.344	0.403
