id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Gran|B	Gran|DC	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS06B1428D4	SCT_GPR84	simple:P09683	simple:Q9NQS5	SCT	GPR84	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS07297A3AD	ADM_GPR84	simple:P35318	simple:Q9NQS5	ADM	GPR84	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0BCB0DBB3	APP_ADRA2A	simple:P05067	simple:P08913	APP	ADRA2A	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0833E9829	ANXA1_ADRA2A	simple:P04083	simple:P08913	ANXA1	ADRA2A	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0A3CA0C16	GNAI2_C5AR1	simple:P04899	simple:P21730	GNAI2	C5AR1	False	False	False	user_curated	False	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ANXA1	FPR1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS091AAE861	GNAI2_S1PR5	simple:P04899	simple:Q9H228	GNAI2	S1PR5	False	False	False	user_curated	False	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
CPI-SS08991B378	CD6_ALCAM	simple:P30203	simple:Q13740	CD6	ALCAM	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0
CPI-SS0E873DD1D	S100A9_ALCAM	simple:P06702	simple:Q13740	S100A9	ALCAM	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS01C1F9BD5	APP_LRP1	simple:P05067	simple:Q07954	APP	LRP1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0CA60658F	CALR_LRP1	simple:P27797	simple:Q07954	CALR	LRP1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
CPI-SS0419B80C4	LGALS9_LRP1	simple:O00182	simple:Q07954	LGALS9	LRP1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0BDEDE435	FCN1_LRP1	simple:O00602	simple:Q07954	FCN1	LRP1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS09F7411A6	PSAP_LRP1	simple:P07602	simple:Q07954	PSAP	LRP1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CPI-SS0B982FDFC	HSP90AA1_LRP1	simple:P07900	simple:Q07954	HSP90AA1	LRP1	False	False	False	user_curated	False	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0805DE8B6	TGFB1_ITGB1	simple:P01137	simple:P05556	TGFB1	ITGB1	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CPI-SS0E4272D6E	TGFB1_ITGAV	simple:P01137	simple:P06756	TGFB1	ITGAV	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1
CPI-SS0C2FD6EFC	THBS1_ITGA4	simple:P07996	simple:P13612	THBS1	ITGA4	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0DB9B9B49	F13A1_ITGA4	simple:P00488	simple:P13612	F13A1	ITGA4	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS09B7E7E15	VCAN_ITGA4	simple:P13611	simple:P13612	VCAN	ITGA4	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS044700115	CD14_ITGA4	simple:P08571	simple:P13612	CD14	ITGA4	False	False	False	user_curated	False	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPI-SS0A0438C9D	CD44_COL4A5	simple:P16070	simple:P29400	CD44	COL4A5	False	False	False	user_curated	False	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
