id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	Ery|B	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.013	0.183	0.016	0.251	0.0	0.014	0.0	0.008	0.178	0.011	0.246	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.182	0.015	0.25	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.0	0.015	0.185	0.018	0.254	0.0	0.016	0.0	0.107	0.277	0.11	0.346	0.0	0.108	0.0	0.104	0.275	0.108	0.343	0.0	0.105	0.0	0.017	0.187	0.02	0.255	0.0	0.018	0.0	0.132	0.302	0.135	0.37	0.0	0.133	0.0	0.027	0.198	0.031	0.266	0.0	0.029	0.0	0.006	0.177	0.01	0.245	0.0	0.007
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.0	0.037	0.207	0.04	0.275	0.0	0.038	0.0	0.127	0.297	0.13	0.366	0.0	0.128	0.0	0.127	0.297	0.13	0.365	0.0	0.128	0.0	0.129	0.299	0.132	0.367	0.0	0.13	0.0	0.062	0.233	0.066	0.301	0.0	0.063	0.0	0.298	0.469	0.302	0.537	0.0	0.299	0.0	0.133	0.303	0.136	0.371	0.0	0.134
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.176	0.008	0.244	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.0	0.012	0.182	0.015	0.251	0.0	0.013	0.0	0.023	0.194	0.027	0.262	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.178	0.011	0.246	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.18	0.013	0.249	0.0	0.011
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.0	0.05	0.0	0.05	0.0	0.224	0.118	0.0	0.058	0.0	0.058	0.0	0.232	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.008	0.0	0.182	0.076	0.0	0.087	0.0	0.087	0.0	0.261	0.155	0.0	0.07	0.0	0.07	0.0	0.243	0.138	0.0	0.045	0.0	0.045	0.0	0.219	0.113
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.0	0.121	0.0	0.121	0.0	0.294	0.188	0.0	0.146	0.0	0.146	0.0	0.319	0.213	0.0	0.568	0.0	0.568	0.0	0.741	0.635	0.0	0.174	0.0	0.174	0.0	0.347	0.241	0.0	0.393	0.0	0.393	0.0	0.567	0.461	0.0	0.286	0.0	0.286	0.0	0.459	0.354	0.0	0.17	0.0	0.17	0.0	0.344	0.238
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.009	0.0	0.183	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.054	0.0	0.228	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.014	0.0	0.188	0.082
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.0	0.019	0.0	0.019	0.0	0.193	0.087	0.0	0.121	0.0	0.121	0.0	0.294	0.189	0.0	0.194	0.0	0.194	0.0	0.367	0.262	0.0	0.034	0.0	0.034	0.0	0.208	0.102	0.0	0.084	0.0	0.084	0.0	0.258	0.152	0.0	0.02	0.0	0.02	0.0	0.194	0.088	0.0	0.008	0.0	0.008	0.0	0.182	0.076
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.0	0.007	0.0	0.007	0.0	0.18	0.074	0.0	0.008	0.0	0.008	0.0	0.182	0.076	0.0	0.372	0.0	0.372	0.0	0.546	0.44	0.0	0.082	0.0	0.082	0.0	0.255	0.15	0.0	0.024	0.0	0.024	0.0	0.198	0.092	0.0	0.03	0.0	0.03	0.0	0.204	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.0	0.074	0.0	0.074	0.0	0.248	0.142	0.0	0.125	0.0	0.125	0.0	0.298	0.192	0.0	0.124	0.0	0.124	0.0	0.298	0.192	0.0	0.147	0.0	0.147	0.0	0.321	0.215	0.0	0.158	0.0	0.158	0.0	0.332	0.226	0.0	0.249	0.0	0.249	0.0	0.423	0.317	0.0	0.23	0.0	0.23	0.0	0.404	0.298
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.006	0.0	0.18	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.005	0.0	0.179	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08BC9FF17	PRNP_ADRB2	simple:P04156	simple:P07550	PRNP	ADRB2	False	False	False	user_curated	False	0.0	0.166	0.0	0.166	0.0	0.34	0.234	0.0	0.065	0.0	0.065	0.0	0.239	0.133	0.0	0.216	0.0	0.216	0.0	0.39	0.284	0.0	0.111	0.0	0.111	0.0	0.285	0.179	0.0	0.392	0.0	0.392	0.0	0.565	0.459	0.0	0.091	0.0	0.091	0.0	0.264	0.158	0.0	0.156	0.0	0.156	0.0	0.329	0.224
