id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B|B	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	Ery|B	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0E18854A9	ITGB2_FCER2	simple:P05107	simple:P06734	ITGB2	FCER2	False	False	False	user_curated	False	0.02																																				1.075													
CPI-SS0EC14DD9B	ITGA6_CD82	simple:P23229	simple:P27701	ITGA6	CD82	False	False	False	user_curated	False	0.02																							0.292																										
CPI-SS03EA1937C	NCL_MDK	simple:P19338	simple:P21741	NCL	MDK	False	False	False	user_curated	False	0.02											0.752																																						
CPI-SS0532E1B1B	ITGB2_SELPLG	simple:P05107	simple:Q14242	ITGB2	SELPLG	False	False	False	user_curated	False	0.02																																									0.847								
CPI-SS07D9C2FF7	MET_CD82	simple:P08581	simple:P27701	MET	CD82	False	False	False	user_curated	False	0.02																														0.327																			
CPI-SS0C340928A	HLA-A_LILRB2	simple:P04439	simple:Q8N423	HLA-A	LILRB2	False	False	False	user_curated	False	0.02																										1.248																							
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	HLA-F	LILRB2	False	False	False	user_curated	False	0.02																																								0.625									
CPI-SS0924B21D0	ADRB2_YWHAQ	simple:P07550	simple:P27348	ADRB2	YWHAQ	False	False	False	user_curated	False	0.02																																					0.494												
CPI-SS08BEC44C6	ITGB2_CD226	simple:P05107	simple:Q15762	ITGB2	CD226	False	False	False	user_curated	False	0.02																																									0.818								
CPI-SS05B7D3407	CCL5_ACKR1	simple:P13501	simple:Q16570	CCL5	ACKR1	False	False	False	user_curated	False	0.02																0.58																																	
CPI-SS004C43D02	ADRB2_TMEM259	simple:P07550	simple:Q4ZIN3	ADRB2	TMEM259	False	False	False	user_curated	False	0.02																																									0.39								
CPI-SS0597A8814	FCGR1A_CD72	simple:P12314	simple:P21854	FCGR1A	CD72	False	False	False	user_curated	False	0.02																													0.221																				
CPI-SS0D92ED4EF	CD36_ITGA6	simple:P16671	simple:P23229	CD36	ITGA6	False	False	False	user_curated	False	0.02																																0.575																	
CPI-SS0950D1617	CDH1_ITGAE	simple:P12830	simple:P38570	CDH1	ITGAE	False	False	False	user_curated	False	0.02									0.119																																								
CPI-SS0978D28AB	NRG1_MS4A4A	simple:Q02297	simple:Q96JQ5	NRG1	MS4A4A	False	False	False	user_curated	False	0.02																																	0.257																
CPI-SS07F3C72FA	ENG_ACVR2A	simple:P17813	simple:P27037	ENG	ACVR2A	False	False	False	user_curated	False	0.02												0.189																																					
CPI-SS0D1CC983D	ENG_CTTN	simple:P17813	simple:Q14247	ENG	CTTN	False	False	False	user_curated	False	0.02									0.196																																								
CPI-SS0CEB36C52	ITGB2_ICAM5	simple:P05107	simple:Q9UMF0	ITGB2	ICAM5	False	False	False	user_curated	False	0.02																																							0.775										
CPI-SS01132F83E	ENG_TGFBR1	simple:P17813	simple:P36897	ENG	TGFBR1	False	False	False	user_curated	False	0.02											0.15																																						
CPI-SS0B4DD1E67	ADRB2_VAPA	simple:P07550	simple:Q9P0L0	ADRB2	VAPA	False	False	False	user_curated	False	0.02																																									0.496								
CPI-SS0425C4834	KIT_CLEC11A	simple:P10721	simple:Q9Y240	KIT	CLEC11A	False	False	False	user_curated	False	0.02																								0.261																									
CPI-SS0A11F7B60	ITGA4_MDK	simple:P13612	simple:P21741	ITGA4	MDK	False	False	False	user_curated	False	0.02																		0.516																															
CPI-SS05FF93B18	ITGAV_ENG	simple:P06756	simple:P17813	ITGAV	ENG	False	False	False	user_curated	False	0.02																							0.14																										
CPI-SS00AC4C4C0	CXADR_JAML	simple:P78310	simple:Q86YT9	CXADR	JAML	False	False	False	user_curated	False	0.02												0.264																																					
CPI-SS0AC05A4A4	CD5_CD72	simple:P06127	simple:P21854	CD5	CD72	False	False	False	user_curated	False	0.02																																											0.275						
CPI-SS054A5A57A	FCGR2A_SYK	simple:P12318	simple:P43405	FCGR2A	SYK	False	False	False	user_curated	False	0.02															0.251																																		
CPI-SS0D32A6CC3	EPOR_SYK	simple:P19235	simple:P43405	EPOR	SYK	False	False	False	user_curated	False	0.02								0.498																																									
CPI-SS0A3163194	DAG1_SARAF	simple:Q14118	simple:Q96BY9	DAG1	SARAF	False	False	False	user_curated	False	0.02																																		0.671															
CPI-SS0C9E69190	CD4_HLA-DOA	simple:P01730	simple:P06340	CD4	HLA-DOA	False	False	False	user_curated	False	0.02															0.263																																		
CPI-SS079728E8B	ADORA2B_ENTPD1	simple:P29275	simple:P49961	ADORA2B	ENTPD1	False	False	False	user_curated	False	0.02																																	0.132																
CPI-SS07F78CCA9	CD4_HLA-DOB	simple:P01730	simple:P13765	CD4	HLA-DOB	False	False	False	user_curated	False	0.02															0.347																																		
CPI-SS0ACD6DB3B	ITGB2_MDK	simple:P05107	simple:P21741	ITGB2	MDK	False	False	False	user_curated	False	0.02																																							0.825										
