gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.001	0.0	0.002	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.006	0.249	0.349	0.022	0.553	0.004	0.006
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.344	0.134	0.156	0.242	0.361	0.312	0.361
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.0	0.011	0.0	0.005	0.002	0.003	0.002
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.005	0.006	0.108	0.008	0.04	0.004	0.007
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.051	0.0	0.0	0.002	0.0	0.03	0.047
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.14	0.313	0.666	0.282	0.579	0.167	0.123
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.008	0.012	0.0	0.009	0.0	0.0	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.005	0.044	0.138	0.121	0.089	0.002	0.0
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.0	0.006	0.091	0.019	0.069	0.011	0.005
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.403	0.523	0.29	0.232	0.338	0.268	0.46
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.0	0.0	0.0	0.0	0.002	0.0	0.001
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.258	0.436	0.721	0.437	0.687	0.226	0.3
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.264	0.767	0.864	0.731	0.885	0.437	0.344
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.051	0.0	0.0	0.002	0.0	0.03	0.047
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.008	0.012	0.0	0.009	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.0	0.0	0.0	0.0	0.002	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.291	0.0	0.0	0.0	0.0	0.001
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.01	0.0	0.0	0.004	0.025	0.002	0.0
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.051	0.0	0.0	0.002	0.0	0.03	0.047
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.008	0.012	0.0	0.009	0.0	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.0	0.0	0.0	0.0	0.002	0.0	0.001
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.291	0.0	0.0	0.0	0.0	0.001
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.144	0.92	0.927	0.445	0.879	1.355	1.343
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.667	1.565	1.555	1.54	1.489	1.639	1.601
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.051	0.0	0.0	0.002	0.0	0.03	0.047
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.008	0.012	0.0	0.009	0.0	0.0	0.0
