id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Gran|B	Gran|DC	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.044	0.085	0.017	0.115	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.044	0.085	0.017	0.115	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.005	0.046	0.087	0.019	0.117	0.005	0.004	0.126	0.168	0.208	0.141	0.238	0.127	0.126	0.176	0.218	0.258	0.191	0.288	0.177	0.176	0.013	0.055	0.095	0.027	0.125	0.014	0.012	0.279	0.32	0.361	0.293	0.39	0.279	0.278	0.004	0.046	0.086	0.018	0.116	0.005	0.004	0.005	0.047	0.087	0.019	0.117	0.006	0.005
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.174	0.216	0.256	0.188	0.286	0.175	0.174	0.069	0.111	0.151	0.083	0.181	0.069	0.068	0.08	0.122	0.162	0.094	0.192	0.08	0.079	0.123	0.165	0.205	0.137	0.235	0.124	0.123	0.182	0.224	0.264	0.197	0.294	0.183	0.182	0.158	0.199	0.24	0.172	0.27	0.158	0.157	0.182	0.224	0.264	0.197	0.294	0.183	0.182
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.049	0.089	0.021	0.119	0.008	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.046	0.086	0.019	0.116	0.005	0.004	0.003	0.045	0.085	0.017	0.115	0.003	0.002	0.003	0.045	0.085	0.017	0.115	0.004	0.003	0.003	0.044	0.085	0.017	0.115	0.003	0.002
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.004	0.046	0.086	0.019	0.116	0.005	0.004	0.005	0.047	0.087	0.019	0.117	0.006	0.005	0.056	0.098	0.138	0.07	0.168	0.057	0.056	0.006	0.048	0.088	0.02	0.118	0.006	0.005	0.022	0.064	0.104	0.036	0.134	0.022	0.021	0.004	0.046	0.086	0.018	0.116	0.005	0.004	0.005	0.047	0.087	0.02	0.117	0.006	0.005
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.032	0.03	0.0	0.03	0.03	0.057	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.006	0.0	0.006	0.006	0.033	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.02	0.0	0.02	0.02	0.047	0.041	0.03	0.028	0.0	0.028	0.029	0.055	0.049
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.076	0.075	0.0	0.075	0.075	0.101	0.095	0.163	0.161	0.0	0.161	0.161	0.188	0.182	0.339	0.338	0.0	0.338	0.338	0.365	0.359	0.147	0.146	0.0	0.146	0.146	0.173	0.167	0.296	0.294	0.0	0.294	0.295	0.321	0.315	0.09	0.089	0.0	0.088	0.089	0.115	0.109	0.068	0.066	0.0	0.066	0.066	0.093	0.087
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.01	0.009	0.0	0.008	0.009	0.035	0.029	0.013	0.011	0.0	0.011	0.011	0.038	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.009	0.0	0.009	0.009	0.036	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.0	0.005	0.005	0.032	0.026
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.009	0.007	0.0	0.007	0.008	0.034	0.028	0.028	0.027	0.0	0.027	0.027	0.054	0.048	0.076	0.074	0.0	0.074	0.074	0.101	0.095	0.067	0.065	0.0	0.065	0.065	0.092	0.086	0.051	0.049	0.0	0.049	0.049	0.076	0.07	0.007	0.006	0.0	0.006	0.006	0.033	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.008	0.0	0.008	0.008	0.035	0.029	0.052	0.05	0.0	0.05	0.05	0.077	0.071	0.016	0.014	0.0	0.014	0.014	0.041	0.035	0.041	0.04	0.0	0.039	0.04	0.066	0.06	0.012	0.011	0.0	0.01	0.011	0.037	0.031	0.009	0.007	0.0	0.007	0.007	0.034	0.028
CPI-SS0C25DA9FF	MBP_ADRB2	simple:P02686	simple:P07550	MBP	ADRB2	False	False	False	user_curated	False	0.208	0.206	0.0	0.206	0.207	0.233	0.227	0.268	0.267	0.0	0.266	0.267	0.293	0.287	0.151	0.15	0.0	0.15	0.15	0.177	0.171	0.123	0.121	0.0	0.121	0.121	0.148	0.142	0.175	0.174	0.0	0.174	0.174	0.2	0.194	0.14	0.139	0.0	0.139	0.139	0.166	0.16	0.236	0.235	0.0	0.235	0.235	0.262	0.256
CPI-SS0BA0457D3	RLN2_ADRB2	simple:P04090	simple:P07550	RLN2	ADRB2	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.006	0.0	0.006	0.006	0.033	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.0	0.005	0.005	0.032	0.026
