gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.001	0.0	0.0	0.002	0.015	0.0	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.004	0.024	0.136	0.071	0.01	0.077	0.0	0.005
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.221	0.425	0.346	0.39	0.265	0.418	0.247	0.241
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.008	0.03	0.006	0.009	0.009	0.008	0.0	0.003
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.002	0.0	0.123	0.002	0.042	0.0	0.0	0.002
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.067	0.12	0.214	0.053	0.125	0.055	0.08	0.06
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.449	1.002	0.333	0.991	0.642	1.027	0.628	0.625
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.003	0.0	0.002	0.418	0.001	0.006	0.002
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.013	0.097	0.213	0.11	0.093	0.094	0.0	0.004
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.009	0.072	0.033	0.016	0.478	0.093	0.0	0.003
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.273	0.51	0.341	0.239	0.409	0.339	0.875	0.528
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.003	0.0	0.004	0.0	0.017	0.0	0.006	0.007
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.032	0.126	0.181	0.207	0.114	0.19	0.056	0.057
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.404	0.922	0.308	0.886	0.581	0.898	0.495	0.43
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.067	0.12	0.214	0.053	0.125	0.055	0.08	0.06
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.003	0.0	0.002	0.418	0.001	0.006	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.003	0.0	0.004	0.0	0.017	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.001	0.288	0.0	0.002	0.063	0.0	0.006	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.009	0.0	0.007	0.003	0.012	0.001	0.007	0.005
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.067	0.12	0.214	0.053	0.125	0.055	0.08	0.06
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.003	0.0	0.002	0.418	0.001	0.006	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.003	0.0	0.004	0.0	0.017	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.001	0.288	0.0	0.002	0.063	0.0	0.006	0.0
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	0.7	1.043	0.799	1.052	0.563	0.904	1.319	1.127
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	1.479	1.483	1.576	1.549	1.55	1.385	1.465	1.437
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.067	0.12	0.214	0.053	0.125	0.055	0.08	0.06
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.003	0.0	0.002	0.418	0.001	0.006	0.002
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.003	0.0	0.004	0.0	0.017	0.0	0.006	0.007
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.001	0.288	0.0	0.002	0.063	0.0	0.006	0.0
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.006	0.0	0.002	0.022	0.0	0.021	0.025	0.005
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.404	0.922	0.308	0.886	0.581	0.898	0.495	0.43
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.067	0.12	0.214	0.053	0.125	0.055	0.08	0.06
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.082	0.586	0.009	0.291	0.271	0.231	0.005	0.037
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.001	0.003	0.005	0.002	0.0	0.004	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.008	0.0	0.005	0.0	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.001	0.004	0.009	0.005	0.0	0.001	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.008	0.021	0.004	0.019	0.024	0.012	0.0	0.003
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.0	0.0	0.009	0.0	0.0	0.001	0.0	0.0
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.042	0.766	0.056	1.102	0.591	1.086	0.618	0.488
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.404	0.922	0.308	0.886	0.581	0.898	0.495	0.43
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.008	0.0	0.005	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.014	0.016	0.014	0.012	0.03	0.01	1.069	0.646
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.404	0.922	0.308	0.886	0.581	0.898	0.495	0.43
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.082	0.586	0.009	0.291	0.271	0.231	0.005	0.037
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.001	0.0	0.0	0.0	0.0	0.001	0.014	0.002
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.145	0.389	0.085	0.335	0.251	0.497	0.463	0.251
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.007	0.051	0.0	0.016	0.0	0.041	0.0	0.008
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.001	0.048	0.0	0.002	0.007	0.0	0.0	0.037
