Gene;OverallAverageExpression;case_avg;control_avg
AL627309.5;0,009435514460195228;9,54230583869399e-03;9,34588305272065e-03
LINC01409;0,057288910184430837;5,88164511595866e-02;5,60068249683486e-02
LINC01128;0,042966343331454063;4,47503540519447e-02;4,14689996874709e-02
LINC00115;0,012024619965824549;1,16676656318071e-02;1,23242164296206e-02
FAM41C;0,017675162038369101;2,07419002257316e-02;1,51012083732562e-02
AL645608.2;0,001801450114089332;3,28685724348560e-03;5,54728388495069e-04
NOC2L;0,140301112139231687;1,28436107155209e-01;1,50259566757581e-01
KLHL17;0,010874237446457144;1,41145893713281e-02;8,15456748974312e-03
PLEKHN1;0,006620851627548622;7,51558866850565e-03;5,86988707003473e-03
HES4;0,068714612676868153;5,86926078393371e-02;7,71262130507260e-02
ISG15;0,658112164785306653;1,09020057592560e+00;2,95454682614035e-01
AGRN;0,006470541445363491;1,01648689928265e-02;3,36984378225514e-03
C1orf159;0,020644255415888067;2,74102765003666e-02;1,49654449975776e-02
TNFRSF18;0,030096276978839501;3,22496432610583e-02;2,82889283576602e-02
TNFRSF4;0,031282923454628686;3,75129580042468e-02;2,60539735792039e-02
SDF4;0,240779952182416879;2,61488423592081e-01;2,23399059968193e-01
B3GALT6;0,050022368886256760;4,45583207996783e-02;5,46084162563121e-02
C1QTNF12;0,004457822796578030;5,38964359943114e-03;3,67573335033319e-03
AL162741.1;0,002732028388694273;3,08466932463405e-03;2,43605221659342e-03
UBE2J2;0,154687591005916475;1,38906104726057e-01;1,67933199848029e-01
SCNN1D;0,004675284750966859;6,43780320556065e-03;3,19597984821202e-03
ACAP3;0,066120417795021869;7,31091291663898e-02;6,02547004922287e-02
PUSL1;0,038891924133825938;3,63587420804057e-02;4,10180571234853e-02
INTS11;0,117474348256745811;1,18875192401485e-01;1,16298601355539e-01
CPTP;0,023067586942305436;2,34956634058875e-02;2,27082967404466e-02
DVL1;0,027605945702086004;3,30004750435595e-02;2,30782463284441e-02
AURKAIP1;0,499761651196829637;4,74916286962195e-01;5,20614691927967e-01
CCNL2;0,200920134128414613;2,40564881887850e-01;1,67645776304724e-01
MRPL20-AS1;0,024283094970386127;1,80525241667368e-02;2,95124949308670e-02
MRPL20;0,421469338061607302;3,71546852789838e-01;4,63369936054072e-01
AL391244.2;0,002779075338232441;2,65336361703810e-03;2,88458683799112e-03
ANKRD65;0,008342360302499567;1,50762410840187e-02;2,69052566286531e-03
ATAD3C;0,005047330093439491;5,98463061725069e-03;4,26064144537756e-03
ATAD3B;0,048386197783803091;6,41835307043048e-02;3,51272886479356e-02
ATAD3A;0,041554575226147229;4,34623394774882e-02;3,99533636172965e-02
SSU72;0,440171526773608823;4,09091882926628e-01;4,66257080317109e-01
AL645728.1;0,039353790466432788;3,37422520728943e-02;4,40636283895039e-02
FNDC10;0,021214161816836011;2,38714521818544e-02;1,89838630901649e-02
AL691432.4;0,003893839272120474;3,67952886509463e-03;4,07371281330151e-03
AL691432.2;0,020242922048598563;2,07289492612585e-02;1,98349930214237e-02
MIB2;0,113530750043270415;1,13003983752457e-01;1,13972871914151e-01
MMP23B;0,022202117449781702;2,06642483795009e-02;2,34928711718389e-02
CDK11B;0,151175249618093588;1,85796135124605e-01;1,22117485409151e-01
FO704657.1;0,003515253555742125;5,02725361937261e-03;2,24621203094872e-03
SLC35E2B;0,035297929597887252;3,30181361251599e-02;3,72113902216237e-02
CDK11A;0,224976836127859653;2,66832973480723e-01;1,89846429955323e-01
SLC35E2A;0,024341579622827045;2,37573967153166e-02;2,48318920146964e-02
NADK;0,164728043498506616;2,02879561005263e-01;1,32706973450597e-01
GNB1;0,486149300338487467;5,15249306646827e-01;4,61725282598460e-01
GABRD;0,002320916138422550;2,34519714740750e-03;2,30053676846949e-03
PRKCZ;0,017433349084171167;1,60455512921414e-02;1,85981460100877e-02
AL590822.2;0,004331449866813641;3,39403548864486e-03;5,11823407433421e-03
FAAP20;0,359816667084826403;3,36567860603768e-01;3,79329695910703e-01
SKI;0,110681624450464616;1,54727042590213e-01;7,37137261409782e-02
AL590822.3;0,004653997641014272;8,05122952189126e-03;1,80265627543712e-03
MORN1;0,010062505972678621;1,03787948638524e-02;9,79704054950486e-03
AL513477.2;0,003100278682945517;4,00131552847574e-03;2,34402661665847e-03
RER1;0,311841063908715521;2,85510914495895e-01;3,33940304353622e-01
PEX10;0,024323512851560942;2,42453142586709e-02;2,43891459582949e-02
PLCH2;0,008043536563631271;7,31260211118994e-03;8,65701945583627e-03
PANK4;0,011852178279497642;1,44206910033082e-02;9,69639179384815e-03
HES5;0,001107752041091079;5,31085939761669e-04;1,59175547874344e-03
AL139246.5;0,061507498171923719;6,38394960473107e-02;5,95502217069412e-02
TNFRSF14-AS1;0,018314384126658159;1,88321520964661e-02;1,78798146648577e-02
TNFRSF14;0,304909447346888018;3,14213524020979e-01;2,97100413515942e-01
PRXL2B;0,018130671927957899;1,57940804692493e-02;2,00918038477933e-02
MMEL1;0,006155243060849187;7,88574678845803e-03;4,70280853920482e-03
TTC34;0,005536598373163067;3,13577902914276e-03;7,55163760125242e-03
PRDM16-DT;0,002882814175093657;5,59151496471964e-03;6,09366003390321e-04
PRDM16;0,004077320613394696;7,38316434647999e-03;1,30268252132347e-03
MEGF6;0,019967787569613961;2,72069185056793e-02;1,38918898350431e-02
TPRG1L;0,073137034937563100;7,77469251236567e-02;6,92678935191140e-02
WRAP73;0,060821545734184031;6,18792133674634e-02;5,99338313892265e-02
TP73;0,001253860694102552;1,64614504626593e-03;9,24611281753541e-04
SMIM1;0,051125928193203399;6,23886687897825e-02;4,16729619904663e-02
LRRC47;0,084598443824219521;9,30119376943748e-02;7,75368878450584e-02
CEP104;0,064955151460613383;6,07548245639827e-02;6,84805410275504e-02
DFFB;0,021412960390275005;2,37618812575001e-02;1,94414802358331e-02
C1orf174;0,101930558782870453;1,08774700432278e-01;9,61861807477190e-02
NPHP4;0,008551347134724470;9,94420903923738e-03;7,38229983264599e-03
KCNAB2;0,241486518740256756;2,53816920660160e-01;2,31137450357166e-01
RPL22;2,535542065825540536;2,43019222023429e+00;2,62396357578557e+00
RNF207;0,005410127545478067;5,50720965668983e-03;5,32864525364105e-03
ICMT;0,041948235206988843;3,59035902288978e-02;4,70215851785575e-02
GPR153;0,005212972417212638;5,59600420904811e-03;4,89148880034817e-03
ACOT7;0,029448344386833959;3,56546801556419e-02;2,42392852096032e-02
AL031848.2;0,007882471530972711;5,53406778554412e-03;9,85351765829454e-03
ESPN;0,005279283500195822;6,94021527788881e-03;3,88524163046185e-03
TNFRSF25;0,060953866321147764;7,27216746645554e-02;5,10769901206689e-02
NOL9;0,088150954167985698;8,61427367925186e-02;8,98364774041158e-02
ZBTB48;0,048818652254237885;5,52793432407321e-02;4,33961093999518e-02
KLHL21;0,030228015190829037;3,10479965847499e-02;2,95397940303451e-02
PHF13;0,020630444573340592;2,58612309541705e-02;1,62401768185508e-02
THAP3;0,039121924803143887;3,80089596967477e-02;4,00560510440327e-02
DNAJC11;0,042337719657987653;4,53780493196880e-02;3,97859310155358e-02
CAMTA1;0,270450037049689840;2,89003096206051e-01;2,54878210667066e-01
VAMP3;0,220844526846734612;2,37704396476673e-01;2,06693816686299e-01
PER3;0,017072982775946367;1,56666171623024e-02;1,82533639185704e-02
