"","interaction_ID","sender_celltype","sender_gene","receiver_celltype","receiver_gene","ligand_log2FC","ligand_p_val_adj","receptor_log2FC","receptor_p_val_adj"
"1","Mono:ACKR3_Mono:CXCR4","Mono","ACKR3","Mono","CXCR4",0.259583131144177,0,0.331253411563128,0
"2","Mono:ALOX5AP_Mono:ALOX5","Mono","ALOX5AP","Mono","ALOX5",NA,NA,NA,NA
"3","Mono:AREG_Mono:ICAM1","Mono","AREG","Mono","ICAM1",NA,NA,NA,NA
"4","Mono:CD14_Mono:ITGA4","Mono","CD14","Mono","ITGA4",NA,NA,NA,NA
"5","Mono:CD14_Mono:ITGB1","Mono","CD14","Mono","ITGB1",NA,NA,NA,NA
"6","Mono:CD14_Mono:ITGB2","Mono","CD14","Mono","ITGB2",NA,NA,NA,NA
"7","Mono:CD14_Mono:TLR4","Mono","CD14","Mono","TLR4",NA,NA,NA,NA
"8","Mono:CD52_Mono:SIGLEC10","Mono","CD52","Mono","SIGLEC10",-0.616674115176584,0,NA,NA
"9","Mono:CD53_Mono:CD37","Mono","CD53","Mono","CD37",NA,NA,NA,NA
"10","Mono:CD55_Mono:ADGRE2","Mono","CD55","Mono","ADGRE2",NA,NA,NA,NA
"11","Mono:CD55_Mono:ADGRE5","Mono","CD55","Mono","ADGRE5",NA,NA,NA,NA
"12","Mono:CD55_Mono:CR1","Mono","CD55","Mono","CR1",NA,NA,NA,NA
"13","Mono:CD82_Mono:CD37","Mono","CD82","Mono","CD37",NA,NA,NA,NA
"14","Mono:CD9_Mono:CD36","Mono","CD9","Mono","CD36",0.352976124957498,0,0.282537866386678,0
"15","Mono:FYN_Mono:SPN","Mono","FYN","Mono","SPN",NA,NA,NA,NA
"16","Mono:HLA-DRA_Mono:CD37","Mono","HLA-DRA","Mono","CD37",-0.514404387512692,0,NA,NA
"17","Mono:HLA-DRA_Mono:CD4","Mono","HLA-DRA","Mono","CD4",-0.514404387512692,0,NA,NA
"18","Mono:HLA-DRA_Mono:CD53","Mono","HLA-DRA","Mono","CD53",-0.514404387512692,0,NA,NA
"19","Mono:HLA-DRA_Mono:CD63","Mono","HLA-DRA","Mono","CD63",-0.514404387512692,0,0.258755429782416,0
"20","Mono:HLA-DRA_Mono:CD81","Mono","HLA-DRA","Mono","CD81",-0.514404387512692,0,NA,NA
"21","Mono:HLA-DRA_Mono:CD82","Mono","HLA-DRA","Mono","CD82",-0.514404387512692,0,NA,NA
"22","Mono:HLA-DRA_Mono:CD9","Mono","HLA-DRA","Mono","CD9",-0.514404387512692,0,0.352976124957498,0
"23","Mono:HLA-DRB1_Mono:CD37","Mono","HLA-DRB1","Mono","CD37",-0.510387132729279,0,NA,NA
"24","Mono:HLA-DRB1_Mono:CD4","Mono","HLA-DRB1","Mono","CD4",-0.510387132729279,0,NA,NA
"25","Mono:HLA-DRB1_Mono:CD53","Mono","HLA-DRB1","Mono","CD53",-0.510387132729279,0,NA,NA
"26","Mono:HLA-DRB1_Mono:CD81","Mono","HLA-DRB1","Mono","CD81",-0.510387132729279,0,NA,NA
"27","Mono:HLA-DRB1_Mono:CD82","Mono","HLA-DRB1","Mono","CD82",-0.510387132729279,0,NA,NA
"28","Mono:HSPA1A_Mono:TLR4","Mono","HSPA1A","Mono","TLR4",NA,NA,NA,NA
"29","Mono:HSPA4_Mono:TLR4","Mono","HSPA4","Mono","TLR4",NA,NA,NA,NA
"30","Mono:LILRA6_Mono:CD300E","Mono","LILRA6","Mono","CD300E",NA,NA,NA,NA
"31","Mono:LILRB1_Mono:LILRA5","Mono","LILRB1","Mono","LILRA5",NA,NA,NA,NA
"32","Mono:LILRB4_Mono:LAIR1","Mono","LILRB4","Mono","LAIR1",0.333429879547968,0,NA,NA
"33","Mono:LMAN1_Mono:MCFD2","Mono","LMAN1","Mono","MCFD2",NA,NA,NA,NA
"34","Mono:LY86_Mono:CD180","Mono","LY86","Mono","CD180",NA,NA,NA,NA
"35","Mono:QDPR_Mono:DYSF","Mono","QDPR","Mono","DYSF",NA,NA,NA,NA
"36","Mono:RPS19_Mono:C5AR1","Mono","RPS19","Mono","C5AR1",NA,NA,NA,NA
"37","Mono:S100A12_Mono:CD36","Mono","S100A12","Mono","CD36",NA,NA,0.282537866386678,0
"38","Mono:S100A12_Mono:TLR4","Mono","S100A12","Mono","TLR4",NA,NA,NA,NA
"39","Mono:S100A8_Mono:CD36","Mono","S100A8","Mono","CD36",NA,NA,0.282537866386678,0
"40","Mono:S100A8_Mono:CD68","Mono","S100A8","Mono","CD68",NA,NA,NA,NA
"41","Mono:S100A8_Mono:ITGB2","Mono","S100A8","Mono","ITGB2",NA,NA,NA,NA
"42","Mono:S100A8_Mono:TLR4","Mono","S100A8","Mono","TLR4",NA,NA,NA,NA
"43","Mono:S100A9_Mono:ALCAM","Mono","S100A9","Mono","ALCAM",NA,NA,NA,NA
"44","Mono:S100A9_Mono:CD36","Mono","S100A9","Mono","CD36",NA,NA,0.282537866386678,0
"45","Mono:S100A9_Mono:CD68","Mono","S100A9","Mono","CD68",NA,NA,NA,NA
"46","Mono:S100A9_Mono:ITGB2","Mono","S100A9","Mono","ITGB2",NA,NA,NA,NA
"47","Mono:S100A9_Mono:TLR4","Mono","S100A9","Mono","TLR4",NA,NA,NA,NA
"48","Mono:TGOLN2_Mono:BTN3A1","Mono","TGOLN2","Mono","BTN3A1",NA,NA,NA,NA
"49","Mono:TNF_Mono:FAS","Mono","TNF","Mono","FAS",NA,NA,NA,NA
"50","Mono:TNF_Mono:FFAR2","Mono","TNF","Mono","FFAR2",NA,NA,NA,NA
"51","Mono:TNF_Mono:LTBR","Mono","TNF","Mono","LTBR",NA,NA,NA,NA
"52","Mono:TNF_Mono:TNFRSF1A","Mono","TNF","Mono","TNFRSF1A",NA,NA,NA,NA
"53","Mono:TNF_Mono:TNFRSF1B","Mono","TNF","Mono","TNFRSF1B",NA,NA,NA,NA
"54","Mono:TNF_Mono:TRADD","Mono","TNF","Mono","TRADD",NA,NA,NA,NA
"55","Mono:TNF_Mono:VSIR","Mono","TNF","Mono","VSIR",NA,NA,NA,NA
"56","Mono:TNFSF10_Mono:TNFRSF10B","Mono","TNFSF10","Mono","TNFRSF10B",NA,NA,NA,NA
"57","Mono:TNFSF13_Mono:FAS","Mono","TNFSF13","Mono","FAS",NA,NA,NA,NA
"58","Mono:TNFSF13_Mono:TNFRSF14","Mono","TNFSF13","Mono","TNFRSF14",NA,NA,NA,NA
