id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1,ENSG00000121410,A1BG,A1BG,405
2,ENSG00000175899,A2M,A2M,293
3,ENSG00000129673,AANAT,AANAT,1491
4,ENSG00000165029,ABCA1,ABCA1,240
5,ENSG00000157766,ACAN,ACAN,679
6,ENSG00000159640,ACE,ACE,615
7,ENSG00000130234,ACE2,ACE2,1962
8,ENSG00000213088,ACKR1,ACKR1,1486
9,ENSG00000144648,ACKR2,ACKR2,45
10,ENSG00000144476,ACKR3,ACKR3,840
11,ENSG00000129048,ACKR4,ACKR4,2058
12,ENSG00000142513,ACP4,ACP4,1965
13,ENSG00000138071,ACTR2,ACTR2,1208
14,ENSG00000115170,ACVR1,ACVR1,1296
15,ENSG00000135503,ACVR1B,ACVR1B,1002
16,ENSG00000123612,ACVR1C,ACVR1C,1754
17,ENSG00000121989,ACVR2A,ACVR2A,862
18,ENSG00000114739,ACVR2B,ACVR2B,1394
19,ENSG00000139567,ACVRL1,ACVRL1,1006
20,ENSG00000196839,ADA,ADA,287
21,ENSG00000137845,ADAM10,ADAM10,62
22,ENSG00000073670,ADAM11,ADAM11,171
23,ENSG00000148848,ADAM12,ADAM12,107
24,ENSG00000143537,ADAM15,ADAM15,1380
25,ENSG00000151694,ADAM17,ADAM17,1235
26,ENSG00000276286,ADAM2,ADAM2,1934
27,ENSG00000104755,ADAM2,ADAM2,1934
28,ENSG00000134007,ADAM20,ADAM20,115
29,ENSG00000139985,ADAM21,ADAM21,2188
30,ENSG00000008277,ADAM22,ADAM22,2130
31,ENSG00000114948,ADAM23,ADAM23,170
32,ENSG00000042980,ADAM28,ADAM28,2190
33,ENSG00000168594,ADAM29,ADAM29,2185
34,ENSG00000069206,ADAM7,ADAM7,2001
35,ENSG00000168615,ADAM9,ADAM9,1379
36,ENSG00000282230,ADAM9,ADAM9,1379
37,ENSG00000156140,ADAMTS3,ADAMTS3,77
38,ENSG00000164742,ADCY1,ADCY1,1332
39,ENSG00000121281,ADCY7,ADCY7,1141
40,ENSG00000155897,ADCY8,ADCY8,1017
41,ENSG00000162104,ADCY9,ADCY9,145
42,ENSG00000141433,ADCYAP1,ADCYAP1,716
43,ENSG00000078549,ADCYAP1R1,ADCYAP1R1,1038
44,ENSG00000020181,ADGRA2,ADGRA2,1890
45,ENSG00000152990,ADGRA3,ADGRA3,1689
46,ENSG00000181790,ADGRB1,ADGRB1,56
47,ENSG00000121753,ADGRB2,ADGRB2,135
48,ENSG00000127507,ADGRE2,ADGRE2,2181
49,ENSG00000123146,ADGRE5,ADGRE5,1100
50,ENSG00000069122,ADGRF5,ADGRF5,1702
51,ENSG00000205336,ADGRG1,ADGRG1,2280
52,ENSG00000182885,ADGRG3,ADGRG3,1670
