id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy
1,CPI-SS0D2192FF2,1,800,OmniPath,user_curated
2,CPI-SS0AAD89AB7,238,800,OmniPath,user_curated
3,CPI-SS033180726,312,800,OmniPath,user_curated
4,CPI-SS0DEF5D0CE,315,800,OmniPath,user_curated
5,CPI-SS04F5D3B1B,419,800,OmniPath,user_curated
6,CPI-SS09F159392,555,800,OmniPath,user_curated
7,CPI-SS093F8ECCD,238,478,OmniPath,user_curated
8,CPI-SS03DE38A37,312,478,OmniPath,user_curated
9,CPI-SS049D589B3,315,478,OmniPath,user_curated
10,CPI-SS031513D6C,313,478,OmniPath,user_curated
11,CPI-SS05C9338E5,277,478,OmniPath,user_curated
12,CPI-SS022E1CF60,15,478,OmniPath,user_curated
13,CPI-SS0EBEA8E57,90,478,OmniPath,user_curated
14,CPI-SS062878498,99,478,OmniPath,user_curated
15,CPI-SS05D6C395E,301,478,OmniPath,user_curated
16,CPI-SS0BBCAED13,308,478,OmniPath,user_curated
17,CPI-SS03A447CA2,309,478,OmniPath,user_curated
18,CPI-SS06707DC89,314,478,OmniPath,user_curated
19,CPI-SS046B50817,319,478,OmniPath,user_curated
20,CPI-SS07AF76C25,321,478,OmniPath,user_curated
21,CPI-SS0D058E79D,322,478,OmniPath,user_curated
22,CPI-SS0C07DB5E4,323,478,OmniPath,user_curated
23,CPI-SS041E6054F,324,478,OmniPath,user_curated
24,CPI-SS087B5B3D1,326,478,OmniPath,user_curated
25,CPI-SS0C6448B94,343,478,OmniPath,user_curated
26,CPI-SS0C25DA9FF,368,478,OmniPath,user_curated
27,CPI-SS01BB3A72D,384,478,OmniPath,user_curated
28,CPI-SS0BA0457D3,398,478,OmniPath,user_curated
29,CPI-SS0B3E0BCFF,399,478,OmniPath,user_curated
30,CPI-SS0C5FB41E8,446,478,OmniPath,user_curated
31,CPI-SS08F47F655,461,478,OmniPath,user_curated
32,CPI-SS07FAF7D5C,238,642,OmniPath,user_curated
33,CPI-SS053C9190F,312,642,OmniPath,user_curated
34,CPI-SS0B01B2432,315,642,OmniPath,user_curated
35,CPI-SS08A36BE36,313,642,OmniPath,user_curated
36,CPI-SS02D1DFFB8,308,642,OmniPath,user_curated
