id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1,A0A1B0GTJ6,0,,0,,0,,0,0,0,0,0
2,A4D1S0,1,,0,,0,,0,0,0,0,0
3,A6ND01,1,,0,,0,,0,0,0,0,0
4,A6NDA9,1,,0,,0,,0,0,0,0,0
5,A6NFU0,1,,0,,0,,0,0,0,0,0
6,A6NI73,1,,0,,0,,0,0,0,0,0
7,A6NJW9,1,,0,,0,,0,0,0,0,0
8,A6NLU5,1,,0,,0,,0,0,0,0,0
9,A6NMZ7,0,,0,,0,,0,0,0,0,0
10,A8K4G0,1,,0,,0,,0,0,0,0,0
11,A8MVS5,1,,0,,0,,0,0,0,0,0
12,A8TX70,0,,0,,0,,0,0,0,0,0
13,B6A8C7,1,,0,,0,,0,0,0,0,0
14,D3W0D1,1,,0,,0,,0,0,0,0,0
15,F7VJQ1,1,,0,,0,,0,0,0,0,0
16,K9M1U5,0,,0,,0,,0,0,0,0,0
17,O00144,1,,0,,0,,0,0,0,0,0
18,O00155,1,,0,,0,,0,0,0,0,0
19,O00175,0,,0,,0,,0,0,0,0,0
20,O00182,0,,0,,0,,0,0,0,0,0
21,O00206,1,,0,,0,,0,0,0,0,0
22,O00214,0,,0,,0,,0,0,0,0,0
23,O00220,1,,0,,0,,0,0,0,0,0
24,O00222,1,,0,,0,,0,0,0,0,0
25,O00230,0,,0,,0,,0,0,0,0,0
26,O00238,1,,0,,0,,0,0,0,0,0
27,O00241,1,,0,,0,,0,0,0,0,0
28,O00253,0,,0,,0,,0,0,0,0,0
29,O00254,1,,0,,0,,0,0,0,0,0
30,O00264,1,,0,,0,,0,0,0,0,0
31,O00292,0,,0,,0,,0,0,0,0,0
32,O00300,1,,0,,0,,0,0,0,0,0
33,O00329,0,,0,,0,,0,0,0,0,0
34,O00421,1,,0,,0,,0,0,0,0,0
35,O00451,1,,0,,0,,0,0,0,0,0
36,O00468,1,,0,,0,,0,0,0,0,0
37,O00478,1,,0,,0,,0,0,0,0,0
38,O00481,1,,0,,0,,0,0,0,0,0
39,O00501,1,,0,,0,,0,0,0,0,0
40,O00533,1,,0,,0,,0,0,0,0,0
41,O00548,1,,0,,0,,0,0,0,0,0
42,O00574,1,,0,,0,,0,0,0,0,0
43,O00585,0,,0,,0,,0,0,0,0,0
44,O00587,0,,0,,0,,0,0,0,0,0
