id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
1,LOC101059948_HUMAN,To_add,,,1
2,KLRG2_HUMAN,To_add,,,2
3,IZUMO1R_HUMAN,To_add,,,3
4,LRIT2_HUMAN,To_add,,,4
5,FAM187A_HUMAN,To_add,,,5
6,LILRA5_HUMAN,To_add,,,6
7,CD8B2_HUMAN,To_add,,,7
8,VSTM2B_HUMAN,To_add,,,8
9,COL6A6_HUMAN,To_add,,,9
10,CD300LB_HUMAN,To_add,,,10
11,HIDE1_HUMAN,To_add,,,11
12,COL6A5_HUMAN,To_add,,,12
13,TARM1_HUMAN,To_add,,,13
14,KLRF2_HUMAN,To_add,,,14
15,PRNP_HUMAN,To_add,,,15
16,IFNL4_HUMAN,To_add,,,16
17,FZD9_HUMAN,To_add,,,17
18,GPR25_HUMAN,To_add,,,18
19,CCL24_HUMAN,To_add,,,19
20,LGALS9_HUMAN,To_add,,,20
21,TLR4_HUMAN,To_add,,,21
22,LGALS8_HUMAN,To_add,,,22
23,TNFRSF10A_HUMAN,To_add,,,23
24,GRM8_HUMAN,To_add,,,24
25,CORT_HUMAN,To_add,,,25
26,BMPR1B_HUMAN,To_add,,,26
27,SIRPB1_HUMAN,To_add,,,27
28,AGRP_HUMAN,To_add,,,28
29,F2RL2_HUMAN,To_add,,,29
30,PGRMC1_HUMAN,To_add,,,30
31,LEFTY2_HUMAN,To_add,,,31
32,TNFRSF11B_HUMAN,To_add,,,32
33,PIK3CD_HUMAN,To_add,,,33
34,CCRL2_HUMAN,To_add,,,34
35,GFRA2_HUMAN,To_add,,,35
36,AGRN_HUMAN,To_add,,,36
37,BTN3A3_HUMAN,To_add,,,37
38,BTN3A1_HUMAN,To_add,,,38
39,CLDN5_HUMAN,To_add,,,39
40,CHL1_HUMAN,To_add,,,40
41,DLL1_HUMAN,To_add,,,41
42,CXCR6_HUMAN,To_add,,,42
43,CCL21_HUMAN,To_add,,,43
44,MFNG_HUMAN,To_add,,,44
45,ACKR2_HUMAN,To_add,,,45
46,PODXL_HUMAN,To_add,,,46
47,FCN1_HUMAN,To_add,,,47
48,CCN1_HUMAN,To_add,,,48
49,CCL22_HUMAN,To_add,,,49
50,NTN3_HUMAN,To_add,,,50
51,WNT10B_HUMAN,To_add,,,51
52,WNT7A_HUMAN,To_add,,,52
53,CLDN4_HUMAN,To_add,,,53
54,SOCS2_HUMAN,To_add,,,54
55,NRG2_HUMAN,To_add,,,55
56,ADGRB1_HUMAN,To_add,,,56
57,PTPRT_HUMAN,To_add,,,57
58,NCAN_HUMAN,To_add,,,58
59,CXCL11_HUMAN,To_add,,,59
60,GPR171_HUMAN,To_add,,,60
61,IRS4_HUMAN,To_add,,,61
62,ADAM10_HUMAN,To_add,,,62
63,TNFRSF10B_HUMAN,To_add,,,63
64,NRP1_HUMAN,To_add,,,64
65,TNFSF11_HUMAN,To_add,,,65
66,MSTN_HUMAN,To_add,,,66
67,TNFRSF10C_HUMAN,To_add,,,67
68,TNFRSF13B_HUMAN,To_add,,,68
69,WNT9A_HUMAN,To_add,,,69
70,WNT9B_HUMAN,To_add,,,70
71,NCR3_HUMAN,To_add,,,71
72,PLD2_HUMAN,To_add,,,72
73,EREG_HUMAN,To_add,,,73
74,SPTBN2_HUMAN,To_add,,,74
75,PLXNB2_HUMAN,To_add,,,75
76,SEMA3E_HUMAN,To_add,,,76
77,ADAMTS3_HUMAN,To_add,,,77
78,CEP290_HUMAN,To_add,,,78
79,ANGPT2_HUMAN,To_add,,,79
80,NPFF_HUMAN,To_add,,,80
81,MUSK_HUMAN,To_add,,,81
82,PLSCR1_HUMAN,To_add,,,82
83,PGRMC2_HUMAN,To_add,,,83
84,EPHB6_HUMAN,To_add,,,84
85,GPR182_HUMAN,To_add,,,85
86,LAMA5_HUMAN,To_add,,,86
87,VGF_HUMAN,To_add,,,87
88,DEFB4B_HUMAN,To_add,,,88
89,CHAD_HUMAN,To_add,,,89
90,GPR37_HUMAN,To_add,,,90
91,SLC16A4_HUMAN,To_add,,,91
92,SIGLEC5_HUMAN,To_add,,,92
93,NCAM2_HUMAN,To_add,,,93
94,GRIN2D_HUMAN,To_add,,,94
95,CCL25_HUMAN,To_add,,,95
96,TLR3_HUMAN,To_add,,,96
97,CCL16_HUMAN,To_add,,,97
98,PLA2G10_HUMAN,To_add,,,98
99,ARPC5_HUMAN,To_add,,,99
100,FGF10_HUMAN,To_add,,,100
101,GPR42_HUMAN,To_add,,,101
102,CLDN3_HUMAN,To_add,,,102
103,FFAR2_HUMAN,To_add,,,103
104,KCNN4_HUMAN,To_add,,,104
105,FLRT2_HUMAN,To_add,,,105
106,PLXNB1_HUMAN,To_add,,,106
107,ADAM12_HUMAN,To_add,,,107
108,MLNR_HUMAN,To_add,,,108
109,GPR39_HUMAN,To_add,,,109
110,SPINT1_HUMAN,To_add,,,110
111,LRRTM2_HUMAN,To_add,,,111
112,FGF16_HUMAN,To_add,,,112
113,DHH_HUMAN,To_add,,,113
114,TGOLN2_HUMAN,To_add,,,114
115,ADAM20_HUMAN,To_add,,,115
116,TNFSF12_HUMAN,To_add,,,116
117,KCNQ3_HUMAN,To_add,,,117
118,GNRH2_HUMAN,To_add,,,118
119,TNFSF14_HUMAN,To_add,,,119
120,FRS3_HUMAN,To_add,,,120
121,LAT_HUMAN,To_add,,,121
122,CA12_HUMAN,To_add,,,122
123,GALR2_HUMAN,To_add,,,123
124,HCRT_HUMAN,To_add,,,124
125,HCRTR1_HUMAN,To_add,,,125
126,HCRTR2_HUMAN,To_add,,,126
127,SIGLEC6_HUMAN,To_add,,,127
128,ANGPTL7_HUMAN,To_add,,,128
129,EDIL3_HUMAN,To_add,,,129
130,CD5L_HUMAN,To_add,,,130
131,TYROBP_HUMAN,To_add,,,131
132,VEGFD_HUMAN,To_add,,,132
133,EFNA2_HUMAN,To_add,,,133
134,CXCL13_HUMAN,To_add,,,134
135,ADGRB2_HUMAN,To_add,,,135
136,FGF17_HUMAN,To_add,,,136
137,MGRN1_HUMAN,To_add,,,137
138,FZD6_HUMAN,To_add,,,138
139,GDF9_HUMAN,To_add,,,139
140,NRP2_HUMAN,To_add,,,140
141,DSCAM_HUMAN,To_add,,,141
142,PLXNC1_HUMAN,To_add,,,142
143,MPZL2_HUMAN,To_add,,,143
144,CUBN_HUMAN,To_add,,,144
145,ADCY9_HUMAN,To_add,,,145
146,PSPN_HUMAN,To_add,,,146
147,GREM1_HUMAN,To_add,,,147
148,TLR5_HUMAN,To_add,,,148
149,TLR2_HUMAN,To_add,,,149
150,GFRA3_HUMAN,To_add,,,150
151,TSPAN1_HUMAN,To_add,,,151
152,TSPAN3_HUMAN,To_add,,,152
153,SLC16A7_HUMAN,To_add,,,153
154,JAK2_HUMAN,To_add,,,154
155,GALR3_HUMAN,To_add,,,155
156,HPGDS_HUMAN,To_add,,,156
157,GPR37L1_HUMAN,To_add,,,157
158,RAMP1_HUMAN,To_add,,,158
159,RAMP2_HUMAN,To_add,,,159
160,RAMP3_HUMAN,To_add,,,160
161,SCN2B_HUMAN,To_add,,,161
162,FCGR3B_HUMAN,To_add,,,162
163,LILRA1_HUMAN,To_add,,,163
164,LILRB3_HUMAN,To_add,,,164
165,LILRB5_HUMAN,To_add,,,165
166,PLXNA2_HUMAN,To_add,,,166
167,IGSF3_HUMAN,To_add,,,167
168,SDC3_HUMAN,To_add,,,168
169,LRP3_HUMAN,To_add,,,169
170,ADAM23_HUMAN,To_add,,,170
171,ADAM11_HUMAN,To_add,,,171
172,FZD7_HUMAN,To_add,,,172
173,SLIT1_HUMAN,To_add,,,173
174,SLIT3_HUMAN,To_add,,,174
175,LRP4_HUMAN,To_add,,,175
176,MFAP3L_HUMAN,To_add,,,176
177,CPNE3_HUMAN,To_add,,,177
178,ICOSLG_HUMAN,To_add,,,178
179,LRP5_HUMAN,To_add,,,179
180,LRRN2_HUMAN,To_add,,,180
181,SEMA7A_HUMAN,To_add,,,181
182,HMMR_HUMAN,To_add,,,182
183,NCOR1_HUMAN,To_add,,,183
184,TECTA_HUMAN,To_add,,,184
185,CRLF1_HUMAN,To_add,,,185
186,LGR5_HUMAN,To_add,,,186
187,GPC4_HUMAN,To_add,,,187
188,CLDN11_HUMAN,To_add,,,188
189,TNFRSF21_HUMAN,To_add,,,189
190,ITGA10_HUMAN,To_add,,,190
191,LRP6_HUMAN,To_add,,,191
192,PGLYRP1_HUMAN,To_add,,,192
193,CLEC3A_HUMAN,To_add,,,193
194,LEFTY1_HUMAN,To_add,,,194
195,ATP6AP2_HUMAN,To_add,,,195
196,CNMD_HUMAN,To_add,,,196
197,CEACAM4_HUMAN,To_add,,,197
198,ATRN_HUMAN,To_add,,,198
199,TNFSF13_HUMAN,To_add,,,199
200,GABBR2_HUMAN,To_add,,,200
201,DYSF_HUMAN,To_add,,,201
202,FLOT1_HUMAN,To_add,,,202
203,MPDZ_HUMAN,To_add,,,203
204,NCR1_HUMAN,To_add,,,204
205,FGF18_HUMAN,To_add,,,205
206,TRPM2_HUMAN,To_add,,,206
207,CNTN5_HUMAN,To_add,,,207
208,SLIT2_HUMAN,To_add,,,208
209,MYO1D_HUMAN,To_add,,,209
210,NFASC_HUMAN,To_add,,,210
211,FARP2_HUMAN,To_add,,,211
212,LRIG2_HUMAN,To_add,,,212
213,DKK1_HUMAN,To_add,,,213
214,ADGRL1_HUMAN,To_add,,,214
215,SLITRK3_HUMAN,To_add,,,215
216,SLITRK5_HUMAN,To_add,,,216
217,SEMA3D_HUMAN,To_add,,,217
218,TJP3_HUMAN,To_add,,,218
219,YIF1A_HUMAN,To_add,,,219
220,PRSS23_HUMAN,To_add,,,220
221,S1PR2_HUMAN,To_add,,,221
222,TNFSF15_HUMAN,To_add,,,222
223,NXPH2_HUMAN,To_add,,,223
224,NXPH3_HUMAN,To_add,,,224
225,SCEL_HUMAN,To_add,,,225
226,UNC5C_HUMAN,To_add,,,226
227,IL18RAP_HUMAN,To_add,,,227
228,LYPD3_HUMAN,To_add,,,228
229,MPZL1_HUMAN,To_add,,,229
230,CCN4_HUMAN,To_add,,,230
231,CCN6_HUMAN,To_add,,,231
232,GDF11_HUMAN,To_add,,,232
233,BMP10_HUMAN,To_add,,,233
234,UTS2_HUMAN,To_add,,,234
