gene_name,uniprot,hgnc_symbol,ensembl
A1BG,P04217,A1BG,ENSG00000121410
A2M,P01023,A2M,ENSG00000175899
AANAT,Q16613,AANAT,ENSG00000129673
ABCA1,O95477,ABCA1,ENSG00000165029
ACAN,P16112,ACAN,ENSG00000157766
ACE,P12821,ACE,ENSG00000159640
ACE2,Q9BYF1,ACE2,ENSG00000130234
ACKR1,Q16570,ACKR1,ENSG00000213088
ACKR2,O00590,ACKR2,ENSG00000144648
ACKR3,P25106,ACKR3,ENSG00000144476
ACKR4,Q9NPB9,ACKR4,ENSG00000129048
ACP4,Q9BZG2,ACP4,ENSG00000142513
ACTR2,P61160,ACTR2,ENSG00000138071
ACVR1,Q04771,ACVR1,ENSG00000115170
ACVR1B,P36896,ACVR1B,ENSG00000135503
ACVR1C,Q8NER5,ACVR1C,ENSG00000123612
ACVR2A,P27037,ACVR2A,ENSG00000121989
ACVR2B,Q13705,ACVR2B,ENSG00000114739
ACVRL1,P37023,ACVRL1,ENSG00000139567
ADA,P00813,ADA,ENSG00000196839
ADAM10,O14672,ADAM10,ENSG00000137845
ADAM11,O75078,ADAM11,ENSG00000073670
ADAM12,O43184,ADAM12,ENSG00000148848
ADAM15,Q13444,ADAM15,ENSG00000143537
ADAM17,P78536,ADAM17,ENSG00000151694
ADAM2,Q99965,ADAM2,ENSG00000104755
ADAM2,Q99965,ADAM2,ENSG00000276286
ADAM20,O43506,ADAM20,ENSG00000134007
ADAM21,Q9UKJ8,ADAM21,ENSG00000139985
ADAM22,Q9P0K1,ADAM22,ENSG00000008277
ADAM23,O75077,ADAM23,ENSG00000114948
ADAM28,Q9UKQ2,ADAM28,ENSG00000042980
ADAM29,Q9UKF5,ADAM29,ENSG00000168594
ADAM7,Q9H2U9,ADAM7,ENSG00000069206
ADAM9,Q13443,ADAM9,ENSG00000282230
ADAM9,Q13443,ADAM9,ENSG00000168615
ADAMTS3,O15072,ADAMTS3,ENSG00000156140
ADCY1,Q08828,ADCY1,ENSG00000164742
ADCY7,P51828,ADCY7,ENSG00000121281
ADCY8,P40145,ADCY8,ENSG00000155897
ADCY9,O60503,ADCY9,ENSG00000162104
ADCYAP1,P18509,ADCYAP1,ENSG00000141433
ADCYAP1R1,P41586,ADCYAP1R1,ENSG00000078549
ADGRA2,Q96PE1,ADGRA2,ENSG00000020181
ADGRA3,Q8IWK6,ADGRA3,ENSG00000152990
ADGRB1,O14514,ADGRB1,ENSG00000181790
ADGRB2,O60241,ADGRB2,ENSG00000121753
ADGRE2,Q9UHX3,ADGRE2,ENSG00000127507
ADGRE5,P48960,ADGRE5,ENSG00000123146
ADGRF5,Q8IZF2,ADGRF5,ENSG00000069122
ADGRG1,Q9Y653,ADGRG1,ENSG00000205336
ADGRG3,Q86Y34,ADGRG3,ENSG00000182885
ADGRG5,Q8IZF4,ADGRG5,ENSG00000159618
ADGRL1,O94910,ADGRL1,ENSG00000288324
ADGRL1,O94910,ADGRL1,ENSG00000072071
ADGRL2,O95490,ADGRL2,ENSG00000117114
ADGRL4,Q9HBW9,ADGRL4,ENSG00000162618
ADGRV1,Q8WXG9,ADGRV1,ENSG00000164199
ADIPOQ,Q15848,ADIPOQ,ENSG00000181092
ADIPOR1,Q96A54,ADIPOR1,ENSG00000159346
ADIPOR2,Q86V24,ADIPOR2,ENSG00000285070
ADIPOR2,Q86V24,ADIPOR2,ENSG00000006831
ADM,P35318,ADM,ENSG00000148926
ADM2,Q7Z4H4,ADM2,ENSG00000128165
ADO,Q96SZ5,ADO,ENSG00000181915
ADORA1,P30542,ADORA1,ENSG00000163485
ADORA2A,P29274,ADORA2A,ENSG00000128271
ADORA2B,P29275,ADORA2B,ENSG00000170425
ADORA3,P0DMS8,ADORA3,ENSG00000282608
ADRA1A,P35348,ADRA1A,ENSG00000120907
ADRA1B,P35368,ADRA1B,ENSG00000170214
ADRA2A,P08913,ADRA2A,ENSG00000150594
ADRA2B,P18089,ADRA2B,ENSG00000274286
ADRB1,P08588,ADRB1,ENSG00000043591
ADRB2,P07550,ADRB2,ENSG00000169252
ADRB3,P13945,ADRB3,ENSG00000188778
AFDN,P55196,AFDN,ENSG00000130396
AGER,Q15109,AGER,ENSG00000234729
AGER,Q15109,AGER,ENSG00000231268
AGER,Q15109,AGER,ENSG00000237405
AGER,Q15109,AGER,ENSG00000206320
AGER,Q15109,AGER,ENSG00000229058
AGER,Q15109,AGER,ENSG00000230514
AGER,Q15109,AGER,ENSG00000204305
AGR2,O95994,AGR2,ENSG00000106541
AGRN,O00468,AGRN,ENSG00000188157
AGRP,O00253,AGRP,ENSG00000159723
AGT,P01019,AGT,ENSG00000135744
AGTR1,P30556,AGTR1,ENSG00000144891
AGTR2,P50052,AGTR2,ENSG00000180772
AGTRAP,Q6RW13,AGTRAP,ENSG00000177674
AHSG,P02765,AHSG,ENSG00000145192
AIMP1,Q12904,AIMP1,ENSG00000164022
ALB,P02768,ALB,ENSG00000163631
ALCAM,Q13740,ALCAM,ENSG00000170017
ALK,Q9UM73,ALK,ENSG00000171094
ALKAL1,Q6UXT8,ALKAL1,ENSG00000196711
ALKAL2,Q6UX46,ALKAL2,ENSG00000189292
ALOX5,P09917,ALOX5,ENSG00000275565
ALOX5,P09917,ALOX5,ENSG00000012779
ALOX5AP,P20292,ALOX5AP,ENSG00000132965
AMBN,Q9NP70,AMBN,ENSG00000178522
AMELX,Q99217,AMELX,ENSG00000125363
AMELY,Q99218,AMELY,ENSG00000099721
AMFR,Q9UKV5,AMFR,ENSG00000159461
AMH,P03971,AMH,ENSG00000104899
AMHR2,Q16671,AMHR2,ENSG00000135409
AMIGO2,Q86SJ2,AMIGO2,ENSG00000139211
ANG,P03950,ANG,ENSG00000214274
ANGPT1,Q15389,ANGPT1,ENSG00000154188
ANGPT2,O15123,ANGPT2,ENSG00000091879
ANGPT4,Q9Y264,ANGPT4,ENSG00000101280
ANGPTL1,O95841,ANGPTL1,ENSG00000116194
ANGPTL2,Q9UKU9,ANGPTL2,ENSG00000136859
ANGPTL3,Q9Y5C1,ANGPTL3,ENSG00000132855
ANGPTL4,Q9BY76,ANGPTL4,ENSG00000167772
ANGPTL5,Q86XS5,ANGPTL5,ENSG00000187151
ANGPTL6,Q8NI99,ANGPTL6,ENSG00000130812
ANGPTL7,O43827,ANGPTL7,ENSG00000171819
ANOS1,P23352,ANOS1,ENSG00000011201
ANP32B,Q92688,ANP32B,ENSG00000136938
ANPEP,P15144,ANPEP,ENSG00000166825
ANTXR1,Q9H6X2,ANTXR1,ENSG00000169604
ANXA1,P04083,ANXA1,ENSG00000135046
ANXA2,P07355,ANXA2,ENSG00000182718
APC,P25054,APC,ENSG00000134982
APCDD1,Q8J025,APCDD1,ENSG00000154856
APELA,P0DMC3,APELA,ENSG00000248329
APLN,Q9ULZ1,APLN,ENSG00000171388
APLNR,P35414,APLNR,ENSG00000134817
APLP1,P51693,APLP1,ENSG00000105290
APLP2,Q06481,APLP2,ENSG00000084234
APOA1,P02647,APOA1,ENSG00000118137
APOA2,P02652,APOA2,ENSG00000158874
APOA4,P06727,APOA4,ENSG00000110244
APOB,P04114,APOB,ENSG00000084674
APOC1,P02654,APOC1,ENSG00000130208
APOC2,P02655,APOC2,ENSG00000234906
APOC3,P02656,APOC3,ENSG00000110245
APOC4,P55056,APOC4,ENSG00000267467
APOD,P05090,APOD,ENSG00000189058
APOE,P02649,APOE,ENSG00000130203
APOO,Q9BUR5,APOO,ENSG00000184831
APP,P05067,APP,ENSG00000142192
AQP1,P29972,AQP1,ENSG00000240583
AQP5,P55064,AQP5,ENSG00000161798
AQP6,Q13520,AQP6,ENSG00000086159
AR,P10275,AR,ENSG00000169083
AREG,P15514,AREG,ENSG00000109321
ARF1,P84077,ARF1,ENSG00000143761
ARF4,P18085,ARF4,ENSG00000168374
ARF6,P62330,ARF6,ENSG00000165527
ARMH4,Q86TY3,ARMH4,ENSG00000139971
ARPC5,O15511,ARPC5,ENSG00000162704
ARRB2,P32121,ARRB2,ENSG00000141480
ART1,P52961,ART1,ENSG00000129744
ARTN,Q5T4W7,ARTN,ENSG00000117407
ASGR1,P07306,ASGR1,ENSG00000141505
ASGR2,P07307,ASGR2,ENSG00000161944
ASIC3,Q9UHC3,ASIC3,ENSG00000213199
ASIP,P42127,ASIP,ENSG00000101440
ASRGL1,Q7L266,ASRGL1,ENSG00000162174
ATP1A3,P13637,ATP1A3,ENSG00000105409
ATP1B1,P05026,ATP1B1,ENSG00000143153
ATP2A2,P16615,ATP2A2,ENSG00000174437
ATP5F1B,P06576,ATP5F1B,ENSG00000110955
ATP6AP2,O75787,ATP6AP2,ENSG00000182220
ATRN,O75882,ATRN,ENSG00000088812
ATXN10,Q9UBB4,ATXN10,ENSG00000130638
AVP,P01185,AVP,ENSG00000101200
AVPR1A,P37288,AVPR1A,ENSG00000166148
AVPR1B,P47901,AVPR1B,ENSG00000198049
AVPR2,P30518,AVPR2,ENSG00000126895
AXL,P30530,AXL,ENSG00000167601
AZGP1,P25311,AZGP1,ENSG00000160862
B2M,P61769,B2M,ENSG00000166710
B2M,P61769,B2M,ENSG00000273686
B9D1,Q9UPM9,B9D1,ENSG00000108641
BACE1,P56817,BACE1,ENSG00000186318
BAG6,P46379,BAG6,ENSG00000234651
BAG6,P46379,BAG6,ENSG00000204463
BAG6,P46379,BAG6,ENSG00000229524
BAG6,P46379,BAG6,ENSG00000227761
BAG6,P46379,BAG6,ENSG00000228760
BAG6,P46379,BAG6,ENSG00000233348
BAG6,P46379,BAG6,ENSG00000096155
BAMBI,Q13145,BAMBI,ENSG00000095739
BCAM,P50895,BCAM,ENSG00000187244
BCAN,Q96GW7,BCAN,ENSG00000132692
BDKRB1,P46663,BDKRB1,ENSG00000100739
BDKRB2,P30411,BDKRB2,ENSG00000168398
BDNF,P23560,BDNF,ENSG00000176697
BEX3,Q00994,BEX3,ENSG00000166681
BGN,P21810,BGN,ENSG00000182492
BICD1,Q96G01,BICD1,ENSG00000151746
BMP1,P13497,BMP1,ENSG00000168487
BMP10,O95393,BMP10,ENSG00000163217
BMP15,O95972,BMP15,ENSG00000130385
BMP2,P12643,BMP2,ENSG00000125845
BMP3,P12645,BMP3,ENSG00000152785
BMP4,P12644,BMP4,ENSG00000125378
BMP5,P22003,BMP5,ENSG00000112175
BMP6,P22004,BMP6,ENSG00000153162
BMP7,P18075,BMP7,ENSG00000101144
BMP8A,Q7Z5Y6,BMP8A,ENSG00000183682
BMP8B,P34820,BMP8B,ENSG00000116985
BMPR1A,P36894,BMPR1A,ENSG00000107779
BMPR1B,O00238,BMPR1B,ENSG00000138696
BMPR2,Q13873,BMPR2,ENSG00000204217
BOC,Q9BWV1,BOC,ENSG00000144857
BPI,P17213,BPI,ENSG00000101425
BRS3,P32247,BRS3,ENSG00000102239
BSG,P35613,BSG,ENSG00000172270
BST1,Q10588,BST1,ENSG00000109743
BST2,Q10589,BST2,ENSG00000130303
BTC,P35070,BTC,ENSG00000174808
BTK,Q06187,BTK,ENSG00000010671
BTLA,Q7Z6A9,BTLA,ENSG00000186265
BTN1A1,Q13410,BTN1A1,ENSG00000124557
BTN2A1,Q7KYR7,BTN2A1,ENSG00000112763
BTN2A2,Q8WVV5,BTN2A2,ENSG00000124508
BTN3A1,O00481,BTN3A1,ENSG00000026950
BTN3A2,P78410,BTN3A2,ENSG00000186470
BTN3A3,O00478,BTN3A3,ENSG00000111801
BTNL8,Q6UX41,BTNL8,ENSG00000113303
BTNL9,Q6UXG8,BTNL9,ENSG00000165810
C10orf99,Q6UWK7,C10orf99,ENSG00000188373
C14orf37,Q86TY3,C14orf37,ENSG00000139971
C19orf38,A8MVS5,C19orf38,ENSG00000214212
C1QA,P02745,C1QA,ENSG00000173372
C1QB,P02746,C1QB,ENSG00000173369
C1QB,P02746,C1QB,ENSG00000000012
C1QBP,Q07021,C1QBP,ENSG00000108561
C1QTNF1,Q9BXJ1,C1QTNF1,ENSG00000173918
C1QTNF5,Q9BXJ0,C1QTNF5,ENSG00000223953
C1orf112,Q9NSG2,C1orf112,ENSG00000000460
C1orf194,Q5T5A4,C1orf194,ENSG00000179902
C3,P01024,C3,ENSG00000125730
C3AR1,Q16581,C3AR1,ENSG00000171860
C4A,P0C0L4,C4A,ENSG00000244207
C4A,P0C0L4,C4A,ENSG00000244731
C4A,P0C0L4,C4A,ENSG00000227746
C4A,P0C0L4,C4A,ENSG00000206340
C4B,P0C0L5,C4B,ENSG00000224389
C4B,P0C0L5,C4B,ENSG00000236625
C4B,P0C0L5,C4B,ENSG00000228267
C4B,P0C0L5,C4B,ENSG00000228454
C4BPA,P04003,C4BPA,ENSG00000123838
C4B_2,P0C0L5,C4B_2,ENSG00000236625
C4B_2,P0C0L5,C4B_2,ENSG00000233312
C5,P01031,C5,ENSG00000106804
C5AR1,P21730,C5AR1,ENSG00000197405
C5AR2,Q9P296,C5AR2,ENSG00000134830
C6orf15,Q6UXA7,C6orf15,ENSG00000231624
C6orf15,Q6UXA7,C6orf15,ENSG00000225543
C6orf15,Q6UXA7,C6orf15,ENSG00000204542
C6orf15,Q6UXA7,C6orf15,ENSG00000224105
C6orf15,Q6UXA7,C6orf15,ENSG00000229432
C6orf15,Q6UXA7,C6orf15,ENSG00000206461
CA12,O43570,CA12,ENSG00000074410
CA2,P00918,CA2,ENSG00000104267
CACHD1,Q5VU97,CACHD1,ENSG00000158966
