partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
A0A1B0GTJ6,P22888,LOC101059948,LHCGR,user_curated,OmniPath
A4D1S0,O96014,WNT11,KLRG2,user_curated,OmniPath
A4D1S0,P41273,TNFSF9,KLRG2,user_curated,OmniPath
A4D1S0,Q9H1J7,WNT5B,KLRG2,user_curated,OmniPath
A6ND01,Q8IYV9,IZUMO1,IZUMO1R,user_curated,OmniPath
A6NDA9,P23468,PTPRD,LRIT2,user_curated,OmniPath
A6NDA9,Q96LC7,LRIT2,SIGLEC10,user_curated,OmniPath
A6NFU0,O94779,CNTN5,FAM187A,user_curated,OmniPath
A6NI73,P25189,MPZ,LILRA5,user_curated,OmniPath
A6NI73,Q5SQ64,LY6G6F,LILRA5,user_curated,OmniPath
A6NI73,Q8IYV9,LILRA5,IZUMO1,user_curated,OmniPath
A6NI73,Q8NHL6,LILRB1,LILRA5,user_curated,OmniPath
A6NJW9,P01889,HLA-B,CD8B2,user_curated,OmniPath
A6NJW9,P04439,HLA-A,CD8B2,user_curated,OmniPath
A6NJW9,P10321,HLA-C,CD8B2,user_curated,OmniPath
A6NJW9,P13747,HLA-E,CD8B2,user_curated,OmniPath
A6NJW9,P17693,HLA-G,CD8B2,user_curated,OmniPath
A6NJW9,P30511,HLA-F,CD8B2,user_curated,OmniPath
A6NLU5,P58400,NRXN1,VSTM2B,user_curated,OmniPath
A6NLU5,P58401,NRXN2,VSTM2B,user_curated,OmniPath
A6NLU5,Q9BZG2,ACP4,VSTM2B,user_curated,OmniPath
A6NLU5,Q9NP99,TREM1,VSTM2B,user_curated,OmniPath
A6NLU5,Q9UM44,HHLA2,VSTM2B,user_curated,OmniPath
A6NMZ7,O75578,COL6A6,ITGA10,user_curated,OmniPath
A6NMZ7,P05556,COL6A6,ITGB1,user_curated,OmniPath
A6NMZ7,P06756,COL6A6,ITGAV,user_curated,OmniPath
A6NMZ7,P16070,COL6A6,CD44,user_curated,OmniPath
A6NMZ7,P17301,COL6A6,ITGA2,user_curated,OmniPath
A6NMZ7,P18827,COL6A6,SDC1,user_curated,OmniPath
A6NMZ7,P26006,COL6A6,ITGA3,user_curated,OmniPath
A6NMZ7,P26012,COL6A6,ITGB8,user_curated,OmniPath
A6NMZ7,P31431,COL6A6,SDC4,user_curated,OmniPath
A6NMZ7,P56199,COL6A6,ITGA1,user_curated,OmniPath
A6NMZ7,Q13797,COL6A6,ITGA9,user_curated,OmniPath
A6NMZ7,Q9HCN6,COL6A6,GP6,user_curated,OmniPath
A6NMZ7,Q9UKX5,COL6A6,ITGA11,user_curated,OmniPath
A8K4G0,O15389,CD300LB,SIGLEC5,user_curated,OmniPath
A8K4G0,O43699,CD300LB,SIGLEC6,user_curated,OmniPath
A8K4G0,O75019,CD300LB,LILRA1,user_curated,OmniPath
A8K4G0,P17948,FLT1,CD300LB,user_curated,OmniPath
A8K4G0,Q08ET2,CD300LB,SIGLEC14,user_curated,OmniPath
A8K4G0,Q8N7C0,CD300LB,LRRC52,user_curated,OmniPath
A8K4G0,Q96D42,HAVCR1,CD300LB,user_curated,OmniPath
A8K4G0,Q96LC7,CD300LB,SIGLEC10,user_curated,OmniPath
A8MVS5,P52799,EFNB2,HIDE1,user_curated,OmniPath
A8MVS5,Q15768,EFNB3,HIDE1,user_curated,OmniPath
A8TX70,P16070,COL6A5,CD44,user_curated,OmniPath
A8TX70,P18827,COL6A5,SDC1,user_curated,OmniPath
A8TX70,P31431,COL6A5,SDC4,user_curated,OmniPath
A8TX70,Q9HCN6,COL6A5,GP6,user_curated,OmniPath
B6A8C7,P12318,FCGR2A,TARM1,user_curated,OmniPath
B6A8C7,Q13410,BTN1A1,TARM1,user_curated,OmniPath
B6A8C7,Q8IYS5,TARM1,OSCAR,user_curated,OmniPath
B6A8C7,Q8WZ75,TARM1,ROBO4,user_curated,OmniPath
D3W0D1,Q6UVW9,KLRF2,CLEC2A,user_curated,OmniPath
F7VJQ1,O75084,FZD7,PRNP,user_curated,OmniPath
F7VJQ1,P07550,ADRB2,PRNP,user_curated,OmniPath
F7VJQ1,P25105,PTAFR,PRNP,user_curated,OmniPath
F7VJQ1,P32246,CCR1,PRNP,user_curated,OmniPath
F7VJQ1,P55085,F2RL1,PRNP,user_curated,OmniPath
F7VJQ1,Q93038,PRNP,TNFRSF25,user_curated,OmniPath
K9M1U5,Q08334,IFNL4,IL10RB,user_curated,OmniPath
K9M1U5,Q8IU57,IFNL4,IFNLR1,user_curated,OmniPath
O00144,O00744,WNT10B,FZD9,user_curated,OmniPath
O00144,O00755,WNT7A,FZD9,user_curated,OmniPath
O00144,O14904,WNT9A,FZD9,user_curated,OmniPath
O00144,O14905,WNT9B,FZD9,user_curated,OmniPath
O00144,O96014,WNT11,FZD9,user_curated,OmniPath
O00144,P04628,WNT1,FZD9,user_curated,OmniPath
O00144,P09544,WNT2,FZD9,user_curated,OmniPath
O00144,P34925,RYK,FZD9,user_curated,OmniPath
O00144,P41221,WNT5A,FZD9,user_curated,OmniPath
O00144,P56703,WNT3,FZD9,user_curated,OmniPath
O00144,P56704,WNT3A,FZD9,user_curated,OmniPath
O00144,P56705,WNT4,FZD9,user_curated,OmniPath
O00144,P56706,WNT7B,FZD9,user_curated,OmniPath
O00144,Q01973,ROR1,FZD9,user_curated,OmniPath
O00144,Q01974,ROR2,FZD9,user_curated,OmniPath
O00144,Q93097,WNT2B,FZD9,user_curated,OmniPath
O00144,Q93098,WNT8B,FZD9,user_curated,OmniPath
O00144,Q9GZT5,WNT10A,FZD9,user_curated,OmniPath
O00144,Q9H1J5,WNT8A,FZD9,user_curated,OmniPath
O00144,Q9H1J7,WNT5B,FZD9,user_curated,OmniPath
O00144,Q9UBV4,WNT16,FZD9,user_curated,OmniPath
O00144,Q9Y6F9,WNT6,FZD9,user_curated,OmniPath
O00155,Q9HD89,RETN,GPR25,user_curated,OmniPath
O00175,O00590,CCL24,ACKR2,user_curated,OmniPath
O00175,P41597,CCL24,CCR2,user_curated,OmniPath
O00175,P51677,CCL24,CCR3,user_curated,OmniPath
O00182,P08575,LGALS9,PTPRC,user_curated,OmniPath
O00182,P08581,LGALS9,MET,user_curated,OmniPath
O00182,P16070,LGALS9,CD44,user_curated,OmniPath
O00182,Q07954,LGALS9,LRP1,user_curated,OmniPath
O00182,Q08722,LGALS9,CD47,user_curated,OmniPath
O00182,Q15262,LGALS9,PTPRK,user_curated,OmniPath
O00182,Q15758,LGALS9,SLC1A5,user_curated,OmniPath
O00182,Q5KU26,LGALS9,COLEC12,user_curated,OmniPath
O00182,Q8TDQ0,LGALS9,HAVCR2,user_curated,OmniPath
O00182,Q9UBG0,LGALS9,MRC2,user_curated,OmniPath
O00206,O00622,CCN1,TLR4,user_curated,OmniPath
O00206,O15263,DEFB4B,TLR4,user_curated,OmniPath
O00206,P00738,HP,TLR4,user_curated,OmniPath
O00206,P02671,FGA,TLR4,user_curated,OmniPath
O00206,P02675,FGB,TLR4,user_curated,OmniPath
O00206,P02679,FGG,TLR4,user_curated,OmniPath
O00206,P02778,CXCL10,TLR4,user_curated,OmniPath
O00206,P04114,APOB,TLR4,user_curated,OmniPath
O00206,P05109,S100A8,TLR4,user_curated,OmniPath
O00206,P06702,S100A9,TLR4,user_curated,OmniPath
O00206,P07585,DCN,TLR4,user_curated,OmniPath
O00206,P08571,CD14,TLR4,user_curated,OmniPath
O00206,P09429,HMGB1,TLR4,user_curated,OmniPath
O00206,P0CG47,UBB,TLR4,user_curated,OmniPath
O00206,P0CG48,UBC,TLR4,user_curated,OmniPath
O00206,P0DMV8,HSPA1A,TLR4,user_curated,OmniPath
O00206,P14625,HSP90B1,TLR4,user_curated,OmniPath
O00206,P16671,CD36,TLR4,user_curated,OmniPath
O00206,P21810,BGN,TLR4,user_curated,OmniPath
O00206,P23297,S100A1,TLR4,user_curated,OmniPath
O00206,P34932,HSPA4,TLR4,user_curated,OmniPath
O00206,P35247,SFTPD,TLR4,user_curated,OmniPath
O00206,P62979,RPS27A,TLR4,user_curated,OmniPath
O00206,P62987,UBA52,TLR4,user_curated,OmniPath
O00206,P80511,S100A12,TLR4,user_curated,OmniPath
O00206,Q92954,PRG4,TLR4,user_curated,OmniPath
O00206,Q96DA0,ZG16B,TLR4,user_curated,OmniPath
O00206,Q9HD89,RETN,TLR4,user_curated,OmniPath
O00206,Q9NWZ3,IRAK4,TLR4,user_curated,OmniPath
O00206,Q9UKU9,ANGPTL2,TLR4,user_curated,OmniPath
O00214,P26006,LGALS8,ITGA3,user_curated,OmniPath
O00220,P02458,COL2A1,TNFRSF10A,user_curated,OmniPath
