gene_name,uniprot,hgnc_symbol,ensembl
A2M,P01023,A2M,ENSG00000175899
LRP1,Q07954,LRP1,ENSG00000123384
ACTR2,P61160,ACTR2,ENSG00000138071
ADRB2,P07550,ADRB2,ENSG00000169252
LDLR,P01130,LDLR,ENSG00000130164
LRP2,P98164,LRP2,ENSG00000081479
ADAM11,O75078,ADAM11,ENSG00000073670
CCR4,P51679,CCR4,ENSG00000183813
ITGA4,P13612,ITGA4,ENSG00000115232
ADCYAP1,P18509,ADCYAP1,ENSG00000141433
ADCYAP1R1,P41586,ADCYAP1R1,ENSG00000078549
ADRB3,P13945,ADRB3,ENSG00000188778
DPP4,P27487,DPP4,ENSG00000197635
GPR20,Q99678,GPR20,ENSG00000275181
GPR84,Q9NQS5,GPR84,ENSG00000139572
PTH1R,Q03431,PTH1R,ENSG00000160801
RAMP2,O60895,RAMP2,ENSG00000131477
RAMP3,O60896,RAMP3,ENSG00000122679
SCTR,P47872,SCTR,ENSG00000080293
TSHR,P16473,TSHR,ENSG00000165409
VIPR1,P32241,VIPR1,ENSG00000114812
VIPR2,P41587,VIPR2,ENSG00000106018
ADIPOQ,Q15848,ADIPOQ,ENSG00000181092
ADIPOR1,Q96A54,ADIPOR1,ENSG00000159346
ADIPOR2,Q86V24,ADIPOR2,ENSG00000285070
ASGR2,P07307,ASGR2,ENSG00000161944
CLEC2D,Q9UHP7,CLEC2D,ENSG00000069493
CNR2,P34972,CNR2,ENSG00000188822
GPR152,Q8TDT2,GPR152,ENSG00000175514
GPR42,O15529,GPR42,ENSG00000126251
PROKR2,Q8NFJ6,PROKR2,ENSG00000101292
ADM,P35318,ADM,ENSG00000148926
ACKR3,P25106,ACKR3,ENSG00000144476
CALCR,P30988,CALCR,ENSG00000004948
CALCRL,Q16602,CALCRL,ENSG00000064989
DCLK3,Q9C098,DCLK3,ENSG00000163673
GPR182,O15218,GPR182,ENSG00000166856
MRGPRX2,Q96LB1,MRGPRX2,ENSG00000183695
RAMP1,O60894,RAMP1,ENSG00000132329
ADM2,Q7Z4H4,ADM2,ENSG00000128165
ADO,Q96SZ5,ADO,ENSG00000181915
ADORA1,P30542,ADORA1,ENSG00000163485
ADORA2A,P29274,ADORA2A,ENSG00000128271
ADORA2B,P29275,ADORA2B,ENSG00000170425
ADORA3,P0DMS8,ADORA3,ENSG00000282608
AFDN,P55196,AFDN,ENSG00000130396
EPHA7,Q15375,EPHA7,ENSG00000135333
EPHB2,P29323,EPHB2,ENSG00000133216
EPHB3,P54753,EPHB3,ENSG00000182580
EPHB6,O15197,EPHB6,ENSG00000000010
NECTIN1,Q15223,NECTIN1,ENSG00000110400
NECTIN2,Q92692,NECTIN2,ENSG00000130202
NECTIN4,Q96NY8,NECTIN4,ENSG00000143217
NRXN2,P58401,NRXN2,ENSG00000110076
NRXN3,Q9Y4C0,NRXN3,ENSG00000021645
AGRN,O00468,AGRN,ENSG00000188157
DAG1,Q14118,DAG1,ENSG00000173402
ITGB1,P05556,ITGB1,ENSG00000150093
LRP4,O75096,LRP4,ENSG00000134569
MUSK,O15146,MUSK,ENSG00000030304
AGRP,O00253,AGRP,ENSG00000159723
ATRN,O75882,ATRN,ENSG00000088812
MC1R,Q01726,MC1R,ENSG00000258839
MC3R,P41968,MC3R,ENSG00000124089
MC4R,P32245,MC4R,ENSG00000166603
MC5R,P33032,MC5R,ENSG00000176136
SDC1,P18827,SDC1,ENSG00000115884
SDC3,O75056,SDC3,ENSG00000162512
AGT,P01019,AGT,ENSG00000135744
ADRA2A,P08913,ADRA2A,ENSG00000150594
AGTR1,P30556,AGTR1,ENSG00000144891
AGTR2,P50052,AGTR2,ENSG00000180772
GRM7,Q14831,GRM7,ENSG00000196277
MAS1,P04201,MAS1,ENSG00000130368
MTNR1A,P48039,MTNR1A,ENSG00000168412
AGTRAP,Q6RW13,AGTRAP,ENSG00000177674
RACK1,P63244,RACK1,ENSG00000204628
AHSG,P02765,AHSG,ENSG00000145192
INSR,P06213,INSR,ENSG00000171105
AIMP1,Q12904,AIMP1,ENSG00000164022
NTRK1,P04629,NTRK1,ENSG00000198400
ALB,P02768,ALB,ENSG00000163631
ALCAM,Q13740,ALCAM,ENSG00000170017
CD6,P30203,CD6,ENSG00000013725
CHL1,O00533,CHL1,ENSG00000134121
NRP1,O14786,NRP1,ENSG00000099250
ALKAL1,Q6UXT8,ALKAL1,ENSG00000196711
ALK,Q9UM73,ALK,ENSG00000171094
LTK,P29376,LTK,ENSG00000062524
ALKAL2,Q6UX46,ALKAL2,ENSG00000189292
AMBN,Q9NP70,AMBN,ENSG00000178522
CD63,P08962,CD63,ENSG00000135404
AMELX,Q99217,AMELX,ENSG00000125363
LAMP1,P11279,LAMP1,ENSG00000185896
LAMP2,P13473,LAMP2,ENSG00000005893
AMELY,Q99218,AMELY,ENSG00000099721
AMH,P03971,AMH,ENSG00000104899
ACVR1,Q04771,ACVR1,ENSG00000115170
AMHR2,Q16671,AMHR2,ENSG00000135409
BMPR1A,P36894,BMPR1A,ENSG00000107779
BMPR1B,O00238,BMPR1B,ENSG00000138696
EGFR,P00533,EGFR,ENSG00000146648
ANG,P03950,ANG,ENSG00000214274
PLXNB2,O15031,PLXNB2,ENSG00000196576
ANGPT1,Q15389,ANGPT1,ENSG00000154188
ITGA5,P08648,ITGA5,ENSG00000161638
TEK,Q02763,TEK,ENSG00000120156
TIE1,P35590,TIE1,ENSG00000066056
ANGPT2,O15123,ANGPT2,ENSG00000091879
ANGPT4,Q9Y264,ANGPT4,ENSG00000101280
ANGPTL1,O95841,ANGPTL1,ENSG00000116194
LILRB2,Q8N423,LILRB2,ENSG00000274513
LILRB3,O75022,LILRB3,ENSG00000275019
ANGPTL2,Q9UKU9,ANGPTL2,ENSG00000136859
TLR4,O00206,TLR4,ENSG00000136869
ANGPTL3,Q9Y5C1,ANGPTL3,ENSG00000132855
ITGAV,P06756,ITGAV,ENSG00000138448
ITGB3,P05106,ITGB3,ENSG00000259207
ANGPTL4,Q9BY76,ANGPTL4,ENSG00000167772
CDH11,P55287,CDH11,ENSG00000140937
CDH5,P33151,CDH5,ENSG00000179776
GPIHBP1,Q8IV16,GPIHBP1,ENSG00000277494
SDC2,P34741,SDC2,ENSG00000169439
ANGPTL5,Q86XS5,ANGPTL5,ENSG00000187151
ANGPTL6,Q8NI99,ANGPTL6,ENSG00000130812
ANGPTL7,O43827,ANGPTL7,ENSG00000171819
ANOS1,P23352,ANOS1,ENSG00000011201
