id_gene,ensembl,gene_name,hgnc_symbol,protein_id
1,ENSG00000121410,A1BG,A1BG,385
2,ENSG00000175899,A2M,A2M,273
3,ENSG00000129673,AANAT,AANAT,1446
4,ENSG00000165029,ABCA1,ABCA1,224
5,ENSG00000157766,ACAN,ACAN,654
6,ENSG00000159640,ACE,ACE,592
7,ENSG00000130234,ACE2,ACE2,1902
8,ENSG00000213088,ACKR1,ACKR1,1442
9,ENSG00000144648,ACKR2,ACKR2,42
10,ENSG00000144476,ACKR3,ACKR3,811
11,ENSG00000129048,ACKR4,ACKR4,1998
12,ENSG00000142513,ACP4,ACP4,1905
13,ENSG00000138071,ACTR2,ACTR2,1171
14,ENSG00000115170,ACVR1,ACVR1,1258
15,ENSG00000135503,ACVR1B,ACVR1B,969
16,ENSG00000123612,ACVR1C,ACVR1C,1696
17,ENSG00000121989,ACVR2A,ACVR2A,832
18,ENSG00000114739,ACVR2B,ACVR2B,1351
19,ENSG00000139567,ACVRL1,ACVRL1,973
20,ENSG00000196839,ADA,ADA,267
21,ENSG00000137845,ADAM10,ADAM10,59
22,ENSG00000073670,ADAM11,ADAM11,159
23,ENSG00000148848,ADAM12,ADAM12,101
24,ENSG00000143537,ADAM15,ADAM15,1337
25,ENSG00000151694,ADAM17,ADAM17,1197
26,ENSG00000276286,ADAM2,ADAM2,1875
27,ENSG00000104755,ADAM2,ADAM2,1875
28,ENSG00000134007,ADAM20,ADAM20,108
29,ENSG00000139985,ADAM21,ADAM21,2127
30,ENSG00000008277,ADAM22,ADAM22,2069
31,ENSG00000114948,ADAM23,ADAM23,158
32,ENSG00000042980,ADAM28,ADAM28,2129
33,ENSG00000168594,ADAM29,ADAM29,2124
34,ENSG00000069206,ADAM7,ADAM7,1941
35,ENSG00000168615,ADAM9,ADAM9,1336
36,ENSG00000282230,ADAM9,ADAM9,1336
37,ENSG00000156140,ADAMTS3,ADAMTS3,73
38,ENSG00000164742,ADCY1,ADCY1,1290
39,ENSG00000121281,ADCY7,ADCY7,1107
40,ENSG00000155897,ADCY8,ADCY8,984
41,ENSG00000162104,ADCY9,ADCY9,135
42,ENSG00000141433,ADCYAP1,ADCYAP1,690
43,ENSG00000078549,ADCYAP1R1,ADCYAP1R1,1005
44,ENSG00000020181,ADGRA2,ADGRA2,1832
45,ENSG00000152990,ADGRA3,ADGRA3,1633
46,ENSG00000181790,ADGRB1,ADGRB1,53
47,ENSG00000127507,ADGRE2,ADGRE2,2120
48,ENSG00000123146,ADGRE5,ADGRE5,1066
49,ENSG00000069122,ADGRF5,ADGRF5,1645
50,ENSG00000205336,ADGRG1,ADGRG1,2219
51,ENSG00000182885,ADGRG3,ADGRG3,1615
52,ENSG00000159618,ADGRG5,ADGRG5,1646
53,ENSG00000288324,ADGRL1,ADGRL1,201
54,ENSG00000072071,ADGRL1,ADGRL1,201
55,ENSG00000117114,ADGRL2,ADGRL2,225
56,ENSG00000162618,ADGRL4,ADGRL4,1972
57,ENSG00000164199,ADGRV1,ADGRV1,1746
58,ENSG00000181092,ADIPOQ,ADIPOQ,1433
59,ENSG00000159346,ADIPOR1,ADIPOR1,1786
60,ENSG00000285070,ADIPOR2,ADIPOR2,1606
61,ENSG00000006831,ADIPOR2,ADIPOR2,1606
62,ENSG00000148926,ADM,ADM,945
63,ENSG00000128165,ADM2,ADM2,1589
64,ENSG00000181915,ADO,ADO,1847
65,ENSG00000163485,ADORA1,ADORA1,885
66,ENSG00000128271,ADORA2A,ADORA2A,860
67,ENSG00000170425,ADORA2B,ADORA2B,861
68,ENSG00000282608,ADORA3,ADORA3,529
69,ENSG00000120907,ADRA1A,ADRA1A,947
70,ENSG00000170214,ADRA1B,ADRA1B,950
71,ENSG00000150594,ADRA2A,ADRA2A,495
72,ENSG00000274286,ADRA2B,ADRA2B,687
73,ENSG00000043591,ADRB1,ADRB1,482
74,ENSG00000169252,ADRB2,ADRB2,457
75,ENSG00000188778,ADRB3,ADRB3,618
76,ENSG00000130396,AFDN,AFDN,1139
77,ENSG00000206320,AGER,AGER,1404
78,ENSG00000230514,AGER,AGER,1404
79,ENSG00000229058,AGER,AGER,1404
80,ENSG00000237405,AGER,AGER,1404
81,ENSG00000231268,AGER,AGER,1404
82,ENSG00000204305,AGER,AGER,1404
83,ENSG00000234729,AGER,AGER,1404
84,ENSG00000106541,AGR2,AGR2,251
85,ENSG00000188157,AGRN,AGRN,33
86,ENSG00000159723,AGRP,AGRP,25
87,ENSG00000135744,AGT,AGT,272
88,ENSG00000144891,AGTR1,AGTR1,887
89,ENSG00000180772,AGTR2,AGTR2,1086
90,ENSG00000177674,AGTRAP,AGTRAP,1529
91,ENSG00000145192,AHSG,AHSG,356
92,ENSG00000164022,AIMP1,AIMP1,1304
93,ENSG00000163631,ALB,ALB,358
94,ENSG00000170017,ALCAM,ALCAM,1352
95,ENSG00000171094,ALK,ALK,2150
96,ENSG00000196711,ALKAL1,ALKAL1,1559
97,ENSG00000189292,ALKAL2,ALKAL2,1545
98,ENSG00000275565,ALOX5,ALOX5,515
99,ENSG00000012779,ALOX5,ALOX5,515
100,ENSG00000132965,ALOX5AP,ALOX5AP,718
101,ENSG00000178522,AMBN,AMBN,1993
102,ENSG00000125363,AMELX,AMELX,1851
103,ENSG00000099721,AMELY,AMELY,1852
104,ENSG00000159461,AMFR,AMFR,2133
105,ENSG00000104899,AMH,AMH,371
