id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy
1,CPI-SS0D2192FF2,1,771,OmniPath,user_curated
2,CPI-SS0AAD89AB7,221,771,OmniPath,user_curated
3,CPI-SS033180726,291,771,OmniPath,user_curated
4,CPI-SS0DEF5D0CE,294,771,OmniPath,user_curated
5,CPI-SS04F5D3B1B,398,771,OmniPath,user_curated
6,CPI-SS09F159392,531,771,OmniPath,user_curated
7,CPI-SS093F8ECCD,221,456,OmniPath,user_curated
8,CPI-SS03DE38A37,291,456,OmniPath,user_curated
9,CPI-SS049D589B3,294,456,OmniPath,user_curated
10,CPI-SS0B3E0BCFF,378,456,OmniPath,user_curated
11,CPI-SS05C9338E5,256,456,OmniPath,user_curated
12,CPI-SS03A447CA2,288,456,OmniPath,user_curated
13,CPI-SS087B5B3D1,305,456,OmniPath,user_curated
14,CPI-SS041E6054F,303,456,OmniPath,user_curated
15,CPI-SS062878498,93,456,OmniPath,user_curated
16,CPI-SS05D6C395E,280,456,OmniPath,user_curated
17,CPI-SS0BBCAED13,287,456,OmniPath,user_curated
18,CPI-SS01BB3A72D,363,456,OmniPath,user_curated
19,CPI-SS0D058E79D,301,456,OmniPath,user_curated
20,CPI-SS0C07DB5E4,302,456,OmniPath,user_curated
21,CPI-SS046B50817,298,456,OmniPath,user_curated
22,CPI-SS0C5FB41E8,424,456,OmniPath,user_curated
23,CPI-SS031513D6C,292,456,OmniPath,user_curated
24,CPI-SS06707DC89,293,456,OmniPath,user_curated
25,CPI-SS07AF76C25,300,456,OmniPath,user_curated
26,CPI-SS0C6448B94,322,456,OmniPath,user_curated
27,CPI-SS0BA0457D3,377,456,OmniPath,user_curated
28,CPI-SS08F47F655,439,456,OmniPath,user_curated
29,CPI-SS07FAF7D5C,221,618,OmniPath,user_curated
30,CPI-SS053C9190F,291,618,OmniPath,user_curated
31,CPI-SS0B01B2432,294,618,OmniPath,user_curated
32,CPI-SS0868FCC17,288,618,OmniPath,user_curated
33,CPI-SS0EB16E48C,303,618,OmniPath,user_curated
34,CPI-SS02D1DFFB8,287,618,OmniPath,user_curated
35,CPI-SS00CFE92E9,301,618,OmniPath,user_curated
36,CPI-SS0FB1E8B16,302,618,OmniPath,user_curated
37,CPI-SS026B8EB77,511,618,OmniPath,user_curated
38,CPI-SS0817E8D49,298,618,OmniPath,user_curated
39,CPI-SS08A36BE36,292,618,OmniPath,user_curated
40,CPI-SS075D1C069,293,618,OmniPath,user_curated
41,CPI-SS04C22BA5E,300,618,OmniPath,user_curated
42,CPI-SS096F91FB8,377,618,OmniPath,user_curated
43,CPI-SS049F0F6A8,439,618,OmniPath,user_curated
44,CPI-SS0F42F27E0,512,618,OmniPath,user_curated
45,CPI-SS0ED7F3344,518,618,OmniPath,user_curated
46,CPI-SS0E7B55E27,538,618,OmniPath,user_curated
47,CPI-SS090240415,559,618,OmniPath,user_curated
48,CPI-SS074212F4F,582,618,OmniPath,user_curated
49,CPI-SS04EA23FB3,221,663,OmniPath,user_curated
50,CPI-SS08D316E93,291,663,OmniPath,user_curated
51,CPI-SS09B4E2610,294,663,OmniPath,user_curated
52,CPI-SS04D87448A,398,663,OmniPath,user_curated
53,CPI-SS0E2696443,352,663,OmniPath,user_curated
54,CPI-SS012FD886E,288,663,OmniPath,user_curated
55,CPI-SS0D1D353DD,303,663,OmniPath,user_curated
56,CPI-SS010DF4808,287,663,OmniPath,user_curated
57,CPI-SS073C09A1B,301,663,OmniPath,user_curated
58,CPI-SS0262A26FE,302,663,OmniPath,user_curated
59,CPI-SS04CCD620C,511,663,OmniPath,user_curated
60,CPI-SS078B27791,298,663,OmniPath,user_curated
61,CPI-SS0C7833961,292,663,OmniPath,user_curated
62,CPI-SS09B0A8D5C,293,663,OmniPath,user_curated
63,CPI-SS091770C8C,300,663,OmniPath,user_curated
64,CPI-SS0FB2E9FF3,377,663,OmniPath,user_curated
65,CPI-SS0B6D67AD9,439,663,OmniPath,user_curated
66,CPI-SS0C6FEEA14,512,663,OmniPath,user_curated
67,CPI-SS0F21289CA,518,663,OmniPath,user_curated
68,CPI-SS0D0302B8D,538,663,OmniPath,user_curated
69,CPI-SS0861E82F2,559,663,OmniPath,user_curated
70,CPI-SS0C6E2FFD8,582,663,OmniPath,user_curated
71,CPI-SS063E69AE4,221,882,OmniPath,user_curated
72,CPI-SS0FCF733EA,287,882,OmniPath,user_curated
73,CPI-SS0A5B111F1,286,882,OmniPath,user_curated
74,CPI-SS00E3B0AE0,221,886,OmniPath,user_curated
75,CPI-SS04EF669E4,398,886,OmniPath,user_curated
76,CPI-SS0C6C95279,663,886,OmniPath,user_curated
77,CPI-SS093709C16,221,912,OmniPath,user_curated
78,CPI-SS0351FE0CD,291,912,OmniPath,user_curated
79,CPI-SS019D770BA,294,912,OmniPath,user_curated
80,CPI-SS09F6EBE93,532,912,OmniPath,user_curated
81,CPI-SS032869B21,288,912,OmniPath,user_curated
82,CPI-SS003AFD9BA,303,912,OmniPath,user_curated
83,CPI-SS00D55E7F1,287,912,OmniPath,user_curated
84,CPI-SS08C2FAEBD,301,912,OmniPath,user_curated
85,CPI-SS0C8A09915,302,912,OmniPath,user_curated
86,CPI-SS0FCE0E98A,511,912,OmniPath,user_curated
87,CPI-SS062DED513,690,912,OmniPath,user_curated
88,CPI-SS0A410A73A,298,912,OmniPath,user_curated
89,CPI-SS0022812F4,292,912,OmniPath,user_curated
90,CPI-SS03D006674,293,912,OmniPath,user_curated
91,CPI-SS0C0B4AB4B,300,912,OmniPath,user_curated
92,CPI-SS07D7A06C1,377,912,OmniPath,user_curated
93,CPI-SS063317582,439,912,OmniPath,user_curated
94,CPI-SS0EC70F078,512,912,OmniPath,user_curated
95,CPI-SS04345C6FD,518,912,OmniPath,user_curated
96,CPI-SS077A28953,538,912,OmniPath,user_curated
97,CPI-SS0ABD8F133,559,912,OmniPath,user_curated
98,CPI-SS002DCCEE9,582,912,OmniPath,user_curated
99,CPI-SS09EF65834,429,912,OmniPath,user_curated
100,CPI-SS06059DE2D,221,939,OmniPath,user_curated
101,CPI-SS031B26B28,532,939,OmniPath,user_curated
102,CPI-SS06B1216BE,439,939,OmniPath,user_curated
103,CPI-SS03F3C5ECD,221,985,OmniPath,user_curated
104,CPI-SS0D001F73D,398,985,OmniPath,user_curated
105,CPI-SS072FE05F1,532,985,OmniPath,user_curated
106,CPI-SS0EE557ADF,533,985,OmniPath,user_curated
107,CPI-SS06AAD31D8,534,985,OmniPath,user_curated
108,CPI-SS0915118A1,221,1021,OmniPath,user_curated
109,CPI-SS0F15A4667,221,1024,OmniPath,user_curated
110,CPI-SS006606F3C,532,1024,OmniPath,user_curated
111,CPI-SS0B20A1B18,301,1024,OmniPath,user_curated
112,CPI-SS0B44A5E2F,221,1046,OmniPath,user_curated
113,CPI-SS056993231,301,1046,OmniPath,user_curated
114,CPI-SS0AE32B1CD,221,1090,OmniPath,user_curated
115,CPI-SS0F7A7A60F,676,1090,OmniPath,user_curated
116,CPI-SS0F191D3B1,221,1108,OmniPath,user_curated
117,CPI-SS0DE6FCF38,398,1108,OmniPath,user_curated
118,CPI-SS033771511,221,1292,OmniPath,user_curated
119,CPI-SS0851DDE2E,398,1292,OmniPath,user_curated
120,CPI-SS03CDC6A44,221,1322,OmniPath,user_curated
121,CPI-SS0FD9C1D3F,291,1190,OmniPath,user_curated
122,CPI-SS053BB377C,531,1190,OmniPath,user_curated
123,CPI-SS0B5E172D4,388,1190,OmniPath,user_curated
124,CPI-SS08FF78F4C,646,1190,OmniPath,user_curated
125,CPI-SS0B071ED24,885,1190,OmniPath,user_curated
126,CPI-SS0761BC9D4,36,1190,OmniPath,user_curated
127,CPI-SS0AEA3C14B,220,1190,OmniPath,user_curated
128,CPI-SS068C129D6,509,1190,OmniPath,user_curated
129,CPI-SS0E3FA4253,945,1190,OmniPath,user_curated
130,CPI-SS0577408A3,291,788,OmniPath,user_curated
131,CPI-SS0455B17E8,280,788,OmniPath,user_curated
132,CPI-SS035A3ADDF,293,788,OmniPath,user_curated
133,CPI-SS0AF5C018D,291,1006,OmniPath,user_curated
134,CPI-SS04B5987F6,294,1006,OmniPath,user_curated
135,CPI-SS0554B4983,532,1006,OmniPath,user_curated
136,CPI-SS0162E95CE,288,1006,OmniPath,user_curated
137,CPI-SS0689DA77C,303,1006,OmniPath,user_curated
138,CPI-SS024E47E95,946,1006,OmniPath,user_curated
139,CPI-SS07758402C,287,1006,OmniPath,user_curated
140,CPI-SS02583EA00,301,1006,OmniPath,user_curated
141,CPI-SS06102CC06,302,1006,OmniPath,user_curated
142,CPI-SS0A25034DD,511,1006,OmniPath,user_curated
143,CPI-SS0133239EA,690,1006,OmniPath,user_curated
144,CPI-SS0DA3480AF,298,1006,OmniPath,user_curated
145,CPI-SS0D85AD6C8,292,1006,OmniPath,user_curated
146,CPI-SS06EDEBAA3,293,1006,OmniPath,user_curated
147,CPI-SS03EF330AD,300,1006,OmniPath,user_curated
148,CPI-SS03F97DD00,377,1006,OmniPath,user_curated
149,CPI-SS0DE7C0380,439,1006,OmniPath,user_curated
150,CPI-SS03CF6184A,512,1006,OmniPath,user_curated
151,CPI-SS0945031BB,518,1006,OmniPath,user_curated
152,CPI-SS01B68D864,538,1006,OmniPath,user_curated
153,CPI-SS011B1CB6B,559,1006,OmniPath,user_curated
154,CPI-SS00A608AE2,582,1006,OmniPath,user_curated
155,CPI-SS06388DCD5,291,1257,OmniPath,user_curated
156,CPI-SS04E413896,294,1257,OmniPath,user_curated
157,CPI-SS0817BE7B3,288,1257,OmniPath,user_curated
158,CPI-SS02A5EB5C2,303,1257,OmniPath,user_curated
159,CPI-SS027E2EDA6,946,1257,OmniPath,user_curated
160,CPI-SS0D87D1585,287,1257,OmniPath,user_curated
161,CPI-SS0CB0B9E13,301,1257,OmniPath,user_curated
162,CPI-SS085A2227D,302,1257,OmniPath,user_curated
163,CPI-SS0DFA99B1E,511,1257,OmniPath,user_curated
164,CPI-SS0061FA144,690,1257,OmniPath,user_curated
165,CPI-SS0A318273F,298,1257,OmniPath,user_curated
166,CPI-SS08C597060,292,1257,OmniPath,user_curated
