id_protein,protein_name,tags,tags_reason,tags_description,protein_multidata_id
1,LOC101059948_HUMAN,To_add,,,1
2,KLRG2_HUMAN,To_add,,,2
3,LRIT2_HUMAN,To_add,,,3
4,LILRA5_HUMAN,To_add,,,4
5,CD8B2_HUMAN,To_add,,,5
6,VSTM2B_HUMAN,To_add,,,6
7,COL6A6_HUMAN,To_add,,,7
8,CD300LB_HUMAN,To_add,,,8
9,COL6A5_HUMAN,To_add,,,9
10,TARM1_HUMAN,To_add,,,10
11,KLRF2_HUMAN,To_add,,,11
12,PRNP_HUMAN,To_add,,,12
13,IFNL4_HUMAN,To_add,,,13
14,FZD9_HUMAN,To_add,,,14
15,GPR25_HUMAN,To_add,,,15
16,CCL24_HUMAN,To_add,,,16
17,LGALS9_HUMAN,To_add,,,17
18,TLR4_HUMAN,To_add,,,18
19,LGALS8_HUMAN,To_add,,,19
20,TNFRSF10A_HUMAN,To_add,,,20
21,GRM8_HUMAN,To_add,,,21
22,CORT_HUMAN,To_add,,,22
23,BMPR1B_HUMAN,To_add,,,23
24,SIRPB1_HUMAN,To_add,,,24
25,AGRP_HUMAN,To_add,,,25
26,F2RL2_HUMAN,To_add,,,26
27,PGRMC1_HUMAN,To_add,,,27
28,LEFTY2_HUMAN,To_add,,,28
29,TNFRSF11B_HUMAN,To_add,,,29
30,CCRL2_HUMAN,To_add,,,30
31,GFRA2_HUMAN,To_add,,,31
32,AGRN_HUMAN,To_add,,,32
33,BTN3A3_HUMAN,To_add,,,33
34,BTN3A1_HUMAN,To_add,,,34
35,CLDN5_HUMAN,To_add,,,35
36,CHL1_HUMAN,To_add,,,36
37,DLL1_HUMAN,To_add,,,37
38,CXCR6_HUMAN,To_add,,,38
39,CCL21_HUMAN,To_add,,,39
40,MFNG_HUMAN,To_add,,,40
41,ACKR2_HUMAN,To_add,,,41
42,PODXL_HUMAN,To_add,,,42
43,FCN1_HUMAN,To_add,,,43
44,CCN1_HUMAN,To_add,,,44
45,CCL22_HUMAN,To_add,,,45
46,NTN3_HUMAN,To_add,,,46
47,WNT10B_HUMAN,To_add,,,47
48,WNT7A_HUMAN,To_add,,,48
49,CLDN4_HUMAN,To_add,,,49
50,SOCS2_HUMAN,To_add,,,50
51,NRG2_HUMAN,To_add,,,51
52,ADGRB1_HUMAN,To_add,,,52
53,PTPRT_HUMAN,To_add,,,53
54,NCAN_HUMAN,To_add,,,54
55,CXCL11_HUMAN,To_add,,,55
56,GPR171_HUMAN,To_add,,,56
57,IRS4_HUMAN,To_add,,,57
58,ADAM10_HUMAN,To_add,,,58
59,TNFRSF10B_HUMAN,To_add,,,59
60,NRP1_HUMAN,To_add,,,60
61,TNFSF11_HUMAN,To_add,,,61
62,TNFRSF10C_HUMAN,To_add,,,62
63,TNFRSF13B_HUMAN,To_add,,,63
64,WNT9A_HUMAN,To_add,,,64
65,WNT9B_HUMAN,To_add,,,65
66,NCR3_HUMAN,To_add,,,66
67,PLD2_HUMAN,To_add,,,67
68,EREG_HUMAN,To_add,,,68
69,SPTBN2_HUMAN,To_add,,,69
70,PLXNB2_HUMAN,To_add,,,70
71,SEMA3E_HUMAN,To_add,,,71
72,ADAMTS3_HUMAN,To_add,,,72
73,CEP290_HUMAN,To_add,,,73
74,ANGPT2_HUMAN,To_add,,,74
75,NPFF_HUMAN,To_add,,,75
76,MUSK_HUMAN,To_add,,,76
77,PLSCR1_HUMAN,To_add,,,77
78,PGRMC2_HUMAN,To_add,,,78
79,EPHB6_HUMAN,To_add,,,79
80,GPR182_HUMAN,To_add,,,80
81,LAMA5_HUMAN,To_add,,,81
82,VGF_HUMAN,To_add,,,82
83,DEFB4B_HUMAN,To_add,,,83
84,CHAD_HUMAN,To_add,,,84
85,GPR37_HUMAN,To_add,,,85
86,SIGLEC5_HUMAN,To_add,,,86
87,NCAM2_HUMAN,To_add,,,87
88,GRIN2D_HUMAN,To_add,,,88
89,CCL25_HUMAN,To_add,,,89
90,CCL16_HUMAN,To_add,,,90
91,PLA2G10_HUMAN,To_add,,,91
92,ARPC5_HUMAN,To_add,,,92
93,FGF10_HUMAN,To_add,,,93
94,GPR42_HUMAN,To_add,,,94
95,CLDN3_HUMAN,To_add,,,95
96,FFAR2_HUMAN,To_add,,,96
97,FLRT2_HUMAN,To_add,,,97
98,PLXNB1_HUMAN,To_add,,,98
99,ADAM12_HUMAN,To_add,,,99
100,MLNR_HUMAN,To_add,,,100
101,SPINT1_HUMAN,To_add,,,101
102,LRRTM2_HUMAN,To_add,,,102
103,FGF16_HUMAN,To_add,,,103
104,DHH_HUMAN,To_add,,,104
105,TGOLN2_HUMAN,To_add,,,105
106,ADAM20_HUMAN,To_add,,,106
107,TNFSF12_HUMAN,To_add,,,107
108,GNRH2_HUMAN,To_add,,,108
109,TNFSF14_HUMAN,To_add,,,109
110,FRS3_HUMAN,To_add,,,110
111,LAT_HUMAN,To_add,,,111
112,CA12_HUMAN,To_add,,,112
113,GALR2_HUMAN,To_add,,,113
114,HCRT_HUMAN,To_add,,,114
115,HCRTR1_HUMAN,To_add,,,115
116,HCRTR2_HUMAN,To_add,,,116
117,SIGLEC6_HUMAN,To_add,,,117
118,ANGPTL7_HUMAN,To_add,,,118
119,EDIL3_HUMAN,To_add,,,119
120,CD5L_HUMAN,To_add,,,120
121,TYROBP_HUMAN,To_add,,,121
122,VEGFD_HUMAN,To_add,,,122
123,EFNA2_HUMAN,To_add,,,123
124,CXCL13_HUMAN,To_add,,,124
125,FGF17_HUMAN,To_add,,,125
126,MGRN1_HUMAN,To_add,,,126
127,FZD6_HUMAN,To_add,,,127
128,GDF9_HUMAN,To_add,,,128
129,NRP2_HUMAN,To_add,,,129
130,DSCAM_HUMAN,To_add,,,130
131,PLXNC1_HUMAN,To_add,,,131
132,CUBN_HUMAN,To_add,,,132
133,ADCY9_HUMAN,To_add,,,133
134,PSPN_HUMAN,To_add,,,134
135,GREM1_HUMAN,To_add,,,135
136,TLR5_HUMAN,To_add,,,136
137,TLR2_HUMAN,To_add,,,137
138,GFRA3_HUMAN,To_add,,,138
139,TSPAN1_HUMAN,To_add,,,139
140,TSPAN3_HUMAN,To_add,,,140
141,SLC16A7_HUMAN,To_add,,,141
142,JAK2_HUMAN,To_add,,,142
143,GALR3_HUMAN,To_add,,,143
144,HPGDS_HUMAN,To_add,,,144
145,GPR37L1_HUMAN,To_add,,,145
146,RAMP1_HUMAN,To_add,,,146
147,RAMP2_HUMAN,To_add,,,147
148,RAMP3_HUMAN,To_add,,,148
149,SCN2B_HUMAN,To_add,,,149
150,FCGR3B_HUMAN,To_add,,,150
151,LILRA1_HUMAN,To_add,,,151
152,LILRB3_HUMAN,To_add,,,152
153,PLXNA2_HUMAN,To_add,,,153
154,IGSF3_HUMAN,To_add,,,154
155,SDC3_HUMAN,To_add,,,155
156,ADAM23_HUMAN,To_add,,,156
157,ADAM11_HUMAN,To_add,,,157
158,FZD7_HUMAN,To_add,,,158
159,SLIT1_HUMAN,To_add,,,159
160,SLIT3_HUMAN,To_add,,,160
161,LRP4_HUMAN,To_add,,,161
162,MFAP3L_HUMAN,To_add,,,162
163,CPNE3_HUMAN,To_add,,,163
164,ICOSLG_HUMAN,To_add,,,164
165,LRP5_HUMAN,To_add,,,165
166,LRRN2_HUMAN,To_add,,,166
167,SEMA7A_HUMAN,To_add,,,167
168,HMMR_HUMAN,To_add,,,168
169,NCOR1_HUMAN,To_add,,,169
170,TECTA_HUMAN,To_add,,,170
171,CRLF1_HUMAN,To_add,,,171
172,LGR5_HUMAN,To_add,,,172
173,GPC4_HUMAN,To_add,,,173
174,CLDN11_HUMAN,To_add,,,174
175,TNFRSF21_HUMAN,To_add,,,175
176,ITGA10_HUMAN,To_add,,,176
177,LRP6_HUMAN,To_add,,,177
178,PGLYRP1_HUMAN,To_add,,,178
179,CLEC3A_HUMAN,To_add,,,179
180,LEFTY1_HUMAN,To_add,,,180
181,ATP6AP2_HUMAN,To_add,,,181
182,CNMD_HUMAN,To_add,,,182
183,CEACAM4_HUMAN,To_add,,,183
184,ATRN_HUMAN,To_add,,,184
185,TNFSF13_HUMAN,To_add,,,185
186,GABBR2_HUMAN,To_add,,,186
187,DYSF_HUMAN,To_add,,,187
188,FLOT1_HUMAN,To_add,,,188
189,MPDZ_HUMAN,To_add,,,189
190,NCR1_HUMAN,To_add,,,190
191,FGF18_HUMAN,To_add,,,191
192,CNTN5_HUMAN,To_add,,,192
193,SLIT2_HUMAN,To_add,,,193
194,MYO1D_HUMAN,To_add,,,194
195,NFASC_HUMAN,To_add,,,195
196,FARP2_HUMAN,To_add,,,196
197,LRIG2_HUMAN,To_add,,,197
198,DKK1_HUMAN,To_add,,,198
199,ADGRL1_HUMAN,To_add,,,199
200,SLITRK3_HUMAN,To_add,,,200
201,SLITRK5_HUMAN,To_add,,,201
202,SEMA3D_HUMAN,To_add,,,202
203,TJP3_HUMAN,To_add,,,203
204,YIF1A_HUMAN,To_add,,,204
205,PRSS23_HUMAN,To_add,,,205
206,TNFSF15_HUMAN,To_add,,,206
207,NXPH2_HUMAN,To_add,,,207
208,NXPH3_HUMAN,To_add,,,208
209,SCEL_HUMAN,To_add,,,209
210,UNC5C_HUMAN,To_add,,,210
211,IL18RAP_HUMAN,To_add,,,211
212,LYPD3_HUMAN,To_add,,,212
213,CCN4_HUMAN,To_add,,,213
214,CCN6_HUMAN,To_add,,,214
215,GDF11_HUMAN,To_add,,,215
216,BMP10_HUMAN,To_add,,,216
217,UTS2_HUMAN,To_add,,,217
218,TNFRSF6B_HUMAN,To_add,,,218
219,PAPLN_HUMAN,To_add,,,219
220,GNAS_HUMAN,To_add,,,220
221,CLDN7_HUMAN,To_add,,,221
222,ABCA1_HUMAN,To_add,,,222
223,ADGRL2_HUMAN,To_add,,,223
224,CLDN14_HUMAN,To_add,,,224
225,NPTXR_HUMAN,To_add,,,225
226,NTN1_HUMAN,To_add,,,226
227,NTSR2_HUMAN,To_add,,,227
228,LY86_HUMAN,To_add,,,228
229,CXCL14_HUMAN,To_add,,,229
230,CRTAM_HUMAN,To_add,,,230
231,FGF19_HUMAN,To_add,,,231
232,SEMA4F_HUMAN,To_add,,,232
233,IL33_HUMAN,To_add,,,233
234,GPR75_HUMAN,To_add,,,234
