,ID,community,CPDB,NicheNet,CellChat
0, ERBB2,False,False,False,True
1,FTH1,False,True,False,False
2,C1QBP,True,False,False,False
3,CLCF1,True,True,True,True
4,BMPR1A,True,True,True,False
5,ADRB1,True,True,False,False
6,LY86,True,False,False,False
7,ADAM22,True,False,False,False
8,INHBA,True,True,True,True
9,FBN1,True,True,False,False
10,NRG3,True,True,True,True
11,SLC16A1,True,True,False,False
12,HHIP,True,True,True,False
13, SMO,False,False,False,True
14,ADGRL4,True,False,False,False
15,THPO,True,True,True,True
16,COL26A1,False,True,False,False
17,IL9,True,True,True,True
18,PROCR,True,True,True,True
19,IL23A,True,True,True,False
20,EPOR,True,True,True,True
21,TSPAN5,True,False,False,False
22,GFRA3,True,True,True,True
23,CXCL5,True,True,True,True
24,LPP,True,False,False,False
25,TSHB,True,True,True,True
26,CYP17A1,False,True,False,False
27, CNTNAP1,False,False,False,True
28,EGF,True,True,True,True
29,PTPRG,True,False,False,False
30,RARB,False,True,False,False
31,GHRL,True,True,True,True
32, CNTNAP2,False,False,False,True
33, CSF2RB,False,False,False,True
34,HGF,True,True,True,True
35,CCL11,True,True,True,True
36,ADM2,True,True,True,False
37,DIP2A,True,False,False,False
38,OLFM2,True,False,False,False
39,IL31RA,True,False,True,True
40,QRFP,True,True,True,True
41,MIA,True,False,False,False
42,DSC3,True,True,False,True
43, LIFR,False,False,False,True
44,TMED5,True,False,False,False
45,BMPR1B,True,True,True,True
46,CHRNG,False,False,False,True
47,HFE,True,True,False,False
48,LTBP1,True,False,False,False
49,ADAM17,True,False,True,False
50,EFNA1,True,True,True,True
51,NPY,True,False,True,True
52,CRHR1,True,True,True,True
53,GZMB,True,False,True,False
54,ERVH48-1,False,True,False,False
55,GLP1R,True,True,True,True
56,CELSR2,True,True,False,False
57,CYSLTR1,False,True,False,False
58,KLRF2,True,True,False,False
59,TENM4,False,False,False,True
60,TFF1,True,True,False,False
61,MAS1,True,False,True,True
62,TSLP,True,True,True,True
63,LHCGR,True,True,True,True
64,PCDHB13,False,False,False,True
65,CD177,True,True,False,True
66,IL34,True,True,False,True
67,ADGRL2,False,False,False,True
68,RAMP1,True,True,True,False
69,LCN1,True,False,False,False
70,VEGFB,True,True,True,True
71,NLGN4X,True,False,False,False
72,CGB8,True,False,False,False
73,CYP3A4,False,True,False,False
74,EPHB2,True,True,True,True
75,CD6,True,True,True,True
76,GRIN2D,True,True,False,False
77,NTN4,True,True,True,True
78,MCHR2,True,True,True,False
79,MDK,True,True,True,True
80,INSL5,True,True,True,True
81,NOTCH4,True,True,True,True
82,ST14,True,False,False,False
83,SEMA4A,True,True,False,True
84,ITGA2,True,True,True,True
85,TNFRSF11B,True,True,True,True
86,FCGRT,False,True,False,False
87,VIP,True,True,True,True
88,IFNB1,True,True,True,True
89,PCDHGC4,False,False,False,True
90, NRP2,False,False,False,True
91,VEGFD,True,True,True,True
92,UNC5B,True,True,False,True
93,BCR,False,True,False,False
94,PTGER3,True,True,False,False
95,COL4A2,True,True,False,True
96,AMHR2,True,True,True,True
97,MIP,True,False,False,False
98,UBASH3B,False,True,False,False
99,CELSR3,False,True,False,False
100,TFR2,True,True,False,False
101,TMEM219,True,True,False,True
102,EPGN,True,True,True,True
103,TNFRSF1B,True,True,True,True
104,PCDHGC3,False,False,False,True
105,APLN,True,True,True,True
106,LGI2,True,False,False,False
107,CD163,True,False,False,False
108,HCRTR1,True,True,True,True
109,EDNRB,True,False,True,True
110,F2,True,True,True,True
111,GRIN2B,True,True,False,False
112,PCDHB9,False,False,False,True
113,STAB2,True,False,False,False
114,LAIR1,True,True,False,True
115,LRRC4B,True,False,True,True
116,APCDD1,True,False,False,False
117,ANGPT1,True,True,True,True
118,LRP1,True,True,True,True
119,BMP2,True,True,True,True
120,FZD7,True,True,True,True
121,HLA-G,True,True,True,True
122,WNT5A,True,True,True,True
123,MELTF,True,False,False,False
124,ASGR2,True,True,False,False
125,AMBN,True,False,False,False
126,HTR1B,True,True,True,False
127,MERTK,True,True,True,True
128,PRLHR,True,True,True,True
129,HTR1D,True,True,True,False
130,LRRN3,True,False,False,False
131,GDNF,True,True,True,True
132,KCNN4,True,False,False,False
133,DRD3,False,True,False,False
134,EPHA6,True,False,True,False
135,PIGF,True,False,False,False
136,RNASET2,False,True,False,False
137, NRP1,False,False,False,True
138,C5AR1,True,True,True,True
139,CHRM4,False,True,False,False
140,HLA-DRA,True,False,True,True
141,TRPV6,True,False,False,False
142, LRP6,False,False,False,True
143,TAC4,True,False,True,True
144,GRIN2C,True,True,False,False
145,SLC18A3,True,False,False,False
146,BCAM,True,False,False,False
147,ANGPTL3,True,False,False,True
148,ITGA3,True,True,True,True
149,AXL,True,True,True,True
150,NOTCH1,True,True,True,True
151,FPR1,True,True,True,True
152,GPR39,True,False,True,False
153,HAS2,True,False,True,False
154,HTR3D,False,True,False,False
155,APOA2,True,True,False,True
156,COL5A3,True,True,True,False
157,ADORA2B,True,True,False,True
158,CNTN6,True,False,False,False
159,QDPR,True,False,False,False
160,SERPING1,True,False,True,False
161,RXFP4,True,True,True,True
162,GHRH,True,True,True,True
163,ADRA2C,False,True,False,False
164,MMP13,True,False,True,False
165,C1QTNF1,True,False,False,False
166,PCDHA11,False,False,False,True
167,PRSS2,False,False,False,True
168,IL22,True,True,True,True
169,AVPR1A,True,True,True,True
170, NPNT,False,False,False,True
171,IL1RAP,True,True,True,True
172,P2RY12,True,False,False,False
173,FCGR1A,True,False,False,False
174,LVRN,True,False,False,False
175,NCR2,True,False,False,False
176,LRP1B,True,False,False,False
177,WNT8A,True,True,False,True
178,EFNB3,True,True,True,True
179,F7,True,False,True,False
180,ADCYAP1R1,True,True,True,True
181,HTR1E,True,True,True,False
182,TGFBR1,True,True,True,False
183,LYZ,True,False,False,False
184,CPAMD8,True,False,False,False
185,NLGN3,True,False,True,True
186,IL10RA,True,True,True,True
187,SULT2A1,False,True,False,False
188,SHANK2,True,False,False,False
189,FZD4,True,True,True,True
190,NRG1,True,True,True,True
191,CALM2,True,False,True,False
192, IL1R1,False,False,False,True
193,TSPAN12,True,False,False,False
194,CCBE1,True,False,False,False
195,GPR20,True,False,False,False
196,C3,True,True,True,True
197,ERBB3,True,True,True,True
198,CORT,True,True,True,True
199,MRGPRX1,True,True,True,False
200,ADORA2A,True,True,False,True
201,LIN7C,True,False,False,False
202,NRXN2,True,False,True,True
203,MFGE8,True,False,False,False
204,RARRES1,True,False,False,False
205,RHBDL2,True,False,False,False
206,GRM7,True,False,False,False
207,SMO,True,True,True,False
208,ULBP1,True,True,False,True
209,RTN4R,True,False,True,True
210,IL12RB1,True,True,True,True
211,ESR1,True,True,False,False
212,PLD2,True,True,True,False
213,FZD8,True,True,True,True
214,CXCR4,True,True,True,True
215,SLC40A1,True,False,False,False
216,GP6,True,False,True,True
217,AVP,True,True,True,True
218,COL4A3,True,True,False,True
219,KLRG2,True,True,False,False
220,KLK2,False,False,False,True
221,CCL7,True,True,True,True
222,MBL2,True,False,False,False
223,GALP,True,True,True,True
224,TGFBR3,True,True,True,False
225,VCL,True,False,False,False
226,CCL5,True,True,True,True
227,TNFRSF18,True,True,True,True
228,CLEC4M,True,True,False,False
229,CHRNA2,False,True,False,True
230,FLOT1,True,False,False,False
231,IFNG,True,True,True,True
